p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-26438-1	1.4448099037184e-13	0.138652184656311	0.42	0.035	4.8200881121911e-08	Pre-T	Peak-26438-1
Peak-106049-1	2.72006813628177e-13	0.165650515361353	0.56	0.098	9.07452811217508e-08	Pre-T	Peak-106049-1
Peak-81241-1	9.25123844734304e-12	0.122515078295571	0.46	0.064	3.0863426633719e-06	Pre-T	Peak-81241-1
Peak-13423-5	5.00152983517751e-11	0.111197252552906	0.48	0.081	1.66858037443291e-05	Pre-T	Peak-13423-5
Peak-161934-1	5.21053941972827e-10	0.164059119208303	0.4	0.064	0.000173830889797323	Pre-T	Peak-161934-1
Peak-14064-1	1.84638080899362e-09	0.11103551730979	0.4	0.069	0.000615978487211596	Pre-T	Peak-14064-1
Peak-16468-2	2.36644187860573e-09	0.194250435185538	0.66	0.231	0.00078947814088917	Pre-T	Peak-16468-2
Peak-19250-4	3.21379347551504e-09	0.141681889344944	0.64	0.197	0.00107216649654048	Pre-T	Peak-19250-4
Peak-63834-1	4.54828869703036e-09	0.0658072630423779	0.24	0.012	0.00151737278537109	Pre-T	Peak-63834-1
Peak-71952-1	5.6694354888542e-09	0.0945703848386786	0.44	0.092	0.00189140305117861	Pre-T	Peak-71952-1
Peak-13423-4	1.44344147701907e-08	0.126245989242731	0.52	0.145	0.0048155228491424	Pre-T	Peak-13423-4
Peak-142221-1	2.10001896848311e-08	0.0666417398660158	0.32	0.04	0.00700595728151525	Pre-T	Peak-142221-1
Peak-128659-2	2.11808616851824e-08	0.0902600177093275	0.44	0.092	0.00706623199024043	Pre-T	Peak-128659-2
Peak-122834-1	2.34721638132666e-08	0.0699446194559307	0.28	0.029	0.00783064245839912	Pre-T	Peak-122834-1
Peak-30792-3	2.41762935273552e-08	0.0677372144202369	0.28	0.029	0.00806554998883507	Pre-T	Peak-30792-3
Peak-180966-1	2.55394773782532e-08	0.0634127138111159	0.3	0.035	0.00852032720606855	Pre-T	Peak-180966-1
Peak-73494-2	2.62692887258765e-08	0.0769020017999797	0.3	0.035	0.00876380248899458	Pre-T	Peak-73494-2
Peak-63762-1	2.68303038280027e-08	0.123849099957382	0.38	0.069	0.0089509649812753	Pre-T	Peak-63762-1
Peak-43385-1	4.11401559353644e-08	0.115817672257552	0.52	0.15	0.0137249319822207	Pre-T	Peak-43385-1
Peak-408-6	8.76107219012652e-08	0.110214411516598	0.44	0.11	0.0292281633763687	Pre-T	Peak-408-6
Peak-106039-1	1.05096833439168e-07	0.0639999042919345	0.4	0.081	0.0350617749909747	Pre-T	Peak-106039-1
Peak-66211-1	1.11240030865109e-07	0.202384653422613	0.6	0.214	0.0371112316570326	Pre-T	Peak-66211-1
Peak-126995-1	1.2002286776963e-07	0.097003713362755	0.36	0.069	0.0400413090080973	Pre-T	Peak-126995-1
Peak-19250-3	1.45143542079032e-07	0.0834394688746035	0.54	0.15	0.0484219176471542	Pre-T	Peak-19250-3
Peak-152595-1	6.00762542542335e-08	0.241330768825041	0.637	0.255	0.0200422794867719	T-DP	Peak-152595-1
Peak-31079-4	1.26994453371904e-07	0.295211659571876	0.762	0.527	0.0423671275672142	T-DP	Peak-31079-4
Peak-54745-1	9.31972687172574e-34	0.168022217235353	0.667	0	3.10919136058391e-28	T-Prol	Peak-54745-1
Peak-159883-1	9.31972687172574e-34	0.084470554710365	0.667	0	3.10919136058391e-28	T-Prol	Peak-159883-1
Peak-46281-1	4.70763314167529e-23	0.114971408790093	0.667	0.005	1.57053232292686e-17	T-Prol	Peak-46281-1
Peak-153258-1	4.70763314167529e-23	0.112446905062451	0.667	0.005	1.57053232292686e-17	T-Prol	Peak-153258-1
Peak-95559-1	7.38222557156159e-23	0.166641238067523	0.667	0.005	2.46281380183095e-17	T-Prol	Peak-95559-1
Peak-192631-1	7.38222557156159e-23	0.162459317642648	0.667	0.005	2.46281380183095e-17	T-Prol	Peak-192631-1
Peak-139746-1	7.38222557156159e-23	0.159455440765091	0.667	0.005	2.46281380183095e-17	T-Prol	Peak-139746-1
Peak-196261-1	7.38222557156159e-23	0.0839769542304355	0.667	0.005	2.46281380183095e-17	T-Prol	Peak-196261-1
Peak-129269-1	1.15530150002755e-22	0.114711034939197	0.667	0.005	3.85424754630191e-17	T-Prol	Peak-129269-1
Peak-3025-3	1.1023674638293e-17	0.161118010483045	0.667	0.009	3.67765219077947e-12	T-Prol	Peak-3025-3
Peak-143155-1	1.53387225847623e-17	0.16614162507634	0.333	0	5.11721259639288e-12	T-Prol	Peak-143155-1
Peak-167291-1	1.53387225847623e-17	0.157617562913286	0.333	0	5.11721259639288e-12	T-Prol	Peak-167291-1
Peak-234921-1	1.53387225847623e-17	0.117728547015777	0.333	0	5.11721259639288e-12	T-Prol	Peak-234921-1
Peak-6242-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-6242-1
Peak-40015-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-40015-1
Peak-47919-2	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-47919-2
Peak-77411-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-77411-1
Peak-82543-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-82543-1
Peak-89017-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-89017-1
Peak-97951-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-97951-1
Peak-99470-2	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-99470-2
Peak-103471-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-103471-1
Peak-113882-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-113882-1
Peak-116232-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-116232-1
Peak-118258-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-118258-1
Peak-130154-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-130154-1
Peak-130451-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-130451-1
Peak-132378-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-132378-1
Peak-133815-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-133815-1
Peak-136582-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-136582-1
Peak-137336-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-137336-1
Peak-140046-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-140046-1
Peak-142839-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-142839-1
Peak-145359-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-145359-1
Peak-145728-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-145728-1
Peak-145801-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-145801-1
Peak-150683-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-150683-1
Peak-158082-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-158082-1
Peak-163771-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-163771-1
Peak-164891-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-164891-1
Peak-167669-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-167669-1
Peak-172272-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-172272-1
Peak-177146-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-177146-1
Peak-182238-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-182238-1
Peak-182303-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-182303-1
Peak-182788-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-182788-1
Peak-186181-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-186181-1
Peak-188385-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-188385-1
Peak-191840-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-191840-1
Peak-192093-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-192093-1
Peak-199040-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-199040-1
Peak-200154-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-200154-1
Peak-202390-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-202390-1
Peak-202455-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-202455-1
Peak-210817-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-210817-1
Peak-220466-1	1.53387225847623e-17	0.113769250338773	0.333	0	5.11721259639288e-12	T-Prol	Peak-220466-1
