tissue	samplingPos	class	predicted.ident	prediction.score.max	Reads	Aligned_ratio	Num_frags	Mito_ratio	FRiP	Peaks_detected	tSNE_1	tSNE_2
GS_1_1-1	Bone marrow	Bone marrow	Mast	Mast	0.473099478013694	399566	0.975	66487	0.0275607460408842	0.657527035360296	25220	33.5529982644932	13.1117559766797
GS_1_1-2	Bone marrow	Bone marrow	B	Pre-B	0.648865866198592	325426	0.9758	74817	0.00936915004472478	0.586190304342596	25081	39.0961455693459	3.81619683231628
GS_1_1-3	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.467982125103196	288737	0.9784	55688	0.0250777704115457	0.552937796293636	18454	28.6358258002219	13.0233462461044
GS_1_1-4	Bone marrow	Bone marrow	B	Pre-B	0.456001765143816	303757	0.9731	68964	0.0164958081751444	0.440244185372078	20065	25.4252173532965	20.0140668196635
GS_1_1-5	Bone marrow	Bone marrow	B	Pre-B	0.885470827613254	610659	0.9846	87636	0.0114209665634459	0.645408279702405	26354	36.4622486886139	0.493222735613116
GS_1_1-6	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.37180857612354	764925	0.9821	110645	0.0247102067987439	0.396963260879389	25189	24.7498814813134	10.2081239133092
GS_1_1-8	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.366534031873179	385852	0.98	66786	0.0305145570520465	0.515452340310844	20608	27.0419375343634	10.9618637622951
GS_1_2-1	Bone marrow	Bone marrow	B	Pre-B	0.914589250495199	465945	0.9729	77068	0.0157425733543721	0.557507655576893	23265	41.7282634331968	-0.138491981979879
GS_1_2-2	Bone marrow	Bone marrow	B	Pre-B	0.769117820659584	198299	0.9685	46890	0.032320463026426	0.582149712092131	17385	23.8089876564433	26.8048740770977
GS_1_2-4	Bone marrow	Bone marrow	B	Pre-B	0.687806450850555	418677	0.9753	80659	0.0123344512021827	0.567326646747418	25752	39.2698886704348	4.74627558808066
GS_1_2-5	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.339385576673122	209388	0.9681	49254	0.0175469202029453	0.517480813741016	16939	25.2444797504046	9.12895529402256
GS_1_2-6	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.580173171539133	356340	0.9724	74083	0.0208070489601563	0.438143703683706	21217	26.5416187642845	12.4634494877444
GS_1_2-7	Bone marrow	Bone marrow	B	Pre-B	0.520324038015063	1592111	0.9849	213106	0.0163431686816931	0.264328550111212	29516	26.7361833477608	11.0607655076258
GS_1_2-8	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.335838481028066	569442	0.9818	102884	0.0103278814405283	0.415059678861631	25346	26.9718544260331	11.1323844969575
GS_1_3-1	Bone marrow	Bone marrow	B	B-Prol	0.388254423507725	268335	0.9629	57977	0.0322793746194997	0.497145419735412	18935	24.6863702411031	10.0240563492311
GS_1_3-2	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.843486631298413	628590	0.986	94360	0.0210937642989183	0.553370072064434	27656	31.7173382679323	33.4735137749565
GS_1_3-3	Bone marrow	Bone marrow	B	B-Prol	0.33165388250469	123515	0.9216	40368	0.0212947783319962	0.673057867617915	18293	28.0168949081345	14.7765643133439
GS_1_3-4	Bone marrow	Bone marrow	B	Pre-B	0.404380702521565	198291	0.9808	41141	0.0248616310519622	0.596023431613233	16363	25.6538236666656	22.5936463213825
GS_1_3-5	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.970897022289066	473381	0.9842	91641	0.00901900800238766	0.494800362283257	25214	31.982698466726	30.1237205634875
GS_1_3-6	Bone marrow	Bone marrow	B	Pre-B	0.547472972918567	823723	0.9859	85104	0.0325409343548145	0.42542066177853	21186	25.6865780873443	15.4807170345109
GS_1_3-7	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.97911082923071	456152	0.9831	77783	0.0116643266011448	0.578134039571629	24450	31.9910558086855	30.4095691240312
GS_1_3-8	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.445692296340365	675401	0.9855	91990	0.0147680251609899	0.495542993803674	23778	27.4726539753078	7.9025397714797
GS_1_4-1	Bone marrow	Bone marrow	B	Pre-B	0.684105613672435	258299	0.9761	50323	0.0241413022225119	0.624505693221787	19919	27.9421234532307	14.8222613242789
GS_1_4-2	Bone marrow	Bone marrow	Neutrophil	Neutrophil	0.592630506498826	1482772	0.9856	180107	0.00926001176026274	0.6466322797004	45094	33.6744207100798	34.793095341338
GS_1_4-3	Bone marrow	Bone marrow	Mast	Mast	0.557094011871777	228885	0.9751	49044	0.0127471345099153	0.678880189217845	20150	34.9837827546509	20.1103590827709
GS_1_4-4	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.382663444286144	118863	0.9658	42781	0.0283825946925219	0.525163039667142	16160	22.6148039211731	12.5957922716471
GS_1_4-5	Bone marrow	Bone marrow	B	Pre-B	0.643696417931734	311685	0.9783	66766	0.0112875620165955	0.584264445975497	23341	37.6684656044142	4.96592590858547
GS_1_4-6	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.294571982701389	223502	0.9628	52527	0.0232321474002758	0.54172140042264	18176	24.5070062364713	9.59822614531137
GS_1_4-7	Bone marrow	Bone marrow	B	Pre-B	0.860477238844326	359183	0.981	59310	0.0188607966867681	0.601551171809138	19566	41.4423210205524	-0.744095931596215
GS_1_4-8	Bone marrow	Bone marrow	Mast	Mast	0.388138393125123	424158	0.9779	89831	0.00875007102330376	0.552092262136679	28291	34.6184029280563	12.6019041480741
GS_1_5-1	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.383888257544497	262930	0.9747	61198	0.0185442222805767	0.500800679760776	19722	30.1782648103561	25.1179753344377
GS_1_5-2	Bone marrow	Bone marrow	B	B-Prol	0.43037671191976	142600	0.9725	39247	0.0223609821955953	0.717685428185594	18135	27.8095452428123	14.9438784846869
GS_1_5-3	Bone marrow	Bone marrow	B	Pre-B	0.480847035341145	178583	0.9632	41428	0.026900785480058	0.582697692381964	15125	22.9082540976036	8.89781718822784
GS_1_5-4	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.319105564315249	323990	0.9833	56011	0.0202801398090667	0.615629072860688	19569	28.6584147335438	13.1273838875201
GS_1_5-5	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.571803604017478	300419	0.9816	75454	0.0158061649093039	0.448657460174411	21773	26.4103346968196	11.5712091834505
GS_1_5-6	Bone marrow	Bone marrow	B	Pre-B	0.485677172715706	760357	0.9781	87342	0.0838399805447471	0.366719333195942	19745	25.2306044756364	19.2233593551571
GS_1_5-7	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.564000245599217	238007	0.9824	53436	0.0267455484356241	0.541825735459241	18282	26.9652679912349	10.8110424944715
GS_1_5-8	Bone marrow	Bone marrow	B	Pro-B	0.32894174689078	415748	0.9822	87344	0.0268089259207624	0.539945502839348	28133	27.5337044033286	16.2415862731846
GS_1_6-1	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.586900615736186	554953	0.9812	79424	0.0169781002718517	0.468724818694601	21491	30.7307258304939	8.90548567356526
GS_1_6-2	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte-Prol	0.488876891865192	130541	0.9712	30714	0.0376888969324043	0.600605587028717	13211	23.0613185707664	10.3715315656741
GS_1_6-3	Bone marrow	Bone marrow	Erythrocyte	Erythrocyte	0.375626632453259	152218	0.9726	30053	0.051909279144797	0.582670615246398	12073	24.674289687919	8.95110395958288
