orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
GS_1_1-1	GS	191271	19272	1.00000000000003	9894	atac	Erythrocyte-Prol	0.354860261289216
GS_1_1-2	GS	208118	19524	0.999999999999995	9898	atac	Pre-B	0.746900416903564
GS_1_1-3	GS	150834	14614	0.999999999999866	8723	atac	Erythrocyte-Prol	0.327113362201388
GS_1_1-4	GS	171913	14612	1.00000000000013	8494	atac	B-Prol	0.510855127557241
GS_1_1-5	GS	249162	22283	1.00000000000007	10286	atac	Pre-B	0.942588857505853
GS_1_1-6	GS	259919	18183	1.00000000000002	9274	atac	Erythrocyte-Prol	0.283591494845843
GS_1_1-8	GS	173948	15968	0.999999999999918	9041	atac	Pre-B	0.459854084433587
GS_1_2-1	GS	211036	18879	1.00000000000005	9829	atac	Pre-B	0.977435487638876
GS_1_2-2	GS	130531	14089	1.00000000000004	8496	atac	Erythrocyte-Prol	0.473729785626521
GS_1_2-4	GS	219569	19786	0.999999999999861	9945	atac	Pre-B	0.528180258694727
GS_1_2-5	GS	131551	13179	1.00000000000012	8171	atac	B-Prol	0.328714617519143
GS_1_2-6	GS	182964	15526	0.999999999999977	8664	atac	Pre-B	0.498784667604651
GS_1_2-7	GS	450143	19215	0.999999999999985	9131	atac	Erythrocyte	0.46152458512764
GS_1_2-8	GS	252803	18602	1.00000000000008	9595	atac	Pre-B	0.7617849761039
GS_1_3-1	GS	149948	13992	0.999999999999931	8385	atac	B-Prol	0.404408503996269
GS_1_3-2	GS	251952	22699	1.00000000000016	10018	atac	Neutrophil	0.917138925758147
GS_1_3-3	GS	118509	14046	0.999999999999984	8583	atac	B-Prol	0.33919251194862
GS_1_3-4	GS	114022	12861	0.999999999999889	7950	atac	Pre-B	0.417310472622371
GS_1_3-5	GS	234960	19821	0.999999999999858	9630	atac	Neutrophil	0.902013648370822
GS_1_3-6	GS	204248	15902	0.999999999999997	8999	atac	Mast	0.640470356017092
GS_1_3-7	GS	212537	19902	0.999999999999868	9721	atac	Neutrophil	0.919604314226722
GS_1_3-8	GS	235797	18550	1.0000000000001	9755	atac	Erythrocyte-Prol	0.335073794745731
GS_1_4-1	GS	140993	15515	0.999999999999923	8879	atac	Pre-B	0.608585520840867
GS_1_4-2	GS	492355	36555	0.999999999999927	11496	atac	Neutrophil	0.896274337280849
GS_1_4-3	GS	144244	15952	0.999999999999938	9129	atac	Mast	0.37589557957494
GS_1_4-4	GS	115903	12358	1.00000000000008	7891	atac	Erythrocyte	0.312065421217749
GS_1_4-5	GS	183739	17985	0.999999999999865	9412	atac	Pre-B	0.804453502871245
GS_1_4-6	GS	141248	14228	0.999999999999966	8437	atac	Erythrocyte	0.334170696560972
GS_1_4-7	GS	165609	16362	0.999999999999945	9040	atac	Pre-B	0.925383820327153
GS_1_4-8	GS	239286	21164	1.00000000000005	10035	atac	Erythrocyte	0.487020231424656
GS_1_5-1	GS	161009	15308	1.00000000000011	8877	atac	Pre-B	0.387291753582924
GS_1_5-2	GS	118142	14525	0.999999999999913	8609	atac	Erythrocyte	0.548235892614195
GS_1_5-3	GS	115026	12151	1.00000000000006	7934	atac	Pre-B	0.269903366621268
GS_1_5-4	GS	157104	15559	0.999999999999911	9021	atac	Erythrocyte	0.37098729582097
GS_1_5-5	GS	188980	16047	1.00000000000014	8905	atac	Pre-B	0.375031411973212
GS_1_5-6	GS	203479	14191	1.00000000000004	8345	atac	B-Prol	0.402905519114521
GS_1_5-7	GS	142682	13944	1.00000000000008	8570	atac	Erythrocyte-Prol	0.664945858097304
GS_1_5-8	GS	230291	20989	0.999999999999955	10151	atac	Erythrocyte	0.417197792857616
GS_1_6-1	GS	200679	16233	1.00000000000007	8889	atac	B-Prol	0.300809353930312
GS_1_6-2	GS	85818	10259	1.00000000000005	7136	atac	Pre-B	0.489699224155183
GS_1_6-3	GS	83865	9699	1.00000000000007	6969	atac	Erythrocyte-Prol	0.654834441071043
GS_1_6-4	GS	269365	24428	0.999999999999916	10877	atac	Mast	0.653414491405083
GS_1_6-5	GS	420256	29292	0.999999999999942	11094	atac	Mast	0.632304764799429
GS_1_6-6	GS	267118	24236	0.999999999999906	10406	atac	Neutrophil	0.883523894548709
GS_1_6-7	GS	343814	17256	1.00000000000012	8859	atac	Erythrocyte-Prol	0.442787227424108
GS_1_6-8	GS	642149	30264	1.00000000000003	10790	atac	Neutrophil	0.940502142279202
GS_1_7-1	GS	150861	16142	1.00000000000006	9137	atac	Pre-B	0.43201266757178
GS_1_7-2	GS	154851	16954	0.999999999999924	9444	atac	Pro-B	0.396790292886151
GS_1_7-3	GS	177301	17623	0.999999999999993	9502	atac	Mast	0.472954811431032
GS_1_7-4	GS	153480	16925	0.999999999999899	9337	atac	Pre-B	0.446984586443162
GS_1_7-5	GS	309803	20200	0.999999999999946	9592	atac	Pre-B	0.398907081666796
GS_1_7-6	GS	176655	16986	1.00000000000014	9247	atac	Pre-B	0.338661765164921
GS_1_7-8	GS	158793	16081	0.99999999999995	8976	atac	Pre-B	0.577386287180708
GS_1_8-1	GS	171784	18021	1.00000000000006	9883	atac	Pre-B	0.497588916760186
GS_1_8-2	GS	234961	19298	1.00000000000003	9701	atac	Pre-B	0.906106355826036
GS_1_8-3	GS	174948	14682	1.00000000000004	8511	atac	Erythrocyte-Prol	0.64368047854472
GS_1_8-4	GS	187955	19198	0.99999999999989	9699	atac	Neutrophil	0.854245342992466
GS_1_8-5	GS	206323	18805	1.00000000000005	9585	atac	Pre-B	0.400012562803473
GS_1_8-6	GS	249263	23578	1.0000000000001	10531	atac	Pre-B	0.97072864914564
GS_1_8-7	GS	188116	13212	0.999999999999963	7751	atac	Erythrocyte-Prol	0.451072953001224
GS_1_8-8	GS	171948	16657	1.00000000000016	9004	atac	Pre-B	0.382325200190507
GS_1_9-1	GS	404519	29348	1.00000000000006	10953	atac	Neutrophil	0.955908644406816
GS_1_9-2	GS	112921	12603	1.00000000000001	8091	atac	Erythrocyte	0.381425129912378
GS_1_9-3	GS	113103	13110	1.00000000000006	8240	atac	Erythrocyte-Prol	0.352773049482559
GS_1_9-4	GS	191713	17213	0.999999999999994	9074	atac	Pre-B	0.35714781462135
GS_1_9-5	GS	176632	15962	0.999999999999884	8757	atac	B-Prol	0.229660217223503
GS_1_9-6	GS	288538	22078	1.00000000000001	10188	atac	Erythrocyte	0.471540166039617
GS_1_9-7	GS	139024	14652	1.00000000000007	8692	atac	Erythrocyte-Prol	0.74737725620501
GS_1_9-8	GS	286550	22515	0.999999999999916	10032	atac	Neutrophil	0.960796459688148
GS_1_10-1	GS	248139	17790	0.999999999999865	8983	atac	Erythrocyte	0.350639145085547
GS_1_10-2	GS	147982	14032	0.999999999999902	8549	atac	Pre-B	0.32315129072669
