RNA_cell	ATAC_cell	score
GS_C-A4_14	GS_1_1-2	0.529411764705882
GS_C-A4_95	GS_1_1-2	0.235294117647059
GS_C-A1_18	GS_1_1-3	0.117647058823529
GS_C-A4_09	GS_1_1-3	0.529411764705882
GS_C-A5_27	GS_1_1-3	0
GS_C-A2_72	GS_1_1-4	0.705882352941177
GS_C-A2_95	GS_1_1-4	0.529411764705882
GS_C-A3_07	GS_1_1-5	0.823529411764706
GS_C-A4_69	GS_1_1-5	0.0588235294117647
GS_C-A4_74	GS_1_1-5	0.647058823529412
GS_C-A5_56	GS_1_1-5	0.764705882352941
GS_C-A4_40	GS_1_1-6	0.470588235294118
GS_C-A2_17	GS_1_1-8	0.647058823529412
GS_C-A2_60	GS_1_1-8	0.411764705882353
GS_C-A2_62	GS_1_1-8	0.352941176470588
GS_C-A2_81	GS_1_2-1	0.647058823529412
GS_C-A3_33	GS_1_2-1	0.529411764705882
GS_C-A5_31	GS_1_2-1	0.470588235294118
GS_C-A2_85	GS_1_2-2	0.352941176470588
GS_C-A4_15	GS_1_2-2	0.294117647058824
GS_C-A2_07	GS_1_2-4	0.352941176470588
GS_C-A2_86	GS_1_2-4	0.235294117647059
GS_C-A4_40	GS_1_2-4	0.294117647058824
GS_C-A5_56	GS_1_2-4	0.294117647058824
GS_C-A5_62	GS_1_2-4	0.176470588235294
GS_C-A1_09	GS_1_2-5	0.470588235294118
GS_C-A2_89	GS_1_2-5	0.411764705882353
GS_C-A3_93	GS_1_2-6	0.0588235294117647
GS_C-A4_25	GS_1_2-6	0.235294117647059
GS_C-A4_40	GS_1_2-6	0.235294117647059
GS_C-A1_18	GS_1_2-7	0.176470588235294
GS_C-A4_55	GS_1_2-7	0.470588235294118
GS_C-A5_85	GS_1_2-7	0.470588235294118
GS_C-A2_18	GS_1_2-8	0.117647058823529
GS_C-A2_24	GS_1_2-8	0.294117647058824
GS_C-A3_60	GS_1_2-8	0.764705882352941
GS_C-A5_84	GS_1_2-8	0.764705882352941
GS_C-A2_18	GS_1_3-1	0.352941176470588
GS_C-A2_94	GS_1_3-1	0.411764705882353
GS_C-A3_60	GS_1_3-1	0.647058823529412
GS_C-A1_88	GS_1_3-2	1
GS_C-A4_70	GS_1_3-2	1
GS_C-A2_10	GS_1_3-3	0.588235294117647
GS_C-A2_02	GS_1_3-4	0.588235294117647
GS_C-A4_24	GS_1_3-4	0.705882352941177
GS_C-A3_39	GS_1_3-5	0.117647058823529
GS_C-A4_12	GS_1_3-5	1
GS_C-A4_56	GS_1_3-6	1
GS_C-A5_62	GS_1_3-6	0.470588235294118
GS_C-A5_89	GS_1_3-6	0.647058823529412
GS_C-A3_43	GS_1_3-7	1
GS_C-A1_41	GS_1_3-8	0.117647058823529
GS_C-A2_91	GS_1_3-8	0.529411764705882
GS_C-A3_96	GS_1_3-8	0.411764705882353
GS_C-A3_86	GS_1_4-1	0.588235294117647
GS_C-A4_01	GS_1_4-1	0.588235294117647
GS_C-A5_31	GS_1_4-1	0.176470588235294
GS_C-A5_84	GS_1_4-1	0.176470588235294
GS_C-A4_43	GS_1_4-3	0.529411764705882
GS_C-A2_51	GS_1_4-5	0.176470588235294
GS_C-A2_60	GS_1_4-5	0.352941176470588
GS_C-A3_74	GS_1_4-5	0.0588235294117647
GS_C-A2_01	GS_1_4-8	0.411764705882353
GS_C-A2_50	GS_1_4-8	0.588235294117647
GS_C-A2_73	GS_1_4-8	0.529411764705882
GS_C-A3_48	GS_1_4-8	0.588235294117647
GS_C-A4_25	GS_1_4-8	0.294117647058824
GS_C-A3_22	GS_1_5-1	0.588235294117647
GS_C-A1_26	GS_1_5-2	0.470588235294118
GS_C-A4_81	GS_1_5-2	0.411764705882353
GS_C-A5_41	GS_1_5-2	0.647058823529412
GS_C-A5_15	GS_1_5-3	0.529411764705882
GS_C-A1_14	GS_1_5-5	0.235294117647059
GS_C-A1_95	GS_1_5-5	0.411764705882353
GS_C-A2_24	GS_1_5-5	0.411764705882353
GS_C-A2_02	GS_1_5-6	0.588235294117647
GS_C-A1_71	GS_1_5-7	0.411764705882353
GS_C-A4_90	GS_1_5-7	0.470588235294118
GS_C-A4_93	GS_1_5-7	0.882352941176471
GS_C-A3_20	GS_1_5-8	0.529411764705882
GS_C-A4_05	GS_1_5-8	0.352941176470588
GS_C-A2_55	GS_1_6-1	0.823529411764706
GS_C-A3_19	GS_1_6-1	0.352941176470588
GS_C-A3_60	GS_1_6-1	0.529411764705882
GS_C-A1_16	GS_1_6-2	0.117647058823529
GS_C-A3_31	GS_1_6-2	0.235294117647059
GS_C-A3_41	GS_1_6-2	0.235294117647059
GS_C-A4_88	GS_1_6-2	0.117647058823529
GS_C-A1_08	GS_1_6-3	0.411764705882353
GS_C-A1_74	GS_1_6-3	0.470588235294118
GS_C-A3_31	GS_1_6-3	0.411764705882353
GS_C-A5_10	GS_1_6-3	0.647058823529412
GS_C-A2_42	GS_1_6-4	0.411764705882353
GS_C-A3_85	GS_1_6-4	0.647058823529412
GS_C-A5_67	GS_1_6-4	0.647058823529412
GS_C-A3_10	GS_1_6-5	0.529411764705882
GS_C-A4_56	GS_1_6-5	0.882352941176471
GS_C-A5_02	GS_1_6-5	0.235294117647059
GS_C-A1_79	GS_1_6-6	0.294117647058824
GS_C-A5_63	GS_1_6-6	0.117647058823529
GS_C-A5_57	GS_1_6-7	0.352941176470588
GS_C-A3_49	GS_1_6-8	1
GS_C-A2_07	GS_1_7-2	0.529411764705882
GS_C-A2_09	GS_1_7-2	0.411764705882353
GS_C-A3_25	GS_1_7-2	0.176470588235294
GS_C-A4_60	GS_1_7-2	0.294117647058824
GS_C-A5_02	GS_1_7-2	0.529411764705882
GS_C-A2_30	GS_1_7-4	0.117647058823529
GS_C-A2_56	GS_1_7-4	0.352941176470588
GS_C-A4_95	GS_1_7-4	0.352941176470588
GS_C-A3_88	GS_1_7-5	0.352941176470588
GS_C-A5_69	GS_1_7-5	0.176470588235294
GS_C-A1_64	GS_1_8-1	0.764705882352941
GS_C-A2_95	GS_1_8-1	0.294117647058824
GS_C-A4_43	GS_1_8-1	0.941176470588235
GS_C-A5_05	GS_1_8-1	0.470588235294118
GS_C-A5_72	GS_1_8-1	0.529411764705882
GS_C-A2_60	GS_1_8-2	0.411764705882353
GS_C-A2_68	GS_1_8-2	0.411764705882353
GS_C-A4_69	GS_1_8-2	0.176470588235294
GS_C-A5_63	GS_1_8-2	0.117647058823529
GS_C-A1_54	GS_1_8-3	0.823529411764706
GS_C-A1_71	GS_1_8-3	0.647058823529412
GS_C-A2_30	GS_1_8-3	0.411764705882353
GS_C-A4_01	GS_1_8-3	0.882352941176471
GS_C-A5_49	GS_1_8-3	0.882352941176471
GS_C-A2_71	GS_1_8-4	0.411764705882353
GS_C-A2_62	GS_1_8-5	0.176470588235294
GS_C-A3_76	GS_1_8-5	0.529411764705882
GS_C-A1_27	GS_1_8-6	0.470588235294118
GS_C-A1_63	GS_1_8-6	0.823529411764706
GS_C-A3_33	GS_1_8-6	0.941176470588235
GS_C-A3_61	GS_1_8-6	0.411764705882353
GS_C-A4_13	GS_1_8-6	0.705882352941177
GS_C-A2_59	GS_1_8-7	0.470588235294118
GS_C-A4_53	GS_1_8-7	0.647058823529412
GS_C-A4_90	GS_1_8-7	0.529411764705882
GS_C-A1_14	GS_1_8-8	0.588235294117647
GS_C-A5_21	GS_1_8-8	0.470588235294118
GS_C-A1_19	GS_1_9-1	1
GS_C-A1_34	GS_1_9-1	1
GS_C-A2_57	GS_1_9-1	1
GS_C-A4_83	GS_1_9-1	1
GS_C-A5_14	GS_1_9-2	0.941176470588235
GS_C-A2_67	GS_1_9-3	0.588235294117647
GS_C-A5_37	GS_1_9-3	0.294117647058824
GS_C-A1_03	GS_1_9-6	0.470588235294118
GS_C-A3_40	GS_1_9-6	0.117647058823529
GS_C-A5_29	GS_1_9-6	0.294117647058824
GS_C-A1_08	GS_1_9-7	0.823529411764706
GS_C-A1_16	GS_1_9-7	0.941176470588235
GS_C-A1_60	GS_1_9-7	0.647058823529412
GS_C-A3_40	GS_1_9-7	0.882352941176471
GS_C-A4_53	GS_1_9-7	0.588235294117647
GS_C-A1_29	GS_1_9-8	1
GS_C-A2_57	GS_1_9-8	1
GS_C-A3_43	GS_1_9-8	1
GS_C-A3_49	GS_1_9-8	1
GS_C-A3_52	GS_1_9-8	1
GS_C-A4_60	GS_1_10-1	0.235294117647059
GS_C-A2_30	GS_1_10-2	0.176470588235294
GS_C-A3_19	GS_1_10-2	0.411764705882353
GS_C-A2_16	GS_1_10-3	0.823529411764706
GS_C-A1_26	GS_1_10-4	0.411764705882353
GS_C-A3_40	GS_1_10-4	0.588235294117647
GS_C-A1_17	GS_1_10-5	0.411764705882353
GS_C-A2_56	GS_1_10-5	0.764705882352941
GS_C-A3_75	GS_1_10-5	0.294117647058824
GS_C-A2_01	GS_1_10-6	0.588235294117647
GS_C-A2_75	GS_1_10-6	0.705882352941177
GS_C-A3_48	GS_1_10-6	0.705882352941177
