p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-11417	3.49924196360196e-14	0.256939839777758	1	0.502	4.94449887940885e-09	Endo	Peak-11417
Peak-9071	4.31271963091434e-14	0.30665477731959	1	0.678	6.09395909287458e-09	Endo	Peak-9071
Peak-1224	3.10842742802427e-14	0.294213077151273	1	1	4.39227012434685e-09	Fibro-SCN7A	Peak-1224
Peak-12012	3.15440613964862e-10	0.256698389851518	0.954	0.925	4.4572389634463e-05	Fibro-SCN7A	Peak-12012
Peak-32559	1.06118908326091e-11	0.250248456873339	0.941	0.317	1.49948139842933e-06	Immune	Peak-32559
Peak-29310	1.11599711028598e-08	0.26351973310136	0.882	0.483	0.0015769262367763	Immune	Peak-29310
Peak-13842	1.35166924846232e-42	0.298626415189582	0.97	0.25	1.90993568146223e-37	SM	Peak-13842
Peak-13269	1.35928062182298e-38	0.255881144449612	0.93	0.277	1.9206907042483e-33	SM	Peak-13269
Peak-10473	1.19379705402822e-33	0.290006919395423	0.95	0.447	1.68685911328296e-28	SM	Peak-10473
Peak-13162	5.12814780028319e-33	0.254960166667049	0.95	0.415	7.24617540475616e-28	SM	Peak-13162
Peak-13066	3.38083197213588e-30	0.26305665403999	0.96	0.612	4.77718319326744e-25	SM	Peak-13066
Peak-8797	1.24470691753989e-24	0.255781019754581	0.96	0.702	1.75879576862222e-19	SM	Peak-8797
