orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
GJ_1_1-1	GJ	286963	28188	0.999999999999936	12058	atac	Endo	0.964466954954179
GJ_1_1-2	GJ	248190	26148	1.00000000000017	11548	atac	Fibro-SCN7A	0.690476607966402
GJ_1_1-3	GJ	206562	22997	0.999999999999919	11084	atac	Fibro-SFRP2	0.484077553596908
GJ_1_1-5	GJ	139095	18322	1.00000000000015	10056	atac	Fibro-SCN7A	0.415958719173206
GJ_1_1-6	GJ	307738	29935	1.00000000000008	12253	atac	Endo	0.94034490076574
GJ_1_1-8	GJ	379545	35323	0.999999999999862	12540	atac	Fibro-SCN7A	0.523988865585419
GJ_1_2-1	GJ	179972	21480	1.00000000000014	10780	atac	Endo	0.478321677447443
GJ_1_2-2	GJ	239976	26172	0.999999999999999	11514	atac	Fibro-GUCY1A3	0.284288990114492
GJ_1_2-3	GJ	172649	20740	1.00000000000008	10794	atac	Fibro-GUCY1A3	0.39630058199018
GJ_1_2-4	GJ	190615	22400	1.00000000000009	10826	atac	Immune	0.987633732239869
GJ_1_2-5	GJ	177753	22125	0.999999999999971	10713	atac	SM	0.732416654874827
GJ_1_2-6	GJ	211043	24053	0.999999999999854	11318	atac	Fibro-SCN7A	0.827095837642048
GJ_1_2-7	GJ	221204	23007	0.999999999999989	11097	atac	Fibro-SCN7A	0.714909072431733
GJ_1_2-8	GJ	429179	36826	1.00000000000006	12835	atac	Fibro-GUCY1A3	0.547750365682034
GJ_1_3-1	GJ	154655	20274	1.00000000000017	10382	atac	Fibro-SCN7A	0.556618584515285
GJ_1_3-2	GJ	136689	18445	1.00000000000001	9914	atac	Fibro-SCN7A	0.48890919233819
GJ_1_3-3	GJ	219934	25237	0.999999999999971	11201	atac	Fibro-GUCY1A3	0.294387883647977
GJ_1_3-4	GJ	215369	24876	1.00000000000007	11192	atac	Fibro-SCN7A	0.454741620057799
GJ_1_3-5	GJ	221951	25172	0.999999999999865	11228	atac	Fibro-COL11A1	0.818918755731451
GJ_1_3-6	GJ	166992	20148	0.999999999999844	10652	atac	Fibro-GUCY1A3	0.489951179728389
GJ_1_3-7	GJ	189750	21906	1.0000000000001	10878	atac	Fibro-SFRP2	0.523085667067184
GJ_1_3-8	GJ	402914	35748	1.0000000000002	12682	atac	Fibro-SCN7A	0.370745787542267
GJ_1_4-1	GJ	203026	22432	0.999999999999945	10931	atac	Fibro-COL11A1	0.960088544103907
GJ_1_4-2	GJ	235512	27757	1.00000000000005	11568	atac	SM	0.53663982930015
GJ_1_4-3	GJ	216439	24196	0.999999999999949	11188	atac	Fibro-COL11A1	0.668468464371469
GJ_1_4-4	GJ	190792	21665	0.999999999999963	10798	atac	Endo	0.859626978857376
GJ_1_4-5	GJ	181170	22948	0.999999999999781	10922	atac	Fibro-SCN7A	0.435505487254068
GJ_1_4-6	GJ	113123	16239	1.00000000000002	9305	atac	Fibro-SCN7A	0.468013168408209
GJ_1_4-7	GJ	150049	17825	1.00000000000012	9948	atac	Fibro-SCN7A	0.49378245791323
GJ_1_4-8	GJ	232547	25684	1.00000000000002	11602	atac	Fibro-GUCY1A3	0.346516253980886
GJ_1_5-1	GJ	143391	18808	0.999999999999907	10131	atac	Immune	0.455656636795593
GJ_1_5-2	GJ	198816	23025	1.00000000000002	10893	atac	SM	0.807071178494847
GJ_1_5-3	GJ	219731	23896	0.999999999999963	11369	atac	Fibro-GUCY1A3	0.583454458036083
GJ_1_5-4	GJ	227712	25771	1.00000000000005	11571	atac	SM	0.840096045391834
GJ_1_5-5	GJ	154485	19971	0.999999999999942	10291	atac	Fibro-COL11A1	0.668953618941106
GJ_1_5-6	GJ	170743	21270	0.999999999999995	10583	atac	Fibro-SCN7A	0.613296534557606
GJ_1_5-8	GJ	229290	25709	1.00000000000004	11409	atac	Immune	0.518085101271788
GJ_1_6-1	GJ	187286	23446	0.999999999999925	10866	atac	Fibro-GUCY1A3	0.468085561698487
GJ_1_6-2	GJ	237802	25185	1.00000000000003	11289	atac	Immune	0.988120768999118
GJ_1_6-3	GJ	184328	22521	1.00000000000001	10824	atac	Fibro-SCN7A	0.873575833172187
GJ_1_6-4	GJ	251814	27629	1.00000000000003	11827	atac	Fibro-SCN7A	0.734002531183421
GJ_1_6-5	GJ	222775	25464	0.999999999999893	11375	atac	Fibro-SCN7A	0.802439752683698
GJ_1_6-6	GJ	211506	25147	1.0000000000002	11270	atac	SM	0.75628667777343
GJ_1_6-7	GJ	187443	23662	1.00000000000006	10973	atac	SM	0.779493456776551
GJ_1_6-8	GJ	270524	28005	0.999999999999976	11840	atac	Fibro-SCN7A	0.595731773685432
GJ_1_7-1	GJ	286011	27021	1.00000000000002	11623	atac	SM	0.754340981223865
GJ_1_7-2	GJ	195946	22318	0.999999999999926	10939	atac	Fibro-SCN7A	0.455597197110895
GJ_1_7-3	GJ	208956	23840	0.999999999999951	11136	atac	Endo	0.896125051374863
GJ_1_7-4	GJ	254838	27714	1.00000000000002	11622	atac	Fibro-SFRP2	0.310733232542185
GJ_1_7-5	GJ	192748	22734	1.00000000000004	11017	atac	Fibro-SCN7A	0.628102632569144
GJ_1_7-6	GJ	242105	24497	1.00000000000015	11282	atac	Fibro-GUCY1A3	0.481337730545369
GJ_1_7-7	GJ	179123	22658	1.00000000000007	10760	atac	SM	0.728420709263191
