orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
ZXF_1_1-3	ZXF	158304	20891	0.999999999999963	10528	atac	Fibro-ITM2A	0.492782617590724
ZXF_1_1-5	ZXF	149812	20141	0.99999999999991	10296	atac	Fibro-ITM2A	0.376059947913869
ZXF_1_1-6	ZXF	136231	18345	0.999999999999899	10239	atac	T	0.294507492966691
ZXF_1_1-7	ZXF	106148	15260	1.00000000000019	9164	atac	Glial	0.370834718269306
ZXF_1_1-8	ZXF	281394	27829	1.00000000000002	12150	atac	Fibro-ADAMTS19	0.320632826425142
ZXF_1_2-1	ZXF	224661	25461	1.00000000000002	11650	atac	Fibro-FMOD	0.440234700179043
ZXF_1_2-2	ZXF	77019	11608	1.00000000000002	7691	atac	Fibro-ITM2A	0.515063414673336
ZXF_1_2-3	ZXF	217194	23739	1.00000000000007	11399	atac	Fibro-ADAMTS19	0.344522301981478
ZXF_1_2-4	ZXF	209759	23940	0.99999999999984	11234	atac	Fibro-ITM2A	0.406078922321531
ZXF_1_2-5	ZXF	122976	15489	0.999999999999918	9457	atac	Fibro-ITM2A	0.293106549465507
ZXF_1_2-6	ZXF	95202	14013	0.99999999999987	8688	atac	Glial	0.871535408758124
ZXF_1_2-8	ZXF	252614	26349	1.00000000000006	11907	atac	Fibro-ADAMTS19	0.463540951276857
ZXF_1_3-1	ZXF	157872	20177	0.999999999999958	10491	atac	Fibro-HTR2A	0.373709918462237
ZXF_1_3-2	ZXF	186926	22362	0.99999999999981	11068	atac	Endo	0.529284703239902
ZXF_1_3-3	ZXF	140013	18597	0.999999999999925	10288	atac	Fibro-ADAMTS19	0.27040283061859
ZXF_1_3-4	ZXF	181571	23375	1.00000000000008	10919	atac	Fibro-ADAMTS19	0.274622646054836
ZXF_1_3-5	ZXF	134329	17756	1.00000000000009	9896	atac	Glial	0.983431506463672
ZXF_1_3-6	ZXF	93475	13466	1	8365	atac	Fibro-ITM2A	0.483690608741047
ZXF_1_3-7	ZXF	109050	15575	1.00000000000009	9331	atac	Endo	0.339082037016419
ZXF_1_3-8	ZXF	102471	14483	1	9102	atac	Glial	0.500982041985052
ZXF_1_4-1	ZXF	185041	22668	1.00000000000015	10959	atac	Fibro-HTR2A	0.63551849542825
ZXF_1_4-2	ZXF	146715	19550	0.999999999999852	10404	atac	Glial	0.338750851524415
ZXF_1_4-3	ZXF	113343	15205	0.999999999999868	9254	atac	Glial	0.460059237035923
ZXF_1_4-4	ZXF	173768	21377	0.999999999999805	10710	atac	Glial	0.511333801860458
ZXF_1_4-5	ZXF	82015	12473	0.999999999999856	8307	atac	Fibro-ITM2A	0.440744349968889
ZXF_1_4-6	ZXF	194119	23690	1.00000000000003	11290	atac	Fibro-ADAMTS19	0.731472893906454
ZXF_1_4-7	ZXF	134465	17008	0.999999999999981	10097	atac	Endo	0.657994072195224
ZXF_1_4-8	ZXF	117916	16965	0.999999999999834	9525	atac	Glial	0.418794687927217
ZXF_1_5-1	ZXF	117339	16913	1.00000000000009	9396	atac	Glial	0.587315177064893
ZXF_1_5-2	ZXF	114766	16861	0.999999999999988	9500	atac	Fibro-ITM2A	0.685915071082858
ZXF_1_5-3	ZXF	93771	12360	1.00000000000011	7673	atac	Fibro-ITM2A	0.48596197947389
ZXF_1_5-4	ZXF	161495	21121	0.999999999999942	10462	atac	Fibro-ITM2A	0.409825563330132
ZXF_1_5-5	ZXF	111455	16309	1.00000000000002	9521	atac	Glial	0.295854581329884
ZXF_1_5-7	ZXF	106725	15571	0.999999999999971	8993	atac	DC/Macro	0.914867939524225
ZXF_1_5-8	ZXF	112407	15619	1.00000000000005	9373	atac	Glial	0.658116470428049
ZXF_1_6-1	ZXF	156333	19673	0.999999999999937	10503	atac	Endo	0.486060358827214
