p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-26127	1.88977373471274e-98	0.357417062633729	0.996	0.801	4.11103268023145e-93	LoH	Peak-26127
Peak-7519	4.70815478870869e-87	0.312583016492562	1	0.892	1.02421670089048e-81	LoH	Peak-7519
Peak-9761	3.23989541735e-82	0.260741965244396	0.996	0.839	7.04810088985737e-77	LoH	Peak-9761
Peak-7052	7.62320913500457e-81	0.299812145537943	1	0.911	1.65836053843803e-75	LoH	Peak-7052
Peak-6873	2.88857541815691e-77	0.400204278346358	1	1	6.28383585041273e-72	LoH	Peak-6873
Peak-6694	7.62349102444033e-62	0.349061803085809	1	0.998	1.65842186094777e-56	LoH	Peak-6694
Peak-10565	6.2607243151588e-53	0.268394490205803	1	0.962	1.36196422824396e-47	LoH	Peak-10565
Peak-10509	3.7294928742956e-39	0.2690194491091	0.993	0.971	8.11317609367139e-34	Fibro-ALDH1A2	Peak-10509
Peak-3122	1.12260295479918e-37	0.297894339515181	0.993	0.997	2.44212169389968e-32	Fibro-ALDH1A2	Peak-3122
Peak-7515	1.17450959125804e-35	0.300197123296955	1	0.989	2.55503990991865e-30	Fibro-ALDH1A2	Peak-7515
Peak-66941	4.84253204194145e-25	0.292384854238803	1	0.998	1.05344926293599e-19	Fibro-ALDH1A2	Peak-6694
Peak-70521	1.15529757487492e-14	0.284472640169113	1	0.92	2.51324589735865e-09	DT	Peak-7052
Peak-9394	1.72512508424841e-15	0.400394574197521	1	0.831	3.75285435952484e-10	Fibro-PTGER2	Peak-9394
Peak-12735	4.0036265215425e-12	0.274525852367101	1	0.728	8.70952917122878e-07	Fibro-PTGER2	Peak-12735
Peak-12433	2.39318634586483e-11	0.435165244971994	1	0.941	5.20616150865782e-06	Fibro-PTGER2	Peak-12433
Peak-8423	1.90370467167659e-10	0.324113178870236	1	0.901	4.14133817981198e-05	Fibro-PTGER2	Peak-8423
Peak-5201	3.25035367287148e-09	0.256002454311941	1	0.971	0.000707085188350134	Fibro-PTGER2	Peak-5201
Peak-31221	3.30625632495554e-08	0.313805689191364	1	0.997	0.00719246307187154	Fibro-PTGER2	Peak-3122
Peak-6802	3.43986044985365e-08	0.303109371651501	1	0.986	0.00748310682121612	Fibro-PTGER2	Peak-6802
Peak-11140	5.48009295321666e-75	0.403441574495459	0.991	0.915	1.19214490113571e-69	Podocyte-PLA2R1	Peak-11140
Peak-14556	2.5231381682754e-63	0.254913423019265	0.951	0.772	5.48886000264798e-58	Podocyte-PLA2R1	Peak-14556
Peak-6106	9.46151595037791e-62	0.261785315302441	0.964	0.898	2.05826764136116e-56	Podocyte-PLA2R1	Peak-6106
Peak-5447	1.06423016027466e-42	0.261197444332235	1	0.988	2.3151369329631e-37	Podocyte-PLA2R1	Peak-5447
Peak-6240	3.04084963048065e-32	0.255597110595618	0.989	0.948	6.61509469464392e-27	CM	Peak-6240
Peak-111401	3.65157498650164e-29	0.257536486092027	1	0.919	7.94367274138554e-24	CM	Peak-11140
Peak-75152	2.56507968104313e-22	0.265948850437794	1	0.989	5.58009998893804e-17	CM	Peak-7515
Peak-111402	4.11103724387611e-38	0.383577336648261	1	0.919	8.94319153070053e-33	Podocyte-GPC3	Peak-11140
Peak-12253	5.09955964650646e-29	0.251249167242684	0.99	0.872	1.10936330506066e-23	Podocyte-GPC3	Peak-12253
Peak-11998	2.22959368102941e-78	0.274017144857195	1	0.818	4.85028038964819e-73	PT	Peak-11998
Peak-15804	3.31173231352892e-62	0.279112577134005	1	0.859	7.20437559217394e-57	PT	Peak-15804
Peak-8652	4.68682177548175e-62	0.317098570090344	0.988	0.893	1.01957589586008e-56	PT	Peak-8652
Peak-124331	7.30663222156819e-18	0.302912706707331	1	0.94	1.58949208011217e-12	PC-BCAT1	Peak-12433
Peak-70522	6.34212160327213e-24	0.277272751415742	1	0.919	1.37967147569742e-18	LoH-Prog	Peak-7052
Peak-261271	2.18832267332017e-22	0.259329490973157	0.962	0.819	4.76049902676743e-17	LoH-Prog	Peak-26127
Peak-54471	1.81908415618585e-20	0.258184036498315	1	0.989	3.95725386420825e-15	LoH-Prog	Peak-5447
Peak-66943	3.10523460935736e-14	0.275175154587549	1	0.998	6.75515842154209e-09	LoH-Prog	Peak-6694
Peak-27765	1.25550248350222e-56	0.349765911551848	0.971	0.596	2.73123265763556e-51	Endo-TEK	Peak-27765
Peak-12836	3.84194617278441e-48	0.334978443212075	0.981	0.833	8.35780812373694e-43	Endo-TEK	Peak-12836
Peak-10006	3.85829698673356e-38	0.294848619752158	0.99	0.864	8.39337784791005e-33	Endo-TEK	Peak-10006
Peak-15986	8.81423345360824e-38	0.263494553755515	0.981	0.864	1.91745715973139e-32	Endo-TEK	Peak-15986
Peak-33106	1.29054193225674e-34	0.273562011313033	0.971	0.734	2.80745782485064e-29	Endo-TEK	Peak-33106
Peak-124332	8.29175949075147e-82	0.456348594082658	1	0.937	1.80379765137757e-76	PC-CLU	Peak-12433
Peak-22107	4.45780002720647e-69	0.317760860609265	0.976	0.633	9.69754275718523e-64	PC-CLU	Peak-22107
Peak-4131	1.43893929735628e-63	0.324722434964012	1	0.981	3.13028293686183e-58	PC-CLU	Peak-4131
Peak-5136	3.39588714502201e-63	0.342438429536933	1	0.936	7.38744685415232e-58	PC-CLU	Peak-5136
Peak-2671	1.35033035767516e-62	0.329056359624071	1	0.97	2.93752216339013e-57	PC-CLU	Peak-2671
Peak-8135	1.17332468150822e-59	0.297523519463731	1	0.958	2.5524622453998e-54	PC-CLU	Peak-8135
Peak-8177	8.32734930828874e-59	0.317103339279767	0.994	0.96	1.81153989587444e-53	PC-CLU	Peak-8177
Peak-16821	1.26946760367984e-58	0.27205732558964	1	0.891	2.76161251972117e-53	PC-CLU	Peak-16821
Peak-68021	2.73576783729892e-58	0.342610254200645	1	0.985	5.95141671093845e-53	PC-CLU	Peak-6802
Peak-12740	5.74607374091279e-55	0.31293206045923	0.976	0.809	1.25000662767191e-49	PC-CLU	Peak-12740
Peak-16468	1.9472250829674e-51	0.348314252968876	0.988	0.796	4.23601291773812e-46	PC-CLU	Peak-16468
Peak-558	5.00447183783452e-49	0.259790936640958	1	0.999	1.08867780807436e-43	PC-CLU	Peak-558
Peak-68731	1.61091261337916e-45	0.363881482828494	1	1	3.50439540827117e-40	PC-CLU	Peak-6873
Peak-3047	6.71854762619927e-41	0.311372794817468	1	0.993	1.46155956915101e-35	PC-CLU	Peak-3047
Peak-10809	1.02697755424338e-19	0.322389851804874	1	0.943	2.2340972412766e-14	Fibro-APCDD1	Peak-10809
Peak-31222	4.92415233061122e-15	0.296804918102062	1	0.997	1.0712050221535e-09	Fibro-APCDD1	Peak-3122
Peak-68022	1.34250575504393e-14	0.308392939274761	1	0.986	2.92050044458011e-09	Fibro-APCDD1	Peak-6802
Peak-75153	2.35229959038246e-12	0.257914299917467	1	0.989	5.1172160519139e-07	Fibro-APCDD1	Peak-7515
Peak-85431	1.09063064731598e-11	0.254447419175936	1	0.997	2.37256881647765e-06	Fibro-APCDD1	Peak-8543
Peak-5399	7.80062377124641e-12	0.450600019639952	1	0.998	1.69695549582071e-06	Fibro-GUCY1A2	Peak-5399
Peak-2323	8.31993280778778e-11	0.37920675185646	1	0.997	1.80992650293896e-05	Fibro-GUCY1A2	Peak-2323
Peak-1474	6.92740677295448e-10	0.354791516193744	1	0.991	0.000150699499679529	Fibro-GUCY1A2	Peak-1474
Peak-5421	1.41241426246516e-09	0.375166485263752	1	0.968	0.000307258011070932	Fibro-GUCY1A2	Peak-5421
Peak-53991	4.9782437875065e-30	0.48060260770714	1	0.998	1.08297213177795e-24	Fibro-COL14A1	Peak-5399
Peak-23231	4.91571330964151e-27	0.333466416774211	1	0.997	1.06936918909272e-21	Fibro-COL14A1	Peak-2323
Peak-14741	1.50898969540346e-15	0.309891787401479	1	0.991	3.28267127327764e-10	Fibro-COL14A1	Peak-1474
Peak-28056	8.94585134547359e-137	0.288925794852583	0.996	0.579	1.94608944754567e-131	Epi-Ureter	Peak-28056
Peak-127401	1.34299733088494e-105	0.322091566153218	1	0.796	2.92156982358042e-100	Epi-Ureter	Peak-12740
Peak-10241	3.48492230964793e-98	0.305103259778827	0.996	0.913	7.5811348416312e-93	Epi-Ureter	Peak-10241
Peak-51361	3.79092066739092e-74	0.256298873327004	1	0.932	8.24680672904889e-69	Epi-Ureter	Peak-5136
Peak-91209	2.97996534593643e-08	0.294335907109638	1	0.107	0.00648264641320357	Glial	Peak-91209
