RNA_cell	ATAC_cell	score
SPZ_C-A10_32	RC_3_1-1	1
SY_C-B8_44	RC_3_1-1	0.833333333333333
SY_C-B11_35	RC_3_1-1	0.8
SPZ_C-A16_72	RC_3_1-1	0.9
SPZ_C-A17_96	RC_3_1-1	1
SPZ_C-A10_18	RC_3_1-2	0.266666666666667
SY_C-B10_57	RC_3_1-2	0.3
SY_C-B11_40	RC_3_1-2	0.3
SPZ_C-A2_96	RC_3_1-2	0.366666666666667
SPZ_C-C13_68	RC_3_1-3	0.2
SY_C-B13_41	RC_3_1-4	0.666666666666667
SPZ_C-A3_84	RC_3_1-4	0.433333333333333
SPZ_C-A6_34	RC_3_2-6	0.466666666666667
SPZ_C-C13_90	RC_3_2-7	0.633333333333333
SPZ_C-A3_11	RC_3_2-7	0.6
SPZ_C-A16_80	RC_3_2-7	0.533333333333333
SY_C-B5_26	RC_3_3-4	0.766666666666667
SY_C-B13_95	RC_3_3-4	0.3
SY_C-B10_71	RC_3_3-5	0.9
SS_C-C3_47	RC_3_3-5	0.966666666666667
SS_C-C6_27	RC_3_3-5	0.966666666666667
SS_C-C6_32	RC_3_3-5	0.9
SS_C-C19_41	RC_3_3-5	0.9
SY_C-B1_51	RC_3_4-1	0.6
SPZ_C-A1_85	RC_3_4-1	0.666666666666667
SPZ_C-A12_81	RC_3_4-1	0.733333333333333
SPZ_C-A15_09	RC_3_4-1	0.566666666666667
SPZ_C-A7_04	RC_3_4-3	0.333333333333333
SPZ_C-A9_79	RC_3_4-5	0.433333333333333
SPZ_C-A19_77	RC_3_4-5	0.466666666666667
SS_C-C6_86	RC_3_4-5	0.566666666666667
SPZ_C-A10_74	RC_3_4-6	0.533333333333333
SPZ_C-C13_90	RC_3_4-6	0.633333333333333
SY_C-B3_54	RC_3_4-6	0.733333333333333
SY_C-B10_45	RC_3_4-6	0.833333333333333
SPZ_C-A12_64	RC_3_4-6	0.766666666666667
SPZ_C-C13_67	RC_3_4-8	1
SY_C-B13_88	RC_3_4-8	1
SPZ_C-A2_18	RC_3_4-8	0.666666666666667
SPZ_C-A3_44	RC_3_5-1	0.2
SPZ_C-A7_55	RC_3_5-2	1
SPZ_C-A10_80	RC_3_5-2	1
SPZ_C-C13_31	RC_3_5-2	1
SY_C-B12_77	RC_3_5-2	1
SS_C-C12_59	RC_3_5-2	1
SPZ_C-A16_80	RC_3_5-3	0.233333333333333
SY_C-B7_85	RC_3_5-8	0.866666666666667
SPZ_C-C13_41	RC_3_6-1	0.533333333333333
SPZ_C-A2_77	RC_3_6-1	0.633333333333333
SPZ_C-A6_67	RC_3_6-1	0.5
SPZ_C-A8_01	RC_3_6-2	0.333333333333333
SPZ_C-A19_86	RC_3_6-3	0.466666666666667
SY_C-B2_84	RC_3_6-3	0.7
SY_C-B4_93	RC_3_6-3	0.6
SY_C-B6_64	RC_3_6-3	0.433333333333333
SY_C-B15_70	RC_3_6-3	0.4
SY_C-B14_25	RC_3_6-8	0.333333333333333
SPZ_C-A9_50	RC_3_7-1	0.533333333333333
SPZ_C-A4_50	RC_3_7-1	0.533333333333333
SPZ_C-A17_55	RC_3_7-1	0.533333333333333
SPZ_C-A11_60	RC_3_7-2	0.133333333333333
SS_C-C6_67	RC_3_7-6	0.466666666666667
SS_C-C9_13	RC_3_7-6	0.733333333333333
SS_C-C14_94	RC_3_7-6	0.666666666666667
SPZ_C-A8_72	RC_3_8-1	1
SPZ_C-A9_56	RC_3_8-1	1
SY_C-B6_47	RC_3_8-1	1
SY_C-B13_89	RC_3_8-1	1
SPZ_C-A3_09	RC_3_8-1	1
SY_C-B12_04	RC_3_8-3	0.8
