p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-62015	6.57331337757132e-14	0.261689834898438	0.531	0.107	8.63549325038299e-09	DC/Macro	Peak-62015
Peak-27147	1.26320736026879e-10	0.336556950081348	0.75	0.384	1.65950077333232e-05	DC/Macro	Peak-27147
Peak-10209	2.0827428403936e-16	0.370351350974813	0.93	0.587	2.73614092428188e-11	SM-Vascular	Peak-10209
Peak-18405	1.01105223414317e-15	0.28115436098327	0.93	0.58	1.32823954103857e-10	SM-Vascular	Peak-18405
Peak-55277	5.87617608174364e-26	0.347056475192988	0.923	0.08	7.71965004210826e-21	Glial	Peak-55277
Peak-62257	1.2155855155517e-25	0.263673020308827	0.769	0.051	1.59693900349059e-20	Glial	Peak-62257
Peak-47845	3.3335408209628e-18	0.254734801590308	0.846	0.101	4.37933924731525e-13	Glial	Peak-47845
Peak-43111	1.04469086856873e-13	0.268582548211535	0.846	0.156	1.37243128785612e-08	Glial	Peak-43111
Peak-53025	1.51554583211085e-13	0.326836802497841	0.846	0.166	1.99100287056066e-08	Glial	Peak-53025
Peak-55314	4.77849985098e-13	0.329705991124674	0.923	0.213	6.27761082422944e-08	Glial	Peak-55314
Peak-27384	8.8250825349389e-13	0.268359899606672	0.846	0.168	1.15936874277999e-07	Glial	Peak-27384
Peak-26979	1.91181244311571e-12	0.286554083903539	0.923	0.204	2.51158624276997e-07	Glial	Peak-26979
Peak-40869	4.79478534805018e-11	0.287243167389554	0.769	0.164	6.29900540744048e-06	Glial	Peak-40869
Peak-27602	4.82743073893117e-11	0.278585876838751	1	0.276	6.34189231034865e-06	Glial	Peak-27602
Peak-34016	1.78328552238355e-10	0.303135790007367	0.769	0.171	2.34273785646572e-05	Glial	Peak-34016
Peak-23299	2.36160717662324e-10	0.28247965281543	0.923	0.286	3.10249058007349e-05	Glial	Peak-23299
Peak-21786	3.72194804266601e-10	0.303156859589627	1	0.362	4.88959758261119e-05	Glial	Peak-21786
Peak-29657	4.55752227845262e-10	0.275146709112396	0.923	0.278	5.98730816764878e-05	Glial	Peak-29657
Peak-25515	3.81650233206809e-09	0.341593756478042	0.846	0.265	0.00050138154436845	Glial	Peak-25515
Peak-13913	4.10194122031995e-08	0.294881549733333	0.923	0.455	0.00538880221995873	Glial	Peak-13913
Peak-44465	4.58137066811477e-23	0.273067009444786	0.839	0.282	6.01863827411573e-18	Fibro-DPT	Peak-44465
Peak-4565	1.14572235139541e-10	0.386100207435233	1	0.998	1.50515836747517e-05	Fibro-DPT	Peak-4565
Peak-8182	5.34994874601957e-12	0.266293657498891	0.971	0.863	7.02833466662082e-07	Fibro-VCAN	Peak-8182
Peak-8349	6.66315314812332e-12	0.298159529587359	0.971	0.804	8.75351755375257e-07	Fibro-VCAN	Peak-8349
Peak-5187	2.10655696677541e-11	0.250560396589939	1	0.733	2.76742601839219e-06	Fibro-VCAN	Peak-5187
Peak-3180	5.252378168626e-09	0.256042822948621	1	0.943	0.000690015424768735	Fibro-VCAN	Peak-3180
Peak-45651	1.63327815387956e-08	0.383280944815871	1	0.998	0.00214567017631466	Fibro-VCAN	Peak-4565
Peak-51016	2.2719888852102e-24	0.255603497442358	0.842	0.104	2.98475723827834e-19	Fibro-BMP5	Peak-51016
Peak-12310	1.23384698370225e-10	0.301272331805441	1	0.458	1.62092945942931e-05	Fibro-BMP5	Peak-12310
Peak-9759	9.77544133299706e-10	0.366920278772689	0.947	0.701	0.000128421927879849	Fibro-BMP5	Peak-9759
Peak-14780	2.99967949892213e-08	0.371807748671694	1	0.727	0.00394073895132397	Fibro-BMP5	Peak-14780
Peak-66317	4.42269176531082e-18	0.275463185752049	0.575	0.114	5.81017862592413e-13	T	Peak-66317
Peak-184	7.13674838710534e-08	0.251810666463806	0.975	0.989	0.00937568909110802	T	Peak-184
Peak-10602	4.28660951964549e-62	0.413777772949802	1	0.429	5.63140465814867e-57	Epi	Peak-10602
Peak-10749	1.67891882024047e-61	0.297257702575276	0.992	0.291	2.20562923252631e-56	Epi	Peak-10749
Peak-9718	2.72623097102234e-61	0.27018083124026	0.992	0.336	3.58150415125147e-56	Epi	Peak-9718
Peak-7995	1.61084818166389e-60	0.276806744219141	0.992	0.308	2.11620347321549e-55	Epi	Peak-7995
Peak-9116	3.62621382243534e-60	0.253911289402822	0.992	0.286	4.76382962280976e-55	Epi	Peak-9116
Peak-7043	6.55789694478938e-60	0.567076464271451	1	0.697	8.6152403743087e-55	Epi	Peak-7043
Peak-8072	2.49997616554917e-59	0.667668267075864	1	0.776	3.28426868820525e-54	Epi	Peak-8072
Peak-8847	4.0433293298064e-59	0.713150477062851	1	0.815	5.31180260715326e-54	Epi	Peak-8847
Peak-7604	5.59211589592063e-59	0.336669983211531	1	0.437	7.34647449478884e-54	Epi	Peak-7604
Peak-9587	7.0271645094076e-58	0.286960376319351	0.992	0.395	9.23172655929895e-53	Epi	Peak-9587
Peak-16371	1.03867012897104e-57	0.278828833757447	0.977	0.308	1.36452172183184e-52	Epi	Peak-16371
Peak-7286	2.44995181622557e-57	0.431476565805603	1	0.563	3.21855070001186e-52	Epi	Peak-7286
Peak-8627	2.58497680947149e-57	0.294901543464885	1	0.401	3.39593573413888e-52	Epi	Peak-8627
Peak-8183	9.04385252135544e-57	0.284777994463938	0.985	0.373	1.18810899343551e-51	Epi	Peak-8183
Peak-12353	1.04832432274442e-56	0.315782671555163	1	0.476	1.3772046292758e-51	Epi	Peak-12353
Peak-12685	1.09922811946441e-56	0.251074525906085	0.992	0.347	1.44407796510279e-51	Epi	Peak-12685
Peak-14978	1.49079867462758e-56	0.267966867194719	0.985	0.303	1.95849203483174e-51	Epi	Peak-14978
Peak-10051	1.54560467571039e-56	0.268913411974089	0.992	0.331	2.03049177457425e-51	Epi	Peak-10051
Peak-8945	3.06891299707294e-56	0.28404334639766	0.985	0.325	4.03169238251466e-51	Epi	Peak-8945
Peak-8962	3.09836493355434e-56	0.550595410201679	1	0.622	4.070383980509e-51	Epi	Peak-8962
Peak-19683	3.76608473793956e-56	0.266480253713997	0.947	0.269	4.94758084192595e-51	Epi	Peak-19683
Peak-12697	7.46476133020738e-56	0.743787922201934	1	0.93	9.80660625472004e-51	Epi	Peak-12697
Peak-9244	2.11497366883898e-55	0.260782611476366	0.985	0.361	2.77848320822714e-50	Epi	Peak-9244
Peak-7459	4.39681688506468e-55	0.265002425076665	1	0.373	5.77618627824717e-50	Epi	Peak-7459
Peak-16531	1.17429874538474e-54	0.267286411618992	0.992	0.373	1.54269974778684e-49	Epi	Peak-16531
Peak-9541	1.86552506645803e-54	0.253116083459615	0.985	0.359	2.45077759030725e-49	Epi	Peak-9541
Peak-8015	6.33171345871389e-54	0.257632328277141	0.992	0.409	8.31809860498162e-49	Epi	Peak-8015
Peak-9639	6.45734103906381e-54	0.350331065316389	1	0.633	8.4831380698389e-49	Epi	Peak-9639
Peak-10691	1.26437527321798e-53	0.264083081325632	1	0.434	1.66103508393192e-48	Epi	Peak-10691
Peak-9995	3.12349122425515e-53	0.381671945692033	1	0.585	4.10339289112847e-48	Epi	Peak-9995
Peak-8356	3.30594999324286e-53	0.303636327766821	1	0.501	4.34309262512302e-48	Epi	Peak-8356
Peak-11520	4.13847281568676e-53	0.277759369822863	0.992	0.445	5.43679450742402e-48	Epi	Peak-11520
Peak-11011	4.38163152905661e-53	0.309546326889621	1	0.56	5.75623697235225e-48	Epi	Peak-11011
Peak-8416	4.86946513907634e-53	0.311376614179651	1	0.451	6.39711374250737e-48	Epi	Peak-8416
Peak-6708	1.17433861264228e-52	0.277714074695058	1	0.437	1.54275212220041e-47	Epi	Peak-6708
Peak-10006	1.77516268701625e-52	0.342407454506244	1	0.591	2.33206672518698e-47	Epi	Peak-10006
Peak-7830	3.03839510266286e-52	0.260885568608896	1	0.465	3.99160041427025e-47	Epi	Peak-7830
Peak-10599	3.1940495507163e-52	0.277734383949861	0.985	0.403	4.19608677576702e-47	Epi	Peak-10599
Peak-10895	1.01050551928681e-51	0.276304812773068	0.985	0.409	1.32752131079746e-46	Epi	Peak-10895
Peak-7682	6.54760217676781e-51	0.275789359030725	0.985	0.451	8.6017159316634e-46	Epi	Peak-7682
Peak-7882	1.38329959027828e-50	0.273397413105315	1	0.51	1.81726833774038e-45	Epi	Peak-7882
Peak-10996	3.79505943572976e-50	0.257038878473101	0.992	0.412	4.9856454819069e-45	Epi	Peak-10996
Peak-9967	1.70494470946509e-49	0.313875226099117	1	0.613	2.23981996371848e-44	Epi	Peak-9967
