orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
AC_1_1-1	AC	208107	10693	0.999999999999987	8276	atac	DC/Macro	0.479278186120239
AC_1_1-2	AC	70500	8434	0.999999999999943	8042	atac	SM-Visceral	0.235428073304968
AC_1_1-3	AC	193459	21146	1.00000000000001	12649	atac	SM-Vascular	0.295884501828799
AC_1_1-5	AC	245833	24728	0.999999999999829	13296	atac	SM-Vascular	0.474021515245198
AC_1_1-6	AC	196195	20804	1.00000000000003	12533	atac	DC/Macro	0.897882815140655
AC_1_1-7	AC	42114	5561	0.999999999999987	6177	atac	Glial	0.25390393463444
AC_1_1-8	AC	195164	23241	0.999999999999999	12962	atac	Fibro-DPT	0.735515538974735
AC_1_2-1	AC	213734	20864	1.00000000000005	12591	atac	Fibro-VCAN	0.280962470748798
AC_1_2-2	AC	174783	21359	0.99999999999992	12565	atac	Fibro-DPT	0.367813483690932
AC_1_2-3	AC	177537	19007	0.999999999999924	12006	atac	Fibro-BMP5	0.506286748538855
AC_1_2-4	AC	51756	7358	0.999999999999889	7558	atac	Fibro-BMP5	0.386776436492791
AC_1_2-5	AC	201379	21155	0.999999999999935	12363	atac	Fibro-BMP5	0.298688361803935
AC_1_2-6	AC	224340	24279	0.99999999999997	13202	atac	Fibro-ADAMDEC1	0.315961972170456
AC_1_2-7	AC	90527	13617	1.00000000000007	10634	atac	SM-Visceral	0.516906948816786
AC_1_2-8	AC	228075	23434	0.999999999999975	12497	atac	Fibro-DPT	0.661432405996715
AC_1_3-1	AC	109261	13715	0.999999999999918	10636	atac	T	0.817962963690659
AC_1_3-2	AC	264138	30322	1	13523	atac	Epi	0.499181394286647
AC_1_3-3	AC	313555	28416	0.999999999999888	13749	atac	SM-Vascular	0.507851814148612
AC_1_3-4	AC	168272	20695	1.00000000000001	12353	atac	Fibro-DPT	0.469392947636784
AC_1_3-5	AC	70296	11156	1.00000000000003	9755	atac	SM-Vascular	0.562909807649933
AC_1_3-6	AC	191985	22086	1.00000000000008	12759	atac	Fibro-DPT	0.372486410139211
AC_1_3-7	AC	55418	5082	1.00000000000001	5352	atac	T	0.567041017368451
AC_1_3-8	AC	144449	20206	1.00000000000002	12233	atac	Fibro-DPT	0.54602531422497
AC_1_4-1	AC	303164	32825	1.00000000000006	13911	atac	SM-Visceral	0.359273939060767
AC_1_4-2	AC	104661	13709	1.00000000000002	10734	atac	Fibro-DPT	0.616102486186767
AC_1_4-3	AC	177210	20812	1.00000000000005	12265	atac	SM-Vascular	0.387996218088593
AC_1_4-4	AC	172889	21222	1.00000000000002	12286	atac	Fibro-DPT	0.843401234922473
AC_1_4-5	AC	133408	16176	1.00000000000005	11444	atac	T	0.806685631247631
AC_1_4-7	AC	88394	13054	1.00000000000009	10150	atac	Fibro-ADAMDEC1	0.413598856239691
AC_1_4-8	AC	179801	21405	1.00000000000002	12196	atac	Fibro-DPT	0.337522993316331
AC_1_5-1	AC	126980	15062	1.00000000000007	11108	atac	SM-Visceral	0.27516890247222
AC_1_5-2	AC	302504	31299	1.00000000000002	13849	atac	SM-Visceral	0.276143740259585
AC_1_5-3	AC	183802	21741	1.00000000000003	12459	atac	Fibro-VCAN	0.701201929312438
AC_1_5-4	AC	166889	16208	1.00000000000006	11270	atac	Fibro-DPT	0.324825286878099
AC_1_5-5	AC	164158	19542	1.0000000000001	12534	atac	Fibro-BMP5	0.628490161475677
AC_1_5-6	AC	81622	10382	0.999999999999903	9162	atac	Glial	0.283305324743634
AC_1_5-7	AC	46099	5647	1.00000000000007	6144	atac	T	0.500344557809364
AC_1_5-8	AC	143116	18563	0.999999999999967	11762	atac	Endo	0.643752373550823
AC_1_6-2	AC	109803	14911	1.00000000000003	10628	atac	T	0.542884089080017
AC_1_6-3	AC	187587	21513	0.999999999999974	12353	atac	Fibro-VCAN	0.539470702865613
AC_1_6-4	AC	273819	30293	1.00000000000007	13470	atac	Epi	0.626600174990136
AC_1_6-5	AC	44358	7425	0.999999999999972	7587	atac	Fibro-VCAN	0.287545658392233
AC_1_6-6	AC	88331	11111	0.999999999999961	9234	atac	Fibro-DPT	0.413741570869617
AC_1_7-1	AC	38434	6713	0.999999999999998	7095	atac	Endo	0.292123877135092
AC_1_7-3	AC	206201	22759	0.999999999999881	12947	atac	SM-Visceral	0.54588105324198
AC_1_7-4	AC	85575	9611	1.00000000000008	8666	atac	SM-Visceral	0.431691635260178
AC_1_7-5	AC	137656	16606	0.999999999999929	11614	atac	T	0.57704830185833
AC_1_7-6	AC	190600	22089	0.999999999999961	12446	atac	Fibro-VCAN	0.646064540714927
AC_1_7-7	AC	114215	14546	0.999999999999992	10948	atac	T	0.77490794013797
AC_1_7-8	AC	209321	20306	1.00000000000006	12390	atac	Endo	0.995079664568121
AC_1_8-1	AC	227264	22738	0.999999999999883	12963	atac	Endo	0.869189752529743
AC_1_8-3	AC	190334	21477	0.999999999999902	12496	atac	Fibro-DPT	0.505597526378922
AC_1_8-5	AC	258229	23749	1.00000000000002	13167	atac	Fibro-VCAN	0.344392215362735
AC_1_8-7	AC	65656	9072	1.00000000000002	8431	atac	Endo	0.712674084352186
AC_1_8-8	AC	63832	9273	1.00000000000002	8660	atac	Fibro-VCAN	0.321888158138493
AC_1_9-1	AC	210090	21195	1.00000000000003	12588	atac	DC/Macro	0.801529091496955
AC_1_9-3	AC	168008	19474	0.99999999999994	12387	atac	Endo	0.816166334915978
AC_1_9-4	AC	292373	31193	0.999999999999981	13539	atac	Endo	0.343295539323241
AC_1_9-5	AC	103549	13675	0.999999999999908	10549	atac	T	0.812035265642536
AC_1_9-6	AC	144987	18049	1.00000000000005	11691	atac	Fibro-VCAN	0.402170357473992
AC_1_9-7	AC	167863	20093	0.999999999999964	11864	atac	Fibro-VCAN	0.514233355582034
AC_1_9-8	AC	177329	20302	0.999999999999958	12262	atac	Fibro-DPT	0.733085447907439
AC_1_10-1	AC	200119	23340	0.999999999999997	12858	atac	Fibro-VCAN	0.644022193949086
AC_1_10-2	AC	59429	9480	1.00000000000001	8660	atac	SM-Visceral	0.307280877668506
AC_1_10-4	AC	189572	21154	1.00000000000011	12714	atac	SM-Vascular	0.549498262575375
AC_1_10-5	AC	296626	30745	0.999999999999983	13633	atac	Endo	0.251989845514872
AC_1_10-6	AC	381146	37665	1.00000000000006	14192	atac	Epi	0.406853950209094
AC_1_10-7	AC	148707	18309	0.999999999999928	11783	atac	Endo	0.230562351365339
AC_1_10-8	AC	45344	7058	1	7291	atac	Endo	0.354592188719451
AC_1_11-1	AC	277308	26781	0.999999999999977	13565	atac	Endo	0.395969992599303
AC_1_11-2	AC	162288	20782	1.00000000000004	12399	atac	Fibro-BMP5	0.783950429878287
AC_1_11-3	AC	59912	9459	1.00000000000008	8781	atac	Fibro-DPT	0.252466475309107
