orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
S4_1_1-1	S4	322927	31435	0.999999999999886	13103	atac	B-MS4A1-	0.55229346303174
S4_1_1-2	S4	211773	24069	1.00000000000005	12363	atac	NKT-IL2RB	0.683390778041924
S4_1_1-3	S4	238640	25957	1.00000000000003	12778	atac	Endo-Portal	0.894703728366595
S4_1_1-4	S4	129742	18096	0.999999999999998	10870	atac	Erythrocyte-Prol	0.345667237736036
S4_1_1-5	S4	138370	17534	0.999999999999987	10937	atac	Erythrocyte-Prol	0.909381541018065
S4_1_1-6	S4	258485	24483	1.00000000000015	11903	atac	B-MS4A1-	0.703154216252397
S4_1_1-7	S4	267568	30864	0.999999999999976	13260	atac	MPP	0.758515193942265
S4_1_1-8	S4	150191	19446	0.999999999999945	11240	atac	Erythrocyte-Prol	0.486088841414092
S4_1_2-1	S4	217558	25320	1.00000000000004	12575	atac	B-MS4A1+	0.315354163829832
S4_1_2-2	S4	247273	25450	1.00000000000003	12674	atac	Endo-Portal	0.727715587827934
S4_1_2-3	S4	336216	36389	0.999999999999952	13890	atac	Epi	0.311176644151822
S4_1_2-4	S4	265103	29443	0.999999999999996	12990	atac	Epi	0.694340361537631
S4_1_2-5	S4	101388	13441	0.999999999999894	9372	atac	Endo-DNTT	0.238260476725437
S4_1_2-6	S4	188658	23134	1.00000000000011	12031	atac	NKT-IL2RB	0.977739993075524
S4_1_2-7	S4	407653	38199	0.999999999999865	13939	atac	Erythrocyte	0.67813759054346
S4_1_2-8	S4	673455	48753	1.00000000000012	14532	atac	Erythrocyte	0.685425936327684
S4_1_3-1	S4	308782	33569	0.999999999999975	13702	atac	MPP	0.929787807554334
S4_1_3-2	S4	189972	21511	1.00000000000007	11978	atac	Hepatocyte	0.457720743923473
S4_1_3-3	S4	294003	33096	0.999999999999887	13206	atac	DC/Macro	1
S4_1_3-4	S4	404743	29531	1.00000000000005	13026	atac	Erythrocyte-Prol	0.927777167878003
S4_1_3-5	S4	425622	42021	0.99999999999997	13942	atac	Epi	0.560391407340006
S4_1_3-6	S4	241791	26230	1.00000000000011	12534	atac	Fibro	0.854067341779693
S4_1_3-7	S4	135239	18754	1.00000000000004	10887	atac	Endo-Prol	0.261372255055194
S4_1_3-8	S4	304085	30355	0.999999999999992	13034	atac	Erythrocyte	0.48790882692729
S4_1_4-1	S4	327016	30643	1.00000000000001	13259	atac	Erythrocyte-Prol	0.858702673775711
S4_1_4-2	S4	560810	46804	1.00000000000001	14519	atac	Erythrocyte	0.919951926354659
S4_1_4-3	S4	176891	22355	0.999999999999926	11849	atac	B-MS4A1-	0.775575260874625
S4_1_4-4	S4	297144	32382	1	12857	atac	DC/Macro	0.999568090122033
S4_1_4-5	S4	279259	31690	0.99999999999992	13557	atac	MPP	0.7297065322317
S4_1_4-6	S4	289892	28730	1.00000000000008	12851	atac	B-Prol	0.620740770215366
S4_1_4-7	S4	333588	35825	0.999999999999942	13643	atac	Epi	0.701438558546432
S4_1_4-8	S4	225086	26853	1.00000000000006	12592	atac	Epi	0.467645440327983
S4_1_5-1	S4	317195	33799	1.00000000000011	13205	atac	DC/Macro	1
S4_1_5-2	S4	243205	27515	0.999999999999981	12987	atac	Endo-Portal	0.729712933143065
S4_1_5-3	S4	360393	30813	1.00000000000008	13217	atac	Endo-Portal	0.804683702496592
S4_1_5-4	S4	159793	21052	1.0000000000001	11530	atac	B-MS4A1+	0.529900378466868
S4_1_5-5	S4	210787	25252	0.999999999999992	12567	atac	Endo-Portal	0.548893157257702
S4_1_5-6	S4	245936	26081	0.999999999999989	12348	atac	B-MS4A1+	0.464349231318658
S4_1_5-7	S4	217703	25215	1.00000000000006	12686	atac	Endo-Prol	0.443988414318046
S4_1_5-8	S4	506416	48428	0.999999999999981	14710	atac	MPP	0.46946257055034
S4_1_6-1	S4	535195	46294	0.999999999999884	14475	atac	Erythrocyte	0.602173740775087
S4_1_6-2	S4	101357	14500	0.999999999999915	9737	atac	B-Prol	0.565595428764431
S4_1_6-3	S4	104474	14752	0.999999999999971	9668	atac	Erythrocyte-Prol	0.49935444406511
S4_1_6-4	S4	259463	29235	0.999999999999965	12731	atac	B-MS4A1+	0.536382527273154
S4_1_6-5	S4	204214	25568	0.999999999999982	12570	atac	MPP	0.38478120463602
