RNA_cell	ATAC_cell	score
YX_C-C7_81	Pan_1_1-2	0.945945945945946
YX_C-C12_75	Pan_1_1-2	0.918918918918919
YX_C-A2_66	Pan_1_1-5	1
YX_C-A14_56	Pan_1_1-5	1
YX_C-A15_21	Pan_1_1-5	1
YX_C-A22_53	Pan_1_1-5	1
YX_C-C2_64	Pan_1_1-7	0.378378378378378
YX_C-A14_29	Pan_1_1-7	0.189189189189189
YX_C-C3_07	Pan_1_1-7	0.405405405405405
YX_C-C3_43	Pan_1_1-7	0.27027027027027
YX_C-C9_81	Pan_1_1-7	0.216216216216216
YX_C-C7_04	Pan_1_1-8	0.189189189189189
YX_C-C2_23	Pan_1_2-1	0.216216216216216
YX_C-C2_51	Pan_1_2-1	0.27027027027027
YX_C-A12_52	Pan_1_2-1	0.27027027027027
YX_C-A12_58	Pan_1_2-1	0.405405405405405
YX_C-C5_44	Pan_1_2-1	0.405405405405405
YX_C-C3_42	Pan_1_2-2	0.513513513513513
YX_C-C8_74	Pan_1_2-2	0.567567567567568
YX_C-A18_27	Pan_1_2-5	0.648648648648649
YX_C-C4_64	Pan_1_2-5	0.648648648648649
YX_C-C6_33	Pan_1_2-5	0.675675675675676
YX_C-C7_73	Pan_1_2-5	0.675675675675676
YX_C-A3_38	Pan_1_2-7	1
YX_C-A19_69	Pan_1_2-7	1
YX_C-C7_42	Pan_1_2-7	1
YX_C-C12_21	Pan_1_2-7	1
YX_C-C12_52	Pan_1_2-7	1
YX_C-A6_14	Pan_1_2-8	0.864864864864865
YX_C-A2_06	Pan_1_3-1	0.216216216216216
YX_C-A16_61	Pan_1_3-1	0.432432432432432
YX_C-A18_21	Pan_1_3-1	0.324324324324324
YX_C-C13_52	Pan_1_3-1	0.27027027027027
YX_C-A12_20	Pan_1_3-2	0.648648648648649
YX_C-A13_31	Pan_1_3-2	0.945945945945946
YX_C-A17_72	Pan_1_3-2	0.702702702702703
YX_C-C10_56	Pan_1_3-2	0.702702702702703
YX_C-C8_87	Pan_1_3-3	0.783783783783784
YX_C-A7_91	Pan_1_3-4	0.756756756756757
YX_C-A11_33	Pan_1_3-4	0.756756756756757
YX_C-C9_69	Pan_1_3-4	0.783783783783784
YX_C-C15_76	Pan_1_3-4	0.756756756756757
YX_C-C18_17	Pan_1_3-4	0.648648648648649
YX_C-C1_53	Pan_1_3-5	0.324324324324324
YX_C-A6_54	Pan_1_3-5	0.297297297297297
YX_C-A6_57	Pan_1_3-5	0.378378378378378
YX_C-A14_32	Pan_1_3-5	0.405405405405405
YX_C-A20_19	Pan_1_3-5	0.378378378378378
YX_C-A11_23	Pan_1_3-6	1
YX_C-C5_82	Pan_1_3-6	1
YX_C-C5_93	Pan_1_3-6	1
YX_C-C17_60	Pan_1_3-6	1
YX_C-C18_89	Pan_1_3-6	1
YX_C-C18_81	Pan_1_3-7	0.243243243243243
YX_C-A5_82	Pan_1_4-3	0.0810810810810811
YX_C-A12_73	Pan_1_5-2	0.621621621621622
YX_C-A13_38	Pan_1_5-2	0.72972972972973
YX_C-C15_27	Pan_1_5-2	0.324324324324324
YX_C-C18_91	Pan_1_5-2	0.297297297297297
YX_C-C2_34	Pan_1_5-4	0.0540540540540541
YX_C-A6_84	Pan_1_5-5	0.918918918918919
YX_C-C1_19	Pan_1_5-7	0.405405405405405
YX_C-A16_89	Pan_1_5-7	0.378378378378378
YX_C-A21_77	Pan_1_5-7	0.297297297297297
YX_C-C9_60	Pan_1_5-7	0.378378378378378
YX_C-C4_49	Pan_1_6-2	0.216216216216216
YX_C-A22_42	Pan_1_6-4	0.513513513513513
YX_C-C10_06	Pan_1_6-4	0.378378378378378
YX_C-C11_81	Pan_1_6-4	0.567567567567568
YX_C-A4_44	Pan_1_6-6	0.864864864864865
YX_C-A6_69	Pan_1_6-6	1
YX_C-A7_42	Pan_1_6-6	0.891891891891892
YX_C-C3_81	Pan_1_6-6	1
YX_C-C15_78	Pan_1_6-6	0.891891891891892
YX_C-A1_89	Pan_1_6-8	0.648648648648649
YX_C-A2_42	Pan_1_6-8	0.675675675675676
YX_C-A4_33	Pan_1_6-8	0.756756756756757
YX_C-A5_84	Pan_1_6-8	0.621621621621622
YX_C-A20_83	Pan_1_6-8	0.648648648648649
YX_C-C12_58	Pan_1_7-2	0.189189189189189
YX_C-C15_26	Pan_1_7-2	0.297297297297297
YX_C-A8_22	Pan_1_8-1	0.135135135135135
YX_C-C11_05	Pan_1_8-1	0.189189189189189
YX_C-C14_36	Pan_1_8-1	0.135135135135135
YX_C-C17_27	Pan_1_8-1	0.0810810810810811
YX_C-A11_42	Pan_1_8-2	0.108108108108108
YX_C-A18_39	Pan_1_8-2	0.027027027027027
YX_C-A11_50	Pan_1_8-3	0.189189189189189
YX_C-A4_92	Pan_1_8-4	0.108108108108108
