p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-10800	1.69325147772412e-192	0.476054461181282	0.954	0.331	8.52179603708995e-188	Fibro-COL14A1	Peak-10800
Peak-14101	5.79984862404818e-183	0.316948781367178	0.865	0.201	2.91894781551097e-178	Fibro-COL14A1	Peak-14101
Peak-12967	1.61288679232067e-171	0.316519399271677	0.85	0.213	8.11733664839148e-167	Fibro-COL14A1	Peak-12967
Peak-12849	1.84490162520665e-166	0.440189674813652	0.937	0.374	9.28502089934002e-162	Fibro-COL14A1	Peak-12849
Peak-16178	6.33735541884143e-165	0.359164828857983	0.909	0.296	3.18946423519452e-160	Fibro-COL14A1	Peak-16178
Peak-13812	1.12821713223775e-164	0.3624737220305	0.917	0.305	5.67809118312615e-160	Fibro-COL14A1	Peak-13812
Peak-11747	6.93074952865727e-162	0.395836286087504	0.939	0.377	3.48810762278263e-157	Fibro-COL14A1	Peak-11747
Peak-17724	1.20978984910457e-161	0.25976472412175	0.77	0.15	6.08863035257348e-157	Fibro-COL14A1	Peak-17724
Peak-12166	3.61360171514385e-158	0.303240895791512	0.865	0.241	1.8186534711976e-153	Fibro-COL14A1	Peak-12166
Peak-18319	1.55803172626998e-156	0.288070036919849	0.794	0.177	7.84126207197155e-152	Fibro-COL14A1	Peak-18319
Peak-11949	8.91066536076146e-156	0.317568114601165	0.855	0.252	4.48455966276403e-151	Fibro-COL14A1	Peak-11949
Peak-11806	1.63350058952934e-155	0.323406672703397	0.893	0.297	8.22108176698328e-151	Fibro-COL14A1	Peak-11806
Peak-12142	6.60220894421081e-155	0.364484120810104	0.899	0.309	3.32275971744241e-150	Fibro-COL14A1	Peak-12142
Peak-11893	6.38135923443327e-152	0.349964363998674	0.903	0.316	3.21161047550557e-147	Fibro-COL14A1	Peak-11893
Peak-16474	5.65338922044657e-151	0.274156809027064	0.75	0.166	2.84523772686635e-146	Fibro-COL14A1	Peak-16474
Peak-15133	3.10102301184419e-150	0.313957898632567	0.836	0.237	1.56068286140094e-145	Fibro-COL14A1	Peak-15133
Peak-10119	5.26859326969282e-148	0.271038410077006	0.895	0.276	2.651577620771e-143	Fibro-COL14A1	Peak-10119
Peak-11346	4.28059464874663e-147	0.29751448683707	0.917	0.326	2.15433767482121e-142	Fibro-COL14A1	Peak-11346
Peak-14051	7.50781199850807e-147	0.257080511178383	0.786	0.189	3.77853162260914e-142	Fibro-COL14A1	Peak-14051
Peak-12370	8.73760848110063e-147	0.415738551757556	0.966	0.53	4.39746359636832e-142	Fibro-COL14A1	Peak-12370
Peak-13614	8.74990284639523e-147	0.280733508534315	0.834	0.241	4.40365110453379e-142	Fibro-COL14A1	Peak-13614
Peak-17613	2.19309687409463e-145	0.347129880913394	0.869	0.289	1.10374179479435e-140	Fibro-COL14A1	Peak-17613
Peak-9946	1.04750063088122e-144	0.327583195821664	0.889	0.295	5.27186117509901e-140	Fibro-COL14A1	Peak-9946
Peak-13084	5.98064386287226e-144	0.286590687561226	0.84	0.252	3.00993844330635e-139	Fibro-COL14A1	Peak-13084
Peak-11478	7.23559988180864e-144	0.289710449852853	0.879	0.285	3.64153270851665e-139	Fibro-COL14A1	Peak-11478
Peak-9265	1.04086087249668e-143	0.310121758070642	0.917	0.368	5.23844459910128e-139	Fibro-COL14A1	Peak-9265
Peak-13271	1.77649840048336e-142	0.359767865785429	0.921	0.374	8.94076114995265e-138	Fibro-COL14A1	Peak-13271
Peak-8574	3.68299639045378e-142	0.316301842162213	0.945	0.376	1.85357842338758e-137	Fibro-COL14A1	Peak-8574
