orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	Ident_old	tech	predicted.id	prediction.score.max
SIU_1_1-1	SIU	147771	26755	0.999999999999974	12941	FB-COL14A1	atac	FB-COL14A1	0.704807578486571
SIU_1_1-2	SIU	131917	22983	1.00000000000014	12912	SM-Vascular	atac	SM-Vascular	0.967425267841121
SIU_1_1-3	SIU	88342	19518	0.999999999999885	11760	FB-COL14A1	atac	FB-COL14A1	0.725552630828752
SIU_1_1-4	SIU	80914	19291	1.00000000000024	11771	FB-COL14A1	atac	FB-COL14A1	0.388236812941703
SIU_1_1-5	SIU	156852	26494	1.00000000000013	13253	SM-Vascular	atac	SM-Vascular	0.908233448232489
SIU_1_1-6	SIU	83177	17696	0.999999999999966	11702	FB-COL14A1	atac	FB-GPC3	0.491534912571066
SIU_1_1-7	SIU	69068	16387	1.00000000000025	10850	FB-COL14A1	atac	FB-COL14A1	0.687287984715897
SIU_1_1-8	SIU	73556	15591	0.999999999999959	10697	FB-COL14A1	atac	FB-COL14A1	0.407489572413646
SIU_1_2-1	SIU	63683	14572	1.00000000000009	10593	1	atac	FB-Prol	0.344725637258409
SIU_1_2-3	SIU	117517	23091	1.00000000000002	12651	FB-COL14A1	atac	FB-COL14A1	0.52230631460303
SIU_1_2-5	SIU	168787	24609	0.999999999999841	13054	Glial	atac	Glial	0.993518904861012
SIU_1_2-6	SIU	62065	14219	1.00000000000013	10331	Endo	atac	Endo	0.7567639336009
SIU_1_2-7	SIU	83770	17920	1.00000000000007	11491	FB-COL14A1	atac	FB-COL14A1	0.578227915798124
SIU_1_2-8	SIU	121157	23288	1.00000000000031	12743	FB-COL14A1	atac	FB-COL14A1	0.612125325212862
SIU_1_3-1	SIU	125290	23728	1.00000000000009	12765	FB-COL14A1	atac	FB-COL14A1	0.509196105482917
SIU_1_3-2	SIU	91855	19366	1.00000000000011	11848	FB-COL14A1	atac	FB-COL14A1	0.66461171250933
SIU_1_3-4	SIU	83305	16784	0.999999999999847	11357	T	atac	B	0.762262638311164
SIU_1_3-5	SIU	135887	23660	1.00000000000023	12738	FB-COL14A1	atac	FB-COL14A1	0.919150702133908
SIU_1_3-6	SIU	71151	15550	0.999999999999926	11257	SM-Vascular	atac	SM-Vascular	0.960277841918847
SIU_1_3-7	SIU	91857	18013	1.00000000000013	11554	8	atac	FB-KCNN3	0.986598199947738
SIU_1_3-8	SIU	138071	22799	1.00000000000005	12766	1	atac	FB-ADAMDEC1	0.748296448295504
SIU_1_4-1	SIU	145397	24268	0.999999999999888	13051	1	atac	FB-ADAMDEC1	0.870285413232131
SIU_1_4-2	SIU	141611	25807	0.999999999999926	12905	FB-COL14A1	atac	FB-COL14A1	0.54968516248318
SIU_1_4-3	SIU	133425	24596	0.9999999999997	12869	FB-COL14A1	atac	FB-COL14A1	0.715857527243168
SIU_1_4-4	SIU	72707	17257	1.00000000000013	11153	FB-COL14A1	atac	T	0.38483211425955
SIU_1_4-5	SIU	144471	25030	0.999999999999756	12842	FB-COL14A1	atac	FB-COL14A1	0.554688964232378
SIU_1_4-6	SIU	113820	19984	0.999999999999808	12400	1	atac	FB-ADAMDEC1	0.415941391309257
SIU_1_4-7	SIU	141499	24270	0.999999999999909	13072	1	atac	FB-ADAMDEC1	0.686949871646421
SIU_1_4-8	SIU	123009	21622	0.999999999999868	12418	FB-COL14A1	atac	FB-GPC3	0.444974858175404
SIU_1_5-1	SIU	145934	23833	0.999999999999958	12985	1	atac	FB-ADAMDEC1	0.706359649877721
SIU_1_5-2	SIU	213927	29465	0.999999999999897	13392	FB-COL14A1	atac	FB-COL14A1	0.948336222255036
SIU_1_5-3	SIU	142446	24552	1.00000000000012	12837	FB-COL14A1	atac	FB-COL14A1	0.725163064264661
SIU_1_5-4	SIU	88834	18637	0.999999999999737	11949	SM-Vascular	atac	SM-Vascular	0.776898423626574
SIU_1_5-5	SIU	184678	28424	1.00000000000013	13460	1	atac	FB-ADAMDEC1	0.648896276214247
SIU_1_5-6	SIU	127195	21774	1.00000000000004	12657	1	atac	FB-ADAMDEC1	0.413029302703597
SIU_1_5-7	SIU	62397	13847	0.999999999999876	10327	FB-COL14A1	atac	FB-COL14A1	0.328032120069481
SIU_1_5-8	SIU	168618	25726	1.00000000000011	13355	1	atac	FB-ZEB1	0.873256613882846
SIU_1_6-1	SIU	70035	15514	0.999999999999985	10814	1	atac	FB-COL14A1	0.561723559989137
SIU_1_6-2	SIU	101459	19431	1.00000000000007	12114	1	atac	SM-Visceral	0.910992602783561
SIU_1_6-3	SIU	123519	23168	0.999999999999989	12861	1	atac	FB-ADAMDEC1	0.590393565645859
SIU_1_6-4	SIU	94007	20536	1.00000000000013	12044	FB-COL14A1	atac	FB-COL14A1	0.457196076746112
SIU_1_6-5	SIU	115161	23068	0.99999999999986	12527	FB-COL14A1	atac	SM-Visceral	0.866399034143662
SIU_1_6-6	SIU	98358	20268	0.999999999999941	12202	1	atac	SM-Visceral	0.719793284828231
SIU_1_6-7	SIU	54053	15024	0.999999999999854	10258	FB-COL14A1	atac	FB-COL14A1	0.448331580882066
SIU_1_6-8	SIU	159541	23546	1.00000000000001	13192	1	atac	FB-ZEB1	0.788165915393511
SIU_1_7-1	SIU	112822	20195	0.999999999999892	12291	1	atac	FB-ADAMDEC1	0.788746239552073
SIU_1_7-2	SIU	65778	16044	0.999999999999994	11102	8	atac	FB-KCNN3	0.947001212956912
SIU_1_7-3	SIU	114926	22267	0.999999999999872	12311	FB-COL14A1	atac	FB-COL14A1	0.835098609117174
SIU_1_7-4	SIU	119562	23289	1.00000000000003	12386	FB-COL14A1	atac	FB-COL14A1	0.97083613529891
SIU_1_7-5	SIU	153150	24237	1.00000000000004	13066	1	atac	FB-ADAMDEC1	0.849657013035037
SIU_1_7-6	SIU	120592	19924	1.00000000000001	12477	1	atac	FB-ADAMDEC1	0.44021127116545
SIU_1_7-7	SIU	71341	14398	1.00000000000012	10620	T	atac	T	0.99457455479989
SIU_1_7-8	SIU	87138	16168	0.999999999999842	11202	T	atac	T	0.972409208716339
SIU_1_8-1	SIU	110727	20540	0.999999999999897	12402	8	atac	FB-KCNN3	0.927876171228025
SIU_1_8-2	SIU	94106	18870	0.999999999999811	12116	SM-Vascular	atac	SM-Vascular	0.887423682700868
SIU_1_8-3	SIU	111557	21427	0.999999999999902	12428	FB-COL14A1	atac	FB-COL14A1	0.607901501188236
SIU_1_8-4	SIU	87105	18001	1.00000000000011	11523	SM-Visceral	atac	SM-Visceral	0.910146898740254
SIU_1_8-6	SIU	96308	18822	1.00000000000019	12115	1	atac	FB-ADAMDEC1	0.343861359155198
SIU_1_8-7	SIU	82179	17972	1.00000000000015	11545	1	atac	FB-ADAMDEC1	0.370615509120454
SIU_1_8-8	SIU	114271	23223	1.0000000000001	12518	FB-COL14A1	atac	FB-COL14A1	0.939385313061352
SIU_1_9-1	SIU	74486	17170	0.999999999999841	11309	1	atac	SM-Visceral	0.341063383707303
SIU_1_9-3	SIU	92656	19667	0.999999999999994	11808	FB-COL14A1	atac	FB-COL14A1	0.699953589261663
SIU_1_9-4	SIU	111285	21417	0.999999999999669	12646	SM-Vascular	atac	SM-Vascular	0.813410984267634
SIU_1_9-5	SIU	115058	22274	1.0000000000001	12496	FB-COL14A1	atac	FB-COL14A1	0.940749341434406
SIU_1_9-6	SIU	118368	22240	0.999999999999783	12524	FB-COL14A1	atac	FB-COL14A1	0.839560986848221
SIU_1_9-7	SIU	53082	11333	0.999999999999991	9230	DC	atac	DC	1
SIU_1_9-8	SIU	111354	21128	0.999999999999854	12389	FB-COL14A1	atac	FB-COL14A1	0.692668510502487
SIU_1_10-1	SIU	101428	19600	1.00000000000007	12240	1	atac	FB-ADAMDEC1	0.865319919477703
SIU_1_10-2	SIU	101416	22004	0.999999999999956	12202	FB-COL14A1	atac	FB-COL14A1	0.908726661228336
SIU_1_10-3	SIU	82860	17616	1.00000000000019	11680	FB-COL14A1	atac	FB-COL14A1	0.495535785040707
SIU_1_10-5	SIU	52473	13739	0.999999999999975	10153	T	atac	T	0.827010547976674
SIU_1_10-6	SIU	120136	19438	0.999999999999998	12274	T	atac	T	0.986366903596532
SIU_1_10-7	SIU	59561	14572	1.00000000000003	9795	FB-COL14A1	atac	FB-COL14A1	0.859843624670785
SIU_1_10-8	SIU	85992	16955	1.0000000000001	11486	T	atac	T	1
SIU_1_11-1	SIU	110126	21285	0.999999999999964	12441	SM-Visceral	atac	FB-ADAMDEC1	0.603796361509882
SIU_1_11-2	SIU	103170	20607	1.00000000000003	12102	FB-COL14A1	atac	FB-COL14A1	0.944318439542946
SIU_1_11-5	SIU	124308	22868	1.00000000000005	12527	FB-COL14A1	atac	FB-COL14A1	0.584340451111556
SIU_1_11-6	SIU	162184	24631	0.999999999999927	13127	1	atac	FB-ZEB1	0.828518470773866
SIU_1_11-7	SIU	79555	18218	1.00000000000002	11242	FB-COL14A1	atac	FB-COL14A1	0.499368620914445
SIU_1_11-8	SIU	83657	16605	0.99999999999982	11301	FB-COL14A1	atac	SM-Visceral	0.365160333810158
SIU_1_12-1	SIU	47493	12088	1.0000000000001	9175	FB-COL14A1	atac	FB-COL14A1	0.668791236741536
SIU_1_12-2	SIU	135144	23754	0.999999999999935	12733	FB-COL14A1	atac	FB-COL14A1	0.846000358563536
SIU_1_12-3	SIU	35735	9716	1.00000000000014	8154	Glial	atac	Glial	0.972395637952527
SIU_1_12-4	SIU	81053	17521	0.999999999999837	11776	SM-Vascular	atac	SM-Vascular	0.99645763088009
SIU_1_12-5	SIU	85568	16918	1.00000000000017	11392	1	atac	SM-Visceral	0.497533318670941
SIU_1_12-6	SIU	72798	15358	1.00000000000001	10552	1	atac	FB-KCNN3	0.632381529406422
SIU_1_12-7	SIU	52061	13309	1.0000000000002	9978	1	atac	FB-ADAMDEC1	0.580255706020469
SIU_1_12-8	SIU	147402	26031	1.00000000000003	13015	FB-COL14A1	atac	SM-Visceral	0.684200474835783
SIU_2_1-1	SIU	82919	17966	0.999999999999967	11529	Endo	atac	Endo	0.891294395258333
SIU_2_1-3	SIU	61668	14896	1.00000000000019	10544	1	atac	FB-VCAM1	0.282237892305333
SIU_2_1-4	SIU	127368	24156	0.999999999999959	12644	FB-COL14A1	atac	FB-COL14A1	0.654654567099318
SIU_2_1-5	SIU	148463	24827	0.999999999999869	13100	FB-COL14A1	atac	SM-Visceral	0.822265147522214
SIU_2_1-6	SIU	104597	20387	1.0000000000001	12317	1	atac	FB-ADAMDEC1	0.656862779949381
SIU_2_1-7	SIU	114053	21977	1.00000000000014	12465	FB-COL14A1	atac	FB-COL14A1	0.695861646231409
SIU_2_1-8	SIU	48971	12467	0.999999999999863	9758	1	atac	FB-ADAMDEC1	0.401324973636739
SIU_2_2-1	SIU	103392	20749	1.00000000000024	12003	FB-COL14A1	atac	FB-COL14A1	0.678124714425827
SIU_2_2-2	SIU	59897	14469	0.999999999999985	10600	Endo	atac	Endo	0.425007843206043
SIU_2_2-3	SIU	112765	21315	1.00000000000006	12565	8	atac	FB-KCNN3	0.941356610517768
SIU_2_2-4	SIU	97413	18063	0.999999999999782	11717	T	atac	B	0.809667262963997
SIU_2_2-5	SIU	96288	20868	1.0000000000001	12388	T	atac	T-Prog	0.763604718238205
SIU_2_2-6	SIU	95002	17661	1.00000000000007	11651	T	atac	T	0.938029872282049
SIU_2_2-7	SIU	111843	22437	0.999999999999841	12452	FB-COL14A1	atac	FB-COL14A1	0.56823183929023
SIU_2_2-8	SIU	130368	23855	0.999999999999764	12726	FB-COL14A1	atac	SM-Visceral	0.490898231813946
SIU_2_3-1	SIU	130664	23287	1.00000000000008	12761	FB-COL14A1	atac	FB-COL14A1	0.621473103322413
SIU_2_3-2	SIU	119867	23067	0.999999999999752	12701	FB-COL14A1	atac	SM-Visceral	0.82402126902572
SIU_2_3-3	SIU	136238	24750	1.00000000000009	12808	FB-COL14A1	atac	FB-COL14A1	0.904348195738691
SIU_2_3-4	SIU	127722	24277	1.00000000000016	12871	SM-Vascular	atac	SM-Vascular	0.869343658641741
SIU_2_3-5	SIU	191293	26067	0.999999999999899	13230	DC	atac	DC	0.986596258391452
SIU_2_3-6	SIU	77892	14506	0.999999999999955	10973	1	atac	FB-KCNN3	0.389906026741066
SIU_2_3-7	SIU	134316	24565	0.999999999999996	12832	FB-COL14A1	atac	FB-COL14A1	0.731906513690854
SIU_2_3-8	SIU	119654	22044	0.999999999999916	12808	1	atac	FB-ADAMDEC1	0.593240753869475
SIU_2_4-1	SIU	181639	26422	0.999999999999935	13351	8	atac	FB-KCNN3	0.90158374031476
SIU_2_4-2	SIU	151994	25961	0.999999999999868	13162	FB-COL14A1	atac	SM-Visceral	0.830613592719275
SIU_2_4-3	SIU	129669	23085	0.999999999999876	12775	FB-COL14A1	atac	FB-ADAMDEC1	0.515566808218858
SIU_2_4-4	SIU	142319	24568	0.999999999999995	12985	FB-COL14A1	atac	FB-GPC3	0.394914246266432
SIU_2_4-5	SIU	204459	24740	0.999999999999827	13140	1	atac	FB-ADAMDEC1	0.858887098255162
SIU_2_4-6	SIU	147017	26220	1.00000000000015	13172	Epi	atac	SM-Visceral	0.787116818380657
SIU_2_4-7	SIU	64924	15846	1.00000000000001	10721	FB-COL14A1	atac	FB-COL14A1	0.456966808098597
SIU_2_4-8	SIU	154791	24499	0.999999999999923	12820	FB-COL14A1	atac	SM-Visceral	0.591065781143849
SIU_2_5-1	SIU	149233	23272	1.0000000000001	12864	1	atac	FB-ADAMDEC1	0.54662774247691
SIU_2_5-2	SIU	183641	29683	0.999999999999988	13524	FB-COL14A1	atac	FB-COL14A1	0.674484574677771
SIU_2_5-3	SIU	136923	23118	0.999999999999791	12988	T	atac	T	0.862055657848201
SIU_2_5-4	SIU	134898	24393	0.999999999999927	12781	FB-COL14A1	atac	FB-COL14A1	0.585982826144865
SIU_2_5-5	SIU	138273	23860	1.00000000000004	12983	FB-COL14A1	atac	Glial	0.467292921916409
SIU_2_5-6	SIU	179888	27516	1.00000000000012	13428	FB-COL14A1	atac	FB-COL14A1	0.397612034102727
SIU_2_5-7	SIU	159537	26745	1.00000000000009	13136	FB-COL14A1	atac	FB-COL14A1	0.703116982938264
SIU_2_5-8	SIU	77215	17933	1.00000000000016	11508	FB-COL14A1	atac	SM-Visceral	0.559237145757285
SIU_2_6-1	SIU	136063	23107	0.999999999999897	13016	Glial	atac	Glial	0.987844627938987
SIU_2_6-2	SIU	54985	14914	0.999999999999864	10739	1	atac	FB-Prol	0.280554014354695
SIU_2_6-3	SIU	127537	21127	1.00000000000016	12681	1	atac	FB-ADAMDEC1	0.543502692853632
SIU_2_6-4	SIU	92628	19091	0.999999999999965	12198	1	atac	FB-ZEB1	0.425701776438795
SIU_2_6-5	SIU	108713	21103	1.00000000000017	12247	1	atac	FB-ADAMDEC1	0.875003952687847
SIU_2_6-6	SIU	91714	19692	1.00000000000012	11885	FB-COL14A1	atac	FB-COL14A1	0.57673103532888
SIU_2_6-8	SIU	120211	19463	0.999999999999917	12188	Endo	atac	Endo	1
SIU_2_7-1	SIU	115560	20314	1.00000000000001	12455	8	atac	FB-KCNN3	0.950644591782773
SIU_2_7-2	SIU	121983	22996	0.999999999999777	12526	FB-COL14A1	atac	FB-COL14A1	0.867915091335236
SIU_2_7-3	SIU	111159	21701	0.999999999999905	12532	8	atac	FB-KCNN3	0.92920573513806
SIU_2_7-4	SIU	112183	21859	0.999999999999975	12517	FB-COL14A1	atac	FB-COL14A1	0.466715679347684
SIU_2_7-5	SIU	124502	22008	0.999999999999775	12614	T	atac	B	0.671918403131298
SIU_2_7-6	SIU	158311	24010	0.999999999999828	12951	Epi	atac	Epi	0.937018791838854
SIU_2_7-7	SIU	116334	22268	1.00000000000007	12418	FB-COL14A1	atac	FB-COL14A1	0.877100909129826
SIU_2_7-8	SIU	39171	11812	0.999999999999956	9257	1	atac	FB-ZEB1	0.354872880471104
SIU_2_8-1	SIU	73145	14954	0.999999999999846	10831	T	atac	T	1
SIU_2_8-2	SIU	120150	22664	1.00000000000014	12641	SM-Visceral	atac	SM-Visceral	0.838915180419613
SIU_2_8-3	SIU	107836	19869	1.00000000000021	12343	1	atac	FB-ADAMDEC1	0.852816235629288
SIU_2_8-4	SIU	111451	21974	1.0000000000002	12484	FB-COL14A1	atac	FB-GPC3	0.682958176084814
SIU_2_8-5	SIU	105651	18418	0.999999999999951	11978	SM-Visceral	atac	SM-Visceral	0.819727835662044
SIU_2_8-6	SIU	84389	16724	0.99999999999997	11270	FB-COL14A1	atac	FB-COL14A1	0.665214102931207
SIU_2_8-7	SIU	50293	10969	1.00000000000009	9062	8	atac	FB-KCNN3	0.497980595891212
SIU_2_8-8	SIU	107452	20505	0.999999999999996	12319	1	atac	SM-Visceral	0.653648969432597
SIU_2_9-1	SIU	48229	12102	0.999999999999935	9614	1	atac	FB-ADAMDEC1	0.578238905086867
SIU_2_9-2	SIU	115087	21887	1.00000000000003	12467	FB-COL14A1	atac	FB-COL14A1	0.849069785804123
SIU_2_9-3	SIU	92615	19687	0.999999999999904	11950	FB-COL14A1	atac	SM-Visceral	0.690350801998977
SIU_2_9-4	SIU	98397	19789	0.999999999999898	12107	FB-COL14A1	atac	FB-COL14A1	0.640237815766899
SIU_2_9-5	SIU	90876	16906	1.00000000000018	11374	DC	atac	DC	1
SIU_2_9-6	SIU	166387	25626	1.00000000000001	12935	FB-COL14A1	atac	FB-COL14A1	0.541168433555212
SIU_2_9-7	SIU	93873	17811	1.00000000000032	11664	1	atac	FB-ADAMDEC1	0.633096808308007
SIU_2_9-8	SIU	119924	22184	0.999999999999861	12460	FB-COL14A1	atac	SM-Vascular	0.593282955489708
SIU_2_10-1	SIU	115701	22441	0.999999999999766	12343	FB-COL14A1	atac	FB-COL14A1	0.770969748517892
SIU_2_10-2	SIU	124507	22651	0.999999999999986	12667	SM-Vascular	atac	SM-Vascular	0.898824266609153
SIU_2_10-3	SIU	49660	13636	1.00000000000009	9681	FB-COL14A1	atac	FB-KCNN3	0.611187492556418
SIU_2_10-4	SIU	106000	21060	0.999999999999804	11814	FB-COL14A1	atac	FB-ADAMDEC1	0.372857803716291
SIU_2_10-5	SIU	111328	19587	1.00000000000012	11781	FB-COL14A1	atac	FB-COL14A1	0.898828230481613
SIU_2_10-6	SIU	41667	11404	1.00000000000003	9194	FB-COL14A1	atac	FB-KCNN3	0.401158543549486
SIU_2_10-7	SIU	39028	9400	1.00000000000011	8163	1	atac	FB-Prol	0.446001961854232
SIU_2_10-8	SIU	54150	13471	0.999999999999983	10239	1	atac	SM-Visceral	0.611071237217145
SIU_2_11-1	SIU	60187	14945	1.00000000000011	10630	1	atac	FB-ADAMDEC1	0.744909308724669
SIU_2_11-2	SIU	68414	16053	0.999999999999868	11101	1	atac	FB-ADAMDEC1	0.878491706022237
SIU_2_11-3	SIU	61277	16207	0.999999999999897	10575	FB-COL14A1	atac	FB-COL14A1	0.7597851146949
SIU_2_11-4	SIU	42351	11108	1.00000000000021	9000	FB-COL14A1	atac	FB-Prol	0.331246809902245
SIU_2_11-5	SIU	63375	13937	0.999999999999984	10387	T	atac	T	0.836183118412129
SIU_2_11-6	SIU	63778	15285	0.999999999999955	10831	1	atac	SM-Visceral	0.512195769343259
SIU_2_11-8	SIU	64071	16501	1.0000000000001	10885	1	atac	FB-COL14A1	0.489411622829744
SIU_2_12-1	SIU	151933	24456	0.999999999999922	13039	1	atac	FB-ADAMDEC1	0.509270240825842
SIU_2_12-2	SIU	146848	22494	0.99999999999983	12915	SM-Visceral	atac	SM-Visceral	0.684407474503163
SIU_2_12-3	SIU	136470	23459	0.999999999999966	12961	FB-COL14A1	atac	FB-COL14A1	0.784965958105752
SIU_2_12-4	SIU	147894	23466	1.00000000000017	13006	1	atac	FB-VCAM1	0.408553912293271
SIU_2_12-5	SIU	46506	13106	0.999999999999915	9338	FB-COL14A1	atac	FB-COL14A1	0.728146441640701
SIU_2_12-6	SIU	79350	18415	1.00000000000013	11422	FB-COL14A1	atac	FB-COL14A1	0.393291389855409
SIU_2_12-7	SIU	52942	14263	0.99999999999986	10040	FB-COL14A1	atac	FB-COL14A1	0.829238743093009
SIU_2_12-8	SIU	69512	17127	0.999999999999946	11135	FB-COL14A1	atac	FB-Prol	0.289168173039307
SIU_3_1-1	SIU	126822	23790	1	12592	FB-COL14A1	atac	FB-COL14A1	0.592634250351604
SIU_3_1-2	SIU	141951	25101	1.00000000000018	13094	1	atac	FB-ADAMDEC1	0.803767213167743
SIU_3_1-3	SIU	115952	21570	0.999999999999824	12633	8	atac	FB-KCNN3	0.941653062406804
SIU_3_1-4	SIU	141599	24023	0.999999999999849	12917	1	atac	FB-ADAMDEC1	0.552358783656315
SIU_3_1-5	SIU	139138	22687	1.00000000000013	12839	T	atac	T	0.988432110420992
SIU_3_1-6	SIU	163955	20919	1.00000000000006	12703	1	atac	SM-Visceral	0.546628951939634
SIU_3_1-7	SIU	122249	22142	0.999999999999897	12722	FB-COL14A1	atac	FB-COL14A1	0.668010313254781
SIU_3_1-8	SIU	81874	15403	0.99999999999997	9964	Epi	atac	Glial	0.258895942281572
SIU_3_2-1	SIU	157647	25584	1.00000000000009	13123	1	atac	FB-ADAMDEC1	0.595526536764957
SIU_3_2-2	SIU	123365	22624	1.00000000000034	12610	FB-COL14A1	atac	Glial	0.698542002509715
SIU_3_2-3	SIU	124529	21862	1.00000000000008	12817	8	atac	FB-KCNN3	0.906559627219678
SIU_3_2-4	SIU	149546	26338	0.999999999999775	13091	FB-COL14A1	atac	FB-COL14A1	0.481992579974382
SIU_3_2-5	SIU	167345	24806	0.999999999999973	13148	1	atac	FB-ZEB1	0.635458842661749
SIU_3_2-6	SIU	62690	14119	1.00000000000006	10307	FB-COL14A1	atac	FB-COL14A1	0.611064732420683
SIU_3_2-7	SIU	121980	22611	1.00000000000009	12518	FB-COL14A1	atac	FB-COL14A1	0.929444935344922
SIU_3_2-8	SIU	49485	13920	0.999999999999905	10068	1	atac	Glial	0.502984467890732
SIU_3_3-1	SIU	125349	21952	1.00000000000006	12660	1	atac	FB-ADAMDEC1	0.860091997323306
SIU_3_3-2	SIU	101446	21573	1.00000000000004	12049	FB-COL14A1	atac	FB-COL14A1	0.703022337043984
SIU_3_3-3	SIU	101212	19058	1.00000000000019	12269	1	atac	SM-Visceral	0.451813685113094
SIU_3_3-4	SIU	134540	25041	1.00000000000026	12961	1	atac	FB-ADAMDEC1	0.810791228391309
SIU_3_3-5	SIU	122295	22589	0.999999999999897	12590	FB-COL14A1	atac	FB-GPC3	0.580087943317657
SIU_3_3-6	SIU	93773	17868	1.0000000000001	11821	1	atac	FB-ADAMDEC1	0.678952983142051
SIU_3_3-7	SIU	96821	20285	0.99999999999994	11903	FB-COL14A1	atac	FB-COL14A1	0.791455901963985
SIU_3_3-8	SIU	33340	11131	0.999999999999896	8820	1	atac	SM-Visceral	0.527716637562753
SIU_3_4-1	SIU	145529	23991	0.999999999999908	13065	1	atac	SM-Visceral	0.854621355361297
SIU_3_4-2	SIU	157915	25460	0.99999999999988	13229	FB-COL14A1	atac	FB-COL14A1	0.760956502810267
SIU_3_4-3	SIU	148595	22930	0.999999999999849	13026	1	atac	FB-ZEB1	0.604885093098496
SIU_3_4-4	SIU	136058	22699	1.00000000000023	12774	1	atac	FB-VCAM1	0.592996285096081
SIU_3_4-5	SIU	73399	17778	0.999999999999957	11532	FB-COL14A1	atac	FB-VCAM1	0.394647630628598
SIU_3_4-6	SIU	173233	25888	0.999999999999917	13232	SM-Vascular	atac	SM-Vascular	0.702311257374366
SIU_3_4-7	SIU	143780	24392	0.999999999999746	12832	FB-COL14A1	atac	FB-COL14A1	0.700158921072564
SIU_3_5-1	SIU	187445	28560	0.999999999999833	13371	FB-COL14A1	atac	FB-COL14A1	0.376445925943166
SIU_3_5-2	SIU	78679	17241	1.00000000000022	11307	FB-COL14A1	atac	FB-COL14A1	0.679270409024426
SIU_3_5-3	SIU	128938	22047	0.999999999999998	12625	1	atac	FB-ZEB1	0.607242432746646
SIU_3_5-4	SIU	113455	21250	1.00000000000014	12355	Endo	atac	Endo	0.945518138794632
SIU_3_5-5	SIU	98496	18756	1.00000000000005	11955	8	atac	FB-KCNN3	0.469609575023032
SIU_3_5-6	SIU	82946	19001	0.999999999999805	12017	1	atac	FB-ADAMDEC1	0.936859857891137
SIU_3_5-7	SIU	40160	12332	0.999999999999896	9540	Endo	atac	T-Prog	0.409017210104078
SIU_3_5-8	SIU	157637	23805	1.00000000000013	12497	FB-COL14A1	atac	FB-COL14A1	0.909361584806649
SIU_3_6-1	SIU	132133	20586	1.00000000000022	12398	DC	atac	DC	0.986091030178414
SIU_3_6-2	SIU	105311	19239	1.00000000000018	12248	SM-Vascular	atac	SM-Vascular	0.93449318157447
