RNA_cell	ATAC_cell	score
XCZ_C-B2_40	SIU_1_1-1	0.321428571428571
XCZ_C-B19_31	SIU_1_1-1	0.107142857142857
XCX_C-C2_80	SIU_1_1-1	0.25
XCX_C-C6_14	SIU_1_1-1	0.357142857142857
XCS_C-A1_45	SIU_1_1-2	0.714285714285714
XCZ_C-B24_13	SIU_1_1-2	0.392857142857143
XCX_C-B1_36	SIU_1_1-2	0.571428571428571
XCZ_C-B1_45	SIU_1_1-3	0.214285714285714
XCZ_C-B23_44	SIU_1_1-5	0.142857142857143
XCX_C-C8_86	SIU_1_1-5	0.5
XCS_C-B1_93	SIU_1_1-6	0.571428571428571
XCS_C-B4_77	SIU_1_1-6	0.428571428571429
XCS_C-D5_04	SIU_1_1-6	0.535714285714286
XCX_C-C3_83	SIU_1_1-6	0.25
XCZ_C-B5_29	SIU_1_1-8	0.214285714285714
XCZ_C-B18_89	SIU_1_1-8	0.107142857142857
XCZ_C-C10_96	SIU_1_2-5	1
XCS_C-D6_06	SIU_1_2-5	1
XCX_C-C5_58	SIU_1_2-5	1
XCX_C-C7_25	SIU_1_2-5	1
XCS_C-D6_82	SIU_1_2-8	0.0357142857142857
XCX_C-A2_30	SIU_1_2-8	0.25
XCZ_C-C8_45	SIU_1_3-2	0.25
XCZ_C-B19_17	SIU_1_3-2	0.107142857142857
XCZ_C-C2_71	SIU_1_3-4	0.928571428571429
XCS_C-B9_32	SIU_1_3-4	1
XCS_C-D3_04	SIU_1_3-5	0.0357142857142857
XCS_C-A6_23	SIU_1_3-7	0.678571428571429
XCS_C-A8_07	SIU_1_3-7	0.642857142857143
XCS_C-B2_02	SIU_1_3-7	0.642857142857143
XCS_C-A2_37	SIU_1_3-8	0.5
XCS_C-A5_49	SIU_1_3-8	0.535714285714286
XCS_C-B1_72	SIU_1_3-8	0.428571428571429
XCS_C-B4_43	SIU_1_3-8	0.464285714285714
XCS_C-C5_38	SIU_1_3-8	0.571428571428571
XCZ_C-C1_67	SIU_1_4-2	0.107142857142857
XCS_C-B7_33	SIU_1_4-2	0.214285714285714
XCZ_C-B15_93	SIU_1_4-2	0.178571428571429
XCX_C-D4_15	SIU_1_4-2	0.107142857142857
XCZ_C-C1_23	SIU_1_4-4	0.25
XCS_C-A6_26	SIU_1_4-4	0.142857142857143
XCS_C-D5_84	SIU_1_4-4	0.285714285714286
XCX_C-D7_21	SIU_1_4-5	0.0714285714285714
XCZ_C-C1_48	SIU_1_5-1	0.285714285714286
XCS_C-D7_31	SIU_1_5-1	0.107142857142857
XCZ_C-B1_42	SIU_1_5-2	0.321428571428571
XCZ_C-C9_13	SIU_1_5-2	0.142857142857143
XCZ_C-C9_50	SIU_1_5-2	0.357142857142857
XCZ_C-B24_91	SIU_1_5-2	0.285714285714286
XCX_C-A7_69	SIU_1_5-2	0.285714285714286
XCS_C-C9_27	SIU_1_5-3	0.142857142857143
XCX_C-B4_13	SIU_1_5-3	0.0714285714285714
XCX_C-D2_21	SIU_1_5-3	0.142857142857143
XCS_C-B2_92	SIU_1_5-5	0.25
XCS_C-C9_68	SIU_1_5-5	0
XCX_C-C9_53	SIU_1_5-5	0.285714285714286
XCZ_C-C1_12	SIU_1_5-6	0.142857142857143
XCZ_C-C2_50	SIU_1_5-6	0.321428571428571
XCZ_C-C10_83	SIU_1_5-6	0.392857142857143
XCS_C-A4_35	SIU_1_5-6	0.464285714285714
XCS_C-A8_09	SIU_1_5-8	0.714285714285714
XCS_C-B5_34	SIU_1_5-8	0.714285714285714
XCS_C-C3_17	SIU_1_5-8	0.964285714285714
XCX_C-A9_72	SIU_1_5-8	0.785714285714286
XCX_C-C5_73	SIU_1_5-8	0.75
XCZ_C-C1_27	SIU_1_6-1	0.214285714285714
XCZ_C-B11_46	SIU_1_6-2	0.321428571428571
XCZ_C-C5_19	SIU_1_6-2	0.25
XCX_C-B1_29	SIU_1_6-2	0.0357142857142857
XCX_C-D1_22	SIU_1_6-2	0.285714285714286
XCS_C-A6_10	SIU_1_6-3	0.357142857142857
XCS_C-C4_78	SIU_1_6-3	0.285714285714286
XCZ_C-B16_79	SIU_1_6-3	0.428571428571429
XCZ_C-C7_17	SIU_1_6-5	0.321428571428571
XCZ_C-C7_35	SIU_1_6-5	0.25
XCZ_C-B20_46	SIU_1_6-5	0.357142857142857
XCX_C-D1_22	SIU_1_6-5	0.392857142857143
XCX_C-B4_08	SIU_1_6-6	0.285714285714286
XCS_C-D4_21	SIU_1_6-8	0.571428571428571
XCX_C-C5_73	SIU_1_6-8	0.75
XCZ_C-C6_64	SIU_1_7-1	0.321428571428571
XCZ_C-C9_33	SIU_1_7-1	0.5
XCZ_C-C10_49	SIU_1_7-1	0.357142857142857
XCX_C-D6_55	SIU_1_7-1	0.321428571428571
XCZ_C-B12_83	SIU_1_7-4	0.464285714285714
XCZ_C-C2_80	SIU_1_7-4	0.571428571428571
