p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
Peak-16415	2.22058047326523e-14	0.322209869541064	1	0.311	3.3638241241211e-09	Erythrocyte-Prol	Peak-16415
Peak-14154	2.77310204985812e-13	0.292955196817767	1	0.374	4.20080590920707e-08	Erythrocyte-Prol	Peak-14154
Peak-19476	7.3515579816875e-13	0.39324384900834	1	0.374	1.11364340929795e-07	Erythrocyte-Prol	Peak-19476
Peak-22591	7.71532333200994e-13	0.299536566553881	1	0.374	1.16874803962619e-07	Erythrocyte-Prol	Peak-22591
Peak-19198	2.27693515504068e-12	0.251168185467152	1	0.371	3.44919245026182e-07	Erythrocyte-Prol	Peak-19198
Peak-18683	3.9780906523742e-12	0.275418072380768	1	0.388	6.02617084384254e-07	Erythrocyte-Prol	Peak-18683
Peak-19938	4.16691450649802e-12	0.290437217244933	1	0.388	6.31220877102346e-07	Erythrocyte-Prol	Peak-19938
Peak-16882	2.53913539303262e-11	0.306525806370626	0.938	0.364	3.84638385878154e-06	Erythrocyte-Prol	Peak-16882
Peak-13394	3.46973785592996e-11	0.294622379222865	1	0.573	5.25609769367695e-06	Erythrocyte-Prol	Peak-13394
Peak-15023	9.87230004338335e-11	0.314108153340867	1	0.563	1.49549549977188e-05	Erythrocyte-Prol	Peak-15023
Peak-13569	1.07250145142389e-10	0.262422365509065	0.938	0.42	1.62466809867497e-05	Erythrocyte-Prol	Peak-13569
Peak-16420	1.30242503352231e-10	0.377999387588081	1	0.49	1.97296553778093e-05	Erythrocyte-Prol	Peak-16420
Peak-17997	6.48907076721026e-10	0.2614913945202	0.875	0.304	9.82990396100079e-05	Erythrocyte-Prol	Peak-17997
Peak-17621	6.97033489501153e-10	0.342870583499465	1	0.598	0.000105589421123593	Erythrocyte-Prol	Peak-17621
Peak-10291	2.05894014208039e-09	0.354303499363162	1	0.699	0.000311896488482905	Erythrocyte-Prol	Peak-10291
Peak-3184	3.03941732034687e-09	0.270507191479115	1	0.969	0.000460423093355425	Erythrocyte-Prol	Peak-3184
Peak-11571	4.74844802562345e-09	0.274574970799917	1	0.895	0.000719313900713543	Erythrocyte-Prol	Peak-11571
Peak-11627	9.88123769524845e-09	0.274963223553094	1	0.829	0.00149684941102702	Erythrocyte-Prol	Peak-11627
Peak-21645	1.54822835525229e-08	0.278042602687001	0.938	0.699	0.00234531824167037	Erythrocyte-Prol	Peak-21645
Peak-16588	2.96056128446977e-08	0.272056136983284	0.938	0.552	0.00448477665616619	Erythrocyte-Prol	Peak-16588
Peak-6251	3.59883905807143e-08	0.257349738793574	1	0.93	0.00545166535872892	Erythrocyte-Prol	Peak-6251
Peak-11257	3.6949467478951e-08	0.2768414546173	0.938	0.538	0.00559725313158142	Erythrocyte-Prol	Peak-11257
Peak-24586	5.11932544302992e-08	0.268017969937923	1	0.587	0.00775495895411945	Erythrocyte-Prol	Peak-24586
Peak-24871	6.15232722661975e-27	0.253898370563599	0.915	0.29	9.31979137597266e-22	NKT	Peak-24871
Peak-19552	2.17443365478042e-19	0.303022381269213	0.957	0.514	3.29391907760757e-14	NKT	Peak-19552
Peak-885	2.09466864857364e-16	0.362003554749443	1	1	3.17308785560529e-11	NKT	Peak-885
Peak-5932	7.66556138597836e-15	0.370143216590346	1	0.992	1.16120990099355e-09	NKT	Peak-5932
Peak-12908	1.48077949252991e-08	0.328680215280565	0.83	0.702	0.00224314400646402	NKT	Peak-12908
Peak-8405	3.32483866105613e-08	0.300899657318566	1	0.957	0.00503659859731427	T-GIMAP7	Peak-8405
Peak-6706	6.25685569402759e-25	0.250049332233727	0.973	0.81	9.47813527954076e-20	B-CD83	Peak-6706
Peak-4342	2.07999072563508e-13	0.275502099181923	1	0.996	3.15085315082105e-08	DC/Macro	Peak-4342
