orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
PZ_1_1-1	PZ	473797	40444	1.00000000000013	13494	atac	Erythrocyte-Prol	0.562295804077724
PZ_1_1-2	PZ	557581	42614	0.999999999999944	13629	atac	MPP	0.360538134814952
PZ_1_1-3	PZ	358661	33125	0.999999999999987	13160	atac	NKT	0.996438059731197
PZ_1_1-4	PZ	608539	44393	1.00000000000012	13688	atac	T-GIMAP7	0.653443083662003
PZ_1_1-5	PZ	416748	36753	0.999999999999931	13255	atac	B-CD83	0.485344340506439
PZ_1_1-6	PZ	488885	41274	0.999999999999869	13476	atac	B-CD83	0.40212136448196
PZ_1_1-7	PZ	399197	34753	0.99999999999991	13215	atac	NKT	0.92647235963039
PZ_1_1-8	PZ	268775	28767	0.999999999999963	12647	atac	Erythrocyte	0.443541322244773
PZ_1_2-1	PZ	431460	36252	1.00000000000001	13253	atac	B-CD83	0.368242477037624
PZ_1_2-2	PZ	411934	37602	0.999999999999956	13261	atac	B-CD83	0.375511149618239
PZ_1_2-3	PZ	331127	32271	0.999999999999957	12892	atac	B-HLA-DRB5	0.476882739191662
PZ_1_2-5	PZ	299343	30033	0.999999999999943	12703	atac	B-HLA-DRB5	0.473334731435281
PZ_1_2-6	PZ	502074	43586	1.0000000000001	13577	atac	DC/Macro	0.970245266143036
PZ_1_2-7	PZ	406842	31569	0.999999999999991	12848	atac	B-CD83	0.304075369600087
PZ_1_2-8	PZ	340073	31936	0.99999999999988	13039	atac	MPP	0.220521280134727
PZ_1_3-1	PZ	383983	36279	0.999999999999964	13208	atac	B-CD83	0.457421340650414
PZ_1_3-2	PZ	390814	36000	1.0000000000001	13355	atac	MPP	0.786438228133684
PZ_1_3-3	PZ	301293	31696	1.00000000000014	12881	atac	MPP	0.397227448173324
PZ_1_3-4	PZ	472632	38494	1.00000000000002	13320	atac	NKT	0.784321782574451
PZ_1_3-5	PZ	216381	24702	1.00000000000003	12016	atac	Erythrocyte	0.518874170331789
PZ_1_3-6	PZ	348806	33156	1.00000000000004	13028	atac	MPP	0.364468480077152
PZ_1_3-7	PZ	375460	35847	1.00000000000003	13030	atac	DC/Macro	0.993780608055395
PZ_1_3-8	PZ	374882	32029	0.999999999999892	13034	atac	Erythrocyte	0.530532676117168
PZ_1_4-1	PZ	423706	38871	1.00000000000011	13409	atac	MPP	0.689850615868645
PZ_1_4-3	PZ	373617	35577	0.999999999999987	13235	atac	NKT	0.409355279705745
PZ_1_4-4	PZ	460566	38544	0.99999999999997	13289	atac	B-HLA-DRB5	0.5367321811988
PZ_1_4-5	PZ	293366	30835	1.00000000000002	12835	atac	T-GIMAP7	0.460937583096333
PZ_1_4-6	PZ	391364	35549	0.999999999999998	13181	atac	T-GIMAP7	0.299715142771343
PZ_1_4-7	PZ	276329	29123	0.999999999999913	12555	atac	B-CD83	0.465118672758891
PZ_1_4-8	PZ	567205	44628	1.00000000000009	13692	atac	NKT	0.440008939788889
PZ_1_5-1	PZ	403068	36140	1.00000000000014	13270	atac	B-CD83	0.577425970482729
PZ_1_5-2	PZ	375534	35868	1.00000000000004	13260	atac	B-CD83	0.576314297026298
PZ_1_5-3	PZ	303961	29926	0.999999999999981	12790	atac	B-CD83	0.502207824121552
PZ_1_5-4	PZ	461949	41005	0.999999999999997	13491	atac	DC/Macro	0.985540855775929
PZ_1_5-5	PZ	386989	33293	1.00000000000002	13085	atac	NKT	0.957802958114375
PZ_1_5-6	PZ	331109	32841	1.00000000000004	12835	atac	DC/Macro	0.914556269580288
PZ_1_5-7	PZ	280645	28433	1.00000000000005	12600	atac	Erythrocyte	0.317217744029009
PZ_1_5-8	PZ	563465	46796	1.00000000000002	13819	atac	B-CD83	0.415799498767482
PZ_1_6-1	PZ	322538	30747	0.999999999999926	12724	atac	Erythrocyte-Prol	0.376212013211402
PZ_1_6-2	PZ	337507	32955	0.999999999999909	12911	atac	B-HLA-DRB5	0.492330944101079
PZ_1_6-3	PZ	275088	27863	1.00000000000001	12464	atac	B-CD83	0.502481338554806
PZ_1_6-4	PZ	369908	34961	1.00000000000004	13126	atac	Erythrocyte	0.454326362599562
PZ_1_6-5	PZ	464965	37757	0.999999999999905	13218	atac	B-CD83	0.452205897444954
PZ_1_6-6	PZ	449193	37780	0.99999999999988	13285	atac	DC/Macro	0.835702942951929
PZ_1_6-7	PZ	309556	30411	1.00000000000006	12612	atac	B-HLA-DRB5	0.494228413135683
PZ_1_6-8	PZ	445018	36963	1.00000000000001	13243	atac	T-GIMAP7	0.693679953120882
PZ_1_7-1	PZ	494138	41185	0.999999999999999	13582	atac	B-CD83	0.53891663118934
PZ_1_7-3	PZ	424505	38724	1.00000000000002	13237	atac	DC/Macro	0.995862963075901
