orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
WT_1_1-1	WT	274541	24884	0.999999999999918	11335	atac	Fibro-ADAM28	0.426175898821016
WT_1_1-2	WT	229729	24678	1.00000000000001	11483	atac	Fibro-ADAM28	0.429496515105573
WT_1_1-3	WT	206239	23801	1	11140	atac	Fibro-ADAM28	0.655937157614837
WT_1_1-4	WT	248001	27333	1.00000000000007	11957	atac	Fibro-PRSS35	0.241514918247979
WT_1_1-5	WT	173825	21221	0.999999999999955	10631	atac	Fibro-VSTM2A	0.255242302518985
WT_1_1-7	WT	245474	26689	1.00000000000012	11879	atac	Fibro-VSTM2A	0.550363586273802
WT_1_2-1	WT	234555	25219	1.00000000000021	11645	atac	Fibro-VSTM2A	0.425259163827229
WT_1_2-2	WT	213934	24429	1.00000000000011	11085	atac	Fibro-FBLN1	0.640420657521634
WT_1_2-4	WT	265071	25427	0.99999999999999	11573	atac	Fibro-ADAM28	0.389612221418898
WT_1_2-5	WT	142595	18435	1.0000000000002	10145	atac	Fibro-ADAM28	0.462974141464668
WT_1_2-6	WT	226258	25959	1.00000000000013	11405	atac	Fibro-FBLN1	0.504448980315815
WT_1_2-8	WT	777193	51669	0.9999999999997	14394	atac	Epi	0.657924490993572
WT_1_3-2	WT	306337	26836	0.999999999999817	11633	atac	DC/Macro	0.855545086120787
WT_1_3-3	WT	226947	23253	1.00000000000011	11540	atac	Fibro-NRK	0.383319095298362
WT_1_3-4	WT	147496	19744	1.00000000000003	10143	atac	Fibro-ADAM28	0.484376889166236
WT_1_3-5	WT	145619	19256	1.00000000000006	10283	atac	Fibro-ADAM28	0.678090036105578
WT_1_3-6	WT	207596	24985	1.00000000000032	11127	atac	Endo	0.817232163366075
WT_1_3-7	WT	155578	20043	1.00000000000021	10471	atac	Fibro-ADAM28	0.514305062330417
WT_1_3-8	WT	358861	32818	1.00000000000011	12863	atac	Fibro-ADAM28	0.567303162432832
WT_1_4-1	WT	206232	22884	1.00000000000016	11274	atac	Fibro-ADAM28	0.326001371578633
WT_1_4-2	WT	181624	22669	1.00000000000003	10863	atac	Fibro-FBLN1	0.344502196953871
WT_1_4-3	WT	179215	21279	1.00000000000002	10826	atac	Fibro-VSTM2A	0.466672748526371
WT_1_4-4	WT	203733	23220	0.999999999999976	11440	atac	Fibro-ADAM28	0.212780142803279
WT_1_4-5	WT	193475	22350	0.999999999999861	11315	atac	Fibro-VSTM2A	0.319678092502715
WT_1_4-6	WT	170649	22355	1.00000000000015	10660	atac	Fibro-IRF1	0.425625246276132
WT_1_4-8	WT	342075	32079	0.999999999999934	12824	atac	Fibro-VSTM2A	0.524367114882519
WT_1_5-1	WT	277054	29106	1.00000000000003	11843	atac	Fibro-FBLN1	0.532288433549715
WT_1_5-2	WT	155213	20061	0.999999999999832	10553	atac	Fibro-VSTM2A	0.402243999742275
WT_1_5-3	WT	170216	20587	1.00000000000013	10329	atac	Fibro-KCNJ8	0.681344998021027
WT_1_5-4	WT	172999	22258	0.999999999999896	10610	atac	Fibro-ADAM28	0.278891660978704
WT_1_5-5	WT	146487	18833	1.00000000000025	10174	atac	Fibro-ADAM28	0.61287233661307
WT_1_5-7	WT	205959	24520	0.999999999999959	10999	atac	Fibro-FBLN1	0.527268150160202
WT_1_5-8	WT	360260	33978	1.00000000000022	12843	atac	Fibro-FBLN1	0.515783951059897
WT_1_6-2	WT	384063	33591	0.999999999999998	12761	atac	Fibro-FBLN1	0.581782194510806
WT_1_6-3	WT	267951	27769	1.00000000000022	11622	atac	Fibro-FBLN1	0.878785317612242
WT_1_6-4	WT	287514	25941	0.999999999999793	11807	atac	Fibro-ADAM28	0.491278463314287
WT_1_6-5	WT	145969	18954	1.00000000000002	10149	atac	Fibro-ADAM28	0.327605136578819
WT_1_6-6	WT	523953	36365	0.999999999999939	13139	atac	Fibro-NRK	0.666699786162491
WT_1_6-7	WT	230670	26129	1	11421	atac	Fibro-FBLN1	0.394064743974872
WT_1_6-8	WT	489682	37163	1.00000000000011	12990	atac	Epi	0.386084939741627
WT_1_7-1	WT	194287	22773	1.0000000000001	11041	atac	Fibro-IRF1	0.411484889317512
WT_1_7-2	WT	169469	21439	1.00000000000003	10400	atac	Fibro-FBLN1	0.433531375129104
WT_1_7-3	WT	227504	23642	1.00000000000006	11622	atac	Fibro-ADAM28	0.580824532038754
WT_1_7-4	WT	186403	20421	1.00000000000023	10651	atac	Fibro-ADAM28	0.654873193226374
WT_1_7-5	WT	145544	19871	0.999999999999936	9968	atac	Fibro-IRF1	0.539272597008036
WT_1_7-7	WT	189534	23028	1	10740	atac	Fibro-FBLN1	0.500469970430834
WT_1_7-8	WT	425790	35558	1.00000000000016	13012	atac	Fibro-ADAM28	0.385858745686788
WT_1_8-1	WT	413622	35360	0.999999999999702	12682	atac	Fibro-FBLN1	0.683817539204501
WT_1_8-2	WT	179363	21734	1.00000000000009	10574	atac	Fibro-ADAM28	0.48046529826993
WT_1_8-3	WT	234863	26607	1.00000000000011	11560	atac	Fibro-FBLN1	0.630493384507691
WT_1_8-4	WT	256195	24876	0.999999999999986	11229	atac	Glial	0.889429020626384
WT_1_8-5	WT	132077	17924	1.00000000000018	9694	atac	Fibro-ADAM28	0.45428351817105
WT_1_8-6	WT	311066	31548	0.999999999999846	12466	atac	Epi	0.702011779277849
WT_1_8-8	WT	436269	37491	1.00000000000017	13235	atac	Fibro-FBLN1	0.383071356820062
WT_1_9-1	WT	214093	23676	1.00000000000004	11285	atac	Fibro-ADAM28	0.359603477837396
WT_1_9-2	WT	149800	19953	0.99999999999989	10277	atac	Fibro-IRF1	0.565132258782873
WT_1_9-3	WT	165398	19395	0.999999999999955	10411	atac	Fibro-ADAM28	0.414367116667678
WT_1_9-4	WT	204695	24194	0.999999999999995	11072	atac	Fibro-FBLN1	0.315568013767562
WT_1_9-5	WT	103443	15311	1.00000000000015	8931	atac	Fibro-IRF1	0.376458717889905
WT_1_9-6	WT	257917	22997	0.999999999999788	10425	atac	Fibro-KCNJ8	0.308180423510583
WT_1_9-7	WT	203100	22240	0.999999999999856	11108	atac	T	0.479773621017207
WT_1_9-8	WT	581154	38921	0.999999999999893	13470	atac	DC/Macro	0.753030634795321
WT_1_10-2	WT	151847	18560	1.00000000000002	10205	atac	Fibro-ADAM28	0.597989128984557
WT_1_10-3	WT	150199	19389	0.999999999999939	10056	atac	Fibro-ADAM28	0.561201631454405
WT_1_10-4	WT	430967	35765	0.999999999999799	12987	atac	Fibro-NRK	0.491280285531826
WT_1_10-5	WT	256589	27280	0.999999999999776	11784	atac	CACNA1A-ELF3+	0.61616798667404
WT_1_10-6	WT	212284	23709	0.999999999999891	11048	atac	Fibro-PRSS35	0.319034815767387
WT_1_10-7	WT	193214	23812	1.00000000000005	11027	atac	Fibro-ADAM28	0.44037572729494
WT_1_10-8	WT	434185	35290	0.99999999999989	13074	atac	Endo	0.880274445646593
WT_1_11-1	WT	200055	21999	1	10968	atac	Fibro-ADAM28	0.301011356052384
WT_1_11-2	WT	165712	20721	0.999999999999887	10428	atac	T	0.564020783089169
WT_1_11-3	WT	239448	25312	1	11378	atac	Fibro-FBLN1	0.534102382679121
WT_1_11-4	WT	291445	28824	1.00000000000014	12261	atac	Fibro-ADAM28	0.488309240956915
WT_1_11-5	WT	173177	21748	1.00000000000009	10617	atac	Fibro-FBLN1	0.323516351466825
WT_1_11-6	WT	291998	29405	0.999999999999852	11953	atac	Epi	0.573642174274113
WT_1_11-7	WT	209572	25205	1.00000000000008	11032	atac	Fibro-ADAM28	0.331024021230178
WT_1_12-1	WT	362338	30425	0.999999999999801	12757	atac	Fibro-VSTM2A	0.436108200932715
WT_1_12-2	WT	210235	24412	1.00000000000009	11271	atac	Fibro-FBLN1	0.313627801844037
WT_1_12-3	WT	198937	22573	0.999999999999957	10848	atac	Fibro-FBLN1	0.271673935690399
WT_1_12-4	WT	238198	27067	1.00000000000008	11442	atac	Fibro-FBLN1	0.41036438205693
WT_1_12-5	WT	240113	25380	0.99999999999993	11679	atac	Fibro-VSTM2A	0.435023893096716
WT_1_12-6	WT	326744	32498	0.999999999999816	12689	atac	Fibro-FBLN1	0.596900056295049
WT_1_12-7	WT	454359	36277	0.999999999999971	13182	atac	Endo	0.872186019157255
WT_1_12-8	WT	511218	39908	1	13478	atac	Fibro-FBLN1	0.552030601011387
WT_2_1-1	WT	339737	31282	1.00000000000007	12552	atac	Fibro-FBLN1	0.5554993511143
WT_2_1-3	WT	257062	26454	1.00000000000014	11867	atac	Fibro-ADAM28	0.527132027930775
WT_2_1-4	WT	369240	34949	1.00000000000017	13020	atac	Epi	0.529600291386678
WT_2_1-5	WT	177741	20759	1.0000000000002	10506	atac	Fibro-ADAM28	0.509029503621966
WT_2_1-6	WT	291796	28087	1.00000000000012	12318	atac	T	0.931331048885305
WT_2_1-7	WT	303807	30562	0.999999999999838	12373	atac	Fibro-FBLN1	0.485546861820998
WT_2_1-8	WT	272378	27078	1.00000000000016	12115	atac	Fibro-FBLN1	0.451287022759044
WT_2_2-1	WT	276895	28019	0.999999999999965	12081	atac	SM-Visceral	0.312479398094176
WT_2_2-2	WT	172431	21801	0.999999999999911	10709	atac	Fibro-ADAM28	0.555229027585169
WT_2_2-3	WT	354445	33581	1.0000000000003	12678	atac	Epi	0.629412565881268
WT_2_2-4	WT	239107	24121	0.999999999999945	11387	atac	T	0.948855265845125
WT_2_2-6	WT	246468	25315	1.00000000000022	11629	atac	Fibro-FBLN1	0.586343786031515
WT_2_2-7	WT	300130	29391	0.999999999999997	12251	atac	Fibro-NRK	0.598305507694127
WT_2_2-8	WT	340593	33151	0.999999999999992	12929	atac	Epi	0.735282964639823
WT_2_3-1	WT	291271	30715	0.999999999999797	12097	atac	Fibro-FBLN1	0.49380626903345
WT_2_3-2	WT	235691	26008	1.0000000000002	11767	atac	Fibro-VSTM2A	0.522679385763681
WT_2_3-3	WT	191904	22178	0.999999999999984	10969	atac	Fibro-ADAM28	0.399142622321356
WT_2_3-4	WT	326911	31897	0.999999999999895	12761	atac	Epi	0.697544323564326
WT_2_3-5	WT	115811	16529	0.99999999999982	9329	atac	Fibro-ADAM28	0.326073461776665
WT_2_3-6	WT	275932	28541	0.999999999999778	12261	atac	Fibro-ADAM28	0.463962537258732
WT_2_3-7	WT	158836	20916	0.999999999999847	10521	atac	Fibro-ADAM28	0.522171572093218
