RNA_cell	ATAC_cell	score
WT_C-B7_75	WT_1_1-2	0.272727272727273
WD_C-C8_58	WT_1_1-3	0.181818181818182
WT_C-B3_26	WT_1_2-1	0.0909090909090909
WD_C-C6_48	WT_1_2-5	0.333333333333333
WDOU_C-B1_63	WT_1_3-2	1
WDOU_C-C4_41	WT_1_3-2	1
WDOU_C-D1_51	WT_1_3-2	1
WDOU_C-D2_71	WT_1_3-2	1
WT_C-D7_33	WT_1_3-2	1
WT_C-C8_96	WT_1_3-4	0.151515151515152
WT_C-C11_75	WT_1_3-5	0.181818181818182
WDOU_C-C5_02	WT_1_3-8	0.0909090909090909
WD_C-B7_01	WT_1_3-8	0.0606060606060606
WD_C-C8_79	WT_1_4-1	0.121212121212121
WT_C-C2_23	WT_1_4-2	0.363636363636364
WD_C-B5_59	WT_1_4-2	0.0909090909090909
WT_C-C2_04	WT_1_4-5	0.242424242424242
WT_C-C2_18	WT_1_4-5	0.0606060606060606
WD_C-B9_59	WT_1_4-5	0.212121212121212
WD_C-C3_94	WT_1_5-7	0.393939393939394
WT_C-B1_87	WT_1_5-8	0.303030303030303
WT_C-B1_95	WT_1_5-8	0.242424242424242
WT_C-B2_77	WT_1_5-8	0.363636363636364
WT_C-B4_56	WT_1_5-8	0.212121212121212
WDOU_C-B8_42	WT_1_6-3	0.0606060606060606
WD_C-C7_27	WT_1_6-3	0.272727272727273
WD_C-B2_18	WT_1_6-4	0.0909090909090909
WT_C-D10_31	WT_1_6-5	0.121212121212121
WDOU_C-C6_11	WT_1_6-6	0.545454545454545
WT_C-D10_33	WT_1_6-6	0.393939393939394
WT_C-D11_86	WT_1_6-6	0.333333333333333
WD_C-B8_80	WT_1_6-6	0.333333333333333
WT_C-B5_66	WT_1_6-6	0.484848484848485
WD_C-B7_67	WT_1_6-7	0.393939393939394
WT_C-B4_69	WT_1_6-8	0.0909090909090909
WD_C-B5_34	WT_1_7-2	0.121212121212121
WD_C-C6_90	WT_1_7-2	0.121212121212121
WT_C-C10_09	WT_1_8-1	0.0606060606060606
WT_C-C11_07	WT_1_8-3	0.212121212121212
WDOU_C-B2_61	WT_1_8-6	1
WDOU_C-B3_09	WT_1_8-6	1
WT_C-C3_76	WT_1_8-6	1
WT_C-B6_75	WT_1_8-6	1
WD_C-B8_47	WT_1_9-3	0.0606060606060606
WDOU_C-B7_67	WT_1_9-7	0.606060606060606
WT_C-D5_39	WT_1_9-7	0.242424242424242
WDOU_C-B1_59	WT_1_10-2	0.272727272727273
WT_C-C9_86	WT_1_10-2	0
WD_C-B4_19	WT_1_10-2	0.242424242424242
WDOU_C-B3_18	WT_1_10-6	0.303030303030303
WD_C-B5_04	WT_1_10-6	0.0606060606060606
WT_C-C7_20	WT_1_11-2	0.333333333333333
WD_C-B4_78	WT_1_11-4	0.0303030303030303
WT_C-B4_46	WT_1_11-5	0.121212121212121
WDOU_C-B4_08	WT_1_12-2	0.303030303030303
WDOU_C-C6_16	WT_1_12-2	0.0909090909090909
WD_C-B5_17	WT_1_12-4	0.181818181818182
WD_C-B10_83	WT_1_12-4	0.121212121212121
WDOU_C-C1_21	WT_1_12-5	0.0909090909090909
WD_C-C1_83	WT_2_1-1	0
WT_C-D7_69	WT_2_1-7	0.515151515151515
WT_C-B4_03	WT_2_1-7	0.515151515151515
WT_C-D7_72	WT_2_1-8	0.121212121212121
WT_C-C9_78	WT_2_2-6	0.242424242424242
WT_C-B6_05	WT_2_2-6	0.151515151515152
WDOU_C-B4_44	WT_2_2-7	0.454545454545455
WT_C-D5_08	WT_2_2-7	0.303030303030303
WD_C-C3_73	WT_2_3-1	0.333333333333333
WD_C-C7_68	WT_2_3-1	0.393939393939394
WT_C-C5_77	WT_2_3-3	0.181818181818182
WDOU_C-D3_93	WT_2_3-4	0.939393939393939
WT_C-C3_76	WT_2_3-4	0.96969696969697
WT_C-B6_75	WT_2_3-4	0.96969696969697
WDOU_C-D2_19	WT_2_3-7	0.363636363636364
WDOU_C-D5_81	WT_2_5-1	0.212121212121212
WDOU_C-C5_27	WT_2_5-2	0.818181818181818
WD_C-C7_96	WT_2_5-3	0.0303030303030303
WDOU_C-B2_88	WT_2_5-4	0.151515151515152
WDOU_C-B6_76	WT_2_5-4	0.121212121212121
WDOU_C-C9_60	WT_2_5-4	0.212121212121212
WT_C-D10_83	WT_2_6-3	0.181818181818182
WDOU_C-C6_29	WT_2_6-5	0.181818181818182
WD_C-B5_16	WT_2_6-6	0.242424242424242
WDOU_C-C3_43	WT_2_7-1	0.484848484848485
WD_C-B10_34	WT_2_7-1	0.272727272727273
WDOU_C-C10_44	WT_2_7-2	0.121212121212121
WT_C-D4_24	WT_2_7-2	0.151515151515152
