orig.ident	nCount_ATAC	nFeature_ATAC	nCount_ACTIVITY	nFeature_ACTIVITY	tech	predicted.id	prediction.score.max
XoX_1_1-1	XoX	276621	25206	0.999999999999941	9834	atac	Pre-T	0.764446011745237
XoX_1_1-2	XoX	133961	14723	1.00000000000004	7384	atac	T-DP	0.879433064190703
XoX_1_1-3	XoX	125036	14710	1.00000000000006	7731	atac	T-DP	0.485614563655092
XoX_1_1-4	XoX	159800	17251	0.999999999999976	8447	atac	Pre-T	0.651757474444672
XoX_1_1-5	XoX	102586	12929	0.999999999999912	7151	atac	T-DP	0.674585384467221
XoX_1_1-6	XoX	245504	22414	1.00000000000006	9326	atac	Pre-T	0.592051739162885
XoX_1_1-7	XoX	161024	17350	1.00000000000007	8400	atac	Pre-T	0.453826825555
XoX_1_1-8	XoX	100237	12761	0.999999999999769	6824	atac	T-DP	0.683641605359013
XoX_1_2-1	XoX	131089	14535	1.0000000000002	7557	atac	T-DP	0.603672690022128
XoX_1_2-2	XoX	101197	13165	0.999999999999989	6968	atac	T-Prol	0.627409412390226
XoX_1_2-3	XoX	151341	16094	0.999999999999815	8146	atac	T-DP	0.488699842644853
XoX_1_2-4	XoX	116562	13264	1.00000000000014	6795	atac	T-DP	0.577792145833377
XoX_1_2-5	XoX	155175	17244	1.00000000000013	8217	atac	Pre-T	0.494306022152785
XoX_1_2-6	XoX	190762	19714	1.00000000000013	8847	atac	T-DP	0.872989994711507
XoX_1_2-7	XoX	176534	16883	1.00000000000018	8076	atac	T-DP	0.648691501961111
XoX_1_2-8	XoX	148533	16220	1.00000000000016	8115	atac	T-DP	0.576509856503121
XoX_1_3-1	XoX	209856	20488	0.999999999999973	9174	atac	T-DP	0.533447463125097
XoX_1_3-2	XoX	84108	11063	1.00000000000011	6105	atac	T-DP	0.57576202329196
XoX_1_3-3	XoX	119400	14217	1.00000000000002	7226	atac	Pre-T	0.392840408226583
XoX_1_3-7	XoX	118909	14524	1.00000000000002	7184	atac	T-DP	0.773819102071892
XoX_1_3-8	XoX	145080	16215	1	8094	atac	Pre-T	0.783205771197798
XoX_1_4-1	XoX	114519	14281	0.999999999999936	7297	atac	Pre-T	0.536244881629224
XoX_1_4-2	XoX	124927	15457	1.00000000000022	7571	atac	T-Prol	0.525816548115519
XoX_1_4-3	XoX	132650	15588	0.999999999999983	7786	atac	T-DP	0.464806400743662
XoX_1_4-4	XoX	133369	14203	1.00000000000004	7340	atac	T-DP	0.545438310628237
XoX_1_4-5	XoX	92342	11911	0.999999999999998	6357	atac	T-DP	0.562932817600071
XoX_1_4-6	XoX	158525	16457	0.999999999999755	8260	atac	T-DP	0.692650591565387
XoX_1_4-7	XoX	72740	10197	0.999999999999962	5599	atac	Pre-T	0.532643336732181
XoX_1_4-8	XoX	198959	19972	1.00000000000015	9067	atac	T-DP	0.453601374336785
XoX_1_5-1	XoX	175346	18257	0.999999999999911	8575	atac	Pre-T	0.631503013957845
XoX_1_5-2	XoX	114308	14298	0.999999999999896	7383	atac	T-DP	0.586067258261551
XoX_1_5-3	XoX	91469	11975	0.999999999999842	6695	atac	T-DP	0.819362696238296
XoX_1_5-5	XoX	149893	16846	1.00000000000025	8102	atac	Pre-T	0.508137380563414
XoX_1_5-6	XoX	125170	14460	0.999999999999954	7531	atac	T-DP	0.595836840164546
XoX_1_5-7	XoX	187714	16804	0.999999999999951	8488	atac	T-DP	0.721728469946431
XoX_1_5-8	XoX	337213	29105	0.999999999999848	10543	atac	T-DP	0.500677753258249
XoX_1_6-1	XoX	157810	16325	0.999999999999973	8178	atac	T-DP	0.769350259001469
XoX_1_6-2	XoX	126813	15060	1.00000000000005	7179	atac	T-DP	0.665085129614657
XoX_1_6-3	XoX	73619	9916	1.00000000000017	5707	atac	T-DP	0.686126539276497
XoX_1_6-5	XoX	182269	17433	0.999999999999849	8529	atac	T-DP	0.575167679890288
XoX_1_6-6	XoX	141422	15697	0.999999999999929	7760	atac	Pre-T	0.492185842499802
XoX_1_6-7	XoX	110260	12221	0.999999999999982	6521	atac	T-DP	0.612564639186199
XoX_1_6-8	XoX	130260	14618	0.999999999999886	7312	atac	T-DP	0.463021520365982
XoX_1_7-1	XoX	185132	19596	0.999999999999774	8747	atac	T-DP	0.443563867530826
XoX_1_7-2	XoX	175274	18491	1.00000000000013	8751	atac	T-DP	0.65246497834362
XoX_1_7-3	XoX	277103	24182	0.99999999999983	10018	atac	T-DP	0.382283207947401
XoX_1_7-4	XoX	385011	26357	1.0000000000002	10328	atac	T-DP	0.849893766000118
XoX_1_7-5	XoX	112790	13827	0.999999999999948	6974	atac	T-DP	0.716609524942443
XoX_1_7-6	XoX	176481	17173	0.999999999999908	7985	atac	T-DP	0.510441973002748
XoX_1_7-7	XoX	111627	13120	0.999999999999956	7015	atac	T-DP	0.512325395789965
XoX_1_7-8	XoX	117434	14059	1.00000000000004	7354	atac	T-DP	0.921429643219085
XoX_1_8-1	XoX	146517	17093	1.00000000000016	8172	atac	T-DP	0.775960570794003
XoX_1_8-2	XoX	167585	17878	1	8640	atac	T-DP	0.846794632223664
XoX_1_8-3	XoX	118907	14230	0.999999999999886	7324	atac	T-DP	0.760832466223994
XoX_1_8-4	XoX	159831	17560	1.00000000000015	8334	atac	T-DP	0.576049655308312
XoX_1_8-5	XoX	165023	18270	0.999999999999975	8541	atac	T-DP	0.558309529794871
XoX_1_8-6	XoX	197526	20233	1.00000000000034	8992	atac	Pre-T	0.491774777021858
XoX_1_8-7	XoX	87028	10960	1.00000000000014	6041	atac	T-DP	0.489991128406101
XoX_1_8-8	XoX	165533	17757	1.00000000000031	8427	atac	T-DP	0.69125534560041
XoX_1_9-1	XoX	114875	14046	0.999999999999867	7226	atac	T-DP	0.578846065843498
XoX_1_9-2	XoX	125368	14751	1.00000000000004	7660	atac	Pre-T	0.596663723468114
XoX_1_9-3	XoX	123400	14722	0.999999999999847	7434	atac	Pre-T	0.610378265111961
XoX_1_9-4	XoX	183264	18544	1.00000000000034	8695	atac	Pre-T	0.938424659587919
XoX_1_9-5	XoX	121141	14533	0.999999999999977	7381	atac	Pre-T	0.425161129812354
XoX_1_9-6	XoX	189595	18471	0.999999999999971	8332	atac	T-DP	0.687924189258374
XoX_1_9-7	XoX	159265	17064	1.00000000000011	8218	atac	T-DP	0.663832869071348
XoX_1_10-2	XoX	89707	11803	1.00000000000009	6556	atac	T-Prol	0.751780892916213
XoX_1_10-3	XoX	116017	14013	0.999999999999797	7091	atac	Pre-T	0.50142887505616
