human	PR10T1cell1	21658409	15694970	14865535	72.47%	0.7247	68.64%	single	20.7000
human	PR10T1cell2	2287757	2027770	1962083	88.64%	0.8864	85.76%	single	2.0833
human	PR10T1cell3	1266814	1145948	1107480	90.46%	0.9046	87.42%	single	1.4000
human	PR10T1cell4	1166094	990718	949860	84.96%	0.8496	81.46%	single	1.3500
human	PR10T1cell5	2184471	1968603	1877411	90.12%	0.9012	85.94%	single	2.2833
human	PR10T1cell6	3011138	2696559	2579069	89.55%	0.8955	85.65%	single	2.9166
human	PR10T1cell7	2644194	2370702	2275488	89.66%	0.8966	86.06%	single	2.5000
human	PR10T1cell8	514000	458197	457555	89.14%	0.8914	89.02%	single	0.4166
human	PR10T1cell9	1788305	1557578	1496143	87.10%	0.8710	83.66%	single	1.7000
human	PR10T1cell10	1523322	1349695	1303875	88.60%	0.8860	85.59%	single	1.5500
human	PR10T1cell11	1103961	995061	961899	90.14%	0.9014	87.13%	single	1.0333
human	PR10T1cell12	827219	682549	657619	82.51%	0.8251	79.50%	single	0.8666
human	PR10T1cell13	1623154	1464320	1407088	90.21%	0.9021	86.69%	single	1.5166
human	PR10T1cell14	2151140	1924385	1850044	89.46%	0.8946	86.00%	single	2.0166
human	PR10T1cell15	1919136	1735632	1676388	90.44%	0.9044	87.35%	single	1.7166
human	PR10T1cell16	1350591	1204006	1158515	89.15%	0.8915	85.78%	single	1.2333
human	PR10T1cell17	1686185	1438785	1389076	85.33%	0.8533	82.38%	single	1.7500
human	PR10T1cell18	1644161	1438324	1370123	87.48%	0.8748	83.33%	single	1.6166
human	PR10T1cell19	1314247	1178672	1124458	89.68%	0.8968	85.56%	single	1.4333
human	PR10T1cell20	814185	686624	658972	84.33%	0.8433	80.94%	single	0.9666
human	PR10T1cell21	1997077	1789063	1706208	89.58%	0.8958	85.44%	single	2.1166
human	PR10T1cell22	2436060	2187146	2098065	89.78%	0.8978	86.13%	single	2.7166
human	PR10T1cell23	1837238	1622023	1545411	88.29%	0.8829	84.12%	single	4.8666
human	PR10T1cell24	1215665	1084829	1053086	89.24%	0.8924	86.63%	single	4.7000
human	PR10T1cell25	1659391	1473635	1425412	88.81%	0.8881	85.90%	single	5.1000
human	PR10T1cell26	1833312	1613454	1548679	88.01%	0.8801	84.47%	single	5.4000
human	PR10T1cell27	1179375	1052847	1011848	89.27%	0.8927	85.80%	single	4.8666
human	PR10T1cell28	738436	624639	600565	84.59%	0.8459	81.33%	single	3.8500
human	PR10T1cell29	1937396	1741472	1661350	89.89%	0.8989	85.75%	single	4.9166
human	PR10T1cell30	1968555	1763355	1698399	89.58%	0.8958	86.28%	single	4.9833
human	PR10T1cell31	1774109	1561225	1491796	88.00%	0.8800	84.09%	single	4.7666
human	PR10T1cell32	2996889	2708304	2605785	90.37%	0.9037	86.95%	single	6.0500
human	PR10T1cell33	1052618	913028	889829	86.74%	0.8674	84.53%	single	1.1333
human	PR10T1cell34	1798707	1583114	1530035	88.01%	0.8801	85.06%	single	1.8333
human	PR10T1cell35	1068648	956844	920371	89.54%	0.8954	86.12%	single	1.3166
human	PR10T1cell36	589562	486120	470644	82.45%	0.8245	79.83%	single	0.8833
human	PR10T1cell37	1760968	1573046	1495167	89.33%	0.8933	84.91%	single	2.0333
human	PR10T1cell38	1444501	1278800	1221194	88.53%	0.8853	84.54%	single	4.8500
human	PR10T1cell39	440005	391553	374796	88.99%	0.8899	85.18%	single	4.7333
human	PR10T1cell40	1163259	1037797	996815	89.21%	0.8921	85.69%	single	5.5833
human	PR10T1cell41	2039081	1795970	1704351	88.08%	0.8808	83.58%	single	6.4000
human	PR10T1cell42	2187295	1949005	1871539	89.11%	0.8911	85.56%	single	7.5166
human	PR10T1cell43	1226975	1117043	1083596	91.04%	0.9104	88.31%	single	1.2833
human	PR10T1cell44	657140	542103	527603	82.49%	0.8249	80.29%	single	0.8666
human	PR10T1cell45	2360394	2138991	2058481	90.62%	0.9062	87.21%	single	2.3666
human	PR10T1cell46	2133908	1913464	1839560	89.67%	0.8967	86.21%	single	2.2166
human	PR10T1cell47	2481610	2231585	2140279	89.92%	0.8992	86.25%	single	2.6500
human	PR10T1cell48	1698826	1504835	1427440	88.58%	0.8858	84.03%	single	2.7000
human	PR10T1cell49	1818562	1596860	1527301	87.81%	0.8781	83.98%	single	2.7833
human	PR10T1cell50	1923715	1695935	1639809	88.16%	0.8816	85.24%	single	2.8500
human	PR10T1cell51	1074512	969374	932493	90.22%	0.9022	86.78%	single	2.1166
human	PR10T1cell52	926764	797486	771798	86.05%	0.8605	83.28%	single	2.0666
human	PR10T1cell53	1385717	1249031	1191958	90.14%	0.9014	86.02%	single	6.7000
human	PR10T1cell54	2896208	2601870	2526448	89.84%	0.8984	87.23%	single	8.2333
human	PR10T1cell55	2903028	2627209	2539761	90.50%	0.9050	87.49%	single	8.3833
human	PR10T1cell56	1437948	1279387	1226141	88.97%	0.8897	85.27%	single	6.7833
human	PR10T1cell57	1640516	1456131	1397343	88.76%	0.8876	85.18%	single	7.0500
human	PR10T1cell58	1622262	1440487	1384748	88.79%	0.8879	85.36%	single	1.6500
human	PR10T1cell59	889801	798446	775017	89.73%	0.8973	87.10%	single	1.0333
human	PR10T1cell60	856205	736412	706147	86.01%	0.8601	82.47%	single	1.1000
human	PR10T1cell61	1816192	1632477	1567203	89.88%	0.8988	86.29%	single	1.9500
human	PR10T1cell62	132134	114708	112114	86.81%	0.8681	84.85%	single	0.5166
human	PR10T1cell63	1857379	1679723	1626770	90.44%	0.9044	87.58%	single	5.2333
human	PR10T1cell64	3178568	1059658	1023881	33.34%	0.3334	32.21%	single	5.8166
human	PR10T1cell65	2754388	2441683	2346686	88.65%	0.8865	85.20%	single	6.3833
human	PR10T1cell66	2187786	1898691	1826439	86.79%	0.8679	83.48%	single	5.7666
human	PR10T1cell67	1269490	1138911	1104364	89.71%	0.8971	86.99%	single	4.6666
human	PR10T1cell68	284615	227254	218872	79.85%	0.7985	76.90%	single	1.3000
human	PR10T1cell69	1366161	1230367	1190852	90.06%	0.9006	87.17%	single	2.2166
human	PR10T1cell70	2694133	2417806	2319225	89.74%	0.8974	86.08%	single	3.4333
human	PR10T1cell71	2898648	2555579	2431758	88.16%	0.8816	83.89%	single	3.6333
human	PR10T1cell72	1275676	1126033	1073812	88.27%	0.8827	84.18%	single	2.2500
human	PR10T1cell73	730149	636184	614629	87.13%	0.8713	84.18%	single	0.9166
human	PR10T1cell74	1617786	1433286	1376985	88.60%	0.8860	85.12%	single	1.5833
human	PR10T1cell75	859583	780270	760261	90.77%	0.9077	88.45%	single	0.9833
human	PR10T1cell76	694563	551314	526997	79.38%	0.7938	75.87%	single	0.9000
human	PR10T1cell77	260289	230753	220831	88.65%	0.8865	84.84%	single	0.5833
human	PR10T1cell78	2373391	2112371	2001921	89.00%	0.8900	84.35%	single	2.5166
human	PR10T1cell79	2004684	1798468	1723546	89.71%	0.8971	85.98%	single	2.0000
human	PR10T1cell80	1676239	1501732	1457707	89.59%	0.8959	86.96%	single	1.8500
human	PR10T1cell81	1558347	1343465	1282863	86.21%	0.8621	82.32%	single	1.6500
human	PR10T1cell82	1570851	1385522	1342720	88.20%	0.8820	85.48%	single	1.6500
human	PR10T1cell83	1002031	909665	846285	90.78%	0.9078	84.46%	single	1.8666
human	PR10T1cell84	649470	534119	518460	82.24%	0.8224	79.83%	single	1.5333
human	PR10T1cell85	766491	689247	670825	89.92%	0.8992	87.52%	single	1.6333
human	PR10T1cell86	1527534	1365582	1306842	89.40%	0.8940	85.55%	single	2.5000
human	PR10T1cell87	2087296	1877612	1799983	89.95%	0.8995	86.24%	single	3.1500
human	PR10T1cell88	1177834	1059746	1018814	89.97%	0.8997	86.50%	single	1.2833
human	PR10T1cell89	842689	731524	699826	86.81%	0.8681	83.05%	single	0.9666
human	PR10T1cell90	1172614	1025567	995599	87.46%	0.8746	84.90%	single	1.1500
human	PR10T1cell91	835686	749181	724478	89.65%	0.8965	86.69%	single	0.9666
human	PR10T1cell92	446185	363190	348875	81.40%	0.8140	78.19%	single	0.6333
human	PR10T1cell93	1090938	972683	935602	89.16%	0.8916	85.76%	single	1.2666
human	PR10T1cell94	758195	658899	624835	86.90%	0.8690	82.41%	single	0.9500
human	PR10T1cell95	1850088	1650255	1586793	89.20%	0.8920	85.77%	single	1.9666
human	PR10T1cell96	1723808	1522586	1461174	88.33%	0.8833	84.76%	single	1.8666
human	PR10T2cell1	2249195	1976223	1909166	87.86%	0.8786	84.88%	single	2.1333
human	PR10T2cell2	1977468	1761868	1691815	89.10%	0.8910	85.55%	single	1.9833
human	PR10T2cell3	1826389	1653771	1579850	90.55%	0.9055	86.50%	single	1.8666
human	PR10T2cell4	1790166	1486039	1408635	83.01%	0.8301	78.69%	single	1.9500
human	PR10T2cell5	1947268	1758475	1676505	90.30%	0.9030	86.10%	single	1.9500
human	PR10T2cell6	3051114	2733212	2604896	89.58%	0.8958	85.38%	single	3.0833
human	PR10T2cell7	2704945	2410571	2306259	89.12%	0.8912	85.26%	single	2.9500
human	PR10T2cell8	2442351	2153131	2075494	88.16%	0.8816	84.98%	single	11.1500
human	PR10T2cell9	1515756	1335541	1290139	88.11%	0.8811	85.12%	single	10.0833
human	PR10T2cell10	1436122	1245254	1206530	86.71%	0.8671	84.01%	single	10.1333
human	PR10T2cell11	1203058	1087558	1046558	90.40%	0.9040	86.99%	single	9.9166
human	PR10T2cell12	1045279	862380	823270	82.50%	0.8250	78.76%	single	9.8333
human	PR10T2cell13	1615886	1453886	1396271	89.97%	0.8997	86.41%	single	6.1333
human	PR10T2cell14	2516244	2256933	2165978	89.69%	0.8969	86.08%	single	6.1500
human	PR10T2cell15	2181016	1947743	1833649	89.30%	0.8930	84.07%	single	7.5333
human	PR10T2cell16	1115052	972149	932243	87.18%	0.8718	83.61%	single	5.8666
human	PR10T2cell17	1614520	1422033	1362691	88.08%	0.8808	84.40%	single	5.8500
human	PR10T2cell18	1408591	1237157	1200489	87.83%	0.8783	85.23%	single	8.9666
human	PR10T2cell19	1078364	970444	926392	89.99%	0.8999	85.91%	single	8.7666
human	PR10T2cell20	935249	753349	732355	80.55%	0.8055	78.31%	single	8.6666
human	PR10T2cell21	1992554	1779411	1695572	89.30%	0.8930	85.10%	single	10.2666
human	PR10T2cell22	2439907	2192957	2095270	89.88%	0.8988	85.87%	single	10.9166
human	PR10T2cell23	2807035	2540438	2442980	90.50%	0.9050	87.03%	single	9.0000
human	PR10T2cell24	1550214	1359615	1296477	87.70%	0.8770	83.63%	single	7.2000
human	PR10T2cell25	1687710	1494103	1440149	88.53%	0.8853	85.33%	single	7.2500
human	PR10T2cell26	1790304	1574751	1518314	87.96%	0.8796	84.81%	single	7.3666
human	PR10T2cell27	1138021	1028192	983238	90.35%	0.9035	86.40%	single	6.8000
human	PR10T2cell28	484295	397627	379603	82.10%	0.8210	78.38%	single	0.7333
human	PR10T2cell29	1809764	1627109	1573754	89.91%	0.8991	86.96%	single	1.7833
human	PR10T2cell30	1688990	1515057	1462264	89.70%	0.8970	86.58%	single	1.7000
human	PR10T2cell31	2725165	2448450	2348040	89.85%	0.8985	86.16%	single	2.7000
human	PR10T2cell32	938811	813496	782451	86.65%	0.8665	83.34%	single	1.1500
human	PR10T2cell33	1710238	1486529	1434404	86.92%	0.8692	83.87%	single	1.7333
human	PR10T2cell34	1175113	1032582	990880	87.87%	0.8787	84.32%	single	1.2500
human	PR10T2cell35	1340216	1209874	1166160	90.27%	0.9027	87.01%	single	1.4333
human	PR10T2cell36	848005	707288	687408	83.41%	0.8341	81.06%	single	1.0500
human	PR10T2cell37	2272656	2042634	1963782	89.88%	0.8988	86.41%	single	2.4333
human	PR10T2cell38	2654018	2375022	2294786	89.49%	0.8949	86.46%	single	5.2500
human	PR10T2cell39	2240328	2009861	1943206	89.71%	0.8971	86.74%	single	4.7500
human	PR10T2cell40	1709131	1504918	1437403	88.05%	0.8805	84.10%	single	4.5000
human	PR10T2cell41	2019062	1784320	1704004	88.37%	0.8837	84.40%	single	4.3833
human	PR10T2cell42	2132370	1890202	1824369	88.64%	0.8864	85.56%	single	4.7500
human	PR10T2cell43	1300442	1179762	1143974	90.72%	0.9072	87.97%	single	1.3166
human	PR10T2cell44	966982	785245	769726	81.21%	0.8121	79.60%	single	1.0333
human	PR10T2cell45	2668605	2418563	2291986	90.63%	0.9063	85.89%	single	2.7000
human	PR10T2cell46	3645354	3279997	3149392	89.98%	0.8998	86.39%	single	3.6500
human	PR10T2cell47	3377970	2983923	2868265	88.33%	0.8833	84.91%	single	3.4166
human	PR10T2cell48	2319729	2016813	1941280	86.94%	0.8694	83.69%	single	2.1833
human	PR10T2cell49	2089275	1877085	1791878	89.84%	0.8984	85.77%	single	2.0666
human	PR10T2cell50	1985261	1769204	1715381	89.12%	0.8912	86.41%	single	1.9833
human	PR10T2cell51	1495872	1357777	1305772	90.77%	0.9077	87.29%	single	1.6000
human	PR10T2cell52	931968	778026	749039	83.48%	0.8348	80.37%	single	1.3166
human	PR10T2cell53	1950031	1735700	1671286	89.01%	0.8901	85.71%	single	1.8333
human	PR10T2cell54	1243448	1106616	1066202	89.00%	0.8900	85.75%	single	1.3666
human	PR10T2cell55	3191813	2896411	2784476	90.75%	0.9075	87.24%	single	2.8833
human	PR10T2cell56	2474013	2216537	2133492	89.59%	0.8959	86.24%	single	2.4166
human	PR10T2cell57	867681	754737	718103	86.98%	0.8698	82.76%	single	1.1166
human	PR10T2cell58	1631538	1444391	1393669	88.53%	0.8853	85.42%	single	1.5333
