bigbatch	batch	UMI	intercon_UMI	row_intercon_UMI	col_intercon_UMI	UMI_alt	intercon_UMI_alt	row_intercon_UMI_alt	col_intercon_UMI_alt
SD-1_cell_1	SD	SD-1	34266	5002	4965	36	28938	3283	3283	0
SD-1_cell_2	SD	SD-1	28683	5046	4950	91	23983	3201	3201	0
SD-1_cell_3	SD	SD-1	17855	2500	2418	82	15538	1806	1806	0
SD-1_cell_5	SD	SD-1	8002	4553	4514	39	6163	3361	3361	0
SD-1_cell_6	SD	SD-1	13171	4652	4608	42	10913	3458	3458	0
SD-1_cell_7	SD	SD-1	6958	4625	4563	59	5179	3374	3374	0
SD-1_cell_8	SD	SD-1	25288	5125	5122	3	20706	2924	2924	0
SD-1_cell_9	SD	SD-1	20775	4306	4266	40	18744	3478	3478	0
SD-1_cell_10	SD	SD-1	28986	3915	3841	72	25525	3194	3193	0
SD-1_cell_11	SD	SD-1	20766	2308	2156	148	18262	1757	1754	2
SD-1_cell_13	SD	SD-1	22049	3125	3054	71	19573	2826	2825	1
SD-1_cell_14	SD	SD-1	31627	3531	3422	101	28048	3032	3024	3
SD-1_cell_15	SD	SD-1	33594	3146	3038	108	29825	2777	2776	1
SD-1_cell_16	SD	SD-1	5370	3292	3289	3	4583	2799	2799	0
SD-1_cell_17	SD	SD-1	28043	6435	6430	4	25472	6020	6020	0
SD-1_cell_18	SD	SD-1	9430	6822	6763	57	8672	6393	6393	0
SD-1_cell_19	SD	SD-1	5708	3951	3854	96	5068	3589	3588	1
SD-1_cell_21	SD	SD-1	31571	6450	6351	93	28474	6029	6027	0
SD-1_cell_22	SD	SD-1	44590	6490	6433	55	40596	6050	6048	1
SD-1_cell_23	SD	SD-1	30067	6353	6223	128	27238	5935	5934	0
SD-1_cell_24	SD	SD-1	37417	5290	5287	2	34228	5014	5013	0
SD-1_cell_25	SD	SD-1	13047	6993	6970	22	11170	5968	5966	1
SD-1_cell_26	SD	SD-1	18886	6391	6335	56	15992	4876	4876	0
SD-1_cell_27	SD	SD-1	20925	3438	3275	156	18200	2443	2441	1
SD-1_cell_29	SD	SD-1	22745	5882	5836	45	19747	4897	4897	0
SD-1_cell_30	SD	SD-1	27224	5145	5032	111	23945	4011	4010	1
SD-1_cell_31	SD	SD-1	52085	5085	4988	94	46067	4118	4115	2
SD-1_cell_32	SD	SD-1	32838	4117	4116	1	29843	3650	3650	0
SD-1_cell_33	SD	SD-1	27713	4113	4061	49	23177	3695	3694	0
SD-1_cell_34	SD	SD-1	24708	4085	4005	78	21089	3696	3696	0
SD-1_cell_35	SD	SD-1	16472	2419	2260	155	13758	2043	2042	0
SD-1_cell_37	SD	SD-1	33692	4137	4093	42	28352	3772	3771	0
SD-1_cell_38	SD	SD-1	29386	4449	4187	258	24403	3793	3791	1
SD-1_cell_39	SD	SD-1	29335	4125	4060	61	24945	3757	3755	0
SD-1_cell_40	SD	SD-1	36708	3334	3333	1	31740	3091	3091	0
SD-1_cell_41	SD	SD-1	55646	5306	5221	83	46756	4836	4836	0
SD-1_cell_42	SD	SD-1	64466	5216	5055	155	56331	4717	4715	2
SD-1_cell_43	SD	SD-1	29500	3240	3013	219	23552	2687	2686	0
SD-1_cell_45	SD	SD-1	77866	4995	4906	88	66265	4610	4610	0
SD-1_cell_46	SD	SD-1	67024	5541	5409	126	55231	5002	4998	0
SD-1_cell_47	SD	SD-1	11399	5616	5505	109	9697	5164	5164	0
SD-1_cell_48	SD	SD-1	29162	4593	4589	4	25266	4283	4283	0
SD-1_cell_49	SD	SD-1	18640	3762	3723	37	15847	3326	3326	0
SD-1_cell_50	SD	SD-1	28128	3382	3303	77	24406	3068	3067	1
SD-1_cell_51	SD	SD-1	14152	2410	2194	210	11771	1761	1759	2
SD-1_cell_53	SD	SD-1	31413	3949	3907	41	26701	3280	3279	1
SD-1_cell_54	SD	SD-1	25027	4652	4566	81	20989	3570	3567	0
SD-1_cell_55	SD	SD-1	31579	3865	3801	64	26690	3298	3298	0
SD-1_cell_56	SD	SD-1	22925	3074	3072	2	20013	2796	2796	0
SD-1_cell_57	SD	SD-1	43368	5319	5220	93	33951	4584	4584	0
SD-1_cell_58	SD	SD-1	64839	5217	5071	142	56256	4519	4518	0
SD-1_cell_59	SD	SD-1	34350	3103	2890	200	27096	2542	2541	0
SD-1_cell_61	SD	SD-1	33886	5694	5651	38	28809	5010	5010	0
SD-1_cell_62	SD	SD-1	25298	5949	5846	97	20462	5194	5194	0
SD-1_cell_63	SD	SD-1	9433	4757	4712	43	8130	4389	4389	0
SD-1_cell_64	SD	SD-1	22862	4332	4328	4	19671	3922	3922	0
SD-1_cell_65	SD	SD-1	53341	7059	6990	67	47219	6587	6585	2
SD-1_cell_66	SD	SD-1	49537	6641	6521	117	43880	6194	6193	1
SD-1_cell_67	SD	SD-1	19312	4312	4130	177	16740	3861	3858	2
SD-1_cell_69	SD	SD-1	33945	7324	7208	109	29980	6853	6850	1
SD-1_cell_70	SD	SD-1	33863	7752	7510	232	29783	7035	7028	1
SD-1_cell_71	SD	SD-1	31038	7203	7093	107	27190	6778	6775	3
SD-1_cell_72	SD	SD-1	62410	5439	5438	1	55326	5132	5132	0
SD-1_cell_73	SD	SD-1	22343	3356	3316	40	19001	2858	2857	1
SD-1_cell_74	SD	SD-1	17773	4029	3977	52	14892	3152	3152	0
SD-1_cell_75	SD	SD-1	16217	2372	2248	118	13652	1754	1752	0
SD-1_cell_77	SD	SD-1	9026	4010	3990	19	7186	3189	3189	0
SD-1_cell_78	SD	SD-1	10694	4354	4321	31	8391	3304	3304	0
SD-1_cell_79	SD	SD-1	15136	4335	4319	16	12321	3529	3529	0
SD-1_cell_80	SD	SD-1	4866	2769	2767	1	4159	2455	2454	0
SD-1_cell_81	SD	SD-1	13562	5736	5674	61	11134	5256	5256	0
SD-1_cell_82	SD	SD-1	11274	3989	3870	118	9544	3689	3688	1
SD-1_cell_83	SD	SD-1	28604	2275	2055	208	22246	1852	1850	0
SD-1_cell_85	SD	SD-1	64212	4101	4059	41	55935	3849	3849	0
SD-1_cell_86	SD	SD-1	63890	2674	2572	100	51185	2347	2346	1
SD-1_cell_87	SD	SD-1	26701	3600	3530	68	21120	3273	3271	0
SD-1_cell_88	SD	SD-1	6976	2834	2834	0	6107	2624	2624	0
SD-1_cell_89	SD	SD-1	50272	2563	2531	28	43749	2359	2356	0
SD-1_cell_90	SD	SD-1	27867	2729	2674	54	25000	2517	2517	0
SD-1_cell_91	SD	SD-1	15388	1641	1495	140	13290	1385	1384	1
SD-1_cell_93	SD	SD-1	28247	2666	2648	17	25053	2490	2489	0
SD-1_cell_94	SD	SD-1	5958	2896	2805	89	5167	2618	2617	0
