bigbatch	batch	intercon_rate	row_intercon_rate	col_intercon_rate	intercon_rate_alt	row_intercon_rate_alt	col_intercon_rate_alt
SD-1_cell_1	SD	SD-1	0.145975602638184	0.144895815093679	0.00105060409735598	0.113449443638123	0.113449443638123	0
SD-1_cell_2	SD	SD-1	0.175923020604539	0.172576090367116	0.00317261095422376	0.133469540924822	0.133469540924822	0
SD-1_cell_3	SD	SD-1	0.140016802016242	0.135424250910109	0.00459255110613274	0.116231175183421	0.116231175183421	0
SD-1_cell_5	SD	SD-1	0.568982754311422	0.564108972756811	0.00487378155461135	0.54535128995619	0.54535128995619	0
SD-1_cell_6	SD	SD-1	0.353200212588262	0.349859539898261	0.00318882393136436	0.31686978832585	0.31686978832585	0
SD-1_cell_7	SD	SD-1	0.664702500718597	0.655791894222478	0.00847944811727508	0.651477119134968	0.651477119134968	0
SD-1_cell_8	SD	SD-1	0.202665295792471	0.202546662448592	0.000118633343878519	0.141215106732348	0.141215106732348	0
SD-1_cell_9	SD	SD-1	0.207268351383875	0.205342960288809	0.00192539109506619	0.185552710200598	0.185552710200598	0
SD-1_cell_10	SD	SD-1	0.135065203891534	0.132512247291796	0.00248395777271786	0.12513222331048	0.125093046033301	0
SD-1_cell_11	SD	SD-1	0.111143214870461	0.103823557738611	0.00712703457574882	0.096210710765524	0.0960464352206768	0.000109517029898149
SD-1_cell_13	SD	SD-1	0.141729783663658	0.13850968297882	0.00322010068483831	0.144382567823022	0.144331477034691	5.10907883308639e-05
SD-1_cell_14	SD	SD-1	0.111645113352515	0.108198690991874	0.00319347393050242	0.108100399315459	0.10781517398745	0.000106959498003423
SD-1_cell_15	SD	SD-1	0.0936476751800917	0.0904328153836995	0.00321485979639221	0.0931098072087175	0.0930762782900251	3.35289186923722e-05
SD-1_cell_16	SD	SD-1	0.613035381750466	0.612476722532588	0.000558659217877095	0.610735326205542	0.610735326205542	0
SD-1_cell_17	SD	SD-1	0.229469029704383	0.229290732090005	0.000142638091502336	0.236337939698492	0.236337939698492	0
SD-1_cell_18	SD	SD-1	0.723435843054083	0.717179215270414	0.00604453870625663	0.737200184501845	0.737200184501845	0
SD-1_cell_19	SD	SD-1	0.69218640504555	0.675192711983182	0.0168185003503854	0.708168902920284	0.707971586424625	0.000197316495659037
SD-1_cell_21	SD	SD-1	0.204301415856324	0.201165626682715	0.00294574134490513	0.21173702324928	0.211666783732528	0
SD-1_cell_22	SD	SD-1	0.145548329221799	0.144270015698587	0.00123346041713389	0.149029461030643	0.148980195093113	2.46329687653956e-05
SD-1_cell_23	SD	SD-1	0.211294775002494	0.206971097881398	0.00425715901154089	0.217894118510904	0.217857405095822	0
SD-1_cell_24	SD	SD-1	0.141379586818826	0.141299409359382	5.34516396290456e-05	0.146488255229637	0.146459039382961	0
SD-1_cell_25	SD	SD-1	0.535985283973327	0.534222426611482	0.00168621138959148	0.534288272157565	0.534109221128022	8.95255147717099e-05
SD-1_cell_26	SD	SD-1	0.338398813936249	0.335433654558933	0.00296515937731653	0.304902451225613	0.304902451225613	0
SD-1_cell_27	SD	SD-1	0.164301075268817	0.156511350059737	0.00745519713261649	0.134230769230769	0.134120879120879	5.49450549450549e-05
SD-1_cell_29	SD	SD-1	0.258606287096065	0.256583864585623	0.00197845680369312	0.247987036005469	0.247987036005469	0
SD-1_cell_30	SD	SD-1	0.188987657948869	0.18483690861005	0.0040772847487511	0.167508874504072	0.167467112131969	4.17623721027354e-05
SD-1_cell_31	SD	SD-1	0.097628875875972	0.0957665354708649	0.00180474224824806	0.0893915384114442	0.0893264158725335	4.3415025940478e-05
SD-1_cell_32	SD	SD-1	0.1253730434253	0.125342590900786	3.04525245142822e-05	0.122306738598666	0.122306738598666	0
