human	HJC-1_cell1	412188	340952	324148	82.72%	0.8272	78.64%	single	0.6000
human	HJC-1_cell2	204264	156784	147866	76.76%	0.7676	72.39%	single	0.4500
human	HJC-1_cell3	192751	168358	159717	87.34%	0.8734	82.86%	single	0.4500
human	HJC-1_cell4	92	81	78	88.04%	0.8804	84.78%	single	0.3000
human	HJC-1_cell5	669739	588652	567764	87.89%	0.8789	84.77%	single	0.8500
human	HJC-1_cell6	149919	119320	112716	79.59%	0.7959	75.18%	single	0.4167
human	HJC-1_cell7	284100	243787	231285	85.81%	0.8581	81.41%	single	0.5333
human	HJC-1_cell8	110343	77175	73728	69.94%	0.6994	66.82%	single	0.4167
human	HJC-1_cell9	262403	222557	210124	84.81%	0.8481	80.08%	single	0.5167
human	HJC-1_cell10	158783	120686	114125	76.01%	0.7601	71.87%	single	0.4500
human	HJC-1_cell11	27293	18509	18199	67.82%	0.6782	66.68%	single	3.1333
human	HJC-1_cell12	308	287	277	93.18%	0.9318	89.94%	single	3.1167
human	HJC-1_cell13	599062	512770	492811	85.60%	0.8560	82.26%	single	3.6333
human	HJC-1_cell14	476084	411504	387640	86.44%	0.8644	81.42%	single	3.5000
human	HJC-1_cell15	58024	42122	40330	72.59%	0.7259	69.51%	single	3.1667
human	HJC-1_cell16	26976	14172	13522	52.54%	0.5254	50.13%	single	0.3167
human	HJC-1_cell17	671596	584664	556290	87.06%	0.8706	82.83%	single	0.8500
human	HJC-1_cell18	135053	83958	67058	62.17%	0.6217	49.65%	single	0.4000
human	HJC-1_cell19	230763	199842	191845	86.60%	0.8660	83.14%	single	0.5167
human	HJC-1_cell20	240	197	189	82.08%	0.8208	78.75%	single	0.3000
human	HJC-1_cell21	79584	60436	56007	75.94%	0.7594	70.37%	single	0.3667
human	HJC-1_cell22	930318	792847	757705	85.22%	0.8522	81.45%	single	1.2667
human	HJC-1_cell23	247272	210481	196793	85.12%	0.8512	79.59%	single	0.4833
human	HJC-1_cell24	42749	22035	21239	51.55%	0.5155	49.68%	single	0.2833
human	HJC-1_cell25	397128	328225	315198	82.65%	0.8265	79.37%	single	0.6333
human	HJC-1_cell26	302753	254045	245393	83.91%	0.8391	81.05%	single	0.6833
human	HJC-1_cell27	326926	284703	269251	87.08%	0.8708	82.36%	single	0.7167
human	HJC-1_cell28	145	120	117	82.76%	0.8276	80.69%	single	0.4500
human	HJC-1_cell29	278684	238364	228305	85.53%	0.8553	81.92%	single	0.6833
human	HJC-1_cell30	445566	381832	360295	85.70%	0.8570	80.86%	single	0.9000
human	HJC-1_cell31	135649	102982	98926	75.92%	0.7592	72.93%	single	0.5500
human	HJC-1_cell32	75284	48908	45187	64.96%	0.6496	60.02%	single	0.5000
human	HJC-1_cell33	221716	182284	169151	82.22%	0.8222	76.29%	single	0.6333
human	HJC-1_cell34	294279	248331	237095	84.39%	0.8439	80.57%	single	0.6833
human	HJC-1_cell35	52487	42631	41113	81.22%	0.8122	78.33%	single	0.5000
human	HJC-1_cell36	73	58	54	79.45%	0.7945	73.97%	single	0.3167
human	HJC-1_cell37	327474	280991	269441	85.81%	0.8581	82.28%	single	0.5667
human	HJC-1_cell38	72727	48893	39972	67.23%	0.6723	54.96%	single	0.3667
human	HJC-1_cell39	33750	25274	24292	74.89%	0.7489	71.98%	single	0.3333
human	HJC-1_cell40	480407	411802	394909	85.72%	0.8572	82.20%	single	0.7500
human	HJC-1_cell41	43311	18648	18219	43.06%	0.4306	42.07%	single	0.4167
human	HJC-1_cell42	372567	309529	295971	83.08%	0.8308	79.44%	single	0.6833
human	HJC-1_cell43	32184	21913	21625	68.09%	0.6809	67.19%	single	0.4167
