species	organ	plate	cell	ABratio	cleanReads	mpRatio	genes	nUMI	mito	ercc_ratio	avg_cor	filter	CO
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell1	0.839250156944162	1650448	0.8742	9389	151280	0.0820729772607086	0.00411843227899313	0.793477096842024	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell2	0.881698177914847	1603915	0.8718	8571	100259	0.0852791270609122	0.00558170061268795	0.785554479048398	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell3	0.910041682455476	55158	0.852	5001	25559	0.0515278375523299	0.0219824408551706	0.68454389980393	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell5	0.910876382241294	1258223	0.8696	8280	87902	0.0812040681668221	0.00542435706370133	0.781316521484052	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell6	0.88948047336042	1159820	0.8796	9064	103836	0.0518895180862129	0.00371161491174137	0.78403500269032	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell7	0.895088345891952	69555	0.8442	5306	31041	0.0507715601945814	0.0943665489314638	0.701925708216255	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell8	0.856075382437908	748383	0.8755	8173	104328	0.0751859519975462	0.00346721202522016	0.781418389301704	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell9	0.849745017629345	1914152	0.8768	9261	143787	0.0646581401656617	0.00525433609803576	0.796658858214032	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell10	0.884977372863921	3077120	0.8564	9648	166401	0.091237432467353	0.00409944289827332	0.794742698133549	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell11	0.903569511171069	75440	0.8537	5462	31484	0.0505336043704739	0.0764783695066386	0.706908282357559	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell13	0.896629152954082	2062042	0.8439	9639	159557	0.082465827259224	0.00238215058534647	0.798444789784227	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell14	0.884379653131704	1785204	0.8782	9648	167900	0.0749910661107802	0.00175126295582322	0.799072552357082	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell15	0.91628962523384	1935115	0.8714	9371	167473	0.0486824741898694	0.00545732890325656	0.792849514470583	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell16	0.881107675641517	1142417	0.8857	8851	142354	0.0597313738988718	0.00390145040320189	0.792475533016135	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell17	0.84136302697533	1121443	0.875	8032	82621	0.0807300807300807	0.00206680775672197	0.779875762913861	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell18	0.743678373762936	41648	0.8046	4059	16780	0.0607866507747318	0.119685235295947	0.63628077294872	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell19	0.903342484264153	528234	0.8711	7629	70704	0.0717073998642227	0.00171407964650246	0.775551543927369	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell21	0.877550998965048	952293	0.8613	8157	84065	0.0752869803128531	0.00244340115296792	0.780226949119353	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell22	0.846214164197779	566747	0.8756	7769	74990	0.061941592212295	0.00212879866770215	0.781590415773981	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell23	0.870218830495293	1057351	0.8698	8845	120674	0.069609029285513	0.00164199478909807	0.792461378751462	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell24	0.820635462931329	19336	0.7706	2937	9141	0.0581993217372279	0.0574172742568704	0.556427001723196	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell25	0.851751339079366	1703685	0.8784	9113	136363	0.060419615291538	0.00666122931109642	0.794896589200119	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell26	0.791672595332954	100791	0.851	5805	35237	0.0536651814853705	0.162562893463941	0.720952822486089	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell27	0.916082067967123	1412635	0.8777	9018	112855	0.0728811306543795	0.00459231243674223	0.794037481475629	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell29	0.886888068880689	101740	0.8327	6180	40954	0.0631440152366069	0.103940929206267	0.728987303611514	FALSE	NA
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell30	0.869547992122016	1548357	0.8896	9664	149497	0.0537201415413018	0.00305622816569642	0.794520039707139	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell31	0.898249378468277	2093422	0.8595	9774	188720	0.0640578635014837	0.00302925880735461	0.797419469974073	TRUE	HEK293T cells
human	HEK293T	PR10_XXL_501_S26_L004	501_S26_L004_cell32	0.841022376598951	1114729	0.8819	8848	128603	0.0479304526332978	0.0032506197898332	0.794052809999884	TRUE	HEK293T cells
