species	organ	plate	cell	ABratio	cleanReads	mpRatio	genes	nUMI	mito	avg.cor	filter	CO
human	blood	PR10_XXL_X-B-2	PR10XB2cell1	0.915694601430966	745766	0.7891	3068	12773	0.0833007124403038	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell2	0.955590271890054	1556759	0.8842	4017	23093	0.0672498159615468	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell3	0.973859276884375	756742	0.8884	3177	15538	0.0366198996009782	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell4	0.951583466347224	721191	0.8273	2454	8603	0.0634662327095199	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell5	0.980372396729274	1103699	0.8889	3641	19276	0.0557688317078232	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell6	0.974034889591194	1530800	0.8908	4067	26682	0.0458361442170752	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell7	0.976345059092321	1551041	0.8917	3884	23104	0.0457929362880886	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell8	0.979247592188581	941446	0.8669	3193	15338	0.0505932976920068	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell9	0.949083436998783	1040415	0.8609	3401	16459	0.042469165805942	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell10	0.954961371860513	1508821	0.8768	4357	32318	0.0776038121170865	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell11	0.97715196819988	812854	0.8948	3337	17862	0.0427163811443287	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell12	0.917762833126307	481322	0.8215	2181	7268	0.0715465052283985	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell13	0.977107938851319	1121671	0.8731	3708	22102	0.0469188308750339	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell14	0.977346435494743	1332445	0.8868	3960	24830	0.0576318968989126	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell15	0.972932241073161	1042406	0.8768	3634	18501	0.05037565536998	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell16	0.985259399209334	1053861	0.8761	3473	19602	0.0526987042138557	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell17	0.924461803613881	1110766	0.8576	3742	20500	0.0532195121951219	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell18	0.914209271809303	718981	0.8312	3381	16595	0.0711660138595963	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell19	0.973604033701541	756349	0.8955	3240	14612	0.0463317820969067	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell20	0.907700511056058	492199	0.7951	2621	9391	0.0698541156426366	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell21	0.982764697892183	1304821	0.8933	4010	22988	0.044718983817644	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell22	0.976830094128801	1972171	0.8883	4719	36147	0.0494370210529228	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell23	0.964992978291924	1380718	0.8908	4182	25812	0.0425770959243763	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell24	0.98439246334991	958039	0.8621	3478	16665	0.0417641764176418	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell25	0.942531373275739	1301491	0.8563	3915	22011	0.0489755122438781	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell26	0.941405455956117	1747028	0.8762	4085	26598	0.0697044890593278	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell27	0.982675701696771	988713	0.887	3523	19191	0.0456463967484758	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell28	0.908234210728263	644544	0.8261	2777	12526	0.0766405875778381	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell29	0.987948529558743	2319965	0.8968	4835	39965	0.0568747654197423	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell30	0.986864854549689	3494322	0.9087	5540	54375	0.0515126436781609	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell31	0.977144486879605	1641605	0.8957	4505	33687	0.0582420518300828	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell32	0.983376012316363	1365443	0.8776	3996	24434	0.0381435704346403	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell33	0.943496925198273	1284764	0.8628	3614	27316	0.0333138087567726	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell34	0.937759344786725	1049424	0.8691	3220	21689	0.0547282032366637	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell35	0.982904039008464	1083930	0.8926	3430	24421	0.0322673109209287	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell36	0.895918901553911	463493	0.8264	2213	8269	0.0688112226387713	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell37	0.979949224237909	1187625	0.8864	3642	27090	0.0605758582502769	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell38	0.987043630986382	2826189	0.8964	5088	70789	0.05735354362966	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell39	0.978525255104382	1371358	0.8946	3697	27834	0.0493281598045556	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell40	0.979513436285798	913617	0.8674	3321	21531	0.0381775114950536	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell41	0.944907290204291	1275882	0.8717	4325	52813	0.0425274080245394	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell42	0.907592586894762	681917	0.8727	3510	30497	0.0584975571367676	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell43	0.983019854142986	1522242	0.8986	4642	71546	0.0404495010203226	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell44	0.917463776826848	774669	0.8186	3184	30017	0.0842189425991938	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell45	0.985935149992255	1657703	0.905	4703	81671	0.0290433568831042	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell46	0.979481525672219	1255545	0.8793	4291	48455	0.0486224331854298	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell47	0.984646307141922	1197555	0.8937	4252	50458	0.0332751991755519	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell48	0.978965955242486	1044889	0.8823	3799	43723	0.0495620154152277	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell49	0.945472967084047	1217728	0.8584	3776	27125	0.0475576036866359	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell50	0.890961314186298	919593	0.8599	3363	20712	0.0646002317497103	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell51	0.980093751367871	1148899	0.8915	3730	28381	0.0538388358408795	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell52	0.923555914447976	713608	0.8268	2465	11795	0.0652818991097923	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell53	0.982309025420167	1413347	0.893	3796	30573	0.0667582507441206	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell54	0.978982627682425	2032529	0.8921	4831	49199	0.0669119291042501	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell55	0.976419777601271	1529212	0.9006	4360	35370	0.0325699745547074	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell56	0.980550909942949	1299162	0.8835	3779	27659	0.0420477963773094	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell57	0.96947306038559	2481868	0.8909	5409	131926	0.052036747873808	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell58	0.954217506401774	1992520	0.9189	4009	58672	0.0606763021543496	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell59	0.959074156229738	578784	0.8814	3444	28208	0.0410876347135564	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell60	0.921399324558505	612074	0.8233	2919	24531	0.0570706453059394	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell61	0.987074431202185	1987701	0.8931	4640	93720	0.0716709346991037	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell62	0.969797157626615	1229806	0.8902	4199	51695	0.0469291033949125	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell63	0.976377674553938	2373094	0.9009	5168	98835	0.0412303333839227	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell64	0.988415594925597	1444064	0.88	3932	56941	0.0550218647371841	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell65	0.931802923730398	1328230	0.8704	4361	30682	0.0511700671403429	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell66	0.933372407645213	1104258	0.8678	3626	21466	0.05352650703438	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell67	0.96009790590155	626014	0.8799	3234	16192	0.0458250988142292	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell68	0.931541976153245	920070	0.8362	3352	19234	0.0752833523967973	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell69	0.978335021107597	1087735	0.8845	4055	26627	0.0573478048597288	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell70	0.891258231221484	756915	0.8278	3970	18003	0.057545964561462	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell71	0.97469191812197	1684281	0.905	4387	28046	0.0415389003779505	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell72	0.957691327875189	508160	0.8275	3279	14866	0.0445984124848648	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell73	0.957386882684605	1501417	0.866	4217	33134	0.0436711534979175	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell74	0.939427511516476	1206909	0.8699	3496	23914	0.0571631680187338	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell75	0.931796849691697	394342	0.8696	2942	12655	0.0485183721849071	1	FALSE	NA
human	blood	PR10_XXL_X-B-2	PR10XB2cell76	0.909862403512044	529003	0.8313	2331	9537	0.0632274300094369	1	TRUE	B cells
human	blood	PR10_XXL_X-B-2	PR10XB2cell77	0.985855795623722	1641018	0.9012	4436	38774	0.0336049930365709	1	TRUE	B cells
