human	PR10XT1cell1	1635012	1406667	1300758	86.03%	0.8603	79.56%	single	1.5833
human	PR10XT1cell2	1282281	1091490	1053305	85.12%	0.8512	82.14%	single	3.2500
human	PR10XT1cell3	1248685	1123116	1057868	89.94%	0.8994	84.72%	single	1.2333
human	PR10XT1cell4	1054140	869500	824775	82.48%	0.8248	78.24%	single	1.0833
human	PR10XT1cell5	1820888	1629328	1549237	89.48%	0.8948	85.08%	single	1.7500
human	PR10XT1cell6	1769302	1577048	1499863	89.13%	0.8913	84.77%	single	1.6833
human	PR10XT1cell7	3023581	2727838	2602236	90.22%	0.9022	86.06%	single	3.2166
human	PR10XT1cell8	682076	600494	554918	88.04%	0.8804	81.36%	single	0.7500
human	PR10XT1cell9	1651727	1458511	1381838	88.30%	0.8830	83.66%	single	1.6333
human	PR10XT1cell10	1614328	1434525	1384188	88.86%	0.8886	85.74%	single	1.5333
human	PR10XT1cell11	1089646	975742	927286	89.55%	0.8955	85.10%	single	1.0833
human	PR10XT1cell12	477778	398698	382967	83.45%	0.8345	80.16%	single	0.5000
human	PR10XT1cell13	1401173	1171974	1124867	83.64%	0.8364	80.28%	single	1.3166
human	PR10XT1cell14	1772537	1593655	1505940	89.91%	0.8991	84.96%	single	1.9000
human	PR10XT1cell15	2864174	2597591	2487102	90.69%	0.9069	86.83%	single	3.1666
human	PR10XT1cell16	164100	130778	123501	79.69%	0.7969	75.26%	single	0.2333
human	PR10XT1cell17	1462433	1269924	1204703	86.84%	0.8684	82.38%	single	1.5000
human	PR10XT1cell18	1207578	1045885	985214	86.61%	0.8661	81.59%	single	1.2166
human	PR10XT1cell19	969812	859589	818512	88.63%	0.8863	84.40%	single	0.9666
human	PR10XT1cell20	907343	765434	724691	84.36%	0.8436	79.87%	single	0.9500
human	PR10XT1cell21	1666461	1497152	1439594	89.84%	0.8984	86.39%	single	1.5333
human	PR10XT1cell22	1361789	1206018	1132177	88.56%	0.8856	83.14%	single	1.4333
human	PR10XT1cell23	2260916	2025534	1928303	89.59%	0.8959	85.29%	single	2.1000
human	PR10XT1cell24	182034	105575	99699	58.00%	0.5800	54.77%	single	0.3666
human	PR10XT1cell25	1896378	1662189	1572487	87.65%	0.8765	82.92%	single	1.9500
human	PR10XT1cell26	2058251	1822549	1707765	88.55%	0.8855	82.97%	single	2.0500
human	PR10XT1cell27	1188203	1069489	1025666	90.01%	0.9001	86.32%	single	1.1833
human	PR10XT1cell28	848871	737678	697759	86.90%	0.8690	82.20%	single	0.8666
human	PR10XT1cell29	1297511	1137416	1074745	87.66%	0.8766	82.83%	single	1.3833
human	PR10XT1cell30	1430693	1283246	1180761	89.69%	0.8969	82.53%	single	1.8333
human	PR10XT1cell31	2746205	2459425	2335465	89.56%	0.8956	85.04%	single	4.8500
human	PR10XT1cell32	1394570	1245217	1172068	89.29%	0.8929	84.05%	single	1.5166
