human	PR10Xmono1cell1	2057887	1770198	1706473	86.02%	0.8602	82.92%	single	2.8333
human	PR10Xmono1cell2	2219377	1925768	1853683	86.77%	0.8677	83.52%	single	2.3166
human	PR10Xmono1cell3	1162274	1011387	977171	87.02%	0.8702	84.07%	single	1.3333
human	PR10Xmono1cell4	1216349	981947	941501	80.73%	0.8073	77.40%	single	3.9833
human	PR10Xmono1cell5	1186541	1015823	983555	85.61%	0.8561	82.89%	single	1.2833
human	PR10Xmono1cell6	2864095	2480248	2392125	86.60%	0.8660	83.52%	single	3.1000
human	PR10Xmono1cell7	3441728	3037307	2940541	88.25%	0.8825	85.44%	single	3.5666
human	PR10Xmono1cell8	1464615	1236695	1192367	84.44%	0.8444	81.41%	single	1.7666
human	PR10Xmono1cell9	1727662	1473935	1419466	85.31%	0.8531	82.16%	single	1.8666
human	PR10Xmono1cell10	1046730	864215	834971	82.56%	0.8256	79.77%	single	3.3166
human	PR10Xmono1cell11	2653099	2327477	2249877	87.73%	0.8773	84.80%	single	3.2333
human	PR10Xmono1cell12	980203	784012	755245	79.98%	0.7998	77.05%	single	1.1000
human	PR10Xmono1cell13	1419441	1220423	1175391	85.98%	0.8598	82.81%	single	1.6333
human	PR10Xmono1cell14	764501	638776	606764	83.55%	0.8355	79.37%	single	1.0000
human	PR10Xmono1cell15	2762661	2411102	2325484	87.27%	0.8727	84.18%	single	4.4166
human	PR10Xmono1cell16	1860661	1610374	1560734	86.55%	0.8655	83.88%	single	1.9666
human	PR10Xmono1cell17	1304434	1076240	1034485	82.51%	0.8251	79.31%	single	1.5166
human	PR10Xmono1cell18	1923297	1632639	1574692	84.89%	0.8489	81.87%	single	4.8666
human	PR10Xmono1cell19	1293608	1132039	1094234	87.51%	0.8751	84.59%	single	1.4333
human	PR10Xmono1cell20	1261497	1004765	965929	79.65%	0.7965	76.57%	single	4.3166
human	PR10Xmono1cell21	2425935	2100894	2025441	86.60%	0.8660	83.49%	single	2.8000
human	PR10Xmono1cell22	1980811	1708312	1649415	86.24%	0.8624	83.27%	single	2.2000
human	PR10Xmono1cell23	2435651	2110546	2039211	86.65%	0.8665	83.72%	single	2.6333
human	PR10Xmono1cell24	2040572	1772084	1705075	86.84%	0.8684	83.56%	single	2.1666
human	PR10Xmono1cell25	1234253	1033595	997495	83.74%	0.8374	80.82%	single	1.5166
human	PR10Xmono1cell26	127822	74155	70145	58.01%	0.5801	54.88%	single	0.1500
human	PR10Xmono1cell27	858856	729893	702932	84.98%	0.8498	81.85%	single	2.1666
human	PR10Xmono1cell28	1033508	834940	812130	80.79%	0.8079	78.58%	single	1.2666
human	PR10Xmono1cell29	1465318	1228332	1177135	83.83%	0.8383	80.33%	single	2.3833
human	PR10Xmono1cell30	2639598	2301777	2232691	87.20%	0.8720	84.58%	single	3.5666
human	PR10Xmono1cell31	3407123	2925400	2819994	85.86%	0.8586	82.77%	single	3.6666
human	PR10Xmono1cell32	1511884	1320201	1269284	87.32%	0.8732	83.95%	single	3.5000
human	PR10Xmono1cell33	138558	97590	94822	70.43%	0.7043	68.43%	single	3.8666
human	PR10Xmono1cell34	418747	334394	322857	79.86%	0.7986	77.10%	single	0.5000
human	PR10Xmono1cell35	864953	742417	709610	85.83%	0.8583	82.04%	single	4.9000
human	PR10Xmono1cell36	644598	502189	491142	77.91%	0.7791	76.19%	single	0.7166
human	PR10Xmono1cell37	1924241	1664403	1612763	86.50%	0.8650	83.81%	single	2.3333
human	PR10Xmono1cell38	441858	358843	342650	81.21%	0.8121	77.55%	single	2.4666
human	PR10Xmono1cell39	2377283	2076403	2002028	87.34%	0.8734	84.21%	single	2.6166
human	PR10Xmono1cell40	1504686	1286968	1247274	85.53%	0.8553	82.89%	single	1.6666
human	PR10Xmono1cell41	381376	299281	288324	78.47%	0.7847	75.60%	single	0.6500
human	PR10Xmono1cell42	1224515	991178	958226	80.94%	0.8094	78.25%	single	1.5666
human	PR10Xmono1cell43	364452	302775	289627	83.08%	0.8308	79.47%	single	0.4500
human	PR10Xmono1cell44	1378176	1114625	1076098	80.88%	0.8088	78.08%	single	1.6333
human	PR10Xmono1cell45	737517	606869	572389	82.29%	0.8229	77.61%	single	0.9166
human	PR10Xmono1cell46	1692449	1430500	1356611	84.52%	0.8452	80.16%	single	2.1166
human	PR10Xmono1cell47	2550361	2205757	2127782	86.49%	0.8649	83.43%	single	3.5166
human	PR10Xmono1cell48	2352558	2034701	1983861	86.49%	0.8649	84.33%	single	6.7166
human	PR10Xmono1cell49	418310	342189	331213	81.80%	0.8180	79.18%	single	0.4833
human	PR10Xmono1cell50	1026476	881248	846799	85.85%	0.8585	82.50%	single	1.0166
human	PR10Xmono1cell51	779146	676113	645653	86.78%	0.8678	82.87%	single	1.0500
human	PR10Xmono1cell52	1099493	893311	861186	81.25%	0.8125	78.33%	single	1.1333
human	PR10Xmono1cell53	1590374	1324167	1269103	83.26%	0.8326	79.80%	single	2.1166
human	PR10Xmono1cell54	1976927	1710789	1653279	86.54%	0.8654	83.63%	single	3.1833
human	PR10Xmono1cell55	2375284	2066267	1982121	86.99%	0.8699	83.45%	single	2.6500
human	PR10Xmono1cell56	2077239	1792988	1720884	86.32%	0.8632	82.84%	single	2.3333
human	PR10Xmono1cell57	1639519	1412155	1371118	86.13%	0.8613	83.63%	single	1.7166
human	PR10Xmono1cell58	900793	742770	707516	82.46%	0.8246	78.54%	single	1.0666
human	PR10Xmono1cell59	164526	135845	130975	82.57%	0.8257	79.61%	single	0.2166
human	PR10Xmono1cell60	568393	421171	404871	74.10%	0.7410	71.23%	single	0.7333
human	PR10Xmono1cell61	1911254	1646602	1580967	86.15%	0.8615	82.72%	single	2.1333
human	PR10Xmono1cell62	1257231	1075502	1040145	85.55%	0.8555	82.73%	single	1.3833
human	PR10Xmono1cell63	2440809	2112989	2048306	86.57%	0.8657	83.92%	single	2.8000
human	PR10Xmono1cell64	776601	650238	626209	83.73%	0.8373	80.63%	single	0.9833
human	PR10Xmono1cell65	378617	313133	303017	82.70%	0.8270	80.03%	single	0.4333
human	PR10Xmono1cell66	51823	35400	34542	68.31%	0.6831	66.65%	single	0.1500
human	PR10Xmono1cell67	1237958	1069989	1033269	86.43%	0.8643	83.47%	single	1.3833
human	PR10Xmono1cell68	409774	314887	294714	76.84%	0.7684	71.92%	single	0.5833
human	PR10Xmono1cell69	45204	35873	34864	79.36%	0.7936	77.13%	single	0.8500
human	PR10Xmono1cell70	2574444	2238462	2166328	86.95%	0.8695	84.15%	single	3.1000
human	PR10Xmono1cell71	2465506	2141340	2079286	86.85%	0.8685	84.34%	single	2.7666
