cor_bin	Freq
[-1,-0.96]	0
(-0.96,-0.92]	0
(-0.92,-0.88]	0
(-0.88,-0.84]	0
(-0.84,-0.8]	0
(-0.8,-0.76]	0
(-0.76,-0.72]	0
(-0.72,-0.68]	0
(-0.68,-0.64]	0
(-0.64,-0.6]	0
(-0.6,-0.56]	0
(-0.56,-0.52]	2.13640291704454e-08
(-0.52,-0.48]	6.40920875113363e-08
(-0.48,-0.44]	5.76828787602027e-07
(-0.44,-0.4]	4.82827059252067e-06
(-0.4,-0.36]	3.22383200182022e-05
(-0.36,-0.32]	0.000169673119671678
(-0.32,-0.28]	0.000792263657756798
(-0.28,-0.24]	0.00307404879330622
(-0.24,-0.2]	0.00992653978569742
(-0.2,-0.16]	0.0266106074541234
(-0.16,-0.12]	0.0572923015789086
(-0.12,-0.08]	0.0898316834961806
(-0.08,-0.04]	0.127634969924788
(-0.04,0]	0.151108205603144
(0,0.04]	0.152085353569342
(0.04,0.08]	0.135114922453915
(0.08,0.12]	0.103305378501164
(0.12,0.16]	0.0686441639347414
(0.16,0.2]	0.0400246754536919
(0.2,0.24]	0.0202057996929989
(0.24,0.28]	0.00894783224537015
(0.28,0.32]	0.00348479361813721
(0.32,0.36]	0.00120033797894148
(0.36,0.4]	0.000365816271485537
(0.4,0.44]	0.000102419155843115
(0.44,0.48]	2.87132552050787e-05
(0.48,0.52]	7.07149365541744e-06
(0.52,0.56]	2.49959141294212e-06
(0.56,0.6]	8.11833108476926e-07
(0.6,0.64]	6.19556845942917e-07
(0.64,0.68]	3.20460437556681e-07
(0.68,0.72]	2.350043208749e-07
(0.72,0.76]	1.06820145852227e-07
(0.76,0.8]	6.40920875113363e-08
(0.8,0.84]	4.27280583408909e-08
(0.84,0.88]	0
(0.88,0.92]	0
(0.92,0.96]	0
(0.96,1]	0
