cell	ml_total	ml_contaRow	ml_contaCol	ml_contaOth	ml_origin	tp_total	tp_contaRow	tp_contaCol	tp_contaOth	tp_origin	ml_ratioRow	ml_ratioCol	ml_ratioOth	tp_ratioRow	tp_ratioCol	tp_ratioOth
SD-1_cell1	2048480	4791	0	1	2043688	159033	3806	0	1	155226	0.00233880731078653	0	4.88166835897836e-07	0.0239321398703414	0	6.28800311884955e-06
SD-1_cell2	1716124	4842	0	0	1711282	132467	3744	0	0	128723	0.00282147443891001	0	0	0.0282636430205259	0	0
SD-1_cell3	769195	2545	0	1	766649	71675	2045	0	1	69629	0.00330865385240414	0	1.30006045281106e-06	0.0285315660969655	0	1.39518660620858e-05
SD-1_cell5	276101	5150	0	0	270951	21630	3919	0	0	17711	0.01865259452157	0	0	0.181183541377716	0	0
SD-1_cell6	514715	5159	0	0	509556	51023	4034	0	0	46989	0.0100230224493166	0	0	0.0790623836309115	0	0
SD-1_cell7	160290	5054	0	0	155236	13214	3912	0	0	9302	0.0315303512383804	0	0	0.296049644316634	0	0
SD-1_cell8	1153771	4295	0	0	1149476	93047	3373	0	0	89674	0.00372257579710358	0	0	0.0362504970606253	0	0
SD-1_cell9	232845	5378	0	0	227467	42190	4041	0	0	38149	0.0230969099615624	0	0	0.0957809907561033	0	0
SD-1_cell10	1490751	5299	0	3	1485449	129061	3783	0	2	125276	0.00355458423304764	0	2.01240851087807e-06	0.0293117208141886	0	1.54965481439009e-05
SD-1_cell11	821651	2561	4	4	819082	79984	1982	3	4	77995	0.0031168951294406	4.86824698077408e-06	4.86824698077408e-06	0.0247799559911982	3.75075015003001e-05	5.00100020004001e-05
SD-1_cell13	1269400	4305	0	1	1265094	101877	3320	0	1	98556	0.00339136599968489	0	7.87773751378604e-07	0.0325883172845686	0	9.81575821824357e-06
SD-1_cell14	1731451	4534	2	6	1726909	147280	3579	2	6	143693	0.00261861294371022	1.15510054861501e-06	3.46530164584502e-06	0.0243006518196632	1.35795763172189e-05	4.07387289516567e-05
SD-1_cell15	1943886	4177	0	2	1939707	160387	3271	0	2	157114	0.00214878856064605	0	1.02886691915061e-06	0.0203944209942202	0	1.24698385779396e-05
SD-1_cell16	108977	4118	0	0	104859	10935	3244	0	0	7691	0.0377877900841462	0	0	0.296662094192958	0	0
SD-1_cell17	1404719	9923	0	1	1394795	118944	7062	0	1	111881	0.00706404626120954	0	7.11886149471887e-07	0.0593724778046812	0	8.40731772935163e-06
SD-1_cell18	132972	10987	0	0	121985	15766	7624	0	0	8142	0.0826264175916734	0	0	0.483572244069517	0	0
SD-1_cell19	87604	5486	1	0	82117	10283	4098	1	0	6184	0.0626227112917218	1.14150038811013e-05	0	0.398521832150151	9.72478848585043e-05	0
SD-1_cell20	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
SD-1_cell21	1637714	10892	0	3	1626819	138200	7273	0	3	130924	0.00665073388882308	0	1.83182167338131e-06	0.0526266280752533	0	2.17076700434153e-05
SD-1_cell22	2443467	10506	2	2	2432957	209355	7251	2	2	202100	0.00429962835593851	8.18509110211024e-07	8.18509110211024e-07	0.0346349502041986	9.5531513458002e-06	9.5531513458002e-06
SD-1_cell23	1795450	10310	1	2	1785137	141937	7024	1	2	134910	0.00574229301846334	5.56963435350469e-07	1.11392687070094e-06	0.0494867441188696	7.04537928799397e-06	1.40907585759879e-05
SD-1_cell24	1960599	8216	0	1	1952382	169260	5849	0	1	163410	0.00419055604945223	0	5.10048204655822e-07	0.0345563039111426	0	5.90807042419946e-06
SD-1_cell25	373306	10988	1	2	362315	36033	6990	1	2	29040	0.0294342978682368	2.67876755262439e-06	5.35753510524878e-06	0.19398884356007	2.77523381344878e-05	5.55046762689757e-05
SD-1_cell26	590131	8427	0	0	581704	61366	5740	0	0	55626	0.0142798802299828	0	0	0.0935371378287651	0	0
SD-1_cell27	706931	3863	3	2	703063	76955	2797	3	2	74153	0.00546446541458784	4.24369563649069e-06	2.82913042432713e-06	0.0363459164446755	3.89838217139887e-05	2.59892144759925e-05
SD-1_cell28	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
SD-1_cell29	1222885	8873	0	0	1214012	95480	5829	0	0	89651	0.00725579265425612	0	0	0.0610494344365312	0	0
SD-1_cell30	1170262	6456	0	2	1163804	108402	4782	0	2	103618	0.00551671335136918	0	1.70901900600037e-06	0.0441135772402723	0	1.84498440988174e-05
SD-1_cell31	3281055	7125	1	3	3273926	263890	4884	1	3	259002	0.00217155762399594	3.04780017402939e-07	9.14340052208817e-07	0.0185077115464777	3.78945772859904e-06	1.13683731857971e-05
SD-1_cell32	1645943	5821	0	0	1640122	147358	4243	0	0	143115	0.0035365744743287	0	0	0.0287938218488307	0	0
SD-1_cell33	1091342	5487	0	5	1085850	111800	4358	0	4	107438	0.00502775481929588	0	4.58151523537076e-06	0.0389803220035778	0	3.5778175313059e-05
SD-1_cell34	834453	5860	0	0	828593	94186	4515	0	0	89671	0.0070225644823615	0	0	0.0479370607096596	0	0
SD-1_cell35	463435	2890	2	16	460527	57419	2383	2	3	55031	0.00623604173185021	4.31559981442921e-06	3.45247985154337e-05	0.0415019418659329	3.48316759260872e-05	5.22475138891308e-05
SD-1_cell36	6	0	2	1	3	6	0	2	1	3	0	0.333333333333333	0.166666666666667	0	0.333333333333333	0.166666666666667
SD-1_cell37	1429548	5979	0	2	1423567	144167	4540	0	1	139626	0.0041824408834121	0	1.39904361378562e-06	0.0314912566676146	0	6.93640014705168e-06
SD-1_cell38	1060547	5823	3	1	1054720	116312	4566	3	1	111742	0.00549056288877344	2.82872894836344e-06	9.4290964945448e-07	0.0392564825641378	2.5792695508632e-05	8.59756516954398e-06
SD-1_cell39	1054766	5960	0	2	1048804	121739	4555	0	2	117182	0.00565054239518528	0	1.89615516616956e-06	0.0374161115172623	0	1.64285890306311e-05
SD-1_cell40	1332664	4572	0	2	1328090	152979	3630	0	1	149348	0.00343072222255572	0	1.50075337819585e-06	0.023728747082933	0	6.53684492642781e-06
SD-1_cell41	1067595	8166	2	1	1059426	201603	6318	2	1	195282	0.00764896800753095	1.87336958303477e-06	9.36684791517383e-07	0.0313388193628071	9.9204872943359e-06	4.96024364716795e-06
SD-1_cell42	1500324	8266	2	2	1492054	250747	6314	2	1	244430	0.00550947661971681	1.3330453955279e-06	1.3330453955279e-06	0.0251807598894503	7.97616721236944e-06	3.98808360618472e-06
SD-1_cell43	593959	4114	2	1	589842	101686	3357	2	1	98326	0.00692640401105127	3.36723578563504e-06	1.68361789281752e-06	0.0330133941742226	1.96683909289381e-05	9.83419546446905e-06
SD-1_cell44	12	0	3	1	8	8	0	3	1	4	0	0.25	0.0833333333333333	0	0.375	0.125
SD-1_cell45	2183697	8218	0	0	2175479	318520	6100	0	0	312420	0.00376334262491545	0	0	0.0191510737159362	0	0
SD-1_cell46	1866935	8782	0	6	1858147	272352	6599	0	5	265748	0.0047039666619352	0	3.21382372712494e-06	0.024229673363882	0	1.83585947597227e-05
SD-1_cell47	133143	9028	0	0	124115	22621	6705	0	0	15916	0.0678067941987187	0	0	0.296405994429954	0	0
SD-1_cell48	533340	7031	0	0	526309	98628	5538	0	0	93090	0.0131829602129973	0	0	0.0561503832583039	0	0
SD-1_cell49	676195	4826	1	0	671368	69757	3873	1	0	65883	0.00713699450602267	1.47886334563255e-06	0	0.0555213096893502	1.43354788766719e-05	0
SD-1_cell50	1271138	4637	0	3	1266498	124780	3673	0	1	121106	0.00364791234311302	0	2.36008993516046e-06	0.0294358070203558	0	8.0141048244911e-06
SD-1_cell51	364646	2466	1	1	362178	47053	2019	1	1	45032	0.00676272329876099	2.74238576592092e-06	2.74238576592092e-06	0.0429090599961745	2.12526300129641e-05	2.12526300129641e-05
SD-1_cell52	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0
