plate	seqID	species	individual	sex	week_age	sample_type	tissue	samplingPos	identity	barcodeToSample	sequence_depth_G	sampling_time	sampling_stuff	sequencing_time	library_stuff	flow_cytometer	FACS_stuff	amplification	marker	ERCC_ratio	sort_order	remark
PD10_XXL_293_B9-1	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180130	mawp	BD_Aria_III_Phoenix	NA	manual 	NA	1	NA	NA
PD10_XXL_293_B9-2	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180130	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-3	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180213	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-6	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180213	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-8	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180213	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-9	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180213	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-4	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180306	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-5	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180306	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-7	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180306	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PR10_XXL_293_B9-10	01_293_10	human	NA	F	NA	Cell line	HEK293T	HEK293T	HEK293T	12x8	0.3	NA	NA	20180306	mawp	BD_Aria_III_Phoenix	NA	machine 	NA	1	NA	NA
PD10_XXL_Mono-1	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	manual 	CD45+CD14+	1	NA	First cell is an RNA control.
PD10_XXL_Mono-2	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	1	NA	NA
PD10_XXL_Mono-3	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	1	NA	NA
PD10_XXL_Mono-4	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	1	NA	NA
PD10_XXL_Mono-5	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	1	NA	NA
PD10_XXL_Mono-6	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	1	NA	NA
PD10_XXL_Mono-7	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	1	NA	NA
PD10_XXL_Mono-8	02_mono_08	human	test-Z	M	NA	Adult	blood	blood	Monocyte	12x8	0.3	NA	NA	20180518	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD14+	1	NA	NA
PR10_XXL_T-1	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	First cell is an RNA control.
PR10_XXL_T-2	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_T-3	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_T-4	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_T-5	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
PR10_XXL_T-6	03_blood_46	human	test-Z	M	NA	Adult	blood	blood	T cell	12x8	0.3	NA	NA	20180724	mawp	BD_Aria_III_Phoenix	zhouf	machine 	CD45+CD3+	1	NA	NA
