,umi_counts,reads
exp293-B9-1_1A,66837.0,1914528.0
exp293-B9-1_2A,67142.0,1756438.0
exp293-B9-1_3A,26898.0,1101660.0
exp293-B9-1_4A,59785.0,1912417.0
exp293-B9-1_5A,1856.0,130528.0
exp293-B9-1_6A,47008.0,1082639.0
exp293-B9-1_7A,54958.0,2038609.0
exp293-B9-1_8A,84888.0,1816020.0
exp293-B9-1_9A,37726.0,1713054.0
exp293-B9-1_10A,85474.0,1434561.0
exp293-B9-1_11A,43853.0,2111233.0
exp293-B9-1_12A,41558.0,1579934.0
exp293-B9-1_1B,59981.0,1713936.0
exp293-B9-1_2B,50313.0,1264080.0
exp293-B9-1_3B,20338.0,853560.0
exp293-B9-1_4B,60088.0,1006450.0
exp293-B9-1_5B,20427.0,976966.0
exp293-B9-1_6B,46239.0,1447982.0
exp293-B9-1_7B,62399.0,952997.0
exp293-B9-1_8B,65836.0,1204416.0
exp293-B9-1_9B,41499.0,1529423.0
exp293-B9-1_10B,69347.0,1560039.0
exp293-B9-1_11B,52296.0,975195.0
exp293-B9-1_12B,39391.0,800091.0
exp293-B9-1_1C,49287.0,1507411.0
exp293-B9-1_2C,57192.0,1373143.0
exp293-B9-1_3C,20505.0,987019.0
exp293-B9-1_4C,76025.0,1410426.0
exp293-B9-1_5C,18628.0,989031.0
exp293-B9-1_6C,50407.0,1599131.0
exp293-B9-1_7C,57208.0,833895.0
exp293-B9-1_8C,51911.0,1616171.0
exp293-B9-1_9C,30795.0,1376642.0
exp293-B9-1_10C,61663.0,1529317.0
exp293-B9-1_11C,43510.0,1297088.0
exp293-B9-1_12C,37179.0,623561.0
exp293-B9-1_1D,47933.0,1538047.0
exp293-B9-1_2D,62839.0,989941.0
exp293-B9-1_3D,19975.0,842349.0
exp293-B9-1_4D,52979.0,1354583.0
exp293-B9-1_5D,15837.0,889276.0
exp293-B9-1_6D,45754.0,1652218.0
exp293-B9-1_7D,54243.0,1489448.0
exp293-B9-1_8D,57404.0,2001802.0
exp293-B9-1_9D,33065.0,1734097.0
exp293-B9-1_10D,68128.0,1600548.0
exp293-B9-1_11D,44657.0,936998.0
exp293-B9-1_12D,32638.0,642649.0
exp293-B9-1_1E,47573.0,1182922.0
exp293-B9-1_2E,57390.0,1195855.0
exp293-B9-1_3E,21725.0,1047294.0
exp293-B9-1_4E,69621.0,999074.0
exp293-B9-1_5E,19147.0,1166889.0
exp293-B9-1_6E,11873.0,250502.0
exp293-B9-1_7E,73574.0,874332.0
exp293-B9-1_8E,65863.0,1424134.0
exp293-B9-1_9E,35273.0,777192.0
exp293-B9-1_10E,68730.0,1254740.0
exp293-B9-1_11E,53458.0,1070293.0
exp293-B9-1_12E,37580.0,476164.0
exp293-B9-1_1F,38806.0,1619141.0
exp293-B9-1_2F,49103.0,1150720.0
exp293-B9-1_3F,16320.0,1000214.0
