cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.845	1.06528290682133	0.69	1.06528290682133	0.916	0.387	NA	ADAM28	Fibro-ADAM28	FALSE
0	0.823	0.877017229930899	0.646	0.877017229930899	0.967	0.553	NA	PROM1	Fibro-ADAM28	FALSE
0	0.813	0.927704920311336	0.626	0.927704920311336	0.988	0.791	NA	BMP4	Fibro-ADAM28	FALSE
0	0.811	0.940097443140488	0.622	0.940097443140488	0.926	0.513	NA	NTRK3	Fibro-ADAM28	FALSE
0	0.796	0.815485074079709	0.592	0.815485074079709	0.952	0.544	NA	COL15A1	Fibro-ADAM28	FALSE
0	0.779	0.886217327814142	0.558	0.886217327814142	0.922	0.615	NA	HSPA12A	Fibro-ADAM28	FALSE
0	0.775	0.732311395315484	0.55	0.732311395315484	0.98	0.8	NA	PTCH1	Fibro-ADAM28	FALSE
0	0.762	0.749880256877861	0.524	0.749880256877861	0.935	0.657	NA	GFRA1	Fibro-ADAM28	FALSE
0	0.749	0.695240136607674	0.498	0.695240136607674	0.896	0.644	NA	PLXDC2	Fibro-ADAM28	FALSE
0	0.733	0.717890358553609	0.466	0.717890358553609	0.816	0.523	NA	SLC26A2	Fibro-ADAM28	FALSE
0	0.725	0.911291946047831	0.45	0.911291946047831	0.88	0.736	NA	TSPAN33	Fibro-ADAM28	FALSE
1	0.971	1.79590059827299	0.942	1.79590059827299	0.999	0.924	NA	FBLN1	Fibro-FBLN1	TRUE
1	0.956	1.84935172410246	0.912	1.84935172410246	1	0.927	NA	COL1A1	Fibro-FBLN1	FALSE
1	0.955	1.54807760435976	0.91	1.54807760435976	0.957	0.132	NA	SHISA3	Fibro-FBLN1	TRUE
1	0.954	1.72201247730042	0.908	1.72201247730042	1	0.934	NA	COL1A2	Fibro-FBLN1	FALSE
1	0.951	1.82431726650795	0.902	1.82431726650795	0.978	0.395	NA	THBS2	Fibro-FBLN1	FALSE
1	0.947	1.45853172458284	0.894	1.45853172458284	0.996	0.576	NA	LUM	Fibro-FBLN1	FALSE
1	0.946	1.44776730082092	0.892	1.44776730082092	0.978	0.297	NA	C1QTNF3	Fibro-FBLN1	FALSE
1	0.945	1.58834724834062	0.89	1.58834724834062	0.997	0.695	NA	COL14A1	Fibro-FBLN1	TRUE
1	0.945	1.2773781974503	0.89	1.2773781974503	1	0.858	NA	DCN	Fibro-FBLN1	FALSE
1	0.943	1.51862980870067	0.886	1.51862980870067	0.986	0.486	NA	GPC3	Fibro-FBLN1	FALSE
1	0.935	1.27152484863037	0.87	1.27152484863037	1	0.968	NA	SPARC	Fibro-FBLN1	FALSE
1	0.888	1.03787212688866	0.776	1.03787212688866	0.87	0.171	NA	ANGPTL6	Fibro-FBLN1	TRUE
1	0.887	1.1357587008614	0.774	1.1357587008614	0.966	0.384	NA	WNT2B	Fibro-FBLN1	FALSE
1	0.884	1.2088068219808	0.768	1.2088068219808	0.876	0.172	NA	CAPN6	Fibro-FBLN1	FALSE
1	0.881	1.3067050747907	0.762	1.3067050747907	1	0.965	NA	COL3A1	Fibro-FBLN1	FALSE
1	0.88	1.10588417810869	0.76	1.10588417810869	0.794	0.047	NA	PI15	Fibro-FBLN1	TRUE
1	0.876	1.1792226547989	0.752	1.1792226547989	0.997	0.85	NA	FBN1	Fibro-FBLN1	FALSE
1	0.873	0.909524304606844	0.746	0.909524304606844	0.891	0.245	NA	MAF	Fibro-FBLN1	FALSE
1	0.851	0.944614972866514	0.702	0.944614972866514	0.953	0.55	NA	FBN2	Fibro-FBLN1	FALSE
1	0.846	1.05046350105591	0.692	1.05046350105591	0.985	0.825	NA	CCDC80	Fibro-FBLN1	FALSE
1	0.842	0.887032019778802	0.684	0.887032019778802	0.942	0.49	NA	SRPX	Fibro-FBLN1	FALSE
1	0.84	0.711797112427784	0.68	0.711797112427784	0.994	0.896	NA	MARCKS	Fibro-FBLN1	FALSE
1	0.837	0.802024017683808	0.674	0.802024017683808	0.989	0.725	NA	CXCL12	Fibro-FBLN1	FALSE
1	0.836	0.930237030769661	0.672	0.930237030769661	0.928	0.487	NA	SH3BP5	Fibro-FBLN1	FALSE
1	0.836	0.748029649732918	0.672	0.748029649732918	0.999	0.876	NA	PBX1	Fibro-FBLN1	FALSE
1	0.833	0.875623458644283	0.666	0.875623458644283	0.799	0.192	NA	LRRC7	Fibro-FBLN1	FALSE
1	0.822	1.05160693268464	0.644	1.05160693268464	0.843	0.361	NA	P4HA2	Fibro-FBLN1	FALSE
1	0.82	0.857153032499895	0.64	0.857153032499895	0.899	0.388	NA	PID1	Fibro-FBLN1	FALSE
1	0.816	1.13476001308105	0.632	1.13476001308105	0.964	0.767	NA	CFH	Fibro-FBLN1	FALSE
1	0.815	0.757775032862083	0.63	0.757775032862083	0.96	0.643	NA	MEIS1	Fibro-FBLN1	FALSE
1	0.814	1.67573227110252	0.628	1.67573227110252	0.746	0.221	NA	SFRP2	Fibro-FBLN1	FALSE
1	0.814	0.788579997324222	0.628	0.788579997324222	0.823	0.294	NA	MMP16	Fibro-FBLN1	FALSE
1	0.813	0.843126845459914	0.626	0.843126845459914	0.937	0.456	NA	IGFBP5	Fibro-FBLN1	FALSE
1	0.813	0.72801324965052	0.626	0.72801324965052	0.981	0.687	NA	FLRT2	Fibro-FBLN1	FALSE
1	0.812	0.859886573326328	0.624	0.859886573326328	0.906	0.501	NA	SVEP1	Fibro-FBLN1	FALSE
1	0.809	0.81551983990564	0.618	0.81551983990564	0.945	0.533	NA	PEG3	Fibro-FBLN1	FALSE
1	0.809	0.711726600832986	0.618	0.711726600832986	0.994	0.947	NA	OLFML3	Fibro-FBLN1	FALSE
1	0.808	0.8159935230677	0.616	0.8159935230677	0.972	0.632	NA	NR2F1	Fibro-FBLN1	FALSE
1	0.807	0.754498259325733	0.614	0.754498259325733	0.799	0.247	NA	MOXD1	Fibro-FBLN1	FALSE
1	0.803	0.75071202912912	0.606	0.75071202912912	0.866	0.393	NA	TMTC2	Fibro-FBLN1	FALSE
1	0.802	0.71463621299962	0.604	0.71463621299962	0.854	0.368	NA	CRISPLD1	Fibro-FBLN1	FALSE
1	0.793	0.698823755029464	0.586	0.698823755029464	0.941	0.62	NA	LMO4	Fibro-FBLN1	FALSE
1	0.79	0.83888511027128	0.58	0.83888511027128	0.938	0.67	NA	KLF4	Fibro-FBLN1	FALSE
1	0.786	0.904624587930537	0.572	0.904624587930537	0.917	0.629	NA	ITM2A	Fibro-FBLN1	FALSE
1	0.777	0.738576636528852	0.554	0.738576636528852	0.948	0.672	NA	PEG10	Fibro-FBLN1	FALSE
1	0.763	1.15726100692917	0.526	1.15726100692917	0.939	0.743	NA	AKAP12	Fibro-FBLN1	FALSE
1	0.751	0.786338726691882	0.502	0.786338726691882	0.566	0.076	NA	GDF6	Fibro-FBLN1	FALSE
1	0.745	0.751576783633518	0.49	0.751576783633518	0.601	0.152	NA	CNTNAP2	Fibro-FBLN1	FALSE
1	0.725	0.770278084090645	0.45	0.770278084090645	0.514	0.078	NA	DLK1	Fibro-FBLN1	FALSE
1	0.709	1.04142601605304	0.418	1.04142601605304	0.634	0.293	NA	CADM3	Fibro-FBLN1	FALSE
2	0.849	1.18095985813912	0.698	1.18095985813912	0.976	0.71	NA	IRF1	Fibro-IRF1	FALSE
2	0.838	0.858181604855596	0.676	0.858181604855596	0.998	0.911	NA	MCL1	Fibro-IRF1	FALSE
2	0.83	0.948354368625853	0.66	0.948354368625853	1	0.981	NA	FOSB	Fibro-IRF1	FALSE
2	0.829	0.899635637443541	0.658	0.899635637443541	0.933	0.466	NA	BTG2	Fibro-IRF1	FALSE
2	0.829	0.747023169047498	0.658	0.747023169047498	0.909	0.431	NA	SOCS3	Fibro-IRF1	FALSE
2	0.828	0.819394254781832	0.656	0.819394254781832	1	0.912	NA	DNAJA1	Fibro-IRF1	FALSE
2	0.827	0.738987230570033	0.654	0.738987230570033	1	0.995	NA	HSP90AA1	Fibro-IRF1	FALSE
2	0.826	1.11494659585279	0.652	1.11494659585279	0.938	0.65	NA	KLF10	Fibro-IRF1	FALSE
2	0.825	0.806800843822725	0.65	0.806800843822725	1	0.933	NA	FOS	Fibro-IRF1	FALSE
2	0.819	0.833028719948291	0.638	0.833028719948291	1	0.966	NA	EGR1	Fibro-IRF1	FALSE
2	0.813	1.12781810599495	0.626	1.12781810599495	0.922	0.525	NA	CTD-3252C9.4	Fibro-IRF1	FALSE
2	0.813	0.769001645079856	0.626	0.769001645079856	0.926	0.478	NA	NFKBIZ	Fibro-IRF1	FALSE
2	0.799	0.773034965945434	0.598	0.773034965945434	0.884	0.422	NA	ZFP36	Fibro-IRF1	FALSE
2	0.782	0.696795300951945	0.564	0.696795300951945	0.99	0.907	NA	HSPD1	Fibro-IRF1	FALSE
2	0.771	0.703504427243358	0.542	0.703504427243358	0.963	0.822	NA	HSPE1	Fibro-IRF1	FALSE
2	0.762	0.745826262456044	0.524	0.745826262456044	0.895	0.543	NA	DNAJB4	Fibro-IRF1	FALSE
2	0.759	0.817734082761094	0.518	0.817734082761094	0.961	0.792	NA	HSPH1	Fibro-IRF1	FALSE
2	0.754	0.693523747304028	0.508	0.693523747304028	0.702	0.245	NA	CSRNP1	Fibro-IRF1	FALSE
2	0.748	0.900597448406333	0.496	0.900597448406333	0.821	0.469	NA	IER3	Fibro-IRF1	FALSE
2	0.728	0.878928730645826	0.456	0.878928730645826	0.993	0.898	NA	MEG3	Fibro-IRF1	FALSE
3	0.976	1.89051144402005	0.952	1.89051144402005	1	0.959	NA	TUBA1B	Fibro-Prol	TRUE
3	0.974	2.80497827652953	0.948	2.80497827652953	0.99	0.518	NA	TYMS	Fibro-Prol	TRUE
3	0.935	1.95913914345209	0.87	1.95913914345209	0.98	0.69	NA	HMGB2	Fibro-Prol	TRUE
3	0.93	1.37128205210825	0.86	1.37128205210825	0.892	0.091	NA	ZWINT	Fibro-Prol	TRUE
3	0.905	1.30183612269607	0.81	1.30183612269607	0.993	0.889	NA	STMN1	Fibro-Prol	FALSE
3	0.904	1.31781725389811	0.808	1.31781725389811	0.997	0.924	NA	TUBB	Fibro-Prol	TRUE
3	0.901	1.66472776178045	0.802	1.66472776178045	0.966	0.579	NA	SMC4	Fibro-Prol	TRUE
3	0.892	1.15957411744221	0.784	1.15957411744221	0.923	0.314	NA	SMC2	Fibro-Prol	TRUE
3	0.885	1.03812109648946	0.77	1.03812109648946	0.946	0.403	NA	NSD2	Fibro-Prol	TRUE
3	0.884	0.993239569575834	0.768	0.993239569575834	1	0.985	NA	HMGB1	Fibro-Prol	TRUE
3	0.881	0.917631365171419	0.762	0.917631365171419	0.828	0.122	NA	FANCI	Fibro-Prol	TRUE
3	0.876	2.29436094164171	0.752	2.29436094164171	0.791	0.096	NA	TOP2A	Fibro-Prol	TRUE
3	0.876	1.14884638974803	0.752	1.14884638974803	0.879	0.267	NA	ATAD2	Fibro-Prol	TRUE
3	0.873	1.21131330534923	0.746	1.21131330534923	0.875	0.268	NA	TIMELESS	Fibro-Prol	TRUE
3	0.871	1.2694488961336	0.742	1.2694488961336	0.886	0.413	NA	PCNA	Fibro-Prol	TRUE
3	0.871	1.13246248377074	0.742	1.13246248377074	0.788	0.099	NA	NUSAP1	Fibro-Prol	TRUE
3	0.869	1.08902608681807	0.738	1.08902608681807	0.842	0.194	NA	BRCA1	Fibro-Prol	TRUE
3	0.867	1.95636077303519	0.734	1.95636077303519	0.798	0.154	NA	PRC1	Fibro-Prol	TRUE
3	0.867	1.00546889392327	0.734	1.00546889392327	0.896	0.358	NA	RRM1	Fibro-Prol	TRUE
3	0.867	0.712529418268131	0.734	0.712529418268131	0.788	0.077	NA	CENPK	Fibro-Prol	TRUE
3	0.866	1.07719859317071	0.732	1.07719859317071	0.828	0.221	NA	MCM4	Fibro-Prol	TRUE
3	0.866	0.897355974477313	0.732	0.897355974477313	0.993	0.883	NA	DEK	Fibro-Prol	TRUE
3	0.866	0.89694797200713	0.732	0.89694797200713	1	0.811	NA	PSIP1	Fibro-Prol	TRUE
3	0.865	0.989328039351478	0.73	0.989328039351478	0.983	0.758	NA	H2AFV	Fibro-Prol	TRUE
3	0.862	0.930021740905138	0.724	0.930021740905138	1	0.814	NA	CBX5	Fibro-Prol	TRUE
3	0.86	1.18840556401359	0.72	1.18840556401359	0.865	0.335	NA	HELLS	Fibro-Prol	TRUE
3	0.854	0.938159919100081	0.708	0.938159919100081	0.916	0.446	NA	EZH2	Fibro-Prol	TRUE
