cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
WDOU_C-B1_01	1889	14327	.	0.0268723389404621	WDOU_C-B1	WDOU_C	1	1	1-4	14	14	-15.9709697854663	-43.5249683564492	0.981150023930343	783406	0.8371	0.0268273987875409	0.0160137204459145	1	FALSE	TRUE	Erythrocyte
WDOU_C-B1_04	4739	27006	.	0.0920536177145819	WDOU_C-B1	WDOU_C	1	4	1-4	11	11	26.682294125366	-25.1696279861687	0.955783340297093	2896088	0.8616	0.0918801049635954	0.0465648810596242	1	FALSE	TRUE	Epi
WDOU_C-B1_05	2984	8582	.	0.0315777208109998	WDOU_C-B1	WDOU_C	1	5	5-8	0	0	15.6452643395835	-12.0597517889782	0.98525027719472	1265822	0.879	0.0315483119906868	0.104603176535477	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_06	5071	29536	.	0.0373104008667389	WDOU_C-B1	WDOU_C	1	6	5-8	5	5	-20.470607745393	-3.18895266185125	0.990722377167713	2017009	0.8421	0.0373002978608178	0.0815982903018321	1	FALSE	TRUE	SM-Visceral
WDOU_C-B1_08	3512	30499	.	0.0306239548837667	WDOU_C-B1	WDOU_C	1	8	5-8	1	1	-15.3916215205726	26.2552940454775	0.993202257218568	2442408	0.9038	0.0306209428889909	0.10696820272202	1	FALSE	TRUE	Fibro-FBLN1
WDOU_C-B1_09	3432	12326	.	0.0291254259289307	WDOU_C-B1	WDOU_C	2	1	1-4	0	0	-3.0698890948978	-8.64629191509127	0.989770354309677	1536804	0.8977	0.0291112552708401	0.132510635358494	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_13	3429	14872	.	0.031670252824099	WDOU_C-B1	WDOU_C	2	5	5-8	0	0	-3.18383834822342	7.17621915647659	0.987629367854211	1586482	0.9007	0.0316617370260823	0.184668731996304	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_16	2866	12335	.	0.0416700445885691	WDOU_C-B1	WDOU_C	2	8	5-8	0	0	-3.0775702082315	7.27208057227137	0.989188753130199	1643608	0.9082	0.0416464106303678	0.144587972298911	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_18	4278	27257	.	0.0204718054077852	WDOU_C-B1	WDOU_C	3	2	1-4	2	2	13.3383958364417	-0.198083724745848	0.9871210325573	2274223	0.907	0.0204612958820725	0.0843992490707476	1	FALSE	TRUE	Fibro-IRF1
WDOU_C-B1_19	3259	16165	.	0.0439220538199814	WDOU_C-B1	WDOU_C	3	3	1-4	9	9	-8.72080135130115	34.8236977890935	0.991779614921722	1773162	0.881	0.0438948995363215	0.154475944209164	1	FALSE	TRUE	Fibro-NRK
WDOU_C-B1_21	4253	19133	.	0.0329796686353421	WDOU_C-B1	WDOU_C	3	5	5-8	0	0	-5.9174281288254	4.91733144150822	0.993424443879075	1973464	0.8976	0.0329641625744436	0.105176443653787	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_23	4854	33436	.	0.0201579136260318	WDOU_C-B1	WDOU_C	3	7	5-8	5	5	-16.233803750896	1.42320624089675	0.985690580341284	2601143	0.8936	0.0201452610813881	0.0659396639439719	1	FALSE	TRUE	SM-Visceral
WDOU_C-B1_25	3301	9914	.	0.0734315109945532	WDOU_C-B1	WDOU_C	4	1	1-4	0	0	-11.2373130194445	-6.59567094137969	0.983083529227394	868736	0.8585	0.0733723039709736	0.0651489000681773	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_26	5018	29268	.	0.019270192701927	WDOU_C-B1	WDOU_C	4	2	1-4	0	0	-5.7106837347421	-8.83874056322846	0.98980492502125	2340343	0.8848	0.0192596639803306	0.0471016415171595	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_27	5599	47981	.	0.114357766615952	WDOU_C-B1	WDOU_C	4	3	1-4	11	11	24.1030094640291	-29.4816418414983	0.992003856242988	2907455	0.8849	0.11429821272341	0.0593364313399217	1	FALSE	TRUE	Epi
WDOU_C-B1_30	3089	13086	.	0.0280452391869173	WDOU_C-B1	WDOU_C	4	6	5-8	0	0	-0.959126115656242	-13.0104723999281	0.975627034285518	1471465	0.8893	0.0280345275380032	0.105321568843517	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_33	4594	28681	.	0.0471740873749172	WDOU_C-B1	WDOU_C	5	1	1-4	10	10	-0.365270069621507	-37.2784943184105	0.974986271959579	1789198	0.8982	0.047159288950854	0.115135155880208	1	FALSE	TRUE	Endo
WDOU_C-B1_34	3671	16596	.	0.0154856591949867	WDOU_C-B1	WDOU_C	5	2	1-4	2	2	3.91949657544234	11.4637417149983	0.97320357673511	1443503	0.9057	0.0154809951207759	0.0950975896648657	1	FALSE	TRUE	Fibro-IRF1
WDOU_C-B1_37	2389	6975	.	0.058494623655914	WDOU_C-B1	WDOU_C	5	5	5-8	0	0	1.91919195385685	8.61728411592547	0.9819267037896	932168	0.8896	0.0584359782297336	0.18629249463193	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_39	4902	28286	.	0.0162624619953334	WDOU_C-B1	WDOU_C	5	7	5-8	2	2	20.9765839987786	3.01124700928068	0.988010476976215	1830289	0.9021	0.0162607373890912	0.0784453639508483	1	FALSE	TRUE	Fibro-IRF1
WDOU_C-B1_40	3274	11485	.	0.0339573356552024	WDOU_C-B1	WDOU_C	5	8	5-8	0	0	9.66278959325168	-11.0011448374785	0.983779184258937	1350018	0.8922	0.0339336987731663	0.144185505501122	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_41	5315	37524	.	0.0205202004050741	WDOU_C-B1	WDOU_C	6	1	1-4	6	6	30.2068025250005	-2.79907508828765	0.992511317239431	2560717	0.9042	0.0205120008524468	0.0935585990721034	1	FALSE	TRUE	Fibro-VSTM2A
WDOU_C-B1_42	4136	29868	.	0.0366947904111424	WDOU_C-B1	WDOU_C	6	2	1-4	9	9	-11.8594034282222	30.7857937078398	0.986100401759373	2219515	0.9021	0.0366812811673751	0.100461265289057	1	FALSE	TRUE	Fibro-NRK
WDOU_C-B1_45	1839	4303	.	0.141993957703928	WDOU_C-B1	WDOU_C	6	5	5-8	8	18	13.8940190905904	-30.7481071148618	0.968754534831323	438181	0.8163	0.141763341067285	0.0392660262374395	1	FALSE	TRUE	CACNA1A-ELF3+
WDOU_C-B1_47	5424	49170	.	0.0169615619280049	WDOU_C-B1	WDOU_C	6	7	5-8	4	4	10.9823472337146	27.9542003484067	0.973396230213832	3418232	0.9116	0.0169598373157092	0.0774141417108177	1	FALSE	TRUE	Fibro-KCNJ8
WDOU_C-B1_52	6300	56152	.	0.034620316284371	WDOU_C-B1	WDOU_C	7	4	1-4	4	15	-3.76243491386705	27.9879789826079	0.990495767066826	3772442	0.8995	0.034610454351232	0.0246602118557776	1	FALSE	TRUE	Fibro-PRSS35
WDOU_C-B1_53	3488	12642	.	0.0270526815377314	WDOU_C-B1	WDOU_C	7	5	5-8	0	0	14.29537731295	0.685050012000568	0.983140235611319	1040272	0.8902	0.0270419862417965	0.138814415967492	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_55	5452	33329	.	0.0239431126046386	WDOU_C-B1	WDOU_C	7	7	5-8	0	0	-13.3081367562447	-4.01882313937329	0.981563574495001	1806344	0.888	0.0239337772179233	0.0650861232254474	1	FALSE	TRUE	Fibro-ADAM28
WDOU_C-B1_56	4730	53819	.	0.0154406436388636	WDOU_C-B1	WDOU_C	7	8	5-8	1	1	-8.49961105370291	22.3293987531112	0.994532812588727	2830913	0.9159	0.015439209274673	0.100731487229372	1	FALSE	TRUE	Fibro-FBLN1
WDOU_C-B1_57	5105	37994	.	0.016134126441017	WDOU_C-B1	WDOU_C	8	1	1-4	2	2	19.7187978270541	-2.05800268203372	0.99044467297633	2801804	0.8849	0.0161294566504407	0.0702656887122906	1	FALSE	TRUE	Fibro-IRF1
