cluster	gene	size	boundary	avgExpr	cvExpr	avgCor	cvCor	protein_coding	lncRNA	sncRNA	pseudogene	Ig/TcR	tf
M76	PHF1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	MIR22HG	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	NINJ1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	PSAP	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	RNF125	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	AC020951.1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	GPBP1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	ASXL1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	MAT2A	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	SRSF5	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	PLXNA4	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	ANKRD12	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	MYC	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	THAP2	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	PIM1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	ELL2	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	MIR155HG	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	TMEM43	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	SLC37A3	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	SNIP1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	TGIF2	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	ZC3HAV1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	NANS	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	STARD4	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	SC5D	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	DCP1A	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	SLC16A7	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	CCNT1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	SH2D3A	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	HCST	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	SNHG16	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	RP11-666A8.13	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	CCNYL1	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	MED29	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	AC007228.9	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	TOB2	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
M76	TUBB4B	38	1:38	12.9211329148953	1.94060223486197	0.0309254117074164	2.14288236993977	0.868421052631579	0.131578947368421	0	0	0	0.105263157894737
