cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.971	2.02556620750469	0.942	2.02556620750469	0.966	0.105	NA	TEK	Endo-TEK	TRUE
0	0.966	1.92263557872932	0.932	1.92263557872932	0.99	0.174	NA	PTPRB	Endo-TEK	FALSE
0	0.959	1.73143615453232	0.918	1.73143615453232	0.974	0.134	NA	ERG	Endo-TEK	FALSE
0	0.959	1.59205825202667	0.918	1.59205825202667	0.979	0.11	NA	KDR	Endo-TEK	FALSE
0	0.958	2.09924738861629	0.916	2.09924738861629	0.961	0.135	NA	CD34	Endo-TEK	FALSE
0	0.958	1.7266868041293	0.916	1.7266868041293	0.99	0.193	NA	FLT1	Endo-TEK	FALSE
0	0.957	1.92525011922792	0.914	1.92525011922792	0.953	0.079	NA	TM4SF18	Endo-TEK	FALSE
0	0.955	1.74790826640966	0.91	1.74790826640966	0.982	0.765	NA	PRCP	Endo-TEK	TRUE
0	0.954	1.86586670819202	0.908	1.86586670819202	0.977	0.17	NA	PECAM1	Endo-TEK	FALSE
0	0.943	1.45967454570607	0.886	1.45967454570607	1	0.855	NA	HLA-E	Endo-TEK	FALSE
0	0.941	1.279854547695	0.882	1.279854547695	0.969	0.435	NA	ELK3	Endo-TEK	FALSE
0	0.933	1.4847594989602	0.866	1.4847594989602	0.914	0.105	NA	LMO2	Endo-TEK	FALSE
0	0.924	1.70653969309842	0.848	1.70653969309842	0.932	0.183	NA	CD93	Endo-TEK	FALSE
0	0.924	1.47452518663176	0.848	1.47452518663176	0.922	0.2	NA	ITM2A	Endo-TEK	TRUE
0	0.923	1.93732662699205	0.846	1.93732662699205	0.885	0.109	NA	APLNR	Endo-TEK	FALSE
0	0.921	1.17372796828843	0.842	1.17372796828843	1	0.947	NA	SPTBN1	Endo-TEK	FALSE
0	0.92	1.27926423352413	0.84	1.27926423352413	0.914	0.197	NA	KIAA1462	Endo-TEK	FALSE
0	0.916	1.50090518621935	0.832	1.50090518621935	0.94	0.319	NA	CD74	Endo-TEK	FALSE
0	0.915	1.31349681280233	0.83	1.31349681280233	0.997	0.757	NA	HLA-B	Endo-TEK	FALSE
0	0.913	1.14525283123686	0.826	1.14525283123686	1	0.965	NA	B2M	Endo-TEK	FALSE
0	0.91	1.86476461131561	0.82	1.86476461131561	0.984	0.559	NA	FN1	Endo-TEK	FALSE
0	0.909	1.02757951669627	0.818	1.02757951669627	0.878	0.058	NA	CDH5	Endo-TEK	FALSE
0	0.908	1.39137404237065	0.816	1.39137404237065	0.875	0.175	NA	NOSTRIN	Endo-TEK	FALSE
0	0.906	1.58340492518499	0.812	1.58340492518499	0.982	0.705	NA	UACA	Endo-TEK	FALSE
0	0.906	1.2402080761759	0.812	1.2402080761759	0.945	0.22	NA	TM4SF1	Endo-TEK	FALSE
