cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.1.4	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
SPZ_C-A7_01	8218	43589	.	0.0696735414898254	SPZ_C-A7	SPZ_C	1	1	1-4	5	5	6.05049221068064	-1.19981586739977	0.984988118137955	1497806	0.8721	0.0695905226736326	0.00564840095852617	1	FALSE	TRUE	E/M
SPZ_C-A7_02	7415	42770	.	0.0829787234042553	SPZ_C-A7	SPZ_C	1	2	1-4	2	2	-18.6289798294943	-20.6034357527896	0.988771964657997	1870609	0.9067	0.0829302488608482	0.0288829543460031	1	FALSE	TRUE	LoH
SPZ_C-A7_03	7186	55580	.	0.124397265203311	SPZ_C-A7	SPZ_C	1	3	1-4	2	2	-21.8875326088844	-20.8117192880079	0.989941081315391	2529082	0.9177	0.124336864063877	0.0273573661216551	1	FALSE	TRUE	LoH
SPZ_C-A7_04	3693	13289	.	0.0409361125743096	SPZ_C-A7	SPZ_C	1	4	1-4	1	1	-2.46314562001189	6.32170417317184	0.946199617764219	1126151	0.8836	0.0408592459065645	0.0558787079652664	1	FALSE	TRUE	Podocyte
SPZ_C-A7_05	6719	35243	.	0.0705104559770735	SPZ_C-A7	SPZ_C	1	5	5-8	5	5	2.44474669391014	-1.22737022467291	0.988370377510293	2212235	0.9049	0.0704644700277888	0.0263503932198253	1	FALSE	TRUE	E/M
SPZ_C-A7_06	7407	52154	.	0.0666487709475783	SPZ_C-A7	SPZ_C	1	6	5-8	0	0	22.2752239887489	24.4956721954248	0.989917703328156	2387938	0.9212	0.0666155615178229	0.0309919498077198	1	FALSE	TRUE	Endo-TEK
SPZ_C-A7_07	6758	34094	.	0.174282865020238	SPZ_C-A7	SPZ_C	1	7	5-8	11	11	-29.7378018774931	-2.66809123575169	0.986566482431852	2734223	0.912	0.174099033108702	0.0301035730626846	1	FALSE	TRUE	PC-BCAT1
SPZ_C-A7_08	3692	16313	.	0.080426653589162	SPZ_C-A7	SPZ_C	1	8	5-8	5	5	1.25015608999633	0.0878198280735686	0.994601765782484	1261637	0.924	0.080421723672919	0.0776705810991359	1	FALSE	TRUE	E/M
SPZ_C-A7_09	7111	56330	.	0.0328066749511805	SPZ_C-A7	SPZ_C	2	1	1-4	5	5	6.09296123190315	-1.06756565916405	0.991110296836267	2647661	0.9119	0.0327944490780998	0.0343916353151009	1	FALSE	TRUE	E/M
SPZ_C-A7_10	8150	49679	.	0.0824291954346907	SPZ_C-A7	SPZ_C	2	2	1-4	13	13	-2.34915159604765	-15.8646778668822	0.983673768290864	2001330	0.9057	0.0823363828289937	0.0260061148525347	1	FALSE	TRUE	Epi-Prol
SPZ_C-A7_11	6968	42678	.	0.0943577487229955	SPZ_C-A7	SPZ_C	2	3	1-4	2	2	-7.65609235452709	-20.9811245181749	0.984602800037145	1587200	0.9063	0.0943069248963724	0.0292490665191536	1	FALSE	TRUE	LoH
SPZ_C-A7_12	6629	41121	.	0.0572700080250967	SPZ_C-A7	SPZ_C	2	4	1-4	22	22	6.77042732541438	-0.90250915619466	0.974106667158638	1938277	0.9203	0.0572379933890725	0.0334716483211223	1	FALSE	TRUE	SM
SPZ_C-A7_13	3122	10922	.	0.150064090825856	SPZ_C-A7	SPZ_C	2	5	5-8	20	20	-19.9469006742269	4.43593271331715	0.973408110645073	737128	0.8405	0.14961204929256	0.0284123862766699	1	FALSE	TRUE	CACNA1A
SPZ_C-A7_14	7285	38141	.	0.0631079415851708	SPZ_C-A7	SPZ_C	2	6	5-8	6	6	17.6037549507314	-20.3060439806816	0.9862921342312	2046198	0.9139	0.0630732141921283	0.0252104648046483	1	FALSE	TRUE	Fibro-ALDH1A2
SPZ_C-A7_15	5784	27677	.	0.0352278064819164	SPZ_C-A7	SPZ_C	2	7	5-8	1	1	3.73625334190932	11.2672709047893	0.980586517418001	2175371	0.7918	0.0351972852965597	0.0488740264998974	1	FALSE	TRUE	Podocyte
SPZ_C-A7_16	6382	46600	.	0.043412017167382	SPZ_C-A7	SPZ_C	2	8	5-8	17	17	26.7499075767447	19.1496972723758	0.990490956766093	2455052	0.9146	0.0433952550516968	0.0393065825021954	1	FALSE	TRUE	Endo-FLT1
SPZ_C-A7_17	6434	22773	.	0.0628814824572959	SPZ_C-A7	SPZ_C	3	1	1-4	2	2	-11.5291552351596	-23.1928257454116	0.986557307585554	657908	0.8186	0.0627987545498399	0.00796045253358195	1	FALSE	TRUE	LoH
SPZ_C-A7_18	8735	85938	.	0.0593683818566874	SPZ_C-A7	SPZ_C	3	2	1-4	13	13	3.21852955772485	-21.4686313456442	0.992785169829148	3884812	0.9164	0.0593235119705127	0.0221462646085466	1	FALSE	TRUE	Epi-Prol
SPZ_C-A7_19	7962	59591	.	0.039922135893004	SPZ_C-A7	SPZ_C	3	3	1-4	1	1	5.48161147180722	11.4592135811791	0.990289439954214	2816378	0.915	0.0398980327703893	0.0255609742825855	1	FALSE	TRUE	Podocyte
SPZ_C-A7_20	3171	9989	.	0.166683351686856	SPZ_C-A7	SPZ_C	3	4	1-4	6	6	15.9461680926275	-17.1013675936111	0.924790605400523	900450	0.8994	0.166433426629348	0.0716802851644995	1	FALSE	TRUE	Fibro-ALDH1A2
SPZ_C-A7_21	5055	21875	.	0.0317257142857143	SPZ_C-A7	SPZ_C	3	5	5-8	1	1	1.09047580000965	7.34224860950809	0.980962545477487	1441625	0.9216	0.0317097688019739	0.0659547938273356	1	FALSE	TRUE	Podocyte
SPZ_C-A7_22	4051	10792	.	0.0951630837657524	SPZ_C-A7	SPZ_C	3	6	5-8	0	0	23.5056243205779	18.0978789259406	0.964565978510202	403715	0.8375	0.0947766703580657	0.0158464467355216	1	FALSE	TRUE	Endo-TEK
SPZ_C-A7_23	5056	16134	.	0.0385521259452089	SPZ_C-A7	SPZ_C	3	7	5-8	1	1	-2.39762549117219	6.52810711542536	0.972106350799426	1275322	0.8841	0.0384734335374528	0.035114705025787	1	FALSE	TRUE	Podocyte
SPZ_C-A7_24	7926	54319	.	0.0669931331578269	SPZ_C-A7	SPZ_C	3	8	5-8	5	5	4.71856468151757	-2.18156257601422	0.993642417305138	3297522	0.9163	0.066943836347247	0.0253712998615899	1	FALSE	TRUE	E/M
SPZ_C-A7_25	7165	33109	.	0.104231477845903	SPZ_C-A7	SPZ_C	4	1	1-4	13	13	-0.45594613208837	-16.1095716791299	0.977066197492852	1343344	0.8789	0.104118268215417	0.0218880038776197	1	FALSE	TRUE	Epi-Prol
SPZ_C-A7_26	6901	47178	.	0.0819237780321336	SPZ_C-A7	SPZ_C	4	2	1-4	17	17	26.1697272140135	20.5472665941639	0.984397471084795	2289686	0.9123	0.0818613123226162	0.0313609400174315	1	FALSE	TRUE	Endo-FLT1
SPZ_C-A7_27	6437	59821	.	0.0693234817204661	SPZ_C-A7	SPZ_C	4	3	1-4	11	11	-35.6339385464386	1.0898735544226	0.991044563859289	2692497	0.9208	0.0693003124947778	0.0278566731259186	1	FALSE	TRUE	PC-BCAT1
SPZ_C-A7_29	7486	39554	.	0.0835313748293472	SPZ_C-A7	SPZ_C	4	5	5-8	6	6	17.9941429686637	-21.5296420483867	0.986171916282553	2295253	0.9108	0.0834765032844871	0.0325784603549917	1	FALSE	TRUE	Fibro-ALDH1A2
SPZ_C-A7_30	6950	49810	.	0.138687010640434	SPZ_C-A7	SPZ_C	4	6	5-8	7	7	-25.6315116594937	-17.860073982964	0.987973937913804	3118294	0.9136	0.138497934961306	0.0215775631425189	1	FALSE	TRUE	DT
SPZ_C-A7_31	6564	37715	.	0.0511467585841177	SPZ_C-A7	SPZ_C	4	7	5-8	10	10	41.7925550239225	0.0435553817793259	0.957901798289897	2202189	0.9201	0.0511250695714399	0.0357333745992607	1	FALSE	TRUE	Fibro-GUCY1A2
SPZ_C-A7_32	5233	27950	.	0.0695169946332737	SPZ_C-A7	SPZ_C	4	8	5-8	12	25	15.5715463601893	-10.4706806816293	0.987793975222892	1838323	0.9092	0.069489646293051	0.0269834665850202	1	FALSE	TRUE	Fibro-Prol
SPZ_C-A7_33	4552	16035	.	0.0849391955098223	SPZ_C-A7	SPZ_C	5	1	1-4	1	1	5.42065199031276	-1.00605127963948	0.964495285268228	960826	0.8991	0.0848651006293227	0.0834616195133102	1	FALSE	TRUE	Podocyte
SPZ_C-A7_34	8548	56789	.	0.0764408600257092	SPZ_C-A7	SPZ_C	5	2	1-4	13	13	-4.23081153859451	-16.4535619791902	0.975107835496153	2933431	0.9113	0.0763897443116828	0.0163882382847596	1	FALSE	TRUE	Epi-Prol
SPZ_C-A7_35	6287	30557	.	0.120332493373041	SPZ_C-A7	SPZ_C	5	3	1-4	2	2	-17.9414327626345	-19.5444150444534	0.981523552119244	1554555	0.8949	0.120096678315968	0.0260393393136624	1	FALSE	TRUE	LoH
SPZ_C-A7_36	7154	40164	.	0.0575390897320984	SPZ_C-A7	SPZ_C	5	4	1-4	2	2	-11.410811412621	-21.2925069870143	0.969177495791723	1630113	0.9208	0.0575147457753665	0.0290233972663275	1	FALSE	TRUE	LoH
SPZ_C-A7_37	5759	25888	.	0.0546199011124845	SPZ_C-A7	SPZ_C	5	5	5-8	1	1	0.634929551725396	2.09554596866615	0.98559461245826	1527372	0.926	0.0546051361266654	0.0456131096273917	1	FALSE	TRUE	Podocyte
SPZ_C-A7_38	8090	75949	.	0.0586709502429262	SPZ_C-A7	SPZ_C	5	6	5-8	13	13	1.85153234112498	-19.461950082955	0.97986558284506	3131140	0.8993	0.0586254078518051	0.0187254278873156	1	FALSE	TRUE	Epi-Prol
SPZ_C-A7_39	4807	25798	.	0.0499263508799132	SPZ_C-A7	SPZ_C	5	7	5-8	1	1	-14.755249718572	-0.251623458885598	0.974456839019391	1033840	0.903	0.0499050718741524	0.0402158981392036	1	FALSE	TRUE	Podocyte
SPZ_C-A7_40	4391	17437	.	0.114526581407352	SPZ_C-A7	SPZ_C	5	8	5-8	6	6	19.6933418555021	-14.5995657187876	0.97926677693068	891320	0.898	0.114474061335626	0.0629278817025881	1	FALSE	TRUE	Fibro-ALDH1A2
SPZ_C-A7_41	5216	32028	.	0.0620706881478706	SPZ_C-A7	SPZ_C	6	1	1-4	8	8	20.8993168286719	-3.58333311926254	0.989564905039492	1635564	0.9135	0.0620493773213896	0.059384534026161	1	FALSE	TRUE	Fibro-PTGER2
SPZ_C-A7_42	5367	27137	.	0.0432619670560489	SPZ_C-A7	SPZ_C	6	2	1-4	6	6	19.7199465438409	-14.1552560239655	0.978379569320933	1959377	0.903	0.0431855802832444	0.0485612697952816	1	FALSE	TRUE	Fibro-ALDH1A2
SPZ_C-A7_43	6896	49584	.	0.161886898999677	SPZ_C-A7	SPZ_C	6	3	1-4	5	5	6.32340297044711	-0.807618420970703	0.987674924220911	1927830	0.9055	0.161802056037089	0.0272789532237764	1	FALSE	TRUE	E/M
SPZ_C-A7_44	6882	35630	.	0.046421554869492	SPZ_C-A7	SPZ_C	6	4	1-4	5	5	-0.342855180606178	-1.00362166610131	0.986817768883565	2442438	0.9237	0.0463890057495442	0.0217537441157023	1	FALSE	TRUE	E/M
SPZ_C-A7_45	5957	35032	.	0.0908883306691025	SPZ_C-A7	SPZ_C	6	5	5-8	11	11	-34.971868909243	-4.1181206131911	0.9891959959066	1904434	0.9265	0.0908286977606618	0.0506679314351644	1	FALSE	TRUE	PC-BCAT1
SPZ_C-A7_46	6845	42910	.	0.123257981822419	SPZ_C-A7	SPZ_C	6	6	5-8	2	2	-21.5297514145856	-21.2884569859606	0.982723118536407	1988749	0.911	0.12317760491872	0.0318270806774722	1	FALSE	TRUE	LoH
SPZ_C-A7_48	4915	16679	.	0.0786018346423647	SPZ_C-A7	SPZ_C	6	8	5-8	6	6	16.5892188670944	-16.2229185852732	0.977617028756027	708584	0.8835	0.0785406182602444	0.025798440601171	1	FALSE	TRUE	Fibro-ALDH1A2
SPZ_C-A7_49	6201	47555	.	0.0958048575333824	SPZ_C-A7	SPZ_C	7	1	1-4	6	25	18.024272625518	-10.0193716250717	0.9890433648137	2584626	0.9053	0.0957243407921	0.0421213441027608	1	FALSE	TRUE	Fibro-Prol
SPZ_C-A7_50	7263	86873	.	0.0404153189138167	SPZ_C-A7	SPZ_C	7	2	1-4	9	9	-8.58420378222649	-23.0409162768515	0.992612592852321	3563309	0.9188	0.0403985778227801	0.0205654297725455	1	FALSE	TRUE	LoH-Prog
SPZ_C-A7_51	4160	17011	.	0.0483216742108048	SPZ_C-A7	SPZ_C	7	3	1-4	1	1	-0.928892271022354	5.37901334939398	0.98696297641405	1354321	0.9192	0.0482932847658774	0.0626288717257188	1	FALSE	TRUE	Podocyte
SPZ_C-A7_52	3671	13250	.	0.0552452830188679	SPZ_C-A7	SPZ_C	7	4	1-4	1	1	-0.288268554729435	9.64051249392356	0.97649152242313	1091251	0.906	0.0551620195930671	0.0679258357130858	1	FALSE	TRUE	Podocyte
SPZ_C-A7_53	6834	47770	.	0.0722419928825623	SPZ_C-A7	SPZ_C	7	5	5-8	15	15	-4.69580229714207	-12.6935942504658	0.990727912627554	2627704	0.9158	0.0722329202947086	0.0283464594604331	1	FALSE	TRUE	PT
SPZ_C-A7_54	7565	53553	.	0.0945045095512856	SPZ_C-A7	SPZ_C	7	6	5-8	13	13	-1.4728398297242	-20.9707157627173	0.986829462121798	2668460	0.9163	0.0944427856982907	0.0213192491389482	1	FALSE	TRUE	Epi-Prol
SPZ_C-A7_55	5199	34687	.	0.0977311384668608	SPZ_C-A7	SPZ_C	7	7	5-8	16	16	-3.65645374550672	44.7437130055355	0.985958838418539	2330437	0.9116	0.0976466860615837	0.0458713272913139	1	FALSE	TRUE	Immune
SPZ_C-A7_56	5945	32383	.	0.0951425130469691	SPZ_C-A7	SPZ_C	7	8	5-8	7	7	-24.5314691147355	-7.96332501373807	0.990558211541168	2512026	0.9192	0.0950749861136826	0.0418837331507951	1	FALSE	TRUE	DT
SPZ_C-A7_57	6651	35407	.	0.137430451605615	SPZ_C-A7	SPZ_C	8	1	1-4	2	2	-20.6501611410979	-18.9348584732089	0.983317031332597	2141960	0.9016	0.137306357402861	0.0344700202881518	1	FALSE	TRUE	LoH
SPZ_C-A7_58	3940	30426	.	0.0375008216656807	SPZ_C-A7	SPZ_C	8	2	1-4	23	23	-15.0629061399954	-0.295910392214198	0.988478588394978	2023182	0.9121	0.0374798804322833	0.0538660900054618	1	FALSE	TRUE	Erythrocyte
