cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.894	1.36804885985002	0.788	1.36804885985002	0.99	0.627	NA	ADH1B	Fibro-0	FALSE
0	0.884	1.14856058502737	0.768	1.14856058502737	0.999	0.988	NA	MACF1	Fibro-0	FALSE
0	0.876	1.06918845986392	0.752	1.06918845986392	0.991	0.713	NA	PIEZO2	Fibro-0	FALSE
0	0.871	0.991662667820171	0.742	0.991662667820171	0.992	0.749	NA	PLEKHH2	Fibro-0	FALSE
0	0.871	0.965712388920282	0.742	0.965712388920282	0.997	0.937	NA	DST	Fibro-0	FALSE
0	0.854	0.982245531211571	0.708	0.982245531211571	0.988	0.687	NA	C7	Fibro-0	FALSE
0	0.845	0.93066504167086	0.69	0.93066504167086	0.964	0.605	NA	MAF	Fibro-0	FALSE
0	0.843	1.05049489176578	0.686	1.05049489176578	0.91	0.45	NA	PPP1R3C	Fibro-0	FALSE
0	0.843	1.03485521868562	0.686	1.03485521868562	0.98	0.6	NA	GPC3	Fibro-0	FALSE
0	0.842	0.920186931552896	0.684	0.920186931552896	0.992	0.886	NA	OLFML3	Fibro-0	FALSE
0	0.841	0.937245618629745	0.682	0.937245618629745	0.967	0.6	NA	MEOX2	Fibro-0	FALSE
0	0.836	0.880257384032632	0.672	0.880257384032632	0.936	0.482	NA	LRRC17	Fibro-0	FALSE
0	0.831	0.866490752320231	0.662	0.866490752320231	0.998	0.974	NA	FN1	Fibro-0	FALSE
0	0.829	0.847931822699949	0.658	0.847931822699949	0.991	0.845	NA	VCAN	Fibro-0	FALSE
0	0.827	0.8448128444064	0.654	0.8448128444064	0.99	0.838	NA	SLIT2	Fibro-0	FALSE
0	0.824	0.792368817267535	0.648	0.792368817267535	0.984	0.813	NA	PLXDC2	Fibro-0	FALSE
0	0.824	0.768990097974388	0.648	0.768990097974388	0.986	0.859	NA	SELENOP	Fibro-0	FALSE
0	0.823	0.895538985166807	0.646	0.895538985166807	0.974	0.746	NA	PTPRD	Fibro-0	FALSE
0	0.82	0.798104184354429	0.64	0.798104184354429	0.951	0.602	NA	BMP5	Fibro-0	FALSE
0	0.819	0.746170754585634	0.638	0.746170754585634	0.95	0.482	NA	LUM	Fibro-0	FALSE
0	0.817	0.930973556630807	0.634	0.930973556630807	0.856	0.335	NA	IGSF10	Fibro-0	FALSE
0	0.816	0.849569007847184	0.632	0.849569007847184	0.981	0.848	NA	FHOD1	Fibro-0	FALSE
