cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
FZW_C-B1_01	2298	6325	.	0.0907509881422925	FZW_C-B1	FZW_C	1	1	1-4	0	0	-4.8298832335973	20.3438691938918	0.982021772538092	683822	0.895	0.090664981835413	0.13846771713614	1	FALSE	TRUE	Fibro-0
FZW_C-B1_02	3825	13620	.	0.126505139500734	FZW_C-B1	FZW_C	1	2	1-4	4	4	-43.041830886934	-2.18598839158775	0.984955629149305	1063022	0.9158	0.126301128866735	0.085226246603167	1	FALSE	TRUE	Epi
FZW_C-B1_04	4543	18663	.	0.0188072657129079	FZW_C-B1	FZW_C	1	4	1-4	0	0	4.65153876821381	-2.03651195883452	0.945991977813789	1335758	0.908	0.0187931680676768	0.0580498063425463	1	FALSE	TRUE	Fibro-0
FZW_C-B1_05	4894	17769	.	0.0449659519387698	FZW_C-B1	FZW_C	1	5	5-8	7	7	15.5313028524673	3.17000979480478	0.981083046731506	1339173	0.9073	0.044917922194738	0.063897448119712	1	FALSE	TRUE	Fibro-TNC
FZW_C-B1_06	3287	8656	.	0.0588031423290203	FZW_C-B1	FZW_C	1	6	5-8	7	7	15.5755144723004	-0.131979241001771	0.983592134103047	1138396	0.9127	0.0586946494464945	0.0794021064632913	1	FALSE	TRUE	Fibro-TNC
FZW_C-B1_07	2780	7031	.	0.0657090029867729	FZW_C-B1	FZW_C	1	7	5-8	0	0	0.304406881606158	16.8909898802943	0.970360209193234	813940	0.9103	0.0656063618290258	0.117815642604988	1	FALSE	TRUE	Fibro-0
FZW_C-B1_08	4447	16588	.	0.0356884494815529	FZW_C-B1	FZW_C	1	8	5-8	0	0	-4.01510339948343	6.49448238407229	0.991136644169139	1566238	0.9108	0.0356755453778474	0.0601617777508317	1	FALSE	TRUE	Fibro-0
FZW_C-B1_10	5795	29176	.	0.0599808061420345	FZW_C-B1	FZW_C	2	2	1-4	4	4	-31.555746421703	0.219418527238208	0.985689759789726	1905190	0.9258	0.0599232981783317	0.0481181032261088	1	FALSE	TRUE	Epi
FZW_C-B1_11	4684	19865	.	0.0328215454316637	FZW_C-B1	FZW_C	2	3	1-4	5	5	-16.9037639198431	37.5765921761332	0.986790407196842	1469217	0.9266	0.0328017306434573	0.0684563452759088	1	FALSE	TRUE	Pericyte
FZW_C-B1_12	6000	37841	.	0.067228667318517	FZW_C-B1	FZW_C	2	4	1-4	4	4	-36.8964919878559	-0.757984504489575	0.980305915650442	2256644	0.9161	0.0671842814134052	0.0414382084539629	1	FALSE	TRUE	Epi
FZW_C-B1_14	1397	3517	.	0.0417969860676713	FZW_C-B1	FZW_C	2	6	5-8	4	4	-30.4617146900757	-10.4903090958368	0.973133231174208	402566	0.8516	0.0417376490630324	0.196382152686352	1	FALSE	TRUE	Epi
FZW_C-B1_15	6833	40310	.	0.0492185561895311	FZW_C-B1	FZW_C	2	7	5-8	4	4	-37.0725271420456	-0.863987748796741	0.985196460076459	2883621	0.9233	0.0491978079202519	0.0389193626627859	1	FALSE	TRUE	Epi
FZW_C-B1_16	4843	26959	.	0.0206610037464298	FZW_C-B1	FZW_C	2	8	5-8	0	0	-3.08959931986955	16.528326950305	0.991953997733786	1783625	0.9215	0.0206441569993699	0.0642634278124282	1	FALSE	TRUE	Fibro-0
FZW_C-B1_17	5209	25816	.	0.0233963433529594	FZW_C-B1	FZW_C	3	1	1-4	1	1	-10.4354870651056	-11.7427126286877	0.987638720424968	1947039	0.9224	0.0233791368298819	0.0733526828235487	1	FALSE	TRUE	Fibro-FOSB
FZW_C-B1_19	3212	9669	.	0.0488158030820147	FZW_C-B1	FZW_C	3	3	1-4	0	0	4.20715514480447	-8.50624422625337	0.984931551351106	854152	0.9251	0.0487704071089068	0.0914273742071662	1	FALSE	TRUE	Fibro-0
FZW_C-B1_20	4915	21114	.	0.0208392535758265	FZW_C-B1	FZW_C	3	4	1-4	0	0	-12.1858857570828	-7.28572683405928	0.930399756385889	1221577	0.9158	0.020827416453659	0.0630682164725713	1	FALSE	TRUE	Fibro-0
FZW_C-B1_21	5718	28778	.	0.0561887552991869	FZW_C-B1	FZW_C	3	5	5-8	2	2	21.165587006003	-6.12690435019638	0.987537813243388	1981687	0.9246	0.0561594832077241	0.0592691002091485	1	FALSE	TRUE	SM-STC1
FZW_C-B1_22	3424	12905	.	0.0412243316543975	FZW_C-B1	FZW_C	3	6	5-8	1	1	0.356142402524212	-11.1574443278747	0.972473305963969	1106275	0.8908	0.0411255411255411	0.0911724882650723	1	FALSE	TRUE	Fibro-FOSB
FZW_C-B1_23	4703	19799	.	0.0577806959947472	FZW_C-B1	FZW_C	3	7	5-8	1	1	-4.82929341287127	-16.2954089052036	0.984607413563269	1511134	0.8999	0.0577253002321122	0.0584600109429476	1	FALSE	TRUE	Fibro-FOSB
FZW_C-B1_24	6397	32223	.	0.0281786301709959	FZW_C-B1	FZW_C	3	8	5-8	3	3	21.2944818735471	-22.6325186155587	0.990257180393481	2515171	0.9108	0.0281419494808616	0.0389725229403005	1	FALSE	TRUE	SM-HHIP
FZW_C-B1_25	4891	27908	.	0.027053174716927	FZW_C-B1	FZW_C	4	1	1-4	3	3	22.6497755320395	-28.5654262588187	0.985011824046402	1805505	0.9213	0.027041547277937	0.0739306012099315	1	FALSE	TRUE	SM-HHIP
FZW_C-B1_26	5457	28992	.	0.0269039735099338	FZW_C-B1	FZW_C	4	2	1-4	0	0	2.39968827278122	3.26864593246797	0.986409806472267	2003103	0.9185	0.0268493339299852	0.0626020182076207	1	FALSE	TRUE	Fibro-0
FZW_C-B1_27	5894	27074	.	0.0327989953460885	FZW_C-B1	FZW_C	4	3	1-4	0	0	-8.45455723692189	6.96163699192784	0.992814876364111	2207283	0.9216	0.0327844642988998	0.0496083776268299	1	FALSE	TRUE	Fibro-0
FZW_C-B1_29	6090	32666	.	0.0392763117614645	FZW_C-B1	FZW_C	4	5	5-8	3	3	25.9801509659224	-24.2208312023829	0.990905909511053	2815743	0.9259	0.039257083409828	0.0414478787931723	1	FALSE	TRUE	SM-HHIP
FZW_C-B1_30	5129	26206	.	0.0273983057315119	FZW_C-B1	FZW_C	4	6	5-8	1	1	-11.7050632858574	-18.9949771616741	0.984865038332936	1865629	0.9028	0.0273836765827613	0.055589785089615	1	FALSE	TRUE	Fibro-FOSB
FZW_C-B1_31	3300	8689	.	0.069398089538497	FZW_C-B1	FZW_C	4	7	5-8	0	0	5.16482128786597	20.6406156500895	0.955788072982357	1627106	0.9038	0.069262577532736	0.0609166920216421	1	FALSE	TRUE	Fibro-0
FZW_C-B1_32	5205	29805	.	0.0212044958899513	FZW_C-B1	FZW_C	4	8	5-8	1	1	-8.89247247814605	-15.4522648571238	0.992965270577182	2055266	0.9197	0.0211881453667695	0.0608527359545916	1	FALSE	TRUE	Fibro-FOSB
FZW_C-B1_33	1920	4401	.	0.142922063167462	FZW_C-B1	FZW_C	5	1	1-4	0	0	-15.7915877122467	8.56559466999946	0.973364803034081	750733	0.9002	0.142372114078769	0.170731150559643	1	FALSE	TRUE	Fibro-0
FZW_C-B1_34	5039	22970	.	0.0209403569873748	FZW_C-B1	FZW_C	5	2	1-4	1	1	-7.21968540755617	-14.5155886502751	0.967873191291348	1771709	0.9264	0.0209230501544217	0.065522341462184	1	FALSE	TRUE	Fibro-FOSB
FZW_C-B1_36	2291	6937	.	0.0709240305607611	FZW_C-B1	FZW_C	5	4	1-4	0	0	-7.84865871746431	-1.57784348520196	0.908148228243072	659745	0.8965	0.0708117443868739	0.104463351302677	1	FALSE	TRUE	Fibro-0
FZW_C-B1_37	3998	13171	.	0.0460860982461468	FZW_C-B1	FZW_C	5	5	5-8	1	1	3.27691040633728	-17.6534751452606	0.987151531999548	1267698	0.919	0.0460511342083302	0.0999791941433277	1	FALSE	TRUE	Fibro-FOSB
FZW_C-B1_38	6069	37037	.	0.0201150201150201	FZW_C-B1	FZW_C	5	6	5-8	1	1	2.31690636275996	-14.205253524207	0.96750659230232	2502541	0.9184	0.0200933193084662	0.034180348832183	1	FALSE	TRUE	Fibro-FOSB
