cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
YX_C-A1_01	1005	12733	.	0.0297651770988769	YX_C-A1	YX_C	1	1	1-4	10	10	-33.3972822853596	4.50247673145823	0.985981206256958	1339324	0.8659	0.0297581658291457	0.084370431828059	1	FALSE	TRUE	Erythrocyte
YX_C-A1_02	6022	35083	.	0.0279622609240943	YX_C-A1	YX_C	1	2	1-4	0	0	1.90892254563717	0.489999716547875	0.989094520854182	3673019	0.9137	0.0279320064918425	0.0293185750543346	1	FALSE	TRUE	Fibro-PAMR1+SOX6+
YX_C-A1_03	5635	34147	.	0.0405306469089525	YX_C-A1	YX_C	1	3	1-4	5	5	22.6468396822337	22.5276982584261	0.988728681705738	3951766	0.9164	0.0404820404820405	0.0285856794534119	1	FALSE	TRUE	T
YX_C-A1_04	6159	36935	.	0.0396101258968458	YX_C-A1	YX_C	1	4	1-4	2	2	-24.8344720645413	-21.7449233468547	0.953410472009011	4176554	0.9074	0.0395715560844987	0.0269373875426422	1	FALSE	TRUE	Endo-FLT1
YX_C-A1_05	4486	21744	.	0.0565673289183223	YX_C-A1	YX_C	1	5	5-8	5	5	16.2816736272431	26.3385860602763	0.984942018725961	2936595	0.8945	0.0564375516197118	0.0448622658000316	1	FALSE	TRUE	T
YX_C-A1_06	6012	41699	.	0.0281781337681959	YX_C-A1	YX_C	1	6	5-8	0	0	-7.43132471281386	2.43564122360769	0.989291425862928	3582432	0.9131	0.0281565263233567	0.030896566735287	1	FALSE	TRUE	Fibro-PAMR1+SOX6+
YX_C-A1_09	6599	40058	.	0.054071596185531	YX_C-A1	YX_C	2	1	1-4	13	13	-25.5045673865388	-2.07138969665172	0.990281122069367	3948657	0.9068	0.0540095751047277	0.0302479357416851	1	FALSE	TRUE	Epi-CADPS
YX_C-A1_13	6103	36691	.	0.0198413779946036	YX_C-A1	YX_C	2	5	5-8	0	0	-7.16397761695016	-2.39079806032765	0.99059240762236	3907203	0.9165	0.0198224690954637	0.0364027488544034	1	FALSE	TRUE	Fibro-PAMR1+SOX6+
YX_C-A1_14	4173	16427	.	0.0555792293175869	YX_C-A1	YX_C	2	6	5-8	12	18	-4.32145567355569	-32.4991040397129	0.982149170930442	1936885	0.9004	0.0555082684824903	0.0554134109460583	1	FALSE	TRUE	Glial
YX_C-A1_16	2077	3096	.	0.0135658914728682	YX_C-A1	YX_C	2	8	5-8	8	8	-11.6446916785727	-14.8386715692503	0.967862114979974	1160312	0.8862	0.0134185303514377	0.0678113085349874	1	FALSE	TRUE	CACNA1A
YX_C-A1_18	5413	29930	.	0.0342799866354828	YX_C-A1	YX_C	3	2	1-4	0	0	6.49080092921157	6.60043115151068	0.987602996996234	3455122	0.9191	0.0342410893071686	0.0467956018314681	1	FALSE	TRUE	Fibro-PAMR1+SOX6+
