cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.92	1.2738536035793	0.84	1.2738536035793	0.957	0.299	NA	HLA-DPA1	B-HERPUD1	FALSE
0	0.919	1.47219799168641	0.838	1.47219799168641	0.99	0.379	NA	HLA-DRB1	B-HERPUD1	FALSE
0	0.918	1.9776485800206	0.836	1.9776485800206	0.96	0.641	NA	CD83	B-HERPUD1	FALSE
0	0.898	1.30984728328425	0.796	1.30984728328425	0.992	0.562	NA	HLA-DRA	B-HERPUD1	FALSE
0	0.897	1.27097858191751	0.794	1.27097858191751	0.995	0.758	NA	CD74	B-HERPUD1	FALSE
0	0.89	1.33356469497882	0.78	1.33356469497882	0.987	0.33	NA	IGHM	B-HERPUD1	FALSE
0	0.875	1.18186101418016	0.75	1.18186101418016	0.99	0.509	NA	HLA-DPB1	B-HERPUD1	FALSE
0	0.864	1.23940470008588	0.728	1.23940470008588	0.97	0.618	NA	CXCR4	B-HERPUD1	FALSE
0	0.863	1.162617454029	0.726	1.162617454029	0.96	0.707	NA	HERPUD1	B-HERPUD1	TRUE
0	0.859	1.0491842153115	0.718	1.0491842153115	0.915	0.309	NA	RUBCNL	B-HERPUD1	FALSE
0	0.857	0.937588335291718	0.714	0.937588335291718	0.95	0.265	NA	FAM129C	B-HERPUD1	FALSE
0	0.855	1.05328402053794	0.71	1.05328402053794	0.962	0.59	NA	SWAP70	B-HERPUD1	FALSE
0	0.853	1.18132125553526	0.706	1.18132125553526	0.942	0.257	NA	MS4A1	B-HERPUD1	FALSE
0	0.85	1.04324345920881	0.7	1.04324345920881	0.957	0.491	NA	RALGPS2	B-HERPUD1	FALSE
0	0.844	1.04439970623318	0.688	1.04439970623318	0.872	0.391	NA	GM2A	B-HERPUD1	FALSE
0	0.84	0.74175607036065	0.68	0.74175607036065	0.935	0.557	NA	CD37	B-HERPUD1	FALSE
0	0.838	0.895319473265537	0.676	0.895319473265537	0.854	0.23	NA	CD22	B-HERPUD1	FALSE
0	0.834	1.04611172638104	0.668	1.04611172638104	0.955	0.714	NA	CD55	B-HERPUD1	FALSE
0	0.831	0.928803946953881	0.662	0.928803946953881	0.912	0.323	NA	BANK1	B-HERPUD1	FALSE
0	0.826	0.946218417364167	0.652	0.946218417364167	0.859	0.316	NA	SPIB	B-HERPUD1	FALSE
0	0.823	0.932921227983381	0.646	0.932921227983381	0.882	0.399	NA	IRF8	B-HERPUD1	FALSE
0	0.823	0.802406780085964	0.646	0.802406780085964	0.794	0.173	NA	CD24	B-HERPUD1	FALSE
0	0.822	0.954271145130741	0.644	0.954271145130741	0.872	0.406	NA	PHACTR1	B-HERPUD1	FALSE
0	0.815	0.808075912881962	0.63	0.808075912881962	0.824	0.21	NA	FCRLA	B-HERPUD1	FALSE
0	0.813	0.991283893628937	0.626	0.991283893628937	0.771	0.265	NA	EIF2AK3	B-HERPUD1	FALSE
0	0.813	0.787617430969251	0.626	0.787617430969251	0.832	0.263	NA	HLA-DMA	B-HERPUD1	FALSE
0	0.803	0.768890020322789	0.606	0.768890020322789	0.769	0.174	NA	TCL1A	B-HERPUD1	FALSE
0	0.801	0.729515348971702	0.602	0.729515348971702	0.882	0.328	NA	HLA-DMB	B-HERPUD1	FALSE
0	0.795	0.739477571401977	0.59	0.739477571401977	0.756	0.214	NA	POU2AF1	B-HERPUD1	FALSE
0	0.793	1.10841891892522	0.586	1.10841891892522	0.716	0.226	NA	CXCR5	B-HERPUD1	FALSE
0	0.792	0.971741662812142	0.584	0.971741662812142	0.786	0.336	NA	RASGEF1B	B-HERPUD1	FALSE
0	0.789	0.731429262816261	0.578	0.731429262816261	0.972	0.798	NA	EZR	B-HERPUD1	FALSE
0	0.783	0.732323912457985	0.566	0.732323912457985	0.905	0.48	NA	TCF4	B-HERPUD1	FALSE
0	0.781	0.922090674851987	0.562	0.922090674851987	0.937	0.648	NA	YBX3	B-HERPUD1	FALSE
0	0.779	0.805170276352299	0.558	0.805170276352299	0.927	0.592	NA	SH3BP5	B-HERPUD1	FALSE
0	0.773	0.781198152187563	0.546	0.781198152187563	0.824	0.441	NA	IRS2	B-HERPUD1	FALSE
0	0.768	0.760320473245176	0.536	0.760320473245176	0.925	0.68	NA	ODC1	B-HERPUD1	FALSE
0	0.765	0.777937453866857	0.53	0.777937453866857	0.671	0.211	NA	OTUD1	B-HERPUD1	FALSE
0	0.761	0.739557564384708	0.522	0.739557564384708	0.827	0.443	NA	PDE4B	B-HERPUD1	FALSE
0	0.754	1.12506219588476	0.508	1.12506219588476	0.849	0.536	NA	RGS2	B-HERPUD1	FALSE
0	0.74	0.723840795473391	0.48	0.723840795473391	0.985	0.847	NA	KLF6	B-HERPUD1	FALSE
0	0.734	1.58129423060802	0.468	1.58129423060802	0.598	0.17	NA	IGLC2	B-HERPUD1	FALSE
0	0.733	0.728977625184878	0.466	0.728977625184878	0.869	0.685	NA	PRDM2	B-HERPUD1	FALSE
0	0.728	1.36338430069475	0.456	1.36338430069475	0.653	0.298	NA	IGKC	B-HERPUD1	FALSE
0	0.727	0.784845455753873	0.454	0.784845455753873	0.714	0.336	NA	DUSP5	B-HERPUD1	FALSE
0	0.723	0.744430446067128	0.446	0.744430446067128	0.671	0.297	NA	GPR183	B-HERPUD1	FALSE
0	0.72	0.708615952380504	0.44	0.708615952380504	0.633	0.226	NA	KLF4	B-HERPUD1	FALSE
0	0.72	0.696176562447909	0.44	0.696176562447909	0.899	0.735	NA	PARP14	B-HERPUD1	FALSE
0	0.714	0.707538324862938	0.428	0.707538324862938	0.721	0.459	NA	LY9	B-HERPUD1	FALSE
0	0.709	1.20936056716933	0.418	1.20936056716933	0.51	0.108	NA	IGLC3	B-HERPUD1	FALSE
0	0.709	0.910318765982231	0.418	0.910318765982231	0.553	0.148	NA	JCHAIN	B-HERPUD1	FALSE
1	0.964	1.9086906319622	0.928	1.9086906319622	0.959	0.118	NA	NKG7	NK	TRUE
1	0.959	1.69886010723707	0.918	1.69886010723707	0.946	0.14	NA	PRF1	NK	TRUE
1	0.958	2.48384946484218	0.916	2.48384946484218	0.953	0.155	NA	KLRD1	NK	FALSE
1	0.953	2.07689000028991	0.906	2.07689000028991	0.939	0.169	NA	GZMA	NK	TRUE
1	0.937	1.60662333321855	0.874	1.60662333321855	0.912	0.089	NA	KLRB1	NK	TRUE
1	0.935	1.72311075097452	0.87	1.72311075097452	0.899	0.115	NA	IL2RB	NK	TRUE
1	0.932	2.66277250008057	0.864	2.66277250008057	0.899	0.163	NA	CCL5	NK	TRUE
1	0.932	1.36837224138686	0.864	1.36837224138686	0.905	0.07	NA	CST7	NK	FALSE
1	0.923	1.32835808677564	0.846	1.32835808677564	0.912	0.145	NA	RORA	NK	TRUE
1	0.916	1.32583846671754	0.832	1.32583846671754	0.993	0.765	NA	ITGAL	NK	TRUE
1	0.916	1.2306326448096	0.832	1.2306326448096	0.953	0.391	NA	APMAP	NK	FALSE
1	0.911	1.97009137166563	0.822	1.97009137166563	0.885	0.226	NA	TGFBR3	NK	TRUE
1	0.901	1.21570466675733	0.802	1.21570466675733	0.993	0.437	NA	SRGN	NK	FALSE
1	0.897	1.23138541675995	0.794	1.23138541675995	0.966	0.375	NA	PRKCH	NK	FALSE
1	0.89	1.2238256956116	0.78	1.2238256956116	0.919	0.266	NA	PYHIN1	NK	FALSE
1	0.889	1.90817525225907	0.778	1.90817525225907	0.791	0.029	NA	KLRC1	NK	TRUE
1	0.889	1.23151580121495	0.778	1.23151580121495	0.797	0.045	NA	NCR1	NK	TRUE
1	0.883	1.14339159739569	0.766	1.14339159739569	0.858	0.191	NA	AOAH	NK	FALSE
1	0.882	1.14469099462928	0.764	1.14469099462928	0.838	0.11	NA	GBP5	NK	TRUE
1	0.882	1.02402991013356	0.764	1.02402991013356	0.966	0.579	NA	CD63	NK	FALSE
1	0.881	1.13688505872394	0.762	1.13688505872394	0.77	0.017	NA	SH2D1B	NK	TRUE
1	0.872	1.02105196109798	0.744	1.02105196109798	0.959	0.67	NA	STK17A	NK	FALSE
1	0.871	1.23897706979295	0.742	1.23897706979295	0.784	0.087	NA	CD160	NK	TRUE
1	0.87	2.07190391569198	0.74	2.07190391569198	0.858	0.31	NA	CCL3	NK	FALSE
1	0.87	1.33674271977892	0.74	1.33674271977892	0.784	0.06	NA	EOMES	NK	FALSE
1	0.866	0.975626840847288	0.732	0.975626840847288	0.973	0.641	NA	RUNX3	NK	FALSE
1	0.865	0.970332430164102	0.73	0.970332430164102	0.973	0.671	NA	FYN	NK	FALSE
1	0.865	0.890307824490852	0.73	0.890307824490852	0.811	0.158	NA	STAT4	NK	TRUE
1	0.862	1.05325201104318	0.724	1.05325201104318	0.764	0.062	NA	MYBL1	NK	FALSE
1	0.861	1.45578344566971	0.722	1.45578344566971	0.75	0.068	NA	NCAM1	NK	TRUE
1	0.859	1.15117176961458	0.718	1.15117176961458	0.838	0.242	NA	HEG1	NK	FALSE
1	0.858	1.12847283446146	0.716	1.12847283446146	0.831	0.201	NA	SYTL2	NK	FALSE
1	0.858	0.92624790926661	0.716	0.92624790926661	0.824	0.186	NA	CD247	NK	FALSE
1	0.857	0.990325305392316	0.714	0.990325305392316	0.777	0.103	NA	ABCB1	NK	TRUE
1	0.856	1.15308464469792	0.712	1.15308464469792	0.899	0.383	NA	ID2	NK	TRUE
1	0.853	0.823080408588949	0.706	0.823080408588949	0.973	0.764	NA	ITGB2	NK	FALSE
1	0.852	1.67015413033523	0.704	1.67015413033523	0.865	0.323	NA	CCL3L3	NK	FALSE
1	0.852	0.816063624605438	0.704	0.816063624605438	1	0.861	NA	WIPF1	NK	FALSE
1	0.85	1.11774032102924	0.7	1.11774032102924	0.885	0.268	NA	SH2D1A	NK	FALSE
1	0.85	1.09759578179625	0.7	1.09759578179625	0.892	0.348	NA	RARRES3	NK	FALSE
1	0.848	0.995758258459704	0.696	0.995758258459704	0.77	0.124	NA	CD244	NK	FALSE
1	0.848	0.94179072969091	0.696	0.94179072969091	0.993	0.713	NA	BIN2	NK	FALSE
1	0.844	0.960814496640809	0.688	0.960814496640809	0.777	0.133	NA	SLFN12L	NK	FALSE
1	0.842	0.969297748939362	0.684	0.969297748939362	0.723	0.055	NA	IL18RAP	NK	FALSE
1	0.842	0.820520890888861	0.684	0.820520890888861	0.845	0.219	NA	GIMAP6	NK	FALSE
1	0.839	0.958179358887229	0.678	0.958179358887229	0.939	0.366	NA	SLFN5	NK	FALSE
1	0.834	0.840241577438705	0.668	0.840241577438705	0.689	0.03	NA	PTGDR	NK	TRUE
1	0.833	0.900250794044668	0.666	0.900250794044668	0.912	0.571	NA	PLEK	NK	FALSE
1	0.832	1.05443725925148	0.664	1.05443725925148	0.682	0.03	NA	FASLG	NK	TRUE
1	0.829	1.14800143859416	0.658	1.14800143859416	0.703	0.058	NA	TIGIT	NK	TRUE
