cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
PZ_C-C1_01	2371	8575	.	0.0685714285714286	PZ_C-C1	PZ_C	1	1	1-4	0	0	-7.85272665075626	-17.4832043228152	0.982311207079373	1050493	0.8992	0.0683959520763057	0.0648096374637475	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_03	3424	12931	.	0.0456267883381022	PZ_C-C1	PZ_C	1	3	1-4	2	2	12.1228735193196	-1.02273679638179	0.985534162729151	1466666	0.9182	0.0455877815489047	0.03346956074692	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_04	3253	13101	.	0.0802992138004733	PZ_C-C1	PZ_C	1	4	1-4	0	0	-0.266174988073521	-15.6513326472867	0.930608630372692	1320799	0.8926	0.0801401691170869	0.0444723830581564	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_05	3411	13892	.	0.104736539015261	PZ_C-C1	PZ_C	1	5	5-8	0	0	-4.10859137808338	-11.2452240082484	0.98401059778109	1514185	0.9038	0.104510846142796	0.0438110155273311	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_06	3455	13280	.	0.0432981927710843	PZ_C-C1	PZ_C	1	6	5-8	2	2	9.19181989509343	4.58748722565332	0.982312812675314	1237829	0.9177	0.043213587855103	0.0519062792945331	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_07	2362	8199	.	0.102451518477863	PZ_C-C1	PZ_C	1	7	5-8	0	0	-7.22487475999925	-7.05683918006731	0.973577664483669	1278412	0.9155	0.102177350687264	0.0454287097287121	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_08	2380	7170	.	0.0652719665271966	PZ_C-C1	PZ_C	1	8	5-8	0	0	-14.0820396051933	-16.2669142096722	0.986827287280537	1350014	0.9212	0.065081351689612	0.0477639057342947	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_09	3627	17224	.	0.0660125406409661	PZ_C-C1	PZ_C	2	1	1-4	0	0	4.74452330898799	-19.9319181658374	0.988345419957613	1886890	0.9062	0.0658024191214769	0.035473387754759	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_10	3986	16344	.	0.0639990210474792	PZ_C-C1	PZ_C	2	2	1-4	1	10	19.1741907165649	1.00023239699091	0.97769957410984	1747775	0.9235	0.0637299701456163	0.0488150193417642	1	FALSE	TRUE	NK/T
PZ_C-C1_11	1654	3164	.	0.00632111251580278	PZ_C-C1	PZ_C	2	3	1-4	3	3	-13.2971237091371	0.92939220856391	0.954930590630118	745848	0.8962	0.00609384521633151	0.0387946753492552	1	FALSE	TRUE	B-HLA-DRB5
PZ_C-C1_12	2353	7525	.	0.0817275747508306	PZ_C-C1	PZ_C	2	4	1-4	0	0	-15.5906764670942	-17.9674702637487	0.952541298333512	861838	0.9063	0.0814353813559322	0.0589515651948209	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_13	2438	7716	.	0.0861845515811301	PZ_C-C1	PZ_C	2	5	5-8	0	0	-3.10195148032856	-16.7984768700794	0.977093824585202	866803	0.9108	0.0859506268579553	0.0670104642181764	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_14	2149	7072	.	0.0862556561085973	PZ_C-C1	PZ_C	2	6	5-8	2	2	5.50581420591321	8.6866250756099	0.974501018435162	846684	0.8812	0.0859033938881848	0.061229886133896	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_15	3320	11707	.	0.0441616127103442	PZ_C-C1	PZ_C	2	7	5-8	1	1	26.8645771578363	5.79383249203064	0.961370339867432	1159626	0.9096	0.0440412300877417	0.0480702886015578	1	FALSE	TRUE	NK
PZ_C-C1_16	3624	14970	.	0.0822311289245157	PZ_C-C1	PZ_C	2	8	5-8	0	0	4.00621932166945	-17.0385265809485	0.984804594765546	1478832	0.9143	0.0820010658140155	0.0376130649235769	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_17	3704	17621	.	0.0759888769082345	PZ_C-C1	PZ_C	3	1	1-4	0	0	-0.744684193046457	-22.3714344818252	0.989581191416939	2104208	0.9149	0.0757267277457301	0.0415845099139813	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_18	2713	9739	.	0.0950816305575521	PZ_C-C1	PZ_C	3	2	1-4	3	3	-17.5193703299438	-6.23517819470117	0.979098906807607	1154342	0.8649	0.0944994387182366	0.0631340371875042	1	FALSE	TRUE	B-HLA-DRB5
PZ_C-C1_19	2735	9861	.	0.0706824865632289	PZ_C-C1	PZ_C	3	3	1-4	0	0	-4.2633608291439	-18.4837339189932	0.984878794238791	1008737	0.9194	0.0704894822006473	0.0691701119021364	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_21	2127	6017	.	0.0586671098554097	PZ_C-C1	PZ_C	3	5	5-8	0	0	-10.8967460113099	-16.7172813890923	0.975511030155839	806947	0.9147	0.0583857095600397	0.0745753896346814	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_22	2503	10788	.	0.0395810159436411	PZ_C-C1	PZ_C	3	6	5-8	2	2	7.83051194070795	6.28133909339506	0.971693780073357	989808	0.8749	0.0393911439114391	0.05853596490386	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_23	5258	42202	.	0.0447609118051277	PZ_C-C1	PZ_C	3	7	5-8	5	8	-16.0032396243761	14.496861273492	0.987029913979179	2202588	0.9036	0.0447121757242946	0.0189493266098438	1	FALSE	TRUE	Erythrocyte-Prol
PZ_C-C1_24	3647	13220	.	0.072768532526475	PZ_C-C1	PZ_C	3	8	5-8	1	1	20.7847546112273	11.4819067053625	0.989516533105112	1770897	0.9018	0.0726640984968653	0.0435358854657774	1	FALSE	TRUE	NK
PZ_C-C1_25	2750	10167	.	0.0551785187370906	PZ_C-C1	PZ_C	4	1	1-4	0	0	-10.8998849559807	-15.5815762407327	0.98398859787372	1239623	0.9186	0.0550269740068661	0.0722266661587882	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_26	2567	8752	.	0.0523308957952468	PZ_C-C1	PZ_C	4	2	1-4	1	10	19.8515124823388	4.84972930434031	0.971581103670851	1117463	0.9191	0.0520809642938367	0.0550185285180892	1	FALSE	TRUE	NK/T
PZ_C-C1_27	1854	3652	.	0.021631982475356	PZ_C-C1	PZ_C	4	3	1-4	5	5	-11.714049959253	6.0820044916188	0.976811039564968	978327	0.8957	0.0209216101694915	0.0545951676279677	1	FALSE	TRUE	HSC
PZ_C-C1_29	3350	11996	.	0.0476825608536179	PZ_C-C1	PZ_C	4	5	5-8	1	1	22.9147081801268	12.3497341377224	0.98202023450678	1608270	0.917	0.0475083056478405	0.045039659091699	1	FALSE	TRUE	NK
PZ_C-C1_30	2987	11174	.	0.0724897082512976	PZ_C-C1	PZ_C	4	6	5-8	0	0	-11.0805298256902	-17.8072669923037	0.970756181919475	1308299	0.8833	0.0721539283805452	0.0458358975088664	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_31	4081	21107	.	0.0425451272089828	PZ_C-C1	PZ_C	4	7	5-8	2	2	8.86580620193679	5.2875987674021	0.950226057033561	2011411	0.8994	0.0424465872565702	0.033338475947192	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_32	5570	36794	.	0.0951785617220199	PZ_C-C1	PZ_C	4	8	5-8	5	9	-4.13399287170772	-0.546452720758804	0.992690542562814	3605297	0.9193	0.0950855281020907	0.0207756111055005	1	FALSE	TRUE	B-Prol
PZ_C-C1_33	3631	16151	.	0.0300910160361588	PZ_C-C1	PZ_C	5	1	1-4	2	2	7.05392943959257	0.343011308721998	0.984956208692823	1228329	0.9207	0.0300278035217794	0.0672135270948351	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_34	3245	13321	.	0.0758952030628331	PZ_C-C1	PZ_C	5	2	1-4	0	0	-4.62286235797776	-16.8763653828398	0.953357096913224	1614438	0.9201	0.0756849827818536	0.0421551207951305	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_35	2730	9162	.	0.0675616677581314	PZ_C-C1	PZ_C	5	3	1-4	0	0	-10.2106813976803	-16.3348763695349	0.966541747110051	988147	0.9099	0.0672387573321747	0.0637497545701619	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_37	2675	8379	.	0.0577634562596969	PZ_C-C1	PZ_C	5	5	5-8	0	0	-13.0607229512607	-18.203056317186	0.982241321014534	938460	0.9117	0.0574890129469058	0.0742533454492357	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_38	3373	14741	.	0.0592225764873482	PZ_C-C1	PZ_C	5	6	5-8	0	0	-2.35325897017784	-22.9967807021778	0.949743702165025	1765859	0.9029	0.0589504923782544	0.0328384680483281	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_39	3993	18644	.	0.084423943359794	PZ_C-C1	PZ_C	5	7	5-8	2	2	9.66937249015708	3.46738965080482	0.983954929903835	1899549	0.9017	0.0842477118235829	0.0382823161462962	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_40	5127	32528	.	0.040426709296606	PZ_C-C1	PZ_C	5	8	5-8	1	1	23.825574941623	8.56852936853201	0.991489207905708	2437926	0.9219	0.0403337116216299	0.0229010750261256	1	FALSE	TRUE	NK
PZ_C-C1_42	5000	32795	.	0.0386949230065559	PZ_C-C1	PZ_C	6	2	1-4	2	2	10.4463940088016	1.77275515814241	0.976705609573729	2894163	0.9236	0.0386019346596094	0.0239265078479554	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_44	4055	21744	.	0.0359179543782193	PZ_C-C1	PZ_C	6	4	1-4	1	1	22.4790367415188	7.98887502403323	0.988051645252418	1892357	0.8917	0.0357715384967709	0.0345123281772835	1	FALSE	TRUE	NK
PZ_C-C1_45	3152	13098	.	0.0978775385555047	PZ_C-C1	PZ_C	6	5	5-8	6	6	21.2015448802654	-12.8090851918973	0.984197628260963	1233306	0.9087	0.0976538695917124	0.0629345599027305	1	FALSE	TRUE	DC
PZ_C-C1_46	3924	19799	.	0.0661649578261528	PZ_C-C1	PZ_C	6	6	5-8	0	0	-6.28769294136568	-19.0971097631118	0.974231586105592	1766356	0.9019	0.065872177804596	0.0399378502252735	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_47	2968	11982	.	0.0817893506927057	PZ_C-C1	PZ_C	6	7	5-8	0	0	-4.36356190843378	-15.9170199596582	0.961976973806774	1170730	0.9055	0.0814765547056867	0.0285724313963306	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_48	3174	13102	.	0.0913600976950084	PZ_C-C1	PZ_C	6	8	5-8	0	0	-2.48942523856993	-23.3692569320325	0.980809166494518	1412838	0.9019	0.0910335386721424	0.0357290407479381	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_49	2712	12514	.	0.037797666613393	PZ_C-C1	PZ_C	7	1	1-4	2	2	8.05420032610947	6.16036956885558	0.9879167895353	1249742	0.9193	0.0377343438372557	0.0639451643246737	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_50	3967	16368	.	0.040261485826002	PZ_C-C1	PZ_C	7	2	1-4	2	2	15.9271746240305	-0.307205827627619	0.985384457459441	1852097	0.9208	0.0401315388831374	0.0325133495696371	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_51	7073	58809	.	0.0782193201720825	PZ_C-C1	PZ_C	7	3	1-4	5	5	-8.4725498994446	5.91887388854742	0.994243972982762	4255622	0.9258	0.078058713728152	0.0149944343512532	1	FALSE	TRUE	HSC
PZ_C-C1_52	3286	14388	.	0.0549763691965527	PZ_C-C1	PZ_C	7	4	1-4	2	2	6.01231547154467	5.44657346114126	0.981452557028932	1506090	0.9073	0.0548087583148559	0.0365862648985499	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_53	3455	15016	.	0.128596164091636	PZ_C-C1	PZ_C	7	5	5-8	0	0	5.43775060778468	-13.2922641494058	0.988905092033779	1451845	0.9081	0.128135368281354	0.0451768407362556	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_54	4545	23757	.	0.0360735783137602	PZ_C-C1	PZ_C	7	6	5-8	1	10	18.9307546468241	4.43043589331811	0.984667743644487	2355003	0.9046	0.035889275095272	0.0345354508401498	1	FALSE	TRUE	NK/T
PZ_C-C1_55	3865	15307	.	0.0748677075847651	PZ_C-C1	PZ_C	7	7	5-8	0	0	-12.1543871007525	-12.2560963729067	0.982140484833839	1972819	0.9127	0.0744590994737184	0.0311085214824461	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_56	5768	36752	.	0.0894645189377449	PZ_C-C1	PZ_C	7	8	5-8	5	5	-7.28851502832419	3.88346963087977	0.992538279745602	2920606	0.9106	0.0892726236051153	0.00902128389708234	1	FALSE	TRUE	HSC
PZ_C-C1_57	3626	15851	.	0.0423948015898051	PZ_C-C1	PZ_C	8	1	1-4	2	2	12.0477507507491	-0.559867904141968	0.987027323016421	1768698	0.9269	0.0423093873953283	0.0465670560558943	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_58	3826	17844	.	0.108551894194127	PZ_C-C1	PZ_C	8	2	1-4	0	0	-2.7891291407912	-9.49821361776731	0.988560627461311	1904048	0.9172	0.108290937552412	0.0438823688756561	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_59	4930	21410	.	0.0557216254086875	PZ_C-C1	PZ_C	8	3	1-4	5	5	-7.38575393091568	8.58412977753565	0.987105290421963	2659900	0.9251	0.0554832108641057	0.0295691864096144	1	FALSE	TRUE	HSC
PZ_C-C1_60	2598	8779	.	0.0963663287390363	PZ_C-C1	PZ_C	8	4	1-4	0	0	-17.1877364805521	-6.25841196975537	0.985173886856429	1181569	0.9018	0.0960926851431168	0.0605948779937372	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_61	4612	26560	.	0.0360316265060241	PZ_C-C1	PZ_C	8	5	5-8	1	1	16.957088173225	13.3848527825121	0.98909069022637	2941316	0.9178	0.0359490627699936	0.0217630628452184	1	FALSE	TRUE	NK
PZ_C-C1_62	3505	15656	.	0.0926801226366888	PZ_C-C1	PZ_C	8	6	5-8	0	0	-0.676321110876366	-12.3618256680772	0.980352252968879	1549366	0.912	0.092491075981642	0.0248341583202193	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_63	5883	46074	.	0.0485306246473065	PZ_C-C1	PZ_C	8	7	5-8	2	2	9.80537069605091	-2.10633531325457	0.986717848391942	3820967	0.9212	0.0484402079722704	0.0213994223877375	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_64	3475	18384	.	0.0633159268929504	PZ_C-C1	PZ_C	8	8	5-8	0	0	-0.274203568926434	-19.9540228073119	0.984782827929019	1429790	0.9126	0.0631407648494711	0.0429651642519639	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_65	3792	17442	.	0.0435729847494553	PZ_C-C1	PZ_C	9	1	1-4	1	1	17.4885351191872	13.2827231217249	0.988841331251453	1830127	0.9197	0.0434807483265633	0.0398472291983134	1	FALSE	TRUE	NK
PZ_C-C1_67	3460	14631	.	0.0645205385824619	PZ_C-C1	PZ_C	9	3	1-4	0	0	1.25352021158778	-21.5606373647136	0.98883736006007	1559845	0.9156	0.0642701525054466	0.0545844538814827	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_68	2528	9191	.	0.043956043956044	PZ_C-C1	PZ_C	9	4	1-4	2	2	6.78587774293188	1.62600916572925	0.974832323246072	959609	0.9124	0.0437608318890815	0.0865626963563325	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_70	5386	32738	.	0.0620074531125909	PZ_C-C1	PZ_C	9	6	5-8	2	2	4.78746745934685	9.79296914614463	0.977057444684206	2712273	0.9152	0.061928004881025	0.0189195542216719	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_71	3163	11977	.	0.0328128913751357	PZ_C-C1	PZ_C	9	7	5-8	1	1	26.4941912964436	13.3395748345711	0.972405184934127	1594618	0.9051	0.0326005806719204	0.0282086863166671	1	FALSE	TRUE	NK
PZ_C-C1_72	1769	5160	.	0.149806201550388	PZ_C-C1	PZ_C	9	8	5-8	0	0	3.13281396815743	-9.08777025188913	0.968423731537871	1203225	0.9048	0.148854226843828	0.0450222542925713	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_73	3559	14709	.	0.0582636481066014	PZ_C-C1	PZ_C	10	1	1-4	1	1	16.6034428912625	14.3508740658909	0.978453584381511	1409758	0.9135	0.0579523938328374	0.0434307363707901	1	FALSE	TRUE	NK
PZ_C-C1_74	3177	12739	.	0.0518879032891122	PZ_C-C1	PZ_C	10	2	1-4	0	0	-0.766129080123148	-23.3300699875257	0.983405059121474	1421477	0.9114	0.0516325574129042	0.0543852597648089	1	FALSE	TRUE	B-HERPUD1
PZ_C-C1_75	3419	16000	.	0.0399375	PZ_C-C1	PZ_C	10	3	1-4	2	2	9.04297664420607	-2.93802787616546	0.985179115853659	1723253	0.9198	0.0398031643204186	0.0451949913549342	1	FALSE	TRUE	T-TNFAIP3
PZ_C-C1_76	4467	20808	.	0.0511822376009227	PZ_C-C1	PZ_C	10	4	1-4	1	10	18.635591310953	0.912112338221009	0.9858187924363	1873509	0.9223	0.051084036838066	0.0336890210937819	1	FALSE	TRUE	NK/T
PZ_C-C1_77	7257	58351	.	0.0893900704358109	PZ_C-C1	PZ_C	10	5	5-8	1	10	17.2629570040649	1.78175987970136	0.991899792504952	4787430	0.9224	0.0891867861295397	0.0178297904179641	1	FALSE	TRUE	NK/T
PZ_C-C1_78	2830	10842	.	0.0946319867183177	PZ_C-C1	PZ_C	10	6	5-8	0	0	-3.11153545458329	-13.1020918170195	0.965095202304361	1259433	0.906	0.0944367816091954	0.0494828587610977	1	FALSE	TRUE	B-HERPUD1
