cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.918	1.33089054254902	0.836	1.33089054254902	1	0.958	NA	FOSB	Fibro-FOSB+	TRUE
0	0.915	1.18458826338885	0.83	1.18458826338885	1	0.922	NA	FOS	Fibro-FOSB+	TRUE
0	0.898	1.42852309744622	0.796	1.42852309744622	0.993	0.672	NA	ADAMTS1	Fibro-FOSB+	TRUE
0	0.897	1.21980119250428	0.794	1.21980119250428	1	0.96	NA	EGR1	Fibro-FOSB+	TRUE
0	0.889	1.16243414665865	0.778	1.16243414665865	0.998	0.819	NA	IER2	Fibro-FOSB+	TRUE
0	0.87	0.884144128328865	0.74	0.884144128328865	0.924	0.335	NA	SOCS3	Fibro-FOSB+	FALSE
0	0.868	0.934123817933998	0.736	0.934123817933998	1	0.977	NA	DNAJA1	Fibro-FOSB+	FALSE
0	0.866	1.03294726849403	0.732	1.03294726849403	0.978	0.674	NA	KLF4	Fibro-FOSB+	FALSE
0	0.862	0.743451805266391	0.724	0.743451805266391	0.998	0.948	NA	BTG1	Fibro-FOSB+	FALSE
0	0.854	1.08532528204907	0.708	1.08532528204907	0.996	0.854	NA	JUN	Fibro-FOSB+	FALSE
0	0.847	0.883099448552889	0.694	0.883099448552889	0.935	0.483	NA	RND3	Fibro-FOSB+	TRUE
0	0.847	0.875394883358216	0.694	0.875394883358216	0.965	0.604	NA	PLK2	Fibro-FOSB+	FALSE
0	0.847	0.80729328156786	0.694	0.80729328156786	0.998	0.972	NA	MCL1	Fibro-FOSB+	FALSE
0	0.843	0.826557243109844	0.686	0.826557243109844	0.996	0.878	NA	CCNL1	Fibro-FOSB+	FALSE
0	0.826	0.99607968992128	0.652	0.99607968992128	0.996	0.673	NA	MEG3	Fibro-FOSB+	FALSE
0	0.826	0.794424856490308	0.652	0.794424856490308	0.868	0.385	NA	ZFP36	Fibro-FOSB+	FALSE
0	0.82	0.945556967096492	0.64	0.945556967096492	0.963	0.791	NA	DNAJB1	Fibro-FOSB+	FALSE
0	0.814	1.01884715982237	0.628	1.01884715982237	0.92	0.587	NA	KLF2	Fibro-FOSB+	FALSE
0	0.814	0.770981106316584	0.628	0.770981106316584	0.985	0.781	NA	DUSP1	Fibro-FOSB+	FALSE
0	0.81	0.748205094409988	0.62	0.748205094409988	0.993	0.87	NA	RHOB	Fibro-FOSB+	FALSE
0	0.775	0.893862171898077	0.55	0.893862171898077	0.805	0.428	NA	IRF1	Fibro-FOSB+	FALSE
0	0.765	0.731251698122156	0.53	0.731251698122156	0.751	0.332	NA	NFKBIZ	Fibro-FOSB+	FALSE
0	0.745	0.730701965393928	0.49	0.730701965393928	0.863	0.558	NA	BTG2	Fibro-FOSB+	FALSE
0	0.741	0.702610997346607	0.482	0.702610997346607	0.909	0.64	NA	CYR61	Fibro-FOSB+	FALSE
