cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
JCN_C-B1_01	4541	18673	.	0.019386279655117	JCN_C-B1	JCN_C	1	1	1-4	4	4	-25.1040595050843	-20.7982816222631	0.990000554356574	1172384	0.8983	0.0193696827010541	0.065399623504903	1	FALSE	TRUE	Sertoli-EGR3-
JCN_C-B1_02	4764	20205	.	0.0379114080673101	JCN_C-B1	JCN_C	1	2	1-4	0	0	3.81113246431562	0.862339944483662	0.987645686523289	1842866	0.9199	0.0378271604938272	0.0420722834900276	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_04	4405	18221	.	0.0714011305636354	JCN_C-B1	JCN_C	1	4	1-4	4	9	-26.2482457255232	-14.0079072708702	0.931276450128138	1191332	0.8866	0.0713972362360167	0.0485585330447165	1	FALSE	TRUE	Sertoli-Prol
JCN_C-B1_05	4498	16043	.	0.0367138315776351	JCN_C-B1	JCN_C	1	5	5-8	0	0	4.20914138731868	-5.41218890575486	0.98239529100854	1483318	0.9026	0.0366498662186547	0.0518767860450732	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_06	2919	8639	.	0.108345873364973	JCN_C-B1	JCN_C	1	6	5-8	1	1	0.411993360887774	22.4131259040024	0.979172636190125	910419	0.9049	0.108133086876155	0.070276761777574	1	FALSE	TRUE	Fibro-FOSB-
JCN_C-B1_07	4205	15606	.	0.0189670639497629	JCN_C-B1	JCN_C	1	7	5-8	4	4	-26.2284611615335	-21.8072106292043	0.975217570089142	1238779	0.9149	0.0189500640204866	0.0638954570077153	1	FALSE	TRUE	Sertoli-EGR3-
JCN_C-B1_10	3739	9364	.	0.0431439555745408	JCN_C-B1	JCN_C	2	2	1-4	2	2	-6.49045728295424	-30.1862474965573	0.957295291472916	683085	0.9005	0.0426295241110056	0.0268096197533535	1	FALSE	TRUE	Sertoli-EGR3+
JCN_C-B1_12	4825	21999	.	0.0393199690895041	JCN_C-B1	JCN_C	2	4	1-4	0	0	11.8720679104829	-4.3452181795556	0.97721821676347	1957005	0.9177	0.0392112420670898	0.0294081307671664	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_14	5398	23034	.	0.0487974298862551	JCN_C-B1	JCN_C	2	6	5-8	0	0	5.91794837257594	0.678268334133476	0.986518096654042	1826041	0.9075	0.0486537962081205	0.0223956570237972	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_18	5249	24517	.	0.0523718236325815	JCN_C-B1	JCN_C	3	2	1-4	6	6	37.8496445188856	8.88821507980568	0.989416888343456	2260558	0.9198	0.0522205954123963	0.0263656462729292	1	FALSE	TRUE	Endo
JCN_C-B1_19	3229	11012	.	0.0395023610606611	JCN_C-B1	JCN_C	3	3	1-4	0	0	8.44107652842326	-11.8547663524334	0.983201296549927	1171261	0.9233	0.0393629535788616	0.0644839116310777	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_20	4872	19223	.	0.0325651563231546	JCN_C-B1	JCN_C	3	4	1-4	0	0	1.96558272129255	-6.98989178531253	0.91946070065756	1354229	0.9118	0.032522859517872	0.0335592426182049	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_21	5852	32423	.	0.0420380594022762	JCN_C-B1	JCN_C	3	5	5-8	0	0	17.9334415586201	2.97879003043235	0.987045648529971	2688128	0.9236	0.041986261282075	0.0265430134070475	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_22	3946	15090	.	0.0347912524850895	JCN_C-B1	JCN_C	3	6	5-8	0	0	3.65618495008944	-4.17184299459585	0.975890285714286	1196180	0.8794	0.0347084490281634	0.0453101153640386	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_24	5527	32083	.	0.0812268179409656	JCN_C-B1	JCN_C	3	8	5-8	2	2	-8.40370029744657	-28.1854529449154	0.993320286547127	2871911	0.8951	0.0810525006220453	0.0255247580259535	1	FALSE	TRUE	Sertoli-EGR3+
JCN_C-B1_25	5073	21535	.	0.0486185279777107	JCN_C-B1	JCN_C	4	1	1-4	0	0	1.72936933070573	1.7289253358753	0.98522098838809	1851123	0.918	0.0485418888219203	0.039691998726578	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_26	6153	38069	.	0.0484383619217736	JCN_C-B1	JCN_C	4	2	1-4	0	0	19.0367580341801	6.20277990552319	0.987435544374433	3452215	0.9245	0.0483304502804424	0.018901597562439	1	FALSE	TRUE	Fibro-FOSB+
JCN_C-B1_27	1025	13915	.	0.0292490118577075	JCN_C-B1	JCN_C	4	3	1-4	3	8	-27.5134576647084	-1.73701275605454	0.991437637117784	1055774	0.8618	0.0291609944830551	0.0943112561434426	1	FALSE	TRUE	Erythrocyte
JCN_C-B1_29	5319	22678	.	0.105961725019843	JCN_C-B1	JCN_C	4	5	5-8	2	2	-6.88543079737097	-25.4709948651141	0.990303406781341	2833262	0.9189	0.105686766064125	0.0326220034120224	1	FALSE	TRUE	Sertoli-EGR3+
JCN_C-B1_32	5381	22120	.	0.050497287522604	JCN_C-B1	JCN_C	4	8	5-8	1	1	4.22248305021884	16.2866154397485	0.991008293634208	2487977	0.9141	0.050378856215046	0.0225494462187703	1	FALSE	TRUE	Fibro-FOSB-
JCN_C-B1_34	6675	39578	.	0.0439385517206529	JCN_C-B1	JCN_C	5	2	1-4	0	0	18.7342132957226	4.94109216812805	0.975820051855199	3412323	0.9263	0.0438687217779572	0.0225442897583443	1	FALSE	TRUE	Fibro-FOSB+
