cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.991	2.03068909173275	0.982	2.03068909173275	1	0.5	NA	OLFML3	Fibro	TRUE
0	0.989	2.36564087510548	0.978	2.36564087510548	1	0.765	NA	COL1A2	Fibro	TRUE
0	0.987	2.45544477334625	0.974	2.45544477334625	1	0.676	NA	COL1A1	Fibro	TRUE
0	0.982	1.32957962977438	0.964	1.32957962977438	0.985	0.206	NA	MMP2	Fibro	TRUE
0	0.971	1.75472931725031	0.942	1.75472931725031	0.99	0.235	NA	LUM	Fibro	TRUE
0	0.97	1.81480433705396	0.94	1.81480433705396	0.99	0.382	NA	PDGFRA	Fibro	TRUE
0	0.966	1.57444159487092	0.932	1.57444159487092	0.96	0.118	NA	ISLR	Fibro	TRUE
0	0.966	1.47985026563614	0.932	1.47985026563614	0.95	0.118	NA	CLMP	Fibro	TRUE
0	0.965	1.35610434904989	0.93	1.35610434904989	0.95	0.029	NA	PDPN	Fibro	TRUE
0	0.962	2.4111164351545	0.924	2.4111164351545	0.995	0.647	NA	FBLN1	Fibro	TRUE
0	0.961	2.0191374587558	0.922	2.0191374587558	0.98	0.147	NA	MXRA5	Fibro	TRUE
0	0.961	1.13940539760864	0.922	1.13940539760864	0.985	0.206	NA	CDR1-AS	Fibro	TRUE
0	0.96	1.9982507861634	0.92	1.9982507861634	0.985	0.441	NA	PAMR1	Fibro	TRUE
0	0.954	1.7773602042644	0.908	1.7773602042644	1	0.824	NA	COL3A1	Fibro	TRUE
0	0.952	1.50082599145758	0.904	1.50082599145758	0.99	0.324	NA	ANTXR1	Fibro	TRUE
0	0.951	1.71617533420743	0.902	1.71617533420743	0.995	0.382	NA	DCN	Fibro	TRUE
0	0.95	1.37695246733099	0.9	1.37695246733099	0.94	0.118	NA	P4HA2	Fibro	TRUE
0	0.947	1.71860352263507	0.894	1.71860352263507	0.97	0.235	NA	BMP4	Fibro	TRUE
0	0.946	1.40577012206764	0.892	1.40577012206764	0.945	0.206	NA	BCAT1	Fibro	TRUE
0	0.946	1.28211198761036	0.892	1.28211198761036	0.985	0.324	NA	DKK3	Fibro	TRUE
0	0.944	1.4307757436858	0.888	1.4307757436858	0.96	0.206	NA	FENDRR	Fibro	TRUE
0	0.944	1.29461748244276	0.888	1.29461748244276	0.97	0.235	NA	PTPRD	Fibro	TRUE
0	0.94	1.57685629994194	0.88	1.57685629994194	0.92	0.147	NA	STC1	Fibro	TRUE
0	0.936	1.21085884744304	0.872	1.21085884744304	0.985	0.5	NA	COLEC12	Fibro	TRUE
0	0.932	1.4680459873359	0.864	1.4680459873359	0.96	0.206	NA	BMP5	Fibro	TRUE
0	0.931	1.6289473484009	0.862	1.6289473484009	0.995	0.529	NA	C1S	Fibro	TRUE
0	0.925	1.07055409419737	0.85	1.07055409419737	1	0.676	NA	CALU	Fibro	TRUE
0	0.924	0.871814306765231	0.848	0.871814306765231	0.905	0.118	NA	CDR1	Fibro	TRUE
0	0.921	1.32969174483134	0.842	1.32969174483134	0.935	0.235	NA	VCAM1	Fibro	TRUE
0	0.92	1.47584132730854	0.84	1.47584132730854	1	0.412	NA	COL5A2	Fibro	TRUE
0	0.92	1.23475620763483	0.84	1.23475620763483	0.894	0.147	NA	LINC01133	Fibro	TRUE
0	0.919	0.988856358359183	0.838	0.988856358359183	0.98	0.588	NA	MAGED1	Fibro	TRUE
0	0.916	1.26874140943823	0.832	1.26874140943823	0.98	0.235	NA	SRPX	Fibro	TRUE
0	0.915	1.16279916850387	0.83	1.16279916850387	0.93	0.235	NA	CTSK	Fibro	TRUE
0	0.915	0.762417767092185	0.83	0.762417767092185	0.92	0.118	NA	MFAP4	Fibro	TRUE
0	0.914	0.779718739451443	0.828	0.779718739451443	0.955	0.235	NA	PCOLCE	Fibro	FALSE
0	0.914	0.713698743892164	0.828	0.713698743892164	0.854	0.088	NA	TMEM45A	Fibro	TRUE
0	0.913	1.12091191857307	0.826	1.12091191857307	0.995	0.441	NA	COL5A1	Fibro	FALSE
0	0.913	0.961625147353361	0.826	0.961625147353361	0.965	0.265	NA	FAM114A1	Fibro	FALSE
0	0.911	1.18334315193362	0.822	1.18334315193362	0.995	0.618	NA	RCN1	Fibro	TRUE
