cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
PG_D-C1_03	2581	9631	.	0.0518118575433496	PG_D-C1	PG_D	1	3	1-4	2	3	3.69511664721247	-6.67531755536081	0.936452578592024	1006661	0.7654	0.0495678951028112	0.0525109262995322	1	FALSE	TRUE	Immune
PG_D-C1_04	4623	25419	.	0.0577127345686298	PG_D-C1	PG_D	1	4	1-4	1	0	4.227918853067	5.31983864803419	0.955550444133739	1228557	0.7774	0.0573046875	0.0413833813521407	1	FALSE	TRUE	Fibro
PG_D-C1_05	4921	34073	.	0.057406157368004	PG_D-C1	PG_D	1	5	5-8	0	0	-1.31688387418635	-1.22489860609016	0.979543928572856	2221235	0.758	0.057199672476313	0.0482705039217289	1	FALSE	TRUE	Fibro
PG_D-C1_06	5589	42249	.	0.0582972378044451	PG_D-C1	PG_D	1	6	5-8	1	0	7.72000169972454	-0.24497819801392	0.965924424906535	2580919	0.7732	0.0577247586012937	0.026642485062611	1	FALSE	TRUE	Fibro
PG_D-C1_09	4771	35021	.	0.0608777590588504	PG_D-C1	PG_D	2	1	1-4	1	0	4.16450072754294	1.82050215208708	0.934481420314541	1154664	0.723	0.0606232939035487	0.0517075438095695	1	FALSE	TRUE	Fibro
PG_D-C1_10	6122	70376	.	0.0334915312038195	PG_D-C1	PG_D	2	2	1-4	2	0	-6.12001467186611	-1.55582130258992	0.935195170174441	2791531	0.7764	0.0332834387708992	0.0370244499346476	1	FALSE	TRUE	Fibro
PG_D-C1_11	4128	21091	.	0.042387748328671	PG_D-C1	PG_D	2	3	1-4	2	3	8.29841741417931	-6.06129508741229	0.949474424031149	1872204	0.7771	0.0407344967421515	0.0228373845265794	1	FALSE	TRUE	Immune
PG_D-C1_13	3933	16818	.	0.0536924723510524	PG_D-C1	PG_D	2	5	5-8	0	0	2.10992601323909	-1.07116284980188	0.970387689322572	2336604	0.7548	0.0517122895430077	0.0330142434277665	1	FALSE	TRUE	Fibro
PG_D-C1_14	4645	28475	.	0.0391220368744513	PG_D-C1	PG_D	2	6	5-8	0	0	-2.13292751926785	-3.52255552548812	0.947499084424876	1563073	0.7536	0.038855946982909	0.0357660637125103	1	FALSE	TRUE	Fibro
PG_D-C1_18	5070	50357	.	0.0501221280060369	PG_D-C1	PG_D	3	2	1-4	0	0	-5.90900929787066	-6.22706126220495	0.951716513590715	2556659	0.7703	0.049734970147195	0.0357747292449552	1	FALSE	TRUE	Fibro
PG_D-C1_20	2844	11688	.	0.094113620807666	PG_D-C1	PG_D	3	4	1-4	0	0	0.116865797255512	1.04763698854453	0.906739571536429	514478	0.7351	0.0935056103366202	0.0875767629581951	1	FALSE	TRUE	Fibro
PG_D-C1_21	4929	31425	.	0.0444868735083532	PG_D-C1	PG_D	3	5	5-8	0	0	0.498989253215871	-1.77599785752866	0.977600132490196	2213185	0.7782	0.0442629179331307	0.0478650549982166	1	FALSE	TRUE	Fibro
PG_D-C1_22	3841	12653	.	0.0825100766616613	PG_D-C1	PG_D	3	6	5-8	2	4	-3.70382323178046	-8.13625210350895	0.946394413121372	2643571	0.7275	0.0745874115881975	0.0113040881305443	1	FALSE	TRUE	Edno-ENTPD1
PG_D-C1_25	5002	36722	.	0.031615925058548	PG_D-C1	PG_D	4	1	1-4	0	0	-3.14322668169762	-2.61731547131675	0.942128075624725	773538	0.7598	0.0314267926264786	0.034236882609108	1	FALSE	TRUE	Fibro
PG_D-C1_29	5418	40688	.	0.0443128195045222	PG_D-C1	PG_D	4	5	5-8	1	0	2.72754102597236	2.22851268658378	0.974654265698304	2861842	0.773	0.0440712766737552	0.0517610538806817	1	FALSE	TRUE	Fibro
PG_D-C1_31	4775	31000	.	0.0622903225806452	PG_D-C1	PG_D	4	7	5-8	1	0	0.719937387506758	2.9719442145258	0.963069241971706	2406411	0.759	0.0618930093913266	0.0460157899963777	1	FALSE	TRUE	Fibro
