cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.949	1.9530728211322	0.898	1.9530728211322	0.958	0.349	NA	IGHM	Pre-B	TRUE
0	0.946	1.74998619398744	0.892	1.74998619398744	0.966	0.513	NA	PLEKHA2	Pre-B	TRUE
0	0.944	1.62126454078058	0.888	1.62126454078058	0.966	0.338	NA	FAM129C	Pre-B	TRUE
0	0.928	1.81945903274693	0.856	1.81945903274693	0.966	0.405	NA	RUBCNL	Pre-B	TRUE
0	0.908	1.5704933376682	0.816	1.5704933376682	0.874	0.174	NA	FCRLA	Pre-B	TRUE
0	0.905	1.76242880948132	0.81	1.76242880948132	0.908	0.246	NA	PCDH9	Pre-B	TRUE
0	0.904	1.27331753648481	0.808	1.27331753648481	0.983	0.513	NA	CD74	Pre-B	FALSE
0	0.902	1.34233371190956	0.804	1.34233371190956	0.975	0.574	NA	HLA-DRA	Pre-B	FALSE
0	0.897	1.14398521611491	0.794	1.14398521611491	1	0.779	NA	HLA-B	Pre-B	FALSE
0	0.887	1.20257700986024	0.774	1.20257700986024	0.983	0.903	NA	YPEL5	Pre-B	TRUE
0	0.884	1.3233655002805	0.768	1.3233655002805	0.95	0.61	NA	ZNF106	Pre-B	TRUE
0	0.884	1.12851499638925	0.768	1.12851499638925	0.983	0.728	NA	BTG1	Pre-B	FALSE
0	0.883	1.21966676396467	0.766	1.21966676396467	0.924	0.379	NA	AFF3	Pre-B	TRUE
0	0.881	1.12967059309244	0.762	1.12967059309244	0.975	0.697	NA	ARID1B	Pre-B	TRUE
0	0.88	1.33262643505296	0.76	1.33262643505296	0.958	0.462	NA	HLA-DPB1	Pre-B	FALSE
0	0.877	1.51225852905674	0.754	1.51225852905674	0.924	0.431	NA	BACH2	Pre-B	FALSE
0	0.875	1.16912002978323	0.75	1.16912002978323	0.941	0.231	NA	TCL1A	Pre-B	FALSE
0	0.875	0.903767316487278	0.75	0.903767316487278	1	0.913	NA	B2M	Pre-B	FALSE
0	0.871	0.823916050082473	0.742	0.823916050082473	1	0.979	NA	EIF4A2	Pre-B	FALSE
0	0.87	1.4663700118779	0.74	1.4663700118779	0.95	0.533	NA	CXCR4	Pre-B	TRUE
0	0.867	1.10223153867655	0.734	1.10223153867655	0.84	0.267	NA	DTX1	Pre-B	TRUE
0	0.856	1.19669564205105	0.712	1.19669564205105	0.958	0.482	NA	FOXO1	Pre-B	FALSE
0	0.854	1.0267325350025	0.708	1.0267325350025	0.95	0.544	NA	UTRN	Pre-B	FALSE
0	0.851	1.26345859522633	0.702	1.26345859522633	0.824	0.318	NA	SLC9A7	Pre-B	TRUE
0	0.85	1.96925951156431	0.7	1.96925951156431	0.782	0.256	NA	ADARB1	Pre-B	TRUE
0	0.844	0.935870623591862	0.688	0.935870623591862	0.84	0.328	NA	CD37	Pre-B	TRUE
0	0.843	1.05102659770349	0.686	1.05102659770349	0.924	0.595	NA	LYN	Pre-B	FALSE
0	0.842	1.10541450075524	0.684	1.10541450075524	0.908	0.4	NA	HLA-DRB1	Pre-B	FALSE
0	0.839	0.916026513812149	0.678	0.916026513812149	0.983	0.718	NA	YWHAZ	Pre-B	FALSE
0	0.834	0.986247512201742	0.668	0.986247512201742	0.983	0.692	NA	HLA-E	Pre-B	FALSE
0	0.83	1.56173901740921	0.66	1.56173901740921	0.773	0.349	NA	RNGTT	Pre-B	TRUE
0	0.83	1.0912077725875	0.66	1.0912077725875	0.933	0.528	NA	SYK	Pre-B	FALSE
0	0.829	0.98918912934626	0.658	0.98918912934626	0.849	0.338	NA	TMEM243	Pre-B	FALSE
0	0.824	1.14788116563921	0.648	1.14788116563921	0.882	0.528	NA	FAM65B	Pre-B	FALSE
0	0.824	0.851611652159449	0.648	0.851611652159449	0.983	0.785	NA	MDM4	Pre-B	FALSE
0	0.822	1.47801444304514	0.644	1.47801444304514	0.706	0.138	NA	CCDC191	Pre-B	TRUE
0	0.822	0.93221060130966	0.644	0.93221060130966	0.941	0.533	NA	PTPRC	Pre-B	FALSE
0	0.821	0.955796132021168	0.642	0.955796132021168	0.933	0.467	NA	PRKCB	Pre-B	FALSE
0	0.821	0.909616477629292	0.642	0.909616477629292	0.983	0.764	NA	ERP29	Pre-B	FALSE
0	0.82	0.922201649323857	0.64	0.922201649323857	0.924	0.59	NA	FOXP1	Pre-B	FALSE
0	0.819	1.09169853438377	0.638	1.09169853438377	0.866	0.497	NA	SP110	Pre-B	FALSE
0	0.818	0.91618524796275	0.636	0.91618524796275	0.824	0.338	NA	HLA-DPA1	Pre-B	FALSE
0	0.816	0.709457125073419	0.632	0.709457125073419	1	0.944	NA	DDX5	Pre-B	FALSE
0	0.815	2.45166918357438	0.63	2.45166918357438	0.672	0.113	NA	IGLC2	Pre-B	TRUE
0	0.814	1.17945179045588	0.628	1.17945179045588	0.899	0.605	NA	DGKD	Pre-B	FALSE
0	0.814	0.85102751881773	0.628	0.85102751881773	0.815	0.297	NA	PAX5	Pre-B	FALSE
0	0.812	1.04679802747775	0.624	1.04679802747775	0.84	0.456	NA	STIM2	Pre-B	FALSE
0	0.81	1.19610114049944	0.62	1.19610114049944	0.765	0.287	NA	HIST1H2AC	Pre-B	FALSE
0	0.81	0.906737881402123	0.62	0.906737881402123	0.882	0.497	NA	STRBP	Pre-B	FALSE
0	0.809	1.23261260309618	0.618	1.23261260309618	0.765	0.292	NA	TCL6	Pre-B	FALSE
0	0.809	0.893239640481262	0.618	0.893239640481262	0.975	0.554	NA	RCSD1	Pre-B	FALSE
0	0.808	0.751375815346655	0.616	0.751375815346655	0.992	0.846	NA	HLA-A	Pre-B	FALSE
0	0.805	0.939426588158623	0.61	0.939426588158623	0.874	0.667	NA	MYLIP	Pre-B	FALSE
0	0.804	0.733914522399577	0.608	0.733914522399577	0.992	0.697	NA	HLA-C	Pre-B	FALSE
0	0.802	0.729461117822427	0.604	0.729461117822427	0.958	0.836	NA	MTPN	Pre-B	FALSE
0	0.802	0.721617320915103	0.604	0.721617320915103	0.966	0.538	NA	TCF4	Pre-B	FALSE
0	0.798	1.20685585107482	0.596	1.20685585107482	0.714	0.241	NA	HLA-DMB	Pre-B	TRUE
0	0.798	0.742429408778274	0.596	0.742429408778274	0.899	0.61	NA	ABI1	Pre-B	FALSE
0	0.797	1.03356657977972	0.594	1.03356657977972	0.723	0.318	NA	PPM1K	Pre-B	TRUE
0	0.793	0.792118916244147	0.586	0.792118916244147	0.874	0.523	NA	VPS13C	Pre-B	FALSE
0	0.791	0.842525162126498	0.582	0.842525162126498	0.807	0.482	NA	PPP1R2	Pre-B	FALSE
0	0.789	1.20803964305536	0.578	1.20803964305536	0.723	0.297	NA	TAGAP	Pre-B	FALSE
