cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
GS_C-A1_03	1935	12972	.	0.0613629355534998	GS_C-A1	GS_C	1	3	1-4	1	1	-5.73175415847101	17.7707875292187	0.973911919649451	1252346	0.8864	0.0610242256976388	0.0735976932766871	1	FALSE	TRUE	Erythrocyte
GS_C-A1_05	1248	9392	.	0.0554727427597956	GS_C-A1	GS_C	1	5	5-8	1	1	-0.849059866725166	13.4082687024427	0.958796068083626	1041442	0.858	0.0544523411371237	0.0636013466738458	1	FALSE	TRUE	Erythrocyte
GS_C-A1_07	1552	3922	.	0.0456399796022438	GS_C-A1	GS_C	1	7	5-8	0	5	-2.78484233137687	2.7843564204687	0.95652490523758	847063	0.8932	0.0441103992114342	0.106235556395856	1	FALSE	TRUE	Mast
GS_C-A1_08	3632	31934	.	0.054957099016722	GS_C-A1	GS_C	1	8	5-8	1	6	-9.94212531352972	16.5324558555641	0.986797198679257	2663591	0.872	0.054681414550553	0.048408269339043	1	FALSE	TRUE	Erythrocyte-Prol
GS_C-A1_09	2069	22340	.	0.0245299910474485	GS_C-A1	GS_C	2	1	1-4	1	1	-0.751123294016438	15.9855680599846	0.982104710438749	1847824	0.8595	0.0242317046208269	0.0454544847552507	1	FALSE	TRUE	Erythrocyte
GS_C-A1_11	2477	8456	.	0.0585383159886471	GS_C-A1	GS_C	2	3	1-4	0	0	4.27033414683443	-1.2033296042749	0.977697857503125	1141893	0.8965	0.0575648331201302	0.0743480102850221	1	FALSE	TRUE	Pre-B
GS_C-A1_12	2532	7467	.	0.0620061604392661	GS_C-A1	GS_C	2	4	1-4	0	0	2.2767126321678	-2.80934794787961	0.948770039769659	1005250	0.8841	0.0613245033112583	0.0764350404150218	1	FALSE	TRUE	Pre-B
GS_C-A1_14	2343	6616	.	0.0592503022974607	GS_C-A1	GS_C	2	6	5-8	0	0	4.09974496686166	-2.18498914851895	0.973405185606226	893503	0.8627	0.0582207039952473	0.0519594733456643	1	FALSE	TRUE	Pre-B
GS_C-A1_15	5221	36207	.	0.0411522633744856	GS_C-A1	GS_C	2	7	5-8	2	2	4.30241839964814	-14.3265029820907	0.98056980147874	2756829	0.9027	0.040844298245614	0.0284574935702497	1	FALSE	TRUE	B-Prol
GS_C-A1_16	6075	108557	.	0.0382471881131571	GS_C-A1	GS_C	2	8	5-8	1	6	-6.40131227121618	12.7027055480922	0.992796975556261	4826204	0.8975	0.0380980345378136	0.0197934570037741	1	FALSE	TRUE	Erythrocyte-Prol
GS_C-A1_17	2797	10442	.	0.0516184638958054	GS_C-A1	GS_C	3	1	1-4	0	0	3.85715526896125	-4.06149679183753	0.986134920060629	1724631	0.8896	0.0505391467416784	0.0698674438091648	1	FALSE	TRUE	Pre-B
