cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
JD_C-B1_01	5726	39792	.	0.0327704061117813	JD_C-B1	JD_C	1	1	1-4	2	8	-6.94626199412996	-13.4853683192727	0.991683792290285	3058504	0.9218	0.0322445043396553	0.0421018461481161	1	FALSE	TRUE	SM
JD_C-B1_02	2051	5697	.	0.11023345620502	JD_C-B1	JD_C	1	2	1-4	2	2	-5.91704933884729	-16.9464076542271	0.978578933716692	993326	0.8994	0.107626392459297	0.13810348475649	1	FALSE	TRUE	Fibro
JD_C-B1_03	1976	5881	.	0.0649549396361163	JD_C-B1	JD_C	1	3	1-4	1	1	-12.4031131113269	-0.616186273539073	0.979797152730055	1129259	0.9147	0.0641262380392815	0.112486284705658	1	FALSE	TRUE	B-Immature
JD_C-B1_05	5353	25266	.	0.0482862344652893	JD_C-B1	JD_C	1	5	5-8	2	8	-6.84391607546334	-13.4295170924786	0.98811972729625	3015025	0.9153	0.0473069913529024	0.0568554314307434	1	FALSE	TRUE	SM
JD_C-B1_06	4650	34830	.	0.034137238013207	JD_C-B1	JD_C	1	6	5-8	0	0	11.105070881655	-3.63259683295587	0.989960422341007	2803514	0.9168	0.0338283828382838	0.0542857741756297	1	FALSE	TRUE	T
JD_C-B1_07	5074	32035	.	0.104229748712346	JD_C-B1	JD_C	1	7	5-8	0	7	-4.18259830531495	-11.8886543206242	0.986410873417883	2509483	0.9152	0.10213507891839	0.0570916776935642	1	FALSE	TRUE	Endo
JD_C-B1_10	3489	19359	.	0.0783098300532052	JD_C-B1	JD_C	2	2	1-4	1	6	-12.8370837562823	8.48136920517993	0.992351524623329	2350884	0.918	0.0779394375610508	0.0830020680888022	1	FALSE	TRUE	B-Mature
JD_C-B1_11	3641	14782	.	0.045934244351238	JD_C-B1	JD_C	2	3	1-4	0	0	5.76618592232647	-4.83312194098192	0.984396507683612	1576129	0.9239	0.0455582393988191	0.089258150297468	1	FALSE	TRUE	T
JD_C-B1_14	2950	10161	.	0.05097923432733	JD_C-B1	JD_C	2	6	5-8	0	0	3.25888171563357	-0.452141813788686	0.976838541387195	1257537	0.9029	0.0504430811179277	0.0677160795023572	1	FALSE	TRUE	T
JD_C-B1_17	2751	9762	.	0.0625896332718705	JD_C-B1	JD_C	3	1	1-4	1	1	-12.492237788927	-0.997033857558336	0.981832392518957	1524537	0.9177	0.061673564146563	0.113847043050092	1	FALSE	TRUE	B-Immature
