cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
GJ_C-C1_01	3365	14789	.	0.13496517682061	GJ_C-C1	GJ_C	1	1	1-4	0	0	0.49687364182538	-3.5698358326262	0.989449122504402	2110561	0.8915	0.131074336748096	0.0328352481231861	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_02	4594	27101	.	0.0523965905317147	GJ_C-C1	GJ_C	1	2	1-4	2	2	5.78234638986903	13.3066848322999	0.991199922527387	1696046	0.9093	0.0522769944409675	0.0435368795024053	1	FALSE	TRUE	Fibro-SFRP2
GJ_C-C1_03	4318	20524	.	0.037663223543169	GJ_C-C1	GJ_C	1	3	1-4	0	0	-5.93383946326376	3.98106705640212	0.988311603650587	1537545	0.9146	0.0374933307464714	0.0494128225588791	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_04	5262	27263	.	0.0283534460624289	GJ_C-C1	GJ_C	1	4	1-4	2	2	6.66017663421093	8.09628719473476	0.964118307716452	1927776	0.9096	0.0282426013883814	0.0405534918864294	1	FALSE	TRUE	Fibro-SFRP2
GJ_C-C1_05	5232	26505	.	0.0395774382192039	GJ_C-C1	GJ_C	1	5	5-8	0	0	-5.66670567961354	-4.76669751123341	0.988677553193535	2196825	0.9061	0.0393931428142251	0.0471499777665174	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_07	4726	31679	.	0.0395845828466808	GJ_C-C1	GJ_C	1	7	5-8	0	0	-6.96392400245534	-6.58093817493394	0.988254369273573	1736894	0.91	0.0393856590973335	0.0505268045078314	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_08	5639	39511	.	0.0385462276328111	GJ_C-C1	GJ_C	1	8	5-8	0	0	-6.37675149471622	-7.8461142066073	0.993543486700907	2315256	0.9108	0.0384382413810509	0.0451405516302618	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_10	5684	34544	.	0.0358094025011579	GJ_C-C1	GJ_C	2	2	1-4	0	0	-6.91834311028153	-4.35270075176633	0.988553488507929	1881711	0.9139	0.035640198225193	0.050254446812447	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_11	2564	15998	.	0.0781972746593324	GJ_C-C1	GJ_C	2	3	1-4	2	2	9.15582361017621	11.9914498824363	0.992798080703894	974048	0.9037	0.0778420757886877	0.0935838772044506	1	FALSE	TRUE	Fibro-SFRP2
GJ_C-C1_12	7195	67790	.	0.0266558489452722	GJ_C-C1	GJ_C	2	4	1-4	3	5	-12.0309079363241	-11.7648839566411	0.984215143888504	3333175	0.9133	0.0265672782874618	0.0239104270488511	1	FALSE	TRUE	Fibro-Prol
GJ_C-C1_13	4976	24888	.	0.0569752491160399	GJ_C-C1	GJ_C	2	5	5-8	0	0	-0.130197141836451	-1.99571723978568	0.99077901243653	1877646	0.9115	0.0568281938325991	0.0500257518149327	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_14	5147	25284	.	0.0383641828824553	GJ_C-C1	GJ_C	2	6	5-8	0	0	-3.62207290014878	-3.85968890344668	0.989595389508734	1669713	0.903	0.0382356419251843	0.0384854928171828	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_15	5971	46207	.	0.0277663557469647	GJ_C-C1	GJ_C	2	7	5-8	1	1	12.2441165503759	-1.10045404534216	0.984151888692223	2064314	0.9086	0.0276800932018727	0.0492772588134211	1	FALSE	TRUE	Fibro-GUCY1A3
GJ_C-C1_16	6208	45244	.	0.0358500574661834	GJ_C-C1	GJ_C	2	8	5-8	0	0	-6.79771758581432	-1.66528278925851	0.99418543877071	2462703	0.9092	0.0357630778722842	0.030718724838274	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_17	5346	28795	.	0.044278520576489	GJ_C-C1	GJ_C	3	1	1-4	0	0	-5.72684690067459	3.36165590216827	0.990850781795636	2344178	0.9155	0.0441619618302102	0.0481788442977093	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_18	6016	46119	.	0.0518658253648171	GJ_C-C1	GJ_C	3	2	1-4	2	2	6.52464867143976	11.7789132564372	0.994279485600913	2651394	0.9133	0.0517245107579198	0.0405293208061197	1	FALSE	TRUE	Fibro-SFRP2
GJ_C-C1_19	4736	28634	.	0.0484039952504016	GJ_C-C1	GJ_C	3	3	1-4	2	2	8.12705543096853	8.8750683073465	0.992541003104871	1432146	0.9098	0.0482506527415144	0.0522562756618805	1	FALSE	TRUE	Fibro-SFRP2
GJ_C-C1_20	5278	29289	.	0.0360886339581413	GJ_C-C1	GJ_C	3	4	1-4	0	0	-6.39422326481022	-4.39282333748346	0.952158676089817	1607635	0.9072	0.0359780795806528	0.0478454031151516	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_21	5979	38726	.	0.0265454733254144	GJ_C-C1	GJ_C	3	5	5-8	2	2	6.18997434804678	7.55050563015177	0.990977899054743	2323668	0.9136	0.0264621087314662	0.0504747584873474	1	FALSE	TRUE	Fibro-SFRP2
GJ_C-C1_22	4892	34385	.	0.041384324560128	GJ_C-C1	GJ_C	3	6	5-8	0	0	-0.653775456980699	-0.477769806381811	0.987550227058386	1826913	0.902	0.0412141222811133	0.0508927610823208	1	FALSE	TRUE	Fibro-SCN7A
GJ_C-C1_23	5491	32573	.	0.0493353390845178	GJ_C-C1	GJ_C	3	7	5-8	0	0	-7.16268177428237	-5.4507288329244	0.988967348733774	2083336	0.8994	0.0491903639535951	0.042606588285467	1	FALSE	TRUE	Fibro-SCN7A
