cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.876	1.12494174649919	0.752	1.12494174649919	1	0.925	NA	COL3A1	Fibro-LRRC17	TRUE
0	0.855	1.2748664900488	0.71	1.2748664900488	1	0.822	NA	COL1A1	Fibro-LRRC17	FALSE
0	0.848	0.955069569457201	0.696	0.955069569457201	0.958	0.533	NA	LRRC17	Fibro-LRRC17	TRUE
0	0.841	0.822287717121576	0.682	0.822287717121576	0.944	0.481	NA	LUM	Fibro-LRRC17	TRUE
0	0.839	1.29038206808945	0.678	1.29038206808945	0.931	0.593	NA	CFH	Fibro-LRRC17	TRUE
0	0.838	1.08507562264629	0.676	1.08507562264629	1	0.85	NA	COL1A2	Fibro-LRRC17	FALSE
0	0.826	1.15935739223574	0.652	1.15935739223574	0.958	0.832	NA	FBLN1	Fibro-LRRC17	FALSE
0	0.824	1.08926134246243	0.648	1.08926134246243	0.764	0.201	NA	WNT2B	Fibro-LRRC17	FALSE
0	0.815	1.11270954180915	0.63	1.11270954180915	0.972	0.766	NA	CCDC80	Fibro-LRRC17	FALSE
0	0.808	0.89414169315467	0.616	0.89414169315467	0.958	0.631	NA	GPC3	Fibro-LRRC17	TRUE
0	0.806	1.00179442823446	0.612	1.00179442823446	0.944	0.551	NA	THBS2	Fibro-LRRC17	FALSE
0	0.794	0.840212817488865	0.588	0.840212817488865	0.972	0.551	NA	SRPX	Fibro-LRRC17	FALSE
0	0.792	0.765068235946636	0.584	0.765068235946636	0.944	0.678	NA	PCDH7	Fibro-LRRC17	FALSE
0	0.79	0.715251601574927	0.58	0.715251601574927	0.875	0.495	NA	SVEP1	Fibro-LRRC17	FALSE
0	0.779	0.956681617537517	0.558	0.956681617537517	0.917	0.617	NA	COL14A1	Fibro-LRRC17	FALSE
0	0.773	0.804867353853575	0.546	0.804867353853575	0.667	0.192	NA	ADAM12	Fibro-LRRC17	FALSE
0	0.766	0.985037319572872	0.532	0.985037319572872	0.625	0.126	NA	MFAP5	Fibro-LRRC17	FALSE
0	0.753	0.699308293278567	0.506	0.699308293278567	0.889	0.603	NA	FAT4	Fibro-LRRC17	FALSE
0	0.746	0.76140851647206	0.492	0.76140851647206	0.861	0.607	NA	BNC2	Fibro-LRRC17	FALSE
0	0.739	0.710097758366834	0.478	0.710097758366834	1	0.85	NA	FBN1	Fibro-LRRC17	FALSE
0	0.713	0.93538046297376	0.426	0.93538046297376	0.611	0.234	NA	CNTNAP2	Fibro-LRRC17	FALSE
1	0.985	2.2108774195437	0.97	2.2108774195437	1	0.441	NA	NRK	Fibro-C7	TRUE
1	0.975	2.73878006624142	0.95	2.73878006624142	0.969	0.126	NA	C7	Fibro-C7	TRUE
1	0.965	1.97766107199806	0.93	1.97766107199806	1	0.423	NA	SCN7A	Fibro-C7	FALSE
1	0.944	1.09337987944115	0.888	1.09337987944115	1	0.928	NA	NFIA	Fibro-C7	TRUE
1	0.934	1.37755669615873	0.868	1.37755669615873	1	0.279	NA	IQGAP2	Fibro-C7	FALSE
1	0.925	1.83472881438102	0.85	1.83472881438102	1	0.383	NA	GUCY1A3	Fibro-C7	FALSE
1	0.921	1.43245745410893	0.842	1.43245745410893	0.969	0.477	NA	SULF1	Fibro-C7	TRUE
1	0.917	1.23747373513604	0.834	1.23747373513604	0.984	0.698	NA	PTN	Fibro-C7	FALSE
1	0.915	1.36792404801613	0.83	1.36792404801613	0.969	0.554	NA	SGCD	Fibro-C7	TRUE
1	0.91	0.993736759105028	0.82	0.993736759105028	1	0.766	NA	DPYSL3	Fibro-C7	TRUE
1	0.905	2.22819331226081	0.81	2.22819331226081	0.891	0.257	NA	KCNN3	Fibro-C7	TRUE
1	0.904	1.28442630370507	0.808	1.28442630370507	1	0.82	NA	VCAN	Fibro-C7	TRUE
1	0.898	1.01224801942957	0.796	1.01224801942957	0.938	0.455	NA	PRKAR2B	Fibro-C7	TRUE
1	0.893	1.40316673504874	0.786	1.40316673504874	1	0.64	NA	PEG3	Fibro-C7	TRUE
1	0.893	1.13338374545054	0.786	1.13338374545054	0.984	0.532	NA	MMP16	Fibro-C7	FALSE
1	0.892	1.49903089454315	0.784	1.49903089454315	0.969	0.568	NA	ADAMTSL3	Fibro-C7	TRUE
1	0.884	1.04001760435036	0.768	1.04001760435036	0.984	0.716	NA	DCN	Fibro-C7	FALSE
1	0.881	1.18402739082289	0.762	1.18402739082289	1	0.662	NA	SLIT2	Fibro-C7	TRUE
1	0.88	1.09979061647961	0.76	1.09979061647961	0.969	0.757	NA	GSN	Fibro-C7	TRUE
1	0.879	0.99559411015852	0.758	0.99559411015852	0.891	0.311	NA	FIBIN	Fibro-C7	TRUE
1	0.878	1.10265187232732	0.756	1.10265187232732	1	0.797	NA	KCTD12	Fibro-C7	TRUE
1	0.872	1.06922327831439	0.744	1.06922327831439	1	0.788	NA	PLAGL1	Fibro-C7	TRUE
1	0.864	0.822169748399402	0.728	0.822169748399402	0.875	0.329	NA	MN1	Fibro-C7	TRUE
1	0.861	0.787811971593347	0.722	0.787811971593347	0.891	0.302	NA	EFEMP1	Fibro-C7	TRUE
1	0.853	1.09270069971095	0.706	1.09270069971095	0.719	0.027	NA	NWD2	Fibro-C7	TRUE
1	0.846	0.695972589422226	0.692	0.695972589422226	0.906	0.752	NA	FAM3C	Fibro-C7	FALSE
1	0.843	1.02749103133885	0.686	1.02749103133885	0.797	0.23	NA	FZD8	Fibro-C7	TRUE
1	0.843	0.87712555251865	0.686	0.87712555251865	0.984	0.833	NA	ITM2A	Fibro-C7	FALSE
1	0.843	0.752353012173928	0.686	0.752353012173928	0.953	0.617	NA	SDC2	Fibro-C7	FALSE
1	0.842	0.741386946543427	0.684	0.741386946543427	0.781	0.126	NA	DCHS2	Fibro-C7	TRUE
1	0.84	0.897108626174971	0.68	0.897108626174971	1	0.928	NA	LAMB1	Fibro-C7	FALSE
1	0.835	0.812754913754794	0.67	0.812754913754794	1	0.802	NA	SPARCL1	Fibro-C7	FALSE
1	0.834	0.912029309210531	0.668	0.912029309210531	0.766	0.135	NA	RP11-588K22.2	Fibro-C7	FALSE
1	0.832	1.16893412517174	0.664	1.16893412517174	0.844	0.383	NA	NCALD	Fibro-C7	FALSE
1	0.832	0.789050480596298	0.664	0.789050480596298	0.875	0.369	NA	PDE3A	Fibro-C7	FALSE
1	0.831	0.90193655700959	0.662	0.90193655700959	1	0.914	NA	TIMP3	Fibro-C7	FALSE
1	0.831	0.893708839273167	0.662	0.893708839273167	1	0.73	NA	MXRA5	Fibro-C7	FALSE
1	0.822	0.905862506555512	0.644	0.905862506555512	0.859	0.369	NA	GUCY1B3	Fibro-C7	FALSE
1	0.817	0.809907604531302	0.634	0.809907604531302	0.969	0.59	NA	LHFPL2	Fibro-C7	FALSE
1	0.812	1.22743250733898	0.624	1.22743250733898	0.719	0.126	NA	ASPN	Fibro-C7	FALSE
1	0.812	0.816919174595566	0.624	0.816919174595566	0.953	0.694	NA	SH3BP5	Fibro-C7	FALSE
1	0.812	0.804980121090767	0.624	0.804980121090767	0.922	0.626	NA	PPFIBP1	Fibro-C7	FALSE
1	0.811	1.05204848203399	0.622	1.05204848203399	0.797	0.279	NA	HUNK	Fibro-C7	FALSE
1	0.81	0.858332969755664	0.62	0.858332969755664	0.859	0.351	NA	NEXN	Fibro-C7	FALSE
1	0.81	0.798795041673344	0.62	0.798795041673344	0.859	0.351	NA	HMCN1	Fibro-C7	FALSE
