cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
SD_D-A1_01	2867	10438	.	0.119084115730983	SD_D-A1	SD_D	1	1	1-4	4	4	-8.47570807782071	-2.67984564553083	0.954313480644986	597242	0.8365	0.117608099157915	0.103815665277279	1	FALSE	TRUE	SM
SD_D-A1_04	3706	16975	.	0.0450073637702504	SD_D-A1	SD_D	1	4	1-4	3	7	10.3723750001964	5.77246750696458	0.955683235316957	1594037	0.8865	0.0423550282736445	0.0302705280335058	1	FALSE	TRUE	Immune
SD_D-A1_05	3891	16952	.	0.0598159509202454	SD_D-A1	SD_D	1	5	5-8	1	1	2.96751498321253	-13.1935817357324	0.976508606654885	1710784	0.8581	0.059287844237853	0.0770872641675355	1	FALSE	TRUE	Fibro-C7
SD_D-A1_06	4506	27900	.	0.0350179211469534	SD_D-A1	SD_D	1	6	5-8	0	0	0.673744681356367	2.02943788599863	0.957036877446228	1489092	0.8716	0.0347736332574032	0.0703155261684579	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_09	3298	13333	.	0.0759018975474387	SD_D-A1	SD_D	2	1	1-4	4	4	-10.4511644219258	-3.3597428621529	0.943800195474255	552686	0.8118	0.0753761358558022	0.118329010453509	1	FALSE	TRUE	SM
SD_D-A1_10	4465	20529	.	0.0586000292269472	SD_D-A1	SD_D	2	2	1-4	2	2	-0.617573869017242	9.96217164349594	0.92036279685389	1675360	0.8615	0.0571605055592512	0.0457137904879504	1	FALSE	TRUE	Fibro-PLPPR4
SD_D-A1_12	3322	12927	.	0.0627369072483948	SD_D-A1	SD_D	2	4	1-4	1	1	2.20422088612609	-9.57350361837317	0.952654181420019	745835	0.8615	0.0623702222564024	0.083165611957244	1	FALSE	TRUE	Fibro-C7
SD_D-A1_13	4408	26895	.	0.0506042015244469	SD_D-A1	SD_D	2	5	5-8	3	7	9.57358871019934	5.98433137298034	0.980131970921864	2197150	0.8689	0.0492973051289481	0.0508632843949734	1	FALSE	TRUE	Immune
SD_D-A1_14	3795	20171	.	0.0508155272420802	SD_D-A1	SD_D	2	6	5-8	1	1	3.05857121987822	-11.9116791087068	0.960338157012102	1071631	0.8416	0.0504156214647583	0.0762377564850958	1	FALSE	TRUE	Fibro-C7
SD_D-A1_15	3576	14312	.	0.0539407490217999	SD_D-A1	SD_D	2	7	5-8	1	1	2.67451114664255	-6.51119372585007	0.960266256079013	1148805	0.8592	0.0534071255620892	0.100004305280058	1	FALSE	TRUE	Fibro-C7
SD_D-A1_16	5232	34219	.	0.0393056489085011	SD_D-A1	SD_D	2	8	5-8	0	0	-3.04432470912301	2.8764423028487	0.977343980607709	1965724	0.8803	0.039008120649652	0.0631687521176776	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_17	4173	23442	.	0.0875778517191366	SD_D-A1	SD_D	3	1	1-4	0	9	-12.8050851652484	6.00938983276812	0.945486517811885	1731296	0.8638	0.0866464083734279	0.0587084504100917	1	FALSE	TRUE	Endo
SD_D-A1_18	4672	26541	.	0.0978109340266003	SD_D-A1	SD_D	3	2	1-4	3	3	10.7022488351083	-1.28971258676275	0.936057744053385	1551648	0.8656	0.097218582712537	0.0559970311264914	1	FALSE	TRUE	Epi
SD_D-A1_19	3187	12668	.	0.0727028733817493	SD_D-A1	SD_D	3	3	1-4	0	0	-1.32003652384614	4.25001022008181	0.937067413191027	717063	0.8719	0.0722409600753	0.0681913703048693	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_20	2462	6673	.	0.0824216993855837	SD_D-A1	SD_D	3	4	1-4	4	4	-11.9841883668108	-3.4690396359774	0.924750016572078	405870	0.8589	0.0813609467455621	0.10001508657029	1	FALSE	TRUE	SM
SD_D-A1_21	3384	12152	.	0.0453423304805793	SD_D-A1	SD_D	3	5	5-8	1	1	4.03519846171493	-10.2808816431038	0.975731332367588	1391566	0.8754	0.0447530864197531	0.0700714930967533	1	FALSE	TRUE	Fibro-C7
SD_D-A1_22	5105	39555	.	0.0626975097964859	SD_D-A1	SD_D	3	6	5-8	3	3	11.3317099509113	-2.40788445756762	0.941053909515077	1804019	0.8598	0.0620125974805039	0.0449708818244254	1	FALSE	TRUE	Epi
SD_D-A1_23	3987	22142	.	0.0455243428777888	SD_D-A1	SD_D	3	7	5-8	1	0	-0.542560690947687	-3.85918995923934	0.947867976261837	1334211	0.8462	0.0452301893565467	0.0811431950656949	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_25	2428	7214	.	0.0989742168006654	SD_D-A1	SD_D	4	1	1-4	3	7	9.54886090118198	6.00079933160499	0.922991495355916	605770	0.8677	0.0953143772527032	0.120419023065526	1	FALSE	TRUE	Immune
SD_D-A1_29	3651	21922	.	0.0526867986497582	SD_D-A1	SD_D	4	5	5-8	0	10	4.22508420373463	1.35987888560034	0.969898130103947	2039466	0.8548	0.051668605171334	0.0651193378539279	1	FALSE	TRUE	MSC
SD_D-A1_31	4530	24800	.	0.0557258064516129	SD_D-A1	SD_D	4	7	5-8	0	0	-1.4644219785859	3.96275681978446	0.960305702323233	1859776	0.8606	0.0552910582116423	0.047697160231356	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_34	4886	34271	.	0.0666452685944385	SD_D-A1	SD_D	5	2	1-4	3	3	10.9886100108786	-2.29087217042209	0.967131767975066	1782948	0.8704	0.0655944859276278	0.0396876785882187	1	FALSE	TRUE	Epi
SD_D-A1_35	3329	13714	.	0.0527198483301735	SD_D-A1	SD_D	5	3	1-4	0	0	1.14624613277329	0.515899344516058	0.906043614677934	520923	0.8672	0.0523913043478261	0.0769687669004026	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_36	3555	14013	.	0.0754299578962392	SD_D-A1	SD_D	5	4	1-4	0	5	3.34295189487528	6.40030717746084	0.957082308822476	490573	0.8792	0.0747683384027729	0.0992752190497316	1	FALSE	TRUE	Fibro-Prol
SD_D-A1_37	6869	90487	.	0.0436747820128858	SD_D-A1	SD_D	5	5	5-8	0	3	7.07583224203116	-2.13207624682197	0.9890237541684	3293837	0.8743	0.0432773385312863	0.0405713194715931	1	FALSE	TRUE	Epi
SD_D-A1_38	5218	43400	.	0.049815668202765	SD_D-A1	SD_D	5	6	5-8	2	2	-3.16408617488028	6.77086660164033	0.965369733544582	2150194	0.864	0.0494194020298071	0.0563030892751443	1	FALSE	TRUE	Fibro-PLPPR4
SD_D-A1_43	4387	23788	.	0.0536825290062216	SD_D-A1	SD_D	6	3	1-4	0	0	-0.445988710209405	4.95998039095624	0.959465373363388	1067761	0.8713	0.0530977130977131	0.0452525494981014	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_44	4605	27949	.	0.0513435185516476	SD_D-A1	SD_D	6	4	1-4	1	0	-1.69839465963357	-5.3184235862958	0.961731316632026	1122306	0.845	0.0509154130002838	0.0520794450665671	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_45	2619	9413	.	0.111972803569532	SD_D-A1	SD_D	6	5	5-8	0	7	9.09958910755596	6.10467931220916	0.972525990951853	1233512	0.8598	0.106705775260443	0.0960555719832664	1	FALSE	TRUE	Immune
SD_D-A1_46	3685	8522	.	0.0766252053508566	SD_D-A1	SD_D	6	6	5-8	0	10	2.75242491570893	10.3371605388981	0.952927193209524	776385	0.7865	0.0699143468950749	0.00352421551578202	1	FALSE	TRUE	MSC
SD_D-A1_48	4128	18611	.	0.0722690881736607	SD_D-A1	SD_D	6	8	5-8	1	1	0.585378994975821	-11.8782144339224	0.965989444463989	1335841	0.8428	0.0717677818686303	0.0932921122411397	1	FALSE	TRUE	Fibro-C7
SD_D-A1_49	3609	13221	.	0.0621738143862038	SD_D-A1	SD_D	7	1	1-4	1	1	2.97370015837766	-7.52371507734204	0.960283967312898	848761	0.8811	0.0618138065874568	0.0950447017196393	1	FALSE	TRUE	Fibro-C7
SD_D-A1_50	4635	22902	.	0.0768928477862195	SD_D-A1	SD_D	7	2	1-4	3	3	11.8927164448928	-2.41251475487066	0.959532286467156	1079949	0.7576	0.0761315982880118	0.0574193893647222	1	FALSE	TRUE	Epi
SD_D-A1_51	3497	17203	.	0.0441202115910016	SD_D-A1	SD_D	7	3	1-4	0	0	1.37208038193749	-0.14144406512959	0.94931753253624	878509	0.8644	0.0437161617325193	0.0729076013564205	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_52	5263	36927	.	0.04162266092561	SD_D-A1	SD_D	7	4	1-4	4	4	-10.8976270855034	-4.06316713696105	0.96813615994464	1787173	0.8707	0.0411512717536814	0.0384493625348951	1	FALSE	TRUE	SM
SD_D-A1_53	5629	46340	.	0.126197669400086	SD_D-A1	SD_D	7	5	5-8	0	3	5.12277978318697	-2.51566492953202	0.985320026330055	2275416	0.8638	0.125077531814779	0.0488339280827105	1	FALSE	TRUE	Epi
SD_D-A1_54	3803	21906	.	0.0265680635442345	SD_D-A1	SD_D	7	6	5-8	0	0	1.7079069533491	-4.57316180557248	0.959767659550957	1672633	0.841	0.0262932008131918	0.0587868859179096	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_55	2617	15710	.	0.0591343093570974	SD_D-A1	SD_D	7	7	5-8	1	1	0.993191335745701	-7.73556843796281	0.960461444219962	1541712	0.8509	0.0585012594458438	0.0740160660844048	1	FALSE	TRUE	Fibro-C7
SD_D-A1_56	4775	23633	.	0.0751068421275335	SD_D-A1	SD_D	7	8	5-8	1	0	-1.94559341399005	-4.9588651405829	0.966147053623062	1843255	0.8586	0.0745047011417058	0.0723163686598327	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_57	4776	25313	.	0.04357444791214	SD_D-A1	SD_D	8	1	1-4	2	2	-2.13131913147398	8.78821652288976	0.9625794794877	1244253	0.8801	0.0432990500117767	0.0671366157028126	1	FALSE	TRUE	Fibro-PLPPR4
SD_D-A1_58	3813	18103	.	0.126443130972767	SD_D-A1	SD_D	8	2	1-4	3	3	10.1128173010766	-1.92802709145441	0.907294715730902	1325164	0.8465	0.12428059507004	0.0646985715767481	1	FALSE	TRUE	Epi
SD_D-A1_59	5220	25596	.	0.0552039381153305	SD_D-A1	SD_D	8	3	1-4	2	2	-4.10539160409714	12.7299500284873	0.937024161614095	1727919	0.8779	0.0547908022800419	0.0526594558621234	1	FALSE	TRUE	Fibro-PLPPR4
SD_D-A1_60	3723	17253	.	0.0682779806410479	SD_D-A1	SD_D	8	4	1-4	1	1	2.98092798000084	-6.79525669747946	0.959390754626305	1149536	0.8723	0.0675419987386044	0.0812425018845739	1	FALSE	TRUE	Fibro-C7
SD_D-A1_61	4190	27302	.	0.0465167387004615	SD_D-A1	SD_D	8	5	5-8	0	0	-0.245306564300278	-2.43875842302744	0.980356301748522	2201390	0.8566	0.0460612215290875	0.059238779530818	1	FALSE	TRUE	Fibro-LRRC17
SD_D-A1_63	5527	37577	.	0.0520797296218432	SD_D-A1	SD_D	8	7	5-8	2	2	-4.97495079206229	12.1616124185276	0.974141189173203	2619715	0.8761	0.0516672386936663	0.0506956171876028	1	FALSE	TRUE	Fibro-PLPPR4
SD_D-A1_64	4814	27354	.	0.117715873364042	SD_D-A1	SD_D	8	8	5-8	2	2	-4.69449469452483	6.79525217441912	0.968309711698752	1490677	0.862	0.116747036003046	0.0521177633835785	1	FALSE	TRUE	Fibro-PLPPR4
SD_D-A1_65	4110	31205	.	0.0808844736420445	SD_D-A1	SD_D	9	1	1-4	3	3	7.63305826986988	-5.80771386673032	0.947231862648473	1923745	0.8712	0.078421624980581	0.0647831543717752	1	FALSE	TRUE	Epi
