cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.928	1.179830881631	0.856	1.179830881631	0.966	0.187	NA	TBX20	Fibro-ADAMTS19	FALSE
0	0.895	1.01731172854051	0.79	1.01731172854051	0.985	0.361	NA	EDIL3	Fibro-ADAMTS19	FALSE
0	0.893	1.64677919664114	0.786	1.64677919664114	0.887	0.221	NA	ADAMTS19	Fibro-ADAMTS19	TRUE
0	0.888	1.02774998853492	0.776	1.02774998853492	0.843	0.129	NA	SALL3	Fibro-ADAMTS19	TRUE
0	0.887	1.38939980387569	0.774	1.38939980387569	0.941	0.269	NA	TNFRSF19	Fibro-ADAMTS19	FALSE
0	0.882	1.08734051227326	0.764	1.08734051227326	0.907	0.222	NA	SOX9	Fibro-ADAMTS19	TRUE
0	0.875	1.89027554422389	0.75	1.89027554422389	0.887	0.399	NA	APCDD1	Fibro-ADAMTS19	TRUE
0	0.873	1.6538838032869	0.746	1.6538838032869	0.946	0.337	NA	C7	Fibro-ADAMTS19	FALSE
0	0.864	1.29742518208966	0.728	1.29742518208966	0.966	0.574	NA	GOLM1	Fibro-ADAMTS19	FALSE
0	0.863	1.47710774799327	0.726	1.47710774799327	0.863	0.222	NA	SLITRK4	Fibro-ADAMTS19	FALSE
0	0.857	1.03000502665875	0.714	1.03000502665875	0.951	0.252	NA	HAPLN1	Fibro-ADAMTS19	FALSE
0	0.856	1.17179158876823	0.712	1.17179158876823	0.956	0.502	NA	PSD3	Fibro-ADAMTS19	FALSE
0	0.85	1.00811048335211	0.7	1.00811048335211	0.779	0.146	NA	TMEM132C	Fibro-ADAMTS19	TRUE
0	0.848	1.36072367638387	0.696	1.36072367638387	0.922	0.433	NA	SYNPO2	Fibro-ADAMTS19	FALSE
0	0.848	0.933657748976029	0.696	0.933657748976029	0.868	0.28	NA	FREM1	Fibro-ADAMTS19	TRUE
0	0.847	0.803477896453536	0.694	0.803477896453536	0.897	0.283	NA	ETV1	Fibro-ADAMTS19	FALSE
0	0.845	0.731141346860601	0.69	0.731141346860601	0.775	0.122	NA	NRCAM	Fibro-ADAMTS19	FALSE
0	0.839	1.67032800177784	0.678	1.67032800177784	0.779	0.206	NA	CADPS	Fibro-ADAMTS19	FALSE
0	0.839	0.913470928042348	0.678	0.913470928042348	0.98	0.629	NA	GNG2	Fibro-ADAMTS19	FALSE
0	0.837	1.07984812847168	0.674	1.07984812847168	0.936	0.67	NA	CMTM6	Fibro-ADAMTS19	FALSE
0	0.834	0.833440891224275	0.668	0.833440891224275	1	0.7	NA	DPYSL3	Fibro-ADAMTS19	FALSE
0	0.832	0.737522912109572	0.664	0.737522912109572	0.985	0.564	NA	CDR1-AS	Fibro-ADAMTS19	FALSE
0	0.828	1.16826508027073	0.656	1.16826508027073	0.941	0.461	NA	ANK2	Fibro-ADAMTS19	FALSE
0	0.828	0.870408374701564	0.656	0.870408374701564	1	0.829	NA	PXDN	Fibro-ADAMTS19	FALSE
0	0.827	1.03793986375879	0.654	1.03793986375879	0.73	0.114	NA	CRYM	Fibro-ADAMTS19	TRUE
0	0.826	0.888288622004063	0.652	0.888288622004063	0.946	0.51	NA	SRPX	Fibro-ADAMTS19	FALSE
0	0.825	0.762357241253517	0.65	0.762357241253517	0.936	0.441	NA	ROBO1	Fibro-ADAMTS19	FALSE
0	0.821	1.107375341485	0.642	1.107375341485	0.922	0.495	NA	CLU	Fibro-ADAMTS19	FALSE
0	0.82	0.81983892498371	0.64	0.81983892498371	0.863	0.363	NA	BTBD3	Fibro-ADAMTS19	TRUE
0	0.819	0.985388882389273	0.638	0.985388882389273	0.838	0.34	NA	ANK3	Fibro-ADAMTS19	FALSE
0	0.815	1.29389337587371	0.63	1.29389337587371	0.877	0.36	NA	IGFBP3	Fibro-ADAMTS19	FALSE
0	0.811	1.35417460417447	0.622	1.35417460417447	0.691	0.11	NA	NSG1	Fibro-ADAMTS19	TRUE
0	0.811	0.837714405696483	0.622	0.837714405696483	0.951	0.652	NA	IMPAD1	Fibro-ADAMTS19	TRUE
0	0.809	0.839104620188359	0.618	0.839104620188359	0.995	0.793	NA	LAMB1	Fibro-ADAMTS19	FALSE
0	0.808	0.977682995960949	0.616	0.977682995960949	0.912	0.414	NA	IGF1	Fibro-ADAMTS19	FALSE
0	0.802	0.793020366159699	0.604	0.793020366159699	0.819	0.288	NA	PLXDC1	Fibro-ADAMTS19	FALSE
0	0.8	0.746568646458995	0.6	0.746568646458995	0.995	0.687	NA	ENAH	Fibro-ADAMTS19	FALSE
0	0.798	0.919662722051558	0.596	0.919662722051558	0.897	0.392	NA	COL6A6	Fibro-ADAMTS19	FALSE
0	0.798	0.742870107406453	0.596	0.742870107406453	0.931	0.522	NA	PLCE1	Fibro-ADAMTS19	FALSE
0	0.797	1.13902907849346	0.594	1.13902907849346	0.701	0.138	NA	SPOCK1	Fibro-ADAMTS19	FALSE
0	0.797	0.876651375332729	0.594	0.876651375332729	1	0.767	NA	VCAN	Fibro-ADAMTS19	FALSE
0	0.796	0.974950232507491	0.592	0.974950232507491	0.77	0.241	NA	RHOU	Fibro-ADAMTS19	TRUE
0	0.796	0.855129472278698	0.592	0.855129472278698	0.701	0.175	NA	BAMBI	Fibro-ADAMTS19	TRUE
0	0.795	0.790087077329571	0.59	0.790087077329571	0.926	0.539	NA	AKR1B1	Fibro-ADAMTS19	FALSE
0	0.792	1.00898522641076	0.584	1.00898522641076	0.647	0.091	NA	CLDN11	Fibro-ADAMTS19	TRUE
0	0.788	0.971054325970882	0.576	0.971054325970882	0.853	0.407	NA	FRAS1	Fibro-ADAMTS19	FALSE
0	0.788	0.766452275956421	0.576	0.766452275956421	0.77	0.298	NA	COL4A5	Fibro-ADAMTS19	FALSE
0	0.782	1.63919448433969	0.564	1.63919448433969	0.593	0.049	NA	SPOCK3	Fibro-ADAMTS19	TRUE
0	0.782	0.76758626871578	0.564	0.76758626871578	0.828	0.264	NA	PAMR1	Fibro-ADAMTS19	FALSE
0	0.778	0.796565392126105	0.556	0.796565392126105	0.897	0.568	NA	DYNC1LI1	Fibro-ADAMTS19	FALSE
0	0.777	1.22873042665877	0.554	1.22873042665877	0.642	0.119	NA	MOXD1	Fibro-ADAMTS19	FALSE
0	0.775	0.971442224324803	0.55	0.971442224324803	0.819	0.36	NA	RGS5--1	Fibro-ADAMTS19	FALSE
0	0.775	0.733876717341408	0.55	0.733876717341408	0.721	0.195	NA	P2RY1	Fibro-ADAMTS19	FALSE
0	0.773	0.709856516324925	0.546	0.709856516324925	0.843	0.363	NA	PTPRZ1	Fibro-ADAMTS19	FALSE
0	0.771	0.879547985030793	0.542	0.879547985030793	0.765	0.299	NA	NEGR1	Fibro-ADAMTS19	FALSE
0	0.771	0.737214535447111	0.542	0.737214535447111	0.799	0.307	NA	EPB41L4A	Fibro-ADAMTS19	FALSE
0	0.77	1.10483676837429	0.54	1.10483676837429	0.765	0.291	NA	RGS4	Fibro-ADAMTS19	FALSE
0	0.77	0.731395515372357	0.54	0.731395515372357	0.99	0.659	NA	COL6A3	Fibro-ADAMTS19	FALSE
0	0.765	0.781341246526417	0.53	0.781341246526417	0.794	0.292	NA	CYP1B1	Fibro-ADAMTS19	FALSE
0	0.764	0.7679053177777	0.528	0.7679053177777	0.99	0.759	NA	CCDC80	Fibro-ADAMTS19	FALSE
0	0.76	0.693523552475807	0.52	0.693523552475807	0.598	0.103	NA	COL4A6	Fibro-ADAMTS19	FALSE
0	0.752	0.829685213970334	0.504	0.829685213970334	0.623	0.139	NA	RSPO3	Fibro-ADAMTS19	FALSE
0	0.744	0.713898346023184	0.488	0.713898346023184	0.926	0.606	NA	RBP1	Fibro-ADAMTS19	FALSE
0	0.739	0.702663812760616	0.478	0.702663812760616	0.51	0.041	NA	STXBP5L	Fibro-ADAMTS19	FALSE
0	0.733	0.874422179166229	0.466	0.874422179166229	0.814	0.405	NA	SLN	Fibro-ADAMTS19	FALSE
0	0.707	1.56580616766386	0.414	1.56580616766386	0.588	0.252	NA	PAPPA2	Fibro-ADAMTS19	FALSE
1	0.923	1.77039055650504	0.846	1.77039055650504	0.934	0.244	NA	GPC3	Fibro-ITM2A	FALSE
1	0.908	1.78795563069899	0.816	1.78795563069899	0.978	0.675	NA	ITM2A	Fibro-ITM2A	TRUE
1	0.906	1.40837533736762	0.812	1.40837533736762	1	0.9	NA	COL3A1	Fibro-ITM2A	TRUE
1	0.898	1.60984655548276	0.796	1.60984655548276	0.973	0.518	NA	IGF2	Fibro-ITM2A	FALSE
1	0.866	1.26807294827164	0.732	1.26807294827164	0.945	0.585	NA	FLRT2	Fibro-ITM2A	TRUE
1	0.865	1.41195989803038	0.73	1.41195989803038	0.989	0.671	NA	AKAP12	Fibro-ITM2A	FALSE
1	0.858	1.0874855840261	0.716	1.0874855840261	0.973	0.401	NA	CPE	Fibro-ITM2A	FALSE
1	0.858	0.988818065061605	0.716	0.988818065061605	0.907	0.31	NA	EDNRA	Fibro-ITM2A	FALSE
1	0.855	1.21199488987155	0.71	1.21199488987155	0.879	0.314	NA	NTRK2	Fibro-ITM2A	FALSE
1	0.854	1.11730157297372	0.708	1.11730157297372	0.945	0.604	NA	C1R	Fibro-ITM2A	TRUE
1	0.853	1.3746412599745	0.706	1.3746412599745	0.978	0.661	NA	C1S	Fibro-ITM2A	FALSE
1	0.852	1.27207316201874	0.704	1.27207316201874	0.852	0.206	NA	H19	Fibro-ITM2A	FALSE
1	0.847	1.1646881013717	0.694	1.1646881013717	0.907	0.43	NA	ADAMTS1	Fibro-ITM2A	FALSE
1	0.845	0.879435647827214	0.69	0.879435647827214	0.973	0.402	NA	OGN	Fibro-ITM2A	FALSE
1	0.839	1.15802099313698	0.678	1.15802099313698	0.852	0.322	NA	SVEP1	Fibro-ITM2A	FALSE
1	0.833	0.892250958293846	0.666	0.892250958293846	0.918	0.342	NA	SLIT3	Fibro-ITM2A	FALSE
1	0.825	0.920588892325253	0.65	0.920588892325253	0.918	0.48	NA	IGFBP4	Fibro-ITM2A	FALSE
1	0.821	1.16736191690916	0.642	1.16736191690916	0.918	0.566	NA	TSHZ2	Fibro-ITM2A	FALSE
1	0.82	1.07638376116033	0.64	1.07638376116033	0.846	0.367	NA	PID1	Fibro-ITM2A	FALSE
1	0.819	1.00589683621334	0.638	1.00589683621334	1	0.896	NA	COL1A2	Fibro-ITM2A	FALSE
1	0.815	0.733348834414501	0.63	0.733348834414501	0.989	0.799	NA	SERPINH1	Fibro-ITM2A	FALSE
1	0.813	0.928819383001771	0.626	0.928819383001771	0.956	0.574	NA	ISLR	Fibro-ITM2A	FALSE
1	0.806	0.828991685690113	0.612	0.828991685690113	0.808	0.319	NA	GPC6	Fibro-ITM2A	FALSE
1	0.805	1.02021016416478	0.61	1.02021016416478	0.89	0.514	NA	NR2F2	Fibro-ITM2A	FALSE
1	0.804	1.01760864971878	0.608	1.01760864971878	1	0.861	NA	COL1A1	Fibro-ITM2A	FALSE
1	0.802	0.950702401280095	0.604	0.950702401280095	0.885	0.523	NA	KLF4	Fibro-ITM2A	FALSE
1	0.797	0.83118146211139	0.594	0.83118146211139	0.978	0.735	NA	OLFML3	Fibro-ITM2A	FALSE
1	0.795	0.969373258614842	0.59	0.969373258614842	0.791	0.279	NA	NTRK3	Fibro-ITM2A	FALSE
1	0.794	0.93463379249782	0.588	0.93463379249782	0.841	0.388	NA	SEMA5A	Fibro-ITM2A	FALSE
1	0.792	0.898957015760648	0.584	0.898957015760648	0.742	0.254	NA	EPHA3	Fibro-ITM2A	FALSE
1	0.791	1.31831851951656	0.582	1.31831851951656	0.637	0.096	NA	MFAP5	Fibro-ITM2A	FALSE
1	0.791	1.00550175157812	0.582	1.00550175157812	0.703	0.155	NA	MEOX2	Fibro-ITM2A	FALSE
1	0.789	1.13862980621048	0.578	1.13862980621048	0.681	0.15	NA	CNTN1	Fibro-ITM2A	FALSE
1	0.789	0.73933530498446	0.578	0.73933530498446	0.824	0.369	NA	SERPINF1	Fibro-ITM2A	FALSE
1	0.788	0.818190753668422	0.576	0.818190753668422	0.808	0.329	NA	LIFR	Fibro-ITM2A	FALSE
1	0.785	0.832552301306197	0.57	0.832552301306197	0.89	0.361	NA	CXCL12	Fibro-ITM2A	FALSE
1	0.782	0.700107871567912	0.564	0.700107871567912	0.995	0.635	NA	LHFP	Fibro-ITM2A	FALSE
