cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
BM_D-C1_01	4534	24940	.	0.0369286287089014	BM_D-C1	BM_D	1	1	1-4	0	0	-3.46466284798205	-6.03939458772975	0.967763704318937	738559	0.7974	0.0369005168476301	0.0575238825249471	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_02	4084	17967	.	0.0771970835420493	BM_D-C1	BM_D	1	2	1-4	0	0	-0.475948180006435	-2.19820767476176	0.964915896608581	724824	0.8095	0.0771026738562455	0.0477120180121497	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_03	3607	12996	.	0.0579409048938135	BM_D-C1	BM_D	1	3	1-4	0	0	6.08840791872228	-7.53954190108209	0.952146622958744	567153	0.7872	0.0578074619990788	0.0664914183272298	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_04	3617	17217	.	0.0432131033281059	BM_D-C1	BM_D	1	4	1-4	0	0	-2.7876301386571	-3.24399136778561	0.956906344619664	736733	0.7835	0.0430829810643349	0.0609794486666367	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_06	5065	37915	.	0.0599235131214559	BM_D-C1	BM_D	1	6	5-8	0	0	12.9701283516279	-4.91647143983166	0.956987168219371	1039529	0.7887	0.0598130841121495	0.0615273091184357	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_07	5486	44905	.	0.034695468210667	BM_D-C1	BM_D	1	7	5-8	0	0	14.3288916903463	-2.00638489215265	0.976457155046586	1500408	0.7823	0.0346076101201715	0.049307292841012	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_08	5691	55714	.	0.0437053523351402	BM_D-C1	BM_D	1	8	5-8	0	0	10.7749216442167	0.896490018104655	0.984036739009556	1919286	0.8005	0.0436458146621258	0.0386400614615352	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_09	3513	13933	.	0.0529677743486686	BM_D-C1	BM_D	2	1	1-4	4	4	2.81792248420732	-11.7710061228166	0.927435777497437	443428	0.7333	0.052861542869422	0.0963412711436303	1	FALSE	TRUE	Fibro-FMOD
BM_D-C1_10	4794	27484	.	0.0377310435162276	BM_D-C1	BM_D	2	2	1-4	0	0	2.17217766196681	-7.07767991588407	0.921153567440788	1009032	0.7944	0.0376269956458636	0.0640346553915592	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_11	5268	34963	.	0.0590624374338587	BM_D-C1	BM_D	2	3	1-4	0	0	13.1816053656671	-5.16211094605599	0.964835897341318	820504	0.7995	0.0589831476720937	0.0498642212133824	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_12	5035	34283	.	0.0363153749671849	BM_D-C1	BM_D	2	4	1-4	0	0	15.714656079102	-2.61393968517587	0.965561635364449	999472	0.7999	0.036275166807494	0.0351218028632816	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_14	4677	18945	.	0.0696753760886778	BM_D-C1	BM_D	2	6	5-8	0	0	6.74550719201035	-9.26499022271241	0.957580150167408	921501	0.792	0.0695578858618327	0.0453875229326581	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_16	4729	22948	.	0.0513770263203765	BM_D-C1	BM_D	2	8	5-8	0	0	-2.98060321959923	-3.11577420736413	0.967397498487225	1102868	0.8031	0.0512720156555773	0.0560800831077786	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_17	5050	37151	.	0.0549917902613658	BM_D-C1	BM_D	3	1	1-4	4	4	-1.67972299445282	-14.5688782561406	0.954502345759976	1274594	0.7951	0.0549518532465437	0.0548212163053952	1	FALSE	TRUE	Fibro-FMOD
BM_D-C1_18	5822	43032	.	0.0560280721323666	BM_D-C1	BM_D	3	2	1-4	0	0	12.9227266039761	-1.86013273566578	0.954050155776524	1571227	0.8002	0.0559396751740139	0.0433060470029047	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_19	2798	10698	.	0.0558048233314638	BM_D-C1	BM_D	3	3	1-4	4	4	0.864521672316139	-13.6963391795679	0.932047191900695	442028	0.7985	0.0557266872024643	0.097837844227848	1	FALSE	TRUE	Fibro-FMOD
BM_D-C1_20	3779	10860	.	0.0326887661141805	BM_D-C1	BM_D	3	4	1-4	5	5	-22.7167466093977	-17.5369615877587	0.923379219384625	722142	0.7776	0.032387555879938	0.0212207123898542	1	FALSE	TRUE	Endo
BM_D-C1_21	5588	53847	.	0.0577748063958995	BM_D-C1	BM_D	3	5	5-8	0	0	4.09973167694239	-1.20655118286697	0.986553142275177	1540192	0.8	0.0577212089726701	0.0596873846699333	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_22	5461	48289	.	0.0303588809045538	BM_D-C1	BM_D	3	6	5-8	0	0	-2.46439784296726	-4.42789409858323	0.949681052429247	1308032	0.7817	0.0302773704537475	0.050087219088229	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_25	4542	27818	.	0.0333596951614063	BM_D-C1	BM_D	4	1	1-4	4	4	-1.50359604896475	-14.0901718059312	0.968507047021792	809302	0.8088	0.0333333333333333	0.070970427924946	1	FALSE	TRUE	Fibro-FMOD
BM_D-C1_26	3953	21938	.	0.0763059531406692	BM_D-C1	BM_D	4	2	1-4	0	0	11.1999877868932	-3.94971385379763	0.953669034538265	756156	0.7913	0.0761982793936911	0.0667615586618491	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_27	5199	31095	.	0.0407782601704454	BM_D-C1	BM_D	4	3	1-4	0	0	10.2562722090546	-7.58335649949385	0.939699902936523	1340256	0.7822	0.0406514490895101	0.0461515388977779	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_28	4990	30507	.	0.0401547185891763	BM_D-C1	BM_D	4	4	1-4	0	0	6.3917362828201	-2.59299204323613	0.965353254842116	846239	0.8086	0.0400483849875768	0.0391438889944877	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_29	4112	19971	.	0.0599369085173502	BM_D-C1	BM_D	4	5	5-8	4	4	-0.828841915419818	-15.3758232490218	0.976133517605214	1397825	0.7911	0.0598859315589354	0.0751700138740419	1	FALSE	TRUE	Fibro-FMOD
BM_D-C1_31	3342	16970	.	0.0274602239245728	BM_D-C1	BM_D	4	7	5-8	3	13	21.2263084085446	-22.5933465850984	0.959983969269634	1342714	0.7741	0.0272913616398243	0.0572911297385212	1	FALSE	TRUE	B
BM_D-C1_32	5389	42600	.	0.0608215962441315	BM_D-C1	BM_D	4	8	5-8	4	4	-1.98141190618515	-10.5373483032306	0.976677691808754	1566555	0.7975	0.0607502930832356	0.048478136940389	1	FALSE	TRUE	Fibro-FMOD
BM_D-C1_34	6084	39338	.	0.0647211347806192	BM_D-C1	BM_D	5	2	1-4	0	0	8.28303953254766	-2.68899222689523	0.968524932613624	1546830	0.8018	0.064661959668817	0.0301220588990373	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_35	4459	25236	.	0.0359010936757014	BM_D-C1	BM_D	5	3	1-4	0	0	5.63760000494941	-7.11905916484281	0.932178947785865	576333	0.8024	0.0358755048705156	0.0563694834506336	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_36	4187	24659	.	0.0434324181840302	BM_D-C1	BM_D	5	4	1-4	4	4	-0.179105917697528	-10.97457843419	0.964192321180794	562022	0.8083	0.043383157127233	0.0568076017306534	1	FALSE	TRUE	Fibro-FMOD
BM_D-C1_38	4560	29302	.	0.0680158350965804	BM_D-C1	BM_D	5	6	5-8	0	0	-0.0670564239752384	-1.5649652664108	0.964355213356225	1427475	0.7869	0.0678375710541543	0.0546356190008751	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_39	5437	34453	.	0.0332336806664151	BM_D-C1	BM_D	5	7	5-8	0	0	7.32458117964648	-0.667288159883902	0.954399875876841	1688639	0.7836	0.0331374989147107	0.0469528372710943	1	FALSE	TRUE	Fibro-ADAMTS19
BM_D-C1_40	4389	26705	.	0.0351994008612619	BM_D-C1	BM_D	5	8	5-8	3	14	23.4466326546331	-17.2937432058332	0.967887405775977	1286862	0.8049	0.0350223546944858	0.0521489106234335	1	FALSE	TRUE	Mast
