cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.944	1.57230229309696	0.888	1.57230229309696	0.993	0.683	NA	VCAN	Fibro-VCAN	TRUE
0	0.912	1.42542393401403	0.824	1.42542393401403	0.986	0.589	NA	ITM2A	Fibro-VCAN	TRUE
0	0.908	1.32551817533548	0.816	1.32551817533548	1	0.591	NA	IGF2	Fibro-VCAN	FALSE
0	0.901	1.27914864651076	0.802	1.27914864651076	0.979	0.351	NA	GPC3	Fibro-VCAN	FALSE
0	0.897	1.33555318597016	0.794	1.33555318597016	0.993	0.605	NA	FBLN1	Fibro-VCAN	FALSE
0	0.877	1.19909929382973	0.754	1.19909929382973	1	0.581	NA	COL14A1	Fibro-VCAN	FALSE
0	0.871	1.15347655446413	0.742	1.15347655446413	0.931	0.305	NA	H19	Fibro-VCAN	FALSE
0	0.865	1.18139554978163	0.73	1.18139554978163	0.986	0.339	NA	THBS2	Fibro-VCAN	FALSE
0	0.864	1.06038671203317	0.728	1.06038671203317	0.993	0.587	NA	DCN	Fibro-VCAN	FALSE
0	0.864	0.937040293203501	0.728	0.937040293203501	1	0.689	NA	COL5A2	Fibro-VCAN	FALSE
0	0.863	0.718307901865681	0.726	0.718307901865681	0.938	0.377	NA	GLI3	Fibro-VCAN	FALSE
0	0.862	1.14509895350967	0.724	1.14509895350967	1	0.804	NA	COL3A1	Fibro-VCAN	FALSE
0	0.86	0.953214895855114	0.72	0.953214895855114	0.965	0.581	NA	PLAGL1	Fibro-VCAN	FALSE
0	0.859	0.950325745398839	0.718	0.950325745398839	0.965	0.489	NA	FBN2	Fibro-VCAN	FALSE
0	0.852	0.869130708396228	0.704	0.869130708396228	0.903	0.301	NA	MMP16	Fibro-VCAN	FALSE
0	0.85	1.04636960836991	0.7	1.04636960836991	1	0.737	NA	COL1A1	Fibro-VCAN	FALSE
0	0.85	0.760572604014676	0.7	0.760572604014676	0.944	0.232	NA	SHISA3	Fibro-VCAN	FALSE
0	0.847	1.02525319814421	0.694	1.02525319814421	0.986	0.721	NA	FBN1	Fibro-VCAN	FALSE
0	0.847	1.00634081105748	0.694	1.00634081105748	1	0.788	NA	COL1A2	Fibro-VCAN	FALSE
0	0.845	0.88148240854452	0.69	0.88148240854452	0.979	0.591	NA	FLRT2	Fibro-VCAN	FALSE
0	0.837	1.01610611246571	0.674	1.01610611246571	0.903	0.297	NA	C1QTNF3	Fibro-VCAN	FALSE
0	0.837	0.904481803436856	0.674	0.904481803436856	0.931	0.427	NA	WNT2B	Fibro-VCAN	FALSE
0	0.837	0.813054768068659	0.674	0.813054768068659	0.965	0.419	NA	LUM	Fibro-VCAN	FALSE
0	0.835	0.9143908372944	0.67	0.9143908372944	0.972	0.579	NA	CXCL12	Fibro-VCAN	FALSE
0	0.835	0.830275955711659	0.67	0.830275955711659	0.993	0.756	NA	OLFML3	Fibro-VCAN	FALSE
0	0.832	0.85100109533896	0.664	0.85100109533896	0.833	0.265	NA	ANGPTL6	Fibro-VCAN	FALSE
0	0.826	0.960767924209718	0.652	0.960767924209718	0.792	0.182	NA	FST	Fibro-VCAN	FALSE
0	0.825	0.946687905953705	0.65	0.946687905953705	0.951	0.405	NA	IGFBP5	Fibro-VCAN	FALSE
0	0.824	0.914508655916763	0.648	0.914508655916763	0.931	0.549	NA	FAM46A	Fibro-VCAN	FALSE
0	0.824	0.840926122397915	0.648	0.840926122397915	1	0.85	NA	SPARC	Fibro-VCAN	FALSE
0	0.814	0.852626534373195	0.628	0.852626534373195	0.993	0.583	NA	COL12A1	Fibro-VCAN	FALSE
0	0.813	0.728786790090761	0.626	0.728786790090761	0.958	0.467	NA	LRRC17	Fibro-VCAN	FALSE
0	0.808	0.793911860225379	0.616	0.793911860225379	0.958	0.611	NA	PMP22	Fibro-VCAN	FALSE
0	0.807	0.71412524501278	0.614	0.71412524501278	0.979	0.641	NA	CDH11	Fibro-VCAN	FALSE
0	0.803	0.717905562630778	0.606	0.717905562630778	0.979	0.749	NA	PBX1	Fibro-VCAN	FALSE
0	0.8	0.72675072793235	0.6	0.72675072793235	0.854	0.407	NA	CRISPLD1	Fibro-VCAN	FALSE
0	0.783	0.799351100816595	0.566	0.799351100816595	0.819	0.244	NA	SFRP2	Fibro-VCAN	FALSE
0	0.781	0.719152974889797	0.562	0.719152974889797	0.66	0.118	NA	SORCS1	Fibro-VCAN	FALSE
0	0.779	0.797784632299337	0.558	0.797784632299337	0.875	0.441	NA	ROBO2	Fibro-VCAN	FALSE
0	0.775	1.04191182251162	0.55	1.04191182251162	0.708	0.186	NA	CAPN6	Fibro-VCAN	FALSE
0	0.767	0.714830891757421	0.534	0.714830891757421	0.806	0.361	NA	VASH2	Fibro-VCAN	FALSE
0	0.763	0.804258010491217	0.526	0.804258010491217	0.556	0.036	NA	SLITRK3	Fibro-VCAN	FALSE
0	0.762	0.759244876840296	0.524	0.759244876840296	0.688	0.194	NA	MEOX2	Fibro-VCAN	FALSE
0	0.761	0.707770472518094	0.522	0.707770472518094	0.674	0.184	NA	NRK	Fibro-VCAN	FALSE
0	0.748	0.825290402414461	0.496	0.825290402414461	0.924	0.595	NA	SERPINE2	Fibro-VCAN	FALSE
0	0.748	0.694040609079503	0.496	0.694040609079503	0.882	0.541	NA	SEMA5A	Fibro-VCAN	FALSE
0	0.746	0.694884190145044	0.492	0.694884190145044	0.972	0.649	NA	AKAP12	Fibro-VCAN	FALSE
1	0.989	3.07736798599993	0.978	3.07736798599993	1	0.402	NA	ADAMDEC1	Fibro-ADAMDEC1	TRUE
1	0.918	1.2234926485529	0.836	1.2234926485529	0.978	0.622	NA	FAT4	Fibro-ADAMDEC1	TRUE
1	0.901	1.47453373436728	0.802	1.47453373436728	0.935	0.336	NA	EPHA7	Fibro-ADAMDEC1	TRUE
1	0.894	0.945350805246537	0.788	0.945350805246537	0.849	0.071	NA	COL28A1	Fibro-ADAMDEC1	FALSE
1	0.887	1.12499742970155	0.774	1.12499742970155	0.957	0.253	NA	CFH	Fibro-ADAMDEC1	FALSE
1	0.886	1.19578539375246	0.772	1.19578539375246	0.914	0.224	NA	COL15A1	Fibro-ADAMDEC1	FALSE
1	0.881	1.49219229764206	0.762	1.49219229764206	0.989	0.82	NA	FN1	Fibro-ADAMDEC1	FALSE
1	0.878	1.2319896509536	0.756	1.2319896509536	0.925	0.498	NA	CTSC	Fibro-ADAMDEC1	TRUE
1	0.872	1.0287242091651	0.744	1.0287242091651	0.957	0.522	NA	GPC4	Fibro-ADAMDEC1	FALSE
1	0.864	0.914380387452909	0.728	0.914380387452909	0.978	0.52	NA	TMEM176B	Fibro-ADAMDEC1	FALSE
1	0.861	1.13781253676036	0.722	1.13781253676036	0.989	0.64	NA	TGFBI	Fibro-ADAMDEC1	FALSE
1	0.861	1.0287902700729	0.722	1.0287902700729	0.957	0.478	NA	SULF1	Fibro-ADAMDEC1	FALSE
1	0.861	0.970090085904861	0.722	0.970090085904861	0.989	0.636	NA	RBP1	Fibro-ADAMDEC1	FALSE
1	0.858	0.958750850162771	0.716	0.958750850162771	0.946	0.24	NA	CXCL14	Fibro-ADAMDEC1	FALSE
1	0.855	0.851738589076257	0.71	0.851738589076257	0.892	0.333	NA	SLIT3	Fibro-ADAMDEC1	FALSE
1	0.854	0.784952036020516	0.708	0.784952036020516	0.957	0.518	NA	ADGRL3	Fibro-ADAMDEC1	FALSE
1	0.848	0.851835664596376	0.696	0.851835664596376	1	0.665	NA	LAMA4	Fibro-ADAMDEC1	FALSE
1	0.847	0.83845745946952	0.694	0.83845745946952	0.946	0.335	NA	DACH1	Fibro-ADAMDEC1	FALSE
1	0.844	1.02334498110948	0.688	1.02334498110948	0.882	0.296	NA	HSPA12A	Fibro-ADAMDEC1	FALSE
1	0.842	0.734434629047128	0.684	0.734434629047128	1	0.853	NA	TCF4	Fibro-ADAMDEC1	FALSE
1	0.837	0.973064852649228	0.674	0.973064852649228	0.978	0.638	NA	PTCH1	Fibro-ADAMDEC1	FALSE
1	0.834	0.893721441177231	0.668	0.893721441177231	0.882	0.362	NA	CCDC68	Fibro-ADAMDEC1	FALSE
1	0.829	0.73068342501595	0.658	0.73068342501595	0.978	0.544	NA	FENDRR	Fibro-ADAMDEC1	FALSE
1	0.828	0.990176374237149	0.656	0.990176374237149	0.753	0.151	NA	TFPI2	Fibro-ADAMDEC1	FALSE
1	0.828	0.797909978183593	0.656	0.797909978183593	0.817	0.175	NA	ADAM28	Fibro-ADAMDEC1	FALSE
1	0.826	1.01726628567312	0.652	1.01726628567312	1	0.756	NA	C1S	Fibro-ADAMDEC1	FALSE
1	0.825	0.876393776521823	0.65	0.876393776521823	0.957	0.727	NA	PDE4DIP	Fibro-ADAMDEC1	FALSE
1	0.822	0.901219356716545	0.644	0.901219356716545	0.978	0.585	NA	SLC8A1	Fibro-ADAMDEC1	FALSE
1	0.821	0.699316382637415	0.642	0.699316382637415	0.817	0.202	NA	EDIL3	Fibro-ADAMDEC1	FALSE
1	0.82	0.860603709640984	0.64	0.860603709640984	0.774	0.22	NA	KCNS3	Fibro-ADAMDEC1	FALSE
1	0.815	0.887643631858572	0.63	0.887643631858572	0.978	0.609	NA	BMP4	Fibro-ADAMDEC1	FALSE
1	0.813	0.829725287489037	0.626	0.829725287489037	0.86	0.422	NA	WARS	Fibro-ADAMDEC1	FALSE
1	0.811	0.733835510012891	0.622	0.733835510012891	1	0.769	NA	LAMC1	Fibro-ADAMDEC1	FALSE
1	0.803	0.889152111502421	0.606	0.889152111502421	0.903	0.54	NA	PSD3	Fibro-ADAMDEC1	FALSE
1	0.802	0.931534709901845	0.604	0.931534709901845	0.731	0.167	NA	CCL2	Fibro-ADAMDEC1	FALSE
1	0.802	0.710473570799909	0.604	0.710473570799909	0.914	0.478	NA	F2R	Fibro-ADAMDEC1	FALSE
1	0.801	0.740730156463853	0.602	0.740730156463853	0.935	0.578	NA	RND3	Fibro-ADAMDEC1	FALSE
1	0.791	0.989034627780273	0.582	0.989034627780273	0.935	0.522	NA	MXRA5	Fibro-ADAMDEC1	FALSE
1	0.788	2.09450198637421	0.576	2.09450198637421	0.688	0.216	NA	SCARA5	Fibro-ADAMDEC1	FALSE
1	0.784	0.899651975699824	0.568	0.899651975699824	0.86	0.458	NA	CDH13	Fibro-ADAMDEC1	FALSE
1	0.784	0.748268724942039	0.568	0.748268724942039	0.688	0.151	NA	HS3ST3B1	Fibro-ADAMDEC1	FALSE
1	0.776	1.0565262242887	0.552	1.0565262242887	0.892	0.595	NA	PARM1	Fibro-ADAMDEC1	FALSE
1	0.775	0.788975111006672	0.55	0.788975111006672	0.806	0.364	NA	RPS6KA2	Fibro-ADAMDEC1	FALSE
1	0.77	0.693580230041256	0.54	0.693580230041256	0.86	0.393	NA	LAMA2	Fibro-ADAMDEC1	FALSE
1	0.765	0.898609865933168	0.53	0.898609865933168	0.925	0.689	NA	AHI1	Fibro-ADAMDEC1	FALSE
