cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
0	0.995	2.82610124343569	0.99	2.82610124343569	1	0.776	NA	HBG1	Erythrocyte	TRUE
0	0.994	2.69590732743347	0.988	2.69590732743347	1	0.993	NA	HBG2	Erythrocyte	TRUE
0	0.993	3.23077251693396	0.986	3.23077251693396	0.995	0.709	NA	XPO7	Erythrocyte	TRUE
0	0.993	2.83144510798502	0.986	2.83144510798502	0.993	0.45	NA	BPGM	Erythrocyte	TRUE
0	0.991	2.28992477867254	0.982	2.28992477867254	0.995	0.83	NA	NCOA4	Erythrocyte	TRUE
0	0.99	2.48545295687197	0.98	2.48545295687197	1	0.42	NA	EPB42	Erythrocyte	TRUE
0	0.988	2.54147965720743	0.976	2.54147965720743	0.993	0.403	NA	ALAS2	Erythrocyte	TRUE
0	0.986	2.56914253978124	0.972	2.56914253978124	1	0.766	NA	SLC25A37	Erythrocyte	TRUE
0	0.986	2.30238925346489	0.972	2.30238925346489	0.998	0.592	NA	TRAK2	Erythrocyte	TRUE
0	0.985	3.03951204867613	0.97	3.03951204867613	0.995	0.517	NA	HBB	Erythrocyte	TRUE
0	0.983	2.12165867315627	0.966	2.12165867315627	0.988	0.721	NA	BNIP3L	Erythrocyte	TRUE
0	0.983	2.05019087181469	0.966	2.05019087181469	1	0.471	NA	SLC2A1	Erythrocyte	TRUE
0	0.982	2.25283059762006	0.964	2.25283059762006	0.998	0.576	NA	FAM46C	Erythrocyte	TRUE
0	0.98	2.35898159740549	0.96	2.35898159740549	0.988	0.474	NA	SNCA	Erythrocyte	TRUE
0	0.98	2.25283261550127	0.96	2.25283261550127	0.993	0.73	NA	HERC2P2	Erythrocyte	TRUE
0	0.98	2.14379554759632	0.96	2.14379554759632	0.993	0.792	NA	HECTD4	Erythrocyte	TRUE
0	0.979	2.14551332891882	0.958	2.14551332891882	0.995	0.313	NA	SELENBP1	Erythrocyte	TRUE
0	0.978	2.49962710919388	0.956	2.49962710919388	0.979	0.46	NA	TRIM58	Erythrocyte	TRUE
0	0.976	2.20994997343433	0.952	2.20994997343433	0.988	0.48	NA	CPEB4	Erythrocyte	TRUE
0	0.974	2.35971549100646	0.948	2.35971549100646	1	0.795	NA	SLC4A1	Erythrocyte	TRUE
0	0.974	1.98730410454563	0.948	1.98730410454563	1	0.475	NA	HMBS	Erythrocyte	TRUE
0	0.974	1.95686812136013	0.948	1.95686812136013	0.993	0.513	NA	FECH	Erythrocyte	TRUE
0	0.972	2.35314342782295	0.944	2.35314342782295	1	0.629	NA	SPTA1	Erythrocyte	TRUE
0	0.97	1.88894418693157	0.94	1.88894418693157	0.979	0.493	NA	GCLC	Erythrocyte	TRUE
0	0.969	2.02886873978585	0.938	2.02886873978585	0.988	0.661	NA	UBE2H	Erythrocyte	TRUE
0	0.969	1.85087266467726	0.938	1.85087266467726	0.991	0.847	NA	EPB41	Erythrocyte	TRUE
0	0.963	1.94317459667714	0.926	1.94317459667714	0.965	0.318	NA	FAM65C	Erythrocyte	TRUE
0	0.963	1.89023476106197	0.926	1.89023476106197	0.984	0.277	NA	HBA2	Erythrocyte	TRUE
