cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
GZS4_D-A1_01	1299	6596	.	0.09232868405094	GZS4_D-A1	GZS4_D	1	1	1-4	0	0	-0.115757304460036	30.1257814170333	0.928097130113638	503264	0.837	0.0921749659452096	0.0835126421925373	1	FALSE	TRUE	Erythrocyte
GZS4_D-A1_02	4057	19875	.	0.132025157232704	GZS4_D-A1	GZS4_D	1	2	1-4	6	6	-39.1697366593359	-6.44340305402529	0.964282475711812	1027156	0.8688	0.131865922910699	0.0345910085003819	1	FALSE	TRUE	DC/Macro
GZS4_D-A1_05	3295	17255	.	0.0909301651695161	GZS4_D-A1	GZS4_D	1	5	5-8	2	2	10.3503802980032	1.37499417404158	0.969764922408316	1399838	0.8423	0.0907670947587643	0.0502144453653001	1	FALSE	TRUE	Erythrocyte-Prol
GZS4_D-A1_06	6899	49297	.	0.130819319634055	GZS4_D-A1	GZS4_D	1	6	5-8	5	5	-8.99726853165417	-22.3129679845836	0.969313337843204	2382134	0.8562	0.130745058286873	0.0194995252106219	1	FALSE	TRUE	Endo-Prol
GZS4_D-A1_07	5042	41600	.	0.0754567307692308	GZS4_D-A1	GZS4_D	1	7	5-8	2	2	10.7338035094154	-0.305975804924997	0.974293867519919	2136846	0.8577	0.0754114114114114	0.0331573364137588	1	FALSE	TRUE	Erythrocyte-Prol
GZS4_D-A1_08	5318	31691	.	0.0693572307595216	GZS4_D-A1	GZS4_D	1	8	5-8	5	14	-20.3441814398067	-22.9619542856361	0.981786331520149	2014895	0.8573	0.0692697992499448	0.0483896886912709	1	FALSE	TRUE	MPP
GZS4_D-A1_10	2440	5555	.	0.0619261926192619	GZS4_D-A1	GZS4_D	2	2	1-4	2	2	8.06475563020522	14.3656608038175	0.910226676767088	861945	0.8284	0.061199074897705	0.021365891987573	1	FALSE	TRUE	Erythrocyte-Prol
GZS4_D-A1_11	7655	74105	.	0.065812023480197	GZS4_D-A1	GZS4_D	2	3	1-4	5	5	-8.7861935398041	-22.7463704501329	0.971953750855259	2247386	0.8731	0.0657845041545268	0.0154962797778588	1	FALSE	TRUE	Endo-Prol
GZS4_D-A1_12	6855	47474	.	0.0674263807557821	GZS4_D-A1	GZS4_D	2	4	1-4	5	14	-11.0027190280268	-23.5260499463738	0.971663001814747	1892814	0.8722	0.06735118984998	0.0218750257586354	1	FALSE	TRUE	MPP
GZS4_D-A1_13	3346	13566	.	0.0611823676839157	GZS4_D-A1	GZS4_D	2	5	5-8	4	4	-21.9067988256743	5.13052471578626	0.97440015620633	1137683	0.8437	0.061083308801884	0.0733992885966481	1	FALSE	TRUE	B-MS4A1+
GZS4_D-A1_14	3565	13227	.	0.059877523247902	GZS4_D-A1	GZS4_D	2	6	5-8	3	9	35.3958093653863	-9.81615249688095	0.944266335685876	837597	0.846	0.0597780964601102	0.0505841077019045	1	FALSE	TRUE	NKT-SYNE1
GZS4_D-A1_15	4730	26070	.	0.0658227848101266	GZS4_D-A1	GZS4_D	2	7	5-8	8	8	-15.5403240936371	-8.80853004347254	0.967012593690774	1362636	0.8569	0.0657546844464881	0.0484147424749642	1	FALSE	TRUE	B-Prol
GZS4_D-A1_16	3812	17517	.	0.0254609807615459	GZS4_D-A1	GZS4_D	2	8	5-8	6	6	-37.8603118548326	-5.2307350277939	0.970577778692763	1373290	0.8715	0.0254304937849242	0.0481991974148528	1	FALSE	TRUE	DC/Macro
GZS4_D-A1_17	8369	141394	.	0.0796568454106964	GZS4_D-A1	GZS4_D	3	1	1-4	1	1	7.31066177385623	-22.3350807190506	0.977201016777169	5044552	0.8652	0.0796331909839079	0.0123989365248619	1	FALSE	TRUE	Epi
GZS4_D-A1_18	3601	15351	.	0.0635137776040649	GZS4_D-A1	GZS4_D	3	2	1-4	7	7	-8.47341901964114	2.51949576526202	0.932958517292127	1078211	0.8534	0.0633816550737828	0.063554498630631	1	FALSE	TRUE	B-MS4A1-
GZS4_D-A1_21	1977	5125	.	0.121365853658537	GZS4_D-A1	GZS4_D	3	5	5-8	0	0	8.27376396716361	15.3695303014406	0.955400402017026	803128	0.8302	0.120612759356215	0.0464845586900145	1	FALSE	TRUE	Erythrocyte
GZS4_D-A1_22	3305	16013	.	0.0596390432773372	GZS4_D-A1	GZS4_D	3	6	5-8	4	4	-19.3768806293903	5.27062589633652	0.930497576474408	1072598	0.8377	0.0595015576323988	0.0552920881920717	1	FALSE	TRUE	B-MS4A1+
GZS4_D-A1_23	3911	19153	.	0.0456847491254634	GZS4_D-A1	GZS4_D	3	7	5-8	10	10	25.7994854303929	-23.3194615078532	0.95043106317674	1205964	0.8425	0.0456061711664756	0.0495421388189151	1	FALSE	TRUE	T
GZS4_D-A1_24	7775	81531	.	0.079957316848806	GZS4_D-A1	GZS4_D	3	8	5-8	5	14	-12.0363857228666	-18.9166897820983	0.984239832219347	3964159	0.8631	0.0798994974874372	0.0153822995882018	1	FALSE	TRUE	MPP
