cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
2	0.934	1.24443531134251	0.868	1.24443531134251	1	0.866	NA	ARL5B	Granulosa-R-Ah	TRUE
2	0.919	1.1848232203936	0.838	1.1848232203936	1	0.831	NA	BTG2	Granulosa-R-Ah	TRUE
2	0.9	0.953282610280593	0.8	0.953282610280593	0.987	0.558	NA	CSRNP1	Granulosa-R-Ah	TRUE
2	0.9	0.914545770086862	0.8	0.914545770086862	1	0.925	NA	CYCS	Granulosa-R-Ah	FALSE
2	0.896	0.990971720474175	0.792	0.990971720474175	0.98	0.459	NA	MAFF	Granulosa-R-Ah	TRUE
2	0.892	1.06462575218331	0.784	1.06462575218331	1	0.952	NA	EIF4A3	Granulosa-R-Ah	TRUE
2	0.892	1.02145042433089	0.784	1.02145042433089	1	0.969	NA	FOSB	Granulosa-R-Ah	FALSE
2	0.883	1.13093238573539	0.766	1.13093238573539	0.987	0.649	NA	IRF1	Granulosa-R-Ah	FALSE
2	0.88	1.43107905003226	0.76	1.43107905003226	0.939	0.439	NA	NR4A2	Granulosa-R-Ah	FALSE
2	0.88	1.04179915995891	0.76	1.04179915995891	1	0.826	NA	NAMPT	Granulosa-R-Ah	FALSE
2	0.876	1.0595784362532	0.752	1.0595784362532	0.982	0.672	NA	CTC-444N24.11	Granulosa-R-Ah	TRUE
2	0.875	0.947639287308377	0.75	0.947639287308377	0.978	0.632	NA	TIPARP	Granulosa-R-Ah	TRUE
2	0.871	1.30478709132495	0.742	1.30478709132495	0.964	0.617	NA	EGR3	Granulosa-R-Ah	TRUE
2	0.871	0.947874550876244	0.742	0.947874550876244	0.998	0.883	NA	HMGCS1	Granulosa-R-Ah	TRUE
2	0.868	0.999582885410028	0.736	0.999582885410028	0.96	0.547	NA	ZNF460	Granulosa-R-Ah	TRUE
2	0.866	0.844269811812102	0.732	0.844269811812102	0.991	0.873	NA	SELENOK	Granulosa-R-Ah	TRUE
2	0.864	1.19210344770062	0.728	1.19210344770062	0.944	0.573	NA	ZNF331	Granulosa-R-Ah	FALSE
2	0.864	1.01148416244268	0.728	1.01148416244268	0.998	0.835	NA	KLF10	Granulosa-R-Ah	TRUE
2	0.864	0.883391275662047	0.728	0.883391275662047	1	0.885	NA	NFKBIA	Granulosa-R-Ah	FALSE
2	0.857	0.767544827329166	0.714	0.767544827329166	0.993	0.858	NA	PPP1R15B	Granulosa-R-Ah	FALSE
2	0.854	1.04132299973784	0.708	1.04132299973784	0.987	0.822	NA	ELOVL5	Granulosa-R-Ah	TRUE
2	0.848	0.915704042370446	0.696	0.915704042370446	0.915	0.447	NA	NR4A3	Granulosa-R-Ah	FALSE
2	0.848	0.754983229364929	0.696	0.754983229364929	0.998	0.897	NA	IDI1	Granulosa-R-Ah	TRUE
2	0.847	0.711478909609945	0.694	0.711478909609945	0.964	0.654	NA	REL	Granulosa-R-Ah	FALSE
2	0.846	0.866663779194985	0.692	0.866663779194985	0.987	0.783	NA	DNAJB9	Granulosa-R-Ah	TRUE
2	0.846	0.749617215943505	0.692	0.749617215943505	1	0.979	NA	MCL1	Granulosa-R-Ah	FALSE
2	0.834	1.2228787946049	0.668	1.2228787946049	0.946	0.567	NA	TNFAIP3	Granulosa-R-Ah	FALSE
2	0.834	0.851946460238121	0.668	0.851946460238121	0.832	0.299	NA	ARG2	Granulosa-R-Ah	FALSE
2	0.831	1.33864105769981	0.662	1.33864105769981	0.955	0.737	NA	ATP1B3	Granulosa-R-Ah	FALSE
2	0.83	0.694601193899128	0.66	0.694601193899128	0.969	0.586	NA	ZFP36	Granulosa-R-Ah	FALSE
2	0.828	0.998228078819014	0.656	0.998228078819014	0.897	0.445	NA	EGR2	Granulosa-R-Ah	FALSE
2	0.827	0.791511512637094	0.654	0.791511512637094	0.953	0.633	NA	MTRF1L	Granulosa-R-Ah	TRUE
2	0.826	0.769001542840617	0.652	0.769001542840617	0.901	0.427	NA	FOSL2	Granulosa-R-Ah	FALSE
2	0.824	0.836398942240048	0.648	0.836398942240048	1	0.879	NA	IER2	Granulosa-R-Ah	FALSE
2	0.818	0.730774292098066	0.636	0.730774292098066	0.998	0.814	NA	PPP1R15A	Granulosa-R-Ah	FALSE
