cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	ident
XX_C-C1_03	2652	9231	.	0.0239410681399632	XX_C-C1	XX_C	1	3	1-4	1	0	5.56612954325933	4.85262132567097	0.97771445181775	1319567	0.9213	0.0235969387755102	0.0524128832757737	1	FALSE	TRUE	T-DP
XX_C-C1_04	5509	38007	.	0.0309679795827084	XX_C-C1	XX_C	1	4	1-4	0	0	5.76124895334891	-8.61159151522392	0.959122745888509	3364435	0.9129	0.0306167572770075	0.0284708371037907	1	FALSE	TRUE	T-DP
XX_C-C1_06	5653	39156	.	0.0455102666258045	XX_C-C1	XX_C	1	6	5-8	2	2	-10.9741283181641	3.23554391828828	0.989148846403134	3381743	0.9285	0.0450981384055038	0.0300794034439857	1	FALSE	TRUE	Pre-T
XX_C-C1_07	3198	15636	.	0.0115118956254797	XX_C-C1	XX_C	1	7	5-8	0	0	4.94116293456099	-3.50202856562673	0.981508459113154	2109986	0.9168	0.0112958895513022	0.0534570996525371	1	FALSE	TRUE	T-DP
XX_C-C1_08	2553	8705	.	0.0343480758184951	XX_C-C1	XX_C	1	8	5-8	0	0	9.84150878293932	-8.30702023474174	0.983698746557263	1709590	0.9139	0.0330642485900697	0.0555118483787053	1	FALSE	TRUE	T-DP
XX_C-C1_09	2231	6995	.	0.0137240886347391	XX_C-C1	XX_C	2	1	1-4	0	0	10.2092850668676	-6.40637326997914	0.981971255905547	1216223	0.8912	0.0133314817386474	0.10026022083299	1	FALSE	TRUE	T-DP
XX_C-C1_11	4056	16290	.	0.0301411909146716	XX_C-C1	XX_C	2	3	1-4	1	0	3.94178650825876	2.71415505296669	0.986961786605189	1863515	0.9327	0.0298679968367906	0.0595689398764024	1	FALSE	TRUE	T-DP
XX_C-C1_12	5352	35657	.	0.0327004515242449	XX_C-C1	XX_C	2	4	1-4	0	0	-3.62865974799118	-0.825816332141192	0.974176605119795	3016846	0.9232	0.0324321317311972	0.0310011655392525	1	FALSE	TRUE	T-DP
XX_C-C1_13	3179	11829	.	0.0448896779102206	XX_C-C1	XX_C	2	5	5-8	1	0	-2.48422305165548	3.20718541434133	0.984478003128688	1618214	0.918	0.044383149448345	0.0961375849657085	1	FALSE	TRUE	T-DP
XX_C-C1_14	5392	34137	.	0.0522014236751911	XX_C-C1	XX_C	2	6	5-8	2	2	-16.6104975875893	1.72823421891931	0.988343749759176	2872014	0.9142	0.0514285714285714	0.0240129702512161	1	FALSE	TRUE	Pre-T
XX_C-C1_15	2877	11344	.	0.0145451339915374	XX_C-C1	XX_C	2	7	5-8	0	0	10.2283217032045	-7.82200418358343	0.968179710954325	1805568	0.9106	0.0141122134793021	0.0627635093089198	1	FALSE	TRUE	T-DP
XX_C-C1_16	2504	9382	.	0.0189725005329354	XX_C-C1	XX_C	2	8	5-8	1	0	4.47626548640683	1.76755821294066	0.984483076473701	1380817	0.9232	0.0187447346251053	0.083131821816499	1	FALSE	TRUE	T-DP
XX_C-C1_17	2263	8635	.	0.0104226983207875	XX_C-C1	XX_C	3	1	1-4	1	0	3.37499642204032	8.39973149036079	0.98313546526375	1559798	0.9178	0.0102494021182098	0.0949526906373159	1	FALSE	TRUE	T-DP
XX_C-C1_20	3577	13490	.	0.0382505559673832	XX_C-C1	XX_C	3	4	1-4	2	2	-13.1876535079788	-3.64037971754519	0.920186338820916	1777803	0.9124	0.037597265653407	0.0448894117169832	1	FALSE	TRUE	Pre-T
XX_C-C1_21	3138	12941	.	0.0149911135151843	XX_C-C1	XX_C	3	5	5-8	2	2	-11.2527721200437	-1.05135013177856	0.979287784951103	1822689	0.9232	0.0147595861229458	0.0745166540709039	1	FALSE	TRUE	Pre-T
XX_C-C1_22	2348	7078	.	0.0300932466798531	XX_C-C1	XX_C	3	6	5-8	0	0	11.3690855724884	-7.34314450910713	0.969959145960342	1193293	0.8879	0.0292381606039808	0.0982237514215771	1	FALSE	TRUE	T-DP
