cluster	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	gene	ident	spec
Bronchus	0.933	1.2096759955036	0.866	1.2096759955036	1	0.772	NA	CD55	Bronchus	FALSE
Bronchus	0.896	0.771564523593711	0.792	0.771564523593711	0.917	0.25	NA	NFIX	Bronchus	FALSE
Bronchus	0.894	2.24117564458449	0.788	2.24117564458449	1	0.456	NA	ANXA1	Bronchus	FALSE
Bronchus	0.893	1.63108963082561	0.786	1.63108963082561	0.917	0.184	NA	KRT17	Bronchus	FALSE
Bronchus	0.872	1.02201775822744	0.744	1.02201775822744	1	0.985	NA	SAT1	Bronchus	FALSE
Bronchus	0.871	0.999576507480802	0.742	0.999576507480802	1	0.206	NA	RPS4Y1	Bronchus	FALSE
Bronchus	0.871	0.743763495522208	0.742	0.743763495522208	0.917	0.208	NA	IRX2	Bronchus	FALSE
Bronchus	0.868	0.92462666709114	0.736	0.92462666709114	1	0.399	NA	NFIB	Bronchus	FALSE
Bronchus	0.866	0.700724287844837	0.732	0.700724287844837	1	0.476	NA	DMD	Bronchus	FALSE
Bronchus	0.853	0.950485642594612	0.706	0.950485642594612	0.917	0.353	NA	CD44	Bronchus	FALSE
Bronchus	0.843	1.23993785099819	0.686	1.23993785099819	1	0.783	NA	KRT19	Bronchus	FALSE
Bronchus	0.836	0.873893092072871	0.672	0.873893092072871	1	0.577	NA	TSPAN13	Bronchus	FALSE
Bronchus	0.832	1.43326023620582	0.664	1.43326023620582	0.75	0.146	NA	TM4SF1	Bronchus	FALSE
Bronchus	0.829	1.01296966829589	0.658	1.01296966829589	1	0.88	NA	NET1	Bronchus	FALSE
Bronchus	0.823	0.919527979495634	0.646	0.919527979495634	1	0.739	NA	LMO7	Bronchus	FALSE
Bronchus	0.822	0.70972235721419	0.644	0.70972235721419	0.917	0.52	NA	MTUS1	Bronchus	FALSE
Bronchus	0.819	0.780724827695569	0.638	0.780724827695569	1	0.79	NA	ERRFI1	Bronchus	FALSE
Bronchus	0.818	1.0625584973501	0.636	1.0625584973501	1	0.623	NA	GPRC5A	Bronchus	FALSE
Bronchus	0.806	1.14068318139544	0.612	1.14068318139544	0.917	0.61	NA	CTD-3252C9.4	Bronchus	FALSE
Bronchus	0.803	0.73173906230705	0.606	0.73173906230705	1	0.482	NA	ANXA3	Bronchus	FALSE
Bronchus	0.801	1.91850765907609	0.602	1.91850765907609	1	0.543	NA	WFDC2	Bronchus	FALSE
Bronchus	0.794	0.744844836896573	0.588	0.744844836896573	1	0.862	NA	ATF3	Bronchus	FALSE
Bronchus	0.792	0.892218700375505	0.584	0.892218700375505	1	0.833	NA	DUSP1	Bronchus	FALSE
Bronchus	0.781	0.69609388967146	0.562	0.69609388967146	0.917	0.744	NA	GOLGA8A	Bronchus	FALSE
Bronchus	0.777	2.48550070323029	0.554	2.48550070323029	0.583	0.046	NA	SLPI	Bronchus	FALSE
Bronchus	0.774	0.698158258682604	0.548	0.698158258682604	1	0.918	NA	SLC38A2	Bronchus	FALSE
Bronchus	0.765	0.862022571157408	0.53	0.862022571157408	1	0.933	NA	IER2	Bronchus	FALSE
Bronchus	0.748	1.41748412183801	0.496	1.41748412183801	0.583	0.105	NA	SFTPB	Bronchus	FALSE
Bronchus	0.748	0.695892319934829	0.496	0.695892319934829	1	0.997	NA	UBC	Bronchus	FALSE
Bronchus	0.745	0.743672475835419	0.49	0.743672475835418	1	0.863	NA	NPC2	Bronchus	FALSE
Bronchus	0.744	0.715267354406889	0.488	0.715267354406889	0.833	0.572	NA	DLC1	Bronchus	FALSE
Bronchus	0.74	1.16004447426498	0.48	1.16004447426498	0.583	0.123	NA	WIF1	Bronchus	FALSE
Bronchus	0.738	0.915870283491299	0.476	0.915870283491299	0.583	0.112	NA	CLDN18	Bronchus	FALSE
Bronchus	0.728	0.977500268040993	0.456	0.977500268040993	0.5	0.062	NA	PALMD	Bronchus	FALSE
Bronchus	0.717	1.75905562588464	0.434	1.75905562588464	0.5	0.089	NA	AQP4	Bronchus	FALSE
Bronchus	0.715	0.810642746073283	0.43	0.810642746073283	0.5	0.095	NA	PTPRZ1	Bronchus	FALSE
Bronchus	0.709	1.01425159056959	0.418	1.01425159056959	1	0.925	NA	ZFP36L1	Bronchus	FALSE
Bronchus	0.706	0.763514304213341	0.412	0.763514304213341	0.5	0.12	NA	C16orf89	Bronchus	FALSE
Esophagus	0.996	3.84000644126957	0.992	3.84000644126957	1	0.117	NA	KRT15	Esophagus	TRUE
Esophagus	0.97	1.66054904890279	0.94	1.66054904890279	0.969	0.158	NA	TRIM29	Esophagus	TRUE
Esophagus	0.968	0.892610773328381	0.936	0.892610773328381	0.938	0.004	NA	PAX9	Esophagus	TRUE
Esophagus	0.962	2.68719676981959	0.924	2.68719676981959	1	0.452	NA	ANXA1	Esophagus	FALSE
Esophagus	0.961	1.02151616063244	0.922	1.02151616063244	0.938	0.032	NA	SOX2	Esophagus	TRUE
Esophagus	0.958	1.51158770862864	0.916	1.51158770862864	0.938	0.087	NA	PTPRZ1	Esophagus	TRUE
Esophagus	0.95	1.78424520014939	0.9	1.78424520014939	0.906	0.035	NA	CAPNS2	Esophagus	TRUE
Esophagus	0.944	1.47059264179712	0.888	1.47059264179712	1	0.705	NA	PERP	Esophagus	TRUE
Esophagus	0.941	1.75496324700137	0.882	1.75496324700137	0.906	0.056	NA	KRT5	Esophagus	TRUE
Esophagus	0.93	1.24311995340328	0.86	1.24311995340328	1	0.456	NA	BCL11A	Esophagus	TRUE
Esophagus	0.908	1.43609669383347	0.816	1.43609669383347	1	0.812	NA	TXNIP	Esophagus	TRUE
Esophagus	0.905	1.26052550289909	0.81	1.26052550289909	0.844	0.091	NA	TP63	Esophagus	TRUE
Esophagus	0.901	2.06070286401571	0.802	2.06070286401571	0.844	0.119	NA	FILIP1	Esophagus	TRUE
Esophagus	0.901	1.31388971737019	0.802	1.31388971737019	0.969	0.358	NA	H19	Esophagus	FALSE
Esophagus	0.897	0.997660690136022	0.794	0.997660690136022	0.875	0.119	NA	SIM2	Esophagus	TRUE
Esophagus	0.896	0.773834263516887	0.792	0.773834263516887	0.812	0.058	NA	DSG3	Esophagus	TRUE
