myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0.933	1.2096759955036	0.866	1.2096759955036	1	0.772	NA	Bronchus	CD55
0.896	0.771564523593711	0.792	0.771564523593711	0.917	0.25	NA	Bronchus	NFIX
0.894	2.24117564458449	0.788	2.24117564458449	1	0.456	NA	Bronchus	ANXA1
0.893	1.63108963082561	0.786	1.63108963082561	0.917	0.184	NA	Bronchus	KRT17
0.113	-1.89411554074166	0.774	-1.89411554074166	0.083	0.794	NA	Bronchus	XIST
0.881	0.656154709708549	0.762	0.656154709708549	1	0.201	NA	Bronchus	DDX3Y
0.872	1.02201775822744	0.744	1.02201775822744	1	0.985	NA	Bronchus	SAT1
0.871	0.999576507480802	0.742	0.999576507480802	1	0.206	NA	Bronchus	RPS4Y1
0.871	0.743763495522208	0.742	0.743763495522208	0.917	0.208	NA	Bronchus	IRX2
0.868	0.92462666709114	0.736	0.92462666709114	1	0.399	NA	Bronchus	NFIB
0.866	0.700724287844837	0.732	0.700724287844837	1	0.476	NA	Bronchus	DMD
0.862	0.36744228752511	0.724	0.36744228752511	0.917	0.171	NA	Bronchus	USP9Y
0.853	0.950485642594612	0.706	0.950485642594612	0.917	0.353	NA	Bronchus	CD44
0.853	0.557644440051264	0.706	0.557644440051264	1	0.52	NA	Bronchus	MGST1
0.853	0.372280092310649	0.706	0.372280092310649	0.917	0.27	NA	Bronchus	S100A14
0.851	0.347065925955389	0.702	0.347065925955389	0.833	0.179	NA	Bronchus	TLR2
0.154	-0.769891791635421	0.692	-0.769891791635421	0.5	0.893	NA	Bronchus	NRIP1
0.843	1.23993785099819	0.686	1.23993785099819	1	0.783	NA	Bronchus	KRT19
0.838	0.672789054025039	0.676	0.672789054025039	0.833	0.274	NA	Bronchus	FOLR1
0.836	0.873893092072871	0.672	0.873893092072871	1	0.577	NA	Bronchus	TSPAN13
0.832	1.43326023620582	0.664	1.43326023620582	0.75	0.146	NA	Bronchus	TM4SF1
0.832	0.689624898313998	0.664	0.689624898313998	0.833	0.286	NA	Bronchus	CRNDE
0.832	0.649629955561648	0.664	0.649629955561648	0.917	0.441	NA	Bronchus	STK17B
0.83	0.561671656313337	0.66	0.561671656313337	1	0.584	NA	Bronchus	ZFP36
0.17	-0.484736572737218	0.66	-0.484736572737218	0.417	0.849	NA	Bronchus	RBM17
0.829	1.01296966829589	0.658	1.01296966829589	1	0.88	NA	Bronchus	NET1
0.826	0.380549929265299	0.652	0.380549929265299	1	0.842	NA	Bronchus	JUND
0.824	0.445514217040149	0.648	0.445514217040149	1	0.74	NA	Bronchus	ANAPC11
0.177	-1.12213652431423	0.646	-1.12213652431423	0.5	0.911	NA	Bronchus	SEPT11
