cell	nGene	nUMI	orig.ident	percent.mito	batch	bigBatch	outer_id	inner_id	bigInner_id	res.0.6	cluster	S.Score	G2M.Score	Phase	tSNE_1	tSNE_2	ABratio	cleanReads	mpRatio	mitoRatio	ERCCratio	avgCor	doublet	filter	tissue	samplingPos	ident	ident_old
WDOU_C-B1_04	4764	27051	Epi	0.0919208726197079	WDOU_C-B1	WDOU_C	1	4	1-4	9	Stomach	-0.136468425080856	-0.115040342307973	G1	-19.1224614661349	29.0818960650497	0.955783340297093	2896088	0.8616	0.0918801049635954	0.0465648810596242	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B1_27	5614	48000	Epi	0.114326790848856	WDOU_C-B1	WDOU_C	4	3	1-4	10	Stomach	-0.110239697296884	-0.0239030854621728	G1	12.4006688080887	-5.11973324076084	0.992003856242988	2907455	0.8849	0.11429821272341	0.0593364313399217	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B1_64	4536	43686	Epi	0.100260953165774	WDOU_C-B1	WDOU_C	8	8	5-8	10	Stomach	-0.169332639151728	-0.0519789952859048	G1	11.6226195492691	-4.9957551947868	0.993283180370977	2901442	0.8958	0.100260953165774	0.0788289420254823	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B1_90	5894	64977	Epi	0.128634090034629	WDOU_C-B1	WDOU_C	12	2	1-4	10	Stomach	-0.0551234750149577	-0.00386427638624603	G1	12.4938556951928	-6.21352566178842	0.992684228986985	4415326	0.8719	0.128626171532341	0.0427587129646357	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B1_92	5224	35695	Epi	0.0322454125227623	WDOU_C-B1	WDOU_C	12	4	1-4	9	Stomach	-0.0782801617612408	-0.0685127636909952	G1	-20.7594513774901	28.7839821398597	0.988856349513468	3444850	0.9064	0.0322427026724186	0.0726763795566372	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B2_52	5324	46155	Epi	0.115114616284612	WDOU_C-B2	WDOU_C	7	4	1-4	10	Stomach	-0.16114477396737	-0.034424771013593	G1	12.0694485244081	-5.79949437963244	0.990096225426673	2835874	0.8797	0.115112122196945	0.0296704489132762	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B2_61	6690	79546	Epi	0.0763970079829028	WDOU_C-B2	WDOU_C	8	5	5-8	10	Stomach	-0.0957953774719136	-2.00184167684081e-05	G1	11.8593994500424	-5.19758737653237	0.99150432384725	4370944	0.8793	0.076391245867431	0.0314594947294951	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B2_93	5387	43569	Epi	0.08383068588743	WDOU_C-B2	WDOU_C	12	5	5-8	10	Stomach	-0.092346136752147	-0.079724045279665	G1	11.5600161832895	-5.65921329060433	0.990220882020354	1848057	0.892	0.0838210654364342	0.0602913457419648	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B2_94	4606	36422	Epi	0.0147712920762177	WDOU_C-B2	WDOU_C	12	6	5-8	10	Stomach	-0.0360674182430755	-0.0193804749395881	G1	19.4535224154685	-5.97804050255434	0.972322968962906	2230351	0.8959	0.0147704810015374	0.061295512153974	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B3_09	5389	40016	Epi	0.121751299480208	WDOU_C-B3	WDOU_C	2	1	1-4	10	Stomach	-0.102231372374525	-0.0140283261419041	G1	11.9424067916364	-5.36617403969108	0.993638271582738	3428880	0.8854	0.121751299480208	0.0839280047998648	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B3_43	1859	8015	Epi	0.0728815674528891	WDOU_C-B3	WDOU_C	6	3	1-4	10	Stomach	-0.0984100047689786	-0.0609450225383704	G1	10.6553072801302	-5.1316856173043	0.987254936963956	1114843	0.857	0.0728633811603244	0.22808490720385	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B3_76	6441	55974	Epi	0.095401436381177	WDOU_C-B3	WDOU_C	10	4	1-4	10	Stomach	-0.167466518268961	-0.0330491616465525	G1	11.9640690583129	-5.43701406311902	0.992965983659902	3742420	0.8944	0.0953997320232247	0.0392275547748116	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B3_83	1873	5386	Epi	0.100816932788711	WDOU_C-B3	WDOU_C	11	3	1-4	9	Stomach	-0.141260252502905	-0.0825003412204935	G1	-18.3638137186727	26.4666242761408	0.983577595859564	1368016	0.8455	0.100798217932059	0.0898591446341513	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B4_14	3998	18068	Epi	0.0495350896612796	WDOU_C-B4	WDOU_C	2	6	5-8	9	Stomach	-0.129161843220691	-0.0376028457961622	G1	-20.4804442887912	28.6691644370539	0.989814410992513	1921451	0.8939	0.0495323482207095	0.0957867214413597	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B4_36	3791	14002	Epi	0.0732090564959646	WDOU_C-B4	WDOU_C	5	4	1-4	9	Stomach	-0.11478931942996	-0.0684088515698792	G1	-19.4292304042915	29.1613246545869	0.93825820142068	1101096	0.8971	0.0732038280245679	0.10805079620196	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B4_47	3627	15491	Epi	0.124782131560261	WDOU_C-B4	WDOU_C	6	7	5-8	9	Stomach	-0.163871763066836	-0.0373927291858965	G1	-19.1876800240653	28.3318033656772	0.956130535240314	1687560	0.8812	0.124782131560261	0.135185624273069	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B4_65	6221	62132	Epi	0.044133268952197	WDOU_C-B4	WDOU_C	9	1	1-4	9	Stomach	-0.120994494188148	-0.0281849109273011	G1	-19.9929373296402	27.2854040187564	0.991610943299408	3445313	0.8991	0.0441311380425861	0.0577238189305598	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B4_84	4823	24290	Epi	0.060806916426513	WDOU_C-B4	WDOU_C	11	4	1-4	9	Stomach	-0.100220934116571	-0.10027648182006	G1	-19.2631796114578	28.512227195518	0.985814609375086	2010261	0.9025	0.060806916426513	0.0875747161084791	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B4_88	3725	13419	Epi	0.0924877030854077	WDOU_C-B4	WDOU_C	11	8	5-8	9	Stomach	-0.0958516831535699	-0.0115815922376242	G1	-19.9231381208739	27.2142208240621	0.971732315631276	1004582	0.8717	0.0924670292824678	0.0433683598048883	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B5_50	4831	23329	Epi	0.0407664609053498	WDOU_C-B5	WDOU_C	7	2	1-4	9	Stomach	-0.132441913454802	-0.0357188615529786	G1	-20.5714928339502	28.4924317188402	0.991414933044263	2638461	0.9131	0.0407559784006171	0.100307596329639	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
WDOU_C-B5_63	5759	55497	Epi	0.108474331945871	WDOU_C-B5	WDOU_C	8	7	5-8	10	Stomach	0.00193907027966722	0.184010745817093	G2M	11.9653492716011	-5.62292247806871	0.985287710097812	4062266	0.8955	0.108464559835682	0.0569221163280569	1	FALSE	TRUE	Stomach	antrum	Stomach	Epi
