cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
MD1	hsa04014	Ras signaling pathway	3/7	234/7846	0.000838741134630809	0.0377433510583864	0.0291352183608597	GRIN2B/PLA2G4C/KSR2	3
MD8	hsa00100	Steroid biosynthesis	4/14	20/7846	3.0240037747374e-08	1.30032162313708e-06	1.20960150989496e-06	FDFT1/DHCR24/SQLE/MSMO1	4
MD8	hsa00900	Terpenoid backbone biosynthesis	3/14	22/7846	6.82822274294195e-06	0.000146806788973252	0.000136564454858839	FDPS/HMGCR/IDI1	3
MD8	hsa01100	Metabolic pathways	8/14	1488/7846	0.00165612744587322	0.0237378267241828	0.0220816992783095	GSTM3/FDPS/FDFT1/DHCR24/SQLE/MSMO1/HMGCR/IDI1	8
MD9	hsa03030	DNA replication	4/10	36/7846	7.68779729520618e-08	1.6144374319933e-06	8.90166002602821e-07	MCM4/MCM7/MCM3/MCM2	4
MD9	hsa04110	Cell cycle	4/10	124/7846	1.15975827953817e-05	0.000121774619351508	6.7143900394315e-05	MCM4/MCM7/MCM3/MCM2	4
MD14	hsa04141	Protein processing in endoplasmic reticulum	5/10	166/7846	9.23428417568508e-07	6.37165608122271e-05	3.88811965292004e-05	DNAJB11/CALR/XBP1/HSPA5/HSP90B1	5
MD14	hsa05169	Epstein-Barr virus infection	3/10	199/7846	0.00169072396063177	0.029164988320898	0.0177970943224397	GADD45B/MYC/CALR	3
MD14	hsa04151	PI3K-Akt signaling pathway	3/10	355/7846	0.00869024660659784	0.0461251550657885	0.0281465477136772	THBS1/MYC/HSP90B1	3
MD16	hsa04141	Protein processing in endoplasmic reticulum	9/37	166/7846	5.11809277059843e-08	5.98816854160017e-06	3.98672489499246e-06	DNAJA1/HSPH1/DNAJB1/HSPA1A/HSPA1B/HSP90AB1/HSPA8/HSP90AA1/PPP1R15A	9
MD16	hsa04657	IL-17 signaling pathway	7/37	94/7846	2.17154236718716e-07	1.27035228480449e-05	8.45758606167631e-06	NFKBIA/HSP90AB1/HSP90AA1/JUND/JUN/FOSB/FOS	7
MD16	hsa04612	Antigen processing and presentation	6/37	68/7846	6.37324770558167e-07	2.48556660517685e-05	1.65480817618612e-05	HLA-E/HSPA1A/HSPA1B/HSP90AB1/HSPA8/HSP90AA1	6
MD16	hsa04380	Osteoclast differentiation	7/37	127/7846	1.69593609094107e-06	4.96061306600262e-05	3.30261238762207e-05	NFKBIA/JUND/SOCS3/JUNB/JUN/FOSB/FOS	7
